Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,16:40:17,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,16:40:18,x86_64,32,2,1,0,0,0,0,0,1,1,4.2,65853296,62914560,62914560,1350000000,29,BUS_2,1350000000.,4.18245087227,62914560,95,0,40960,3618,3144
pes,16:40:19,x86_64,32,2,1,0,0,0,0,0,1,1,7.5,65853296,62914560,62914560,2400000000,29,BUS_2,2400000000.,7.45337976974,62914560,95,0,12288,484,1160
pes,16:40:20,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2090000000,29,BUS_2,2090000000.,6.48646047869,62914560,95,0,0,66,150
pes,16:40:21,x86_64,32,2,1,0,0,0,0,0,1,1,5.6,65853296,62914560,62914560,1810000000,29,BUS_2,1810000000.,5.62072168036,62914560,95,0,0,118,166
pes,16:40:22,x86_64,32,2,1,0,0,0,0,0,1,1,9.1,65853296,62914560,62914560,2940000000,29,BUS_2,2940000000.,9.12796793867,62914560,95,0,32768,0,0
pes,16:40:23,x86_64,32,2,1,0,0,0,0,0,1,1,6.6,65853296,62914560,62914560,2130000000,29,BUS_2,2130000000.,6.61154256576,62914560,95,0,0,52,0
pes,16:40:24,x86_64,32,2,1,0,0,0,0,0,1,1,6.6,65853296,62914560,62914560,2120000000,29,BUS_2,2120000000.,6.58173848432,62914560,95,0,110592,0,0
pes,16:40:25,x86_64,32,2,1,0,0,0,0,0,1,1,9.8,65853296,62914560,62914560,3160000000,29,BUS_2,3160000000.,9.81473757345,62914560,95,0,0,52,0
pes,16:40:27,x86_64,32,2,1,0,0,0,0,0,1,1,9.2,65853296,62914560,62914560,2950000000,29,BUS_2,2950000000.,9.15711316612,62914560,95,0,20480,0,0
pes,16:40:28,x86_64,32,2,1,0,0,0,0,0,1,1,1.3,65853296,62914560,62914560,420000000,29,BUS_2,420000000.,1.30379838273,62914560,95,0,86016,470,424
pes,16:40:29,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,50000000,29,BUS_2,50000000.,0.155224423593,62914560,95,0,0,0,0
pes,16:40:30,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217368406214,62914560,95,0,69632,52,0
pes,16:40:31,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186243987695,62914560,95,0,0,0,0
pes,16:40:32,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,50000000,29,BUS_2,50000000.,0.155268223629,62914560,95,0,0,52,0
pes,16:40:33,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,50000000,29,BUS_2,50000000.,0.155196854384,62914560,95,0,0,0,0
pes,16:40:34,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217288511705,62914560,95,0,24576,52,0
pes,16:40:35,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.248409147712,62914560,95,0,65536,0,0
pes,16:40:36,x86_64,32,2,1,0,0,0,0,0,1,1,1.0,65853296,62914560,62914560,310000000,29,BUS_2,310000000.,0.962276783124,62914560,95,0,1155072,52,0
pes,16:40:37,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186319661208,62914560,95,0,0,0,0
