Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:00:19,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:00:20,x86_64,32,2,1,0,0,0,0,0,1,1,4.0,65853296,62914560,62914560,1290000000,29,BUS_2,1290000000.,3.99954110613,62914560,95,0,0,2590,4046
pes,17:00:21,x86_64,32,2,1,0,0,0,0,0,1,1,9.9,65853296,62914560,62914560,3190000000,29,BUS_2,3190000000.,9.89834328329,62914560,95,0,1130496,118,150
pes,17:00:22,x86_64,32,2,1,0,0,0,0,0,1,1,7.8,65853296,62914560,62914560,2510000000,29,BUS_2,2510000000.,7.79623248879,62914560,95,0,0,66,142
pes,17:00:23,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2260000000,29,BUS_2,2260000000.,7.0190034064,62914560,95,0,0,52,0
pes,17:00:24,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2450000000,29,BUS_2,2450000000.,7.60753014867,62914560,95,0,49152,0,0
pes,17:00:25,x86_64,32,2,1,0,0,0,0,0,1,1,4.7,65853296,62914560,62914560,1520000000,29,BUS_2,1520000000.,4.72156235973,62914560,95,0,36864,52,0
pes,17:00:26,x86_64,32,2,1,0,0,0,0,0,1,1,9.5,65853296,62914560,62914560,3070000000,29,BUS_2,3070000000.,9.53583886917,62914560,95,0,0,0,0
pes,17:00:27,x86_64,32,2,1,0,0,0,0,0,1,1,12.2,65853296,62914560,62914560,3920000000,29,BUS_2,3920000000.,12.1720972588,62914560,95,0,69632,52,0
pes,17:00:28,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2440000000,29,BUS_2,2440000000.,7.58991231921,62914560,95,0,274432,418,424
pes,17:00:29,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.18620826822,62914560,95,0,0,52,0
pes,17:00:30,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217465882892,62914560,95,0,98304,0,0
pes,17:00:31,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186445817337,62914560,95,0,0,52,0
pes,17:00:32,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217531208183,62914560,95,0,0,0,0
pes,17:00:33,x86_64,32,2,1,0,0,0,0,0,1,1,0.7,65853296,62914560,62914560,210000000,29,BUS_2,210000000.,0.652721296454,62914560,95,0,13946880,52,0
pes,17:00:34,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.248603381757,62914560,95,0,49152,0,0
pes,17:00:35,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217496968094,62914560,95,0,0,52,0
pes,17:00:36,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.184883562653,62914560,95,0,0,0,0
pes,17:00:37,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186422437294,62914560,95,0,0,52,0
