Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:00:38,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:00:39,x86_64,32,2,1,0,0,0,0,0,1,1,4.1,65853296,62914560,62914560,1320000000,29,BUS_2,1320000000.,4.09480083602,62914560,95,0,0,2590,4054
pes,17:00:40,x86_64,32,2,1,0,0,0,0,0,1,1,9.8,65853296,62914560,62914560,3150000000,29,BUS_2,3150000000.,9.7778556661,62914560,95,0,0,118,150
pes,17:00:41,x86_64,32,2,1,0,0,0,0,0,1,1,5.9,65853296,62914560,62914560,1910000000,29,BUS_2,1910000000.,5.93314522142,62914560,95,0,32768,66,150
pes,17:00:42,x86_64,32,2,1,0,0,0,0,0,1,1,9.9,65853296,62914560,62914560,3190000000,29,BUS_2,3190000000.,9.90437152839,62914560,95,0,0,52,0
pes,17:00:43,x86_64,32,2,1,0,0,0,0,0,1,1,10.1,65853296,62914560,62914560,3250000000,29,BUS_2,3250000000.,10.0916144536,62914560,95,0,0,118,182
pes,17:00:44,x86_64,32,2,1,0,0,0,0,0,1,1,7.3,65853296,62914560,62914560,2350000000,29,BUS_2,2350000000.,7.30787535819,62914560,95,0,307200,316,434
pes,17:00:45,x86_64,32,2,1,0,0,0,0,0,1,1,7.9,65853296,62914560,62914560,2550000000,29,BUS_2,2550000000.,7.91822353963,62914560,95,0,73728,712,1436
pes,17:00:46,x86_64,32,2,1,0,0,0,0,0,1,1,5.2,65853296,62914560,62914560,1660000000,29,BUS_2,1660000000.,5.1550796767,62914560,95,0,1208320,0,0
pes,17:00:47,x86_64,32,2,1,0,0,0,0,0,1,1,10.3,65853296,62914560,62914560,3310000000,29,BUS_2,3310000000.,10.2805149543,62914560,95,0,897024,52,0
pes,17:00:48,x86_64,32,2,1,0,0,0,0,0,1,1,9.4,65853296,62914560,62914560,3030000000,29,BUS_2,3030000000.,9.41672379008,62914560,95,0,0,0,0
