Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:02:14,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:02:15,x86_64,32,2,1,0,0,0,0,0,1,1,4.5,65853296,62914560,62914560,1450000000,29,BUS_2,1450000000.,4.49846953798,62914560,95,0,364544,3618,3764
pes,17:02:16,x86_64,32,2,1,0,0,0,0,0,1,1,9.2,65853296,62914560,62914560,2970000000,29,BUS_2,2970000000.,9.21749260534,62914560,95,0,0,550,690
pes,17:02:17,x86_64,32,2,1,0,0,0,0,0,1,1,7.2,65853296,62914560,62914560,2320000000,29,BUS_2,2320000000.,7.2036451382,62914560,95,0,81920,66,150
pes,17:02:18,x86_64,32,2,1,0,0,0,0,0,1,1,8.8,65853296,62914560,62914560,2850000000,29,BUS_2,2850000000.,8.83617874592,62914560,95,0,32768,52,0
pes,17:02:19,x86_64,32,2,1,0,0,0,0,0,1,1,7.5,65853296,62914560,62914560,2400000000,29,BUS_2,2400000000.,7.45593601656,62914560,95,0,569344,0,0
pes,17:02:20,x86_64,32,2,1,0,0,0,0,0,1,1,4.3,65853296,62914560,62914560,1370000000,29,BUS_2,1370000000.,4.25074193845,62914560,95,0,692224,52,0
pes,17:02:21,x86_64,32,2,1,0,0,0,0,0,1,1,8.8,65853296,62914560,62914560,2850000000,29,BUS_2,2850000000.,8.84193454243,62914560,95,0,86016,0,0
pes,17:02:22,x86_64,32,2,1,0,0,0,0,0,1,1,8.1,65853296,62914560,62914560,2610000000,29,BUS_2,2610000000.,8.10477661148,62914560,95,0,16384,52,0
pes,17:02:23,x86_64,32,2,1,0,0,0,0,0,1,1,20.0,65853296,62914560,62914560,6430000000,29,BUS_2,6430000000.,19.9547429846,62914560,95,0,8192,0,0
pes,17:02:24,x86_64,32,2,1,0,0,0,0,0,1,1,16.5,65853296,62914560,62914560,5310000000,29,BUS_2,5310000000.,16.4818708077,62914560,95,0,16384,52,0
pes,17:02:25,x86_64,32,2,1,0,0,0,0,0,1,1,14.5,65853296,62914560,62914560,4680000000,29,BUS_2,4680000000.,14.5320694052,62914560,95,0,77824,0,0
pes,17:02:26,x86_64,32,2,1,0,0,0,0,0,1,1,14.3,65853296,62914560,62914560,4600000000,29,BUS_2,4600000000.,14.2753419192,62914560,95,0,8192,52,0
pes,17:02:27,x86_64,32,2,1,0,0,0,0,0,1,1,9.1,65853296,62914560,62914560,2940000000,29,BUS_2,2940000000.,9.12946440946,62914560,95,0,45056,418,424
pes,17:02:28,x86_64,32,2,1,0,0,0,0,0,1,1,0.8,65853296,62914560,62914560,270000000,29,BUS_2,270000000.,0.838461915718,62914560,95,0,0,52,0
pes,17:02:29,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217343123957,62914560,95,0,49152,0,0
pes,17:02:30,x86_64,32,2,1,0,0,0,0,0,1,1,0.4,65853296,62914560,62914560,140000000,29,BUS_2,140000000.,0.434622724251,62914560,95,0,73728,52,0
pes,17:02:31,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.246108551236,62914560,95,0,0,0,0
pes,17:02:32,x86_64,32,2,1,0,0,0,0,0,1,1,0.8,65853296,62914560,62914560,250000000,29,BUS_2,250000000.,0.776397589111,62914560,95,0,26497024,52,0
pes,17:02:33,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186182567496,62914560,95,0,0,0,0
pes,17:02:34,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186276897015,62914560,95,0,0,52,0
pes,17:02:35,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217453306994,62914560,95,0,188416,0,0
pes,17:02:36,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217403842167,62914560,95,0,0,52,0
