Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:02:37,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:02:38,x86_64,32,2,1,0,0,0,0,0,1,1,7.2,65853296,62914560,62914560,2310000000,29,BUS_2,2310000000.,7.16932557843,62914560,95,0,304984064,3670,3144
pes,17:02:39,x86_64,32,2,1,0,0,0,0,0,1,1,12.8,65853296,62914560,62914560,4110000000,29,BUS_2,4110000000.,12.7641517749,62914560,95,0,317194240,432,1278
pes,17:02:40,x86_64,32,2,1,0,0,0,0,0,1,1,12.6,65853296,62914560,62914560,4040000000,29,BUS_2,4040000000.,12.5561169977,62914560,95,0,312844288,118,150
pes,17:02:41,x86_64,32,2,1,0,0,0,0,0,1,1,7.3,65853296,62914560,62914560,2350000000,29,BUS_2,2350000000.,7.30255639925,62914560,95,0,97759232,66,150
pes,17:02:42,x86_64,32,2,1,0,0,0,0,0,1,1,7.8,65853296,62914560,62914560,2510000000,29,BUS_2,2510000000.,7.79258352511,62914560,95,0,0,52,0
pes,17:02:43,x86_64,32,2,1,0,0,0,0,0,1,1,12.9,65853296,62914560,62914560,4140000000,29,BUS_2,4140000000.,12.8654934268,62914560,95,0,311296,316,378
pes,17:02:44,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.248390435304,62914560,95,0,0,52,0
pes,17:02:45,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,100000000,29,BUS_2,100000000.,0.310493560442,62914560,95,0,0,0,0
pes,17:02:46,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,90000000,29,BUS_2,90000000.,0.279401513908,62914560,95,0,0,52,0
