Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:04:19,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:04:20,x86_64,32,2,1,0,0,0,0,0,1,1,4.1,65853296,62914560,62914560,1330000000,29,BUS_2,1330000000.,4.12498246018,62914560,95,0,0,4052,3968
pes,17:04:21,x86_64,32,2,1,0,0,0,0,0,1,1,8.8,65853296,62914560,62914560,2830000000,29,BUS_2,2830000000.,8.78751107223,62914560,95,0,0,66,256
pes,17:04:22,x86_64,32,2,1,0,0,0,0,0,1,1,7.9,65853296,62914560,62914560,2530000000,29,BUS_2,2530000000.,7.85365455087,62914560,95,0,0,118,150
pes,17:04:23,x86_64,32,2,1,0,0,0,0,0,1,1,5.6,65853296,62914560,62914560,1810000000,29,BUS_2,1810000000.,5.61691968105,62914560,95,0,102400,198,522
pes,17:04:24,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2250000000,29,BUS_2,2250000000.,6.98621764653,62914560,95,0,28672,52,0
pes,17:04:25,x86_64,32,2,1,0,0,0,0,0,1,1,6.9,65853296,62914560,62914560,2210000000,29,BUS_2,2210000000.,6.86080252235,62914560,95,0,0,0,0
pes,17:04:26,x86_64,32,2,1,0,0,0,0,0,1,1,6.1,65853296,62914560,62914560,1950000000,29,BUS_2,1950000000.,6.05517380257,62914560,95,0,0,52,0
pes,17:04:27,x86_64,32,2,1,0,0,0,0,0,1,1,4.9,65853296,62914560,62914560,1570000000,29,BUS_2,1570000000.,4.87638113315,62914560,95,0,3371008,0,0
pes,17:04:28,x86_64,32,2,1,0,0,0,0,0,1,1,4.8,65853296,62914560,62914560,1560000000,29,BUS_2,1560000000.,4.78703855012,62914560,95,0,13459456,52,0
pes,17:04:29,x86_64,32,2,1,0,0,0,0,0,1,1,8.6,65853296,62914560,62914560,2770000000,29,BUS_2,2770000000.,8.58154035897,62914560,95,0,12288,198,662
pes,17:04:30,x86_64,32,2,1,0,0,0,0,0,1,1,10.1,65853296,62914560,62914560,3250000000,29,BUS_2,3250000000.,10.0805146272,62914560,95,0,0,368,354
pes,17:04:31,x86_64,32,2,1,0,0,0,0,0,1,1,10.8,65853296,62914560,62914560,3480000000,29,BUS_2,3480000000.,10.8005091835,62914560,95,0,98304,264,608
pes,17:04:32,x86_64,32,2,1,0,0,0,0,0,1,1,11.3,65853296,62914560,62914560,3650000000,29,BUS_2,3650000000.,11.3314956463,62914560,95,0,11939840,514,978
pes,17:04:33,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2260000000,29,BUS_2,2260000000.,7.01367039935,62914560,95,0,29491200,0,0
pes,17:04:34,x86_64,32,2,1,0,0,0,0,0,1,1,13.2,65853296,62914560,62914560,4240000000,29,BUS_2,4240000000.,13.1614755661,62914560,95,0,95461376,52,0
pes,17:04:35,x86_64,32,2,1,0,0,0,0,0,1,1,9.4,65853296,62914560,62914560,3040000000,29,BUS_2,3040000000.,9.44132352345,62914560,95,0,59117568,0,0
pes,17:04:36,x86_64,32,2,1,0,0,0,0,0,1,1,10.5,65853296,62914560,62914560,3380000000,29,BUS_2,3380000000.,10.4873461335,62914560,95,0,0,52,0
pes,17:04:37,x86_64,32,2,1,0,0,0,0,0,1,1,10.6,65853296,62914560,62914560,3400000000,29,BUS_2,3400000000.,10.5546533266,62914560,95,0,0,125,98
pes,17:04:38,x86_64,32,2,1,0,0,0,0,0,1,1,11.5,65853296,62914560,62914560,3720000000,29,BUS_2,3720000000.,11.5438357079,62914560,95,0,0,52,0
pes,17:04:39,x86_64,32,2,1,0,0,0,0,0,1,1,14.1,65853296,62914560,62914560,4540000000,29,BUS_2,4540000000.,14.103022495,62914560,95,0,3760128,0,0
pes,17:04:40,x86_64,32,2,1,0,0,0,0,0,1,1,4.6,65853296,62914560,62914560,1490000000,29,BUS_2,1490000000.,4.62494840375,62914560,95,0,815104,52,0
pes,17:04:41,x86_64,32,2,1,0,0,0,0,0,1,1,5.1,65853296,62914560,62914560,1640000000,29,BUS_2,1640000000.,5.09450925213,62914560,95,0,58957824,132,252
pes,17:04:42,x86_64,32,2,1,0,0,0,0,0,1,1,2.5,65853296,62914560,62914560,790000000,29,BUS_2,790000000.,2.4505353238,62914560,95,0,0,52,0
pes,17:04:43,x86_64,32,2,1,0,0,0,0,0,1,1,9.3,65853296,62914560,62914560,3010000000,29,BUS_2,3010000000.,9.34228205719,62914560,95,0,0,0,0
pes,17:04:44,x86_64,32,2,1,0,0,0,0,0,1,1,10.2,65853296,62914560,62914560,3270000000,29,BUS_2,3270000000.,10.1506507015,62914560,95,0,36864,177,98
pes,17:04:45,x86_64,32,2,1,0,0,0,0,0,1,1,13.2,65853296,62914560,62914560,4260000000,29,BUS_2,4260000000.,13.228144365,62914560,95,0,200704,0,0
pes,17:04:46,x86_64,32,2,1,0,0,0,0,0,1,1,5.1,65853296,62914560,62914560,1650000000,29,BUS_2,1650000000.,5.11867307126,62914560,95,0,143360,177,98
pes,17:04:47,x86_64,32,2,1,0,0,0,0,0,1,1,1.2,65853296,62914560,62914560,380000000,29,BUS_2,380000000.,1.1789410697,62914560,95,0,24576,66,110
pes,17:04:48,x86_64,32,2,1,0,0,0,0,0,1,1,3.4,65853296,62914560,62914560,1090000000,29,BUS_2,1090000000.,3.38243755907,62914560,95,0,4096,250,818
pes,17:04:49,x86_64,32,2,1,0,0,0,0,0,1,1,3.6,65853296,62914560,62914560,1160000000,29,BUS_2,1160000000.,3.60174663138,62914560,95,0,0,0,0
pes,17:04:50,x86_64,32,2,1,0,0,0,0,0,1,1,5.8,65853296,62914560,62914560,1870000000,29,BUS_2,1870000000.,5.8098216601,62914560,95,0,0,118,102
pes,17:04:51,x86_64,32,2,1,0,0,0,0,0,1,1,5.9,65853296,62914560,62914560,1910000000,29,BUS_2,1910000000.,5.93087518411,62914560,95,0,8540160,0,0
pes,17:04:52,x86_64,32,2,1,0,0,0,0,0,1,1,7.9,65853296,62914560,62914560,2530000000,29,BUS_2,2530000000.,7.85346669528,62914560,95,0,0,52,0
pes,17:04:53,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40280310825,62914560,95,0,32768,0,0
pes,17:04:54,x86_64,32,2,1,0,0,0,0,0,1,1,5.2,65853296,62914560,62914560,1690000000,29,BUS_2,1690000000.,5.24765940672,62914560,95,0,1286144,52,0
pes,17:04:55,x86_64,32,2,1,0,0,0,0,0,1,1,6.7,65853296,62914560,62914560,2170000000,29,BUS_2,2170000000.,6.73838706804,62914560,95,0,0,0,0
pes,17:04:56,x86_64,32,2,1,0,0,0,0,0,1,1,10.4,65853296,62914560,62914560,3340000000,29,BUS_2,3340000000.,10.3834131217,62914560,95,0,14581760,250,330
pes,17:04:57,x86_64,32,2,1,0,0,0,0,0,1,1,12.0,65853296,62914560,62914560,3860000000,29,BUS_2,3860000000.,11.9829338295,62914560,95,0,57344,448,502
