Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:05:58,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:05:59,x86_64,32,2,1,0,0,0,0,0,1,1,4.9,65853296,62914560,62914560,1580000000,29,BUS_2,1580000000.,4.89888176284,62914560,95,0,634880,2634,2924
pes,17:06:00,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2100000000,29,BUS_2,2100000000.,6.52133646419,62914560,95,0,192512,0,0
pes,17:06:01,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2070000000,29,BUS_2,2070000000.,6.4306747018,62914560,95,0,0,52,0
pes,17:06:02,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2260000000,29,BUS_2,2260000000.,7.0224012115,62914560,95,0,9125888,0,0
pes,17:06:03,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2070000000,29,BUS_2,2070000000.,6.43085303439,62914560,95,0,0,52,0
pes,17:06:04,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2100000000,29,BUS_2,2100000000.,6.46734714688,62914560,95,0,65536,0,0
pes,17:06:05,x86_64,32,2,1,0,0,0,0,0,1,1,6.9,65853296,62914560,62914560,2220000000,29,BUS_2,2220000000.,6.89825483397,62914560,95,0,39575552,52,0
pes,17:06:06,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2050000000,29,BUS_2,2050000000.,6.36796602457,62914560,95,0,0,0,0
pes,17:06:07,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40039747614,62914560,95,0,0,52,0
pes,17:06:08,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40020480024,62914560,95,0,0,0,0
pes,17:06:09,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.39995145668,62914560,95,0,0,52,0
pes,17:06:10,x86_64,32,2,1,0,0,0,0,0,1,1,7.5,65853296,62914560,62914560,2410000000,29,BUS_2,2410000000.,7.48784364927,62914560,95,0,78278656,0,0
pes,17:06:11,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40061292277,62914560,95,0,0,52,0
pes,17:06:12,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2090000000,29,BUS_2,2090000000.,6.49334240386,62914560,95,0,126976,0,0
pes,17:06:13,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40030189531,62914560,95,0,0,52,0
pes,17:06:14,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2070000000,29,BUS_2,2070000000.,6.43159390642,62914560,95,0,40960,0,0
pes,17:06:15,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2070000000,29,BUS_2,2070000000.,6.43045675318,62914560,95,0,0,52,0
pes,17:06:16,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2050000000,29,BUS_2,2050000000.,6.36915547136,62914560,95,0,0,0,0
pes,17:06:17,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2090000000,29,BUS_2,2090000000.,6.49354249928,62914560,95,0,24576,52,0
pes,17:06:18,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2090000000,29,BUS_2,2090000000.,6.49019329578,62914560,95,0,65536,0,0
pes,17:06:19,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2070000000,29,BUS_2,2070000000.,6.43039883924,62914560,95,0,12288,52,0
pes,17:06:20,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.39861528753,62914560,95,0,0,0,0
pes,17:06:21,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2060000000,29,BUS_2,2060000000.,6.40044147463,62914560,95,0,0,52,0
pes,17:06:22,x86_64,32,2,1,0,0,0,0,0,1,1,6.4,65853296,62914560,62914560,2050000000,29,BUS_2,2050000000.,6.36959332379,62914560,95,0,0,0,0
pes,17:06:23,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2090000000,29,BUS_2,2090000000.,6.49325775183,62914560,95,0,94208,52,0
