Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:07:33,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:07:34,x86_64,32,2,1,0,0,0,0,0,1,1,4.1,65853296,62914560,62914560,1310000000,29,BUS_2,1310000000.,4.06531328524,62914560,95,0,0,4050,4106
pes,17:07:35,x86_64,32,2,1,0,0,0,0,0,1,1,10.4,65853296,62914560,62914560,3340000000,29,BUS_2,3340000000.,10.3821006312,62914560,95,0,88125440,118,150
pes,17:07:36,x86_64,32,2,1,0,0,0,0,0,1,1,7.3,65853296,62914560,62914560,2360000000,29,BUS_2,2360000000.,7.32539214173,62914560,95,0,0,0,0
pes,17:07:37,x86_64,32,2,1,0,0,0,0,0,1,1,6.9,65853296,62914560,62914560,2220000000,29,BUS_2,2220000000.,6.89659696908,62914560,95,0,651264,118,150
pes,17:07:38,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2460000000,29,BUS_2,2460000000.,7.63848357548,62914560,95,0,0,0,0
pes,17:07:39,x86_64,32,2,1,0,0,0,0,0,1,1,10.5,65853296,62914560,62914560,3380000000,29,BUS_2,3380000000.,10.4994303826,62914560,95,0,4096,368,378
pes,17:07:40,x86_64,32,2,1,0,0,0,0,0,1,1,1.1,65853296,62914560,62914560,350000000,29,BUS_2,350000000.,1.08637360717,62914560,95,0,16175104,0,0
pes,17:07:41,x86_64,32,2,1,0,0,0,0,0,1,1,1.7,65853296,62914560,62914560,560000000,29,BUS_2,560000000.,1.73925670085,62914560,95,0,55971840,52,0
pes,17:07:42,x86_64,32,2,1,0,0,0,0,0,1,1,1.4,65853296,62914560,62914560,440000000,29,BUS_2,440000000.,1.3655137208,62914560,95,0,38834176,66,150
pes,17:07:43,x86_64,32,2,1,0,0,0,0,0,1,1,1.6,65853296,62914560,62914560,510000000,29,BUS_2,510000000.,1.58258629306,62914560,95,0,39600128,118,150
pes,17:07:44,x86_64,32,2,1,0,0,0,0,0,1,1,4.8,65853296,62914560,62914560,1540000000,29,BUS_2,1540000000.,4.77819269348,62914560,95,0,86274048,66,190
pes,17:07:45,x86_64,32,2,1,0,0,0,0,0,1,1,3.9,65853296,62914560,62914560,1250000000,29,BUS_2,1250000000.,3.88011707609,62914560,95,0,43724800,316,576
pes,17:07:46,x86_64,32,2,1,0,0,0,0,0,1,1,5.0,65853296,62914560,62914560,1620000000,29,BUS_2,1620000000.,5.02631055061,62914560,95,0,279117824,198,402
pes,17:07:47,x86_64,32,2,1,0,0,0,0,0,1,1,10.5,65853296,62914560,62914560,3370000000,29,BUS_2,3370000000.,10.4605057937,62914560,95,0,327458816,52,0
pes,17:07:48,x86_64,32,2,1,0,0,0,0,0,1,1,10.6,65853296,62914560,62914560,3410000000,29,BUS_2,3410000000.,10.5840770749,62914560,95,0,84881408,0,0
pes,17:07:50,x86_64,32,2,1,0,0,0,0,0,1,1,10.2,65853296,62914560,62914560,3270000000,29,BUS_2,3270000000.,10.1530696775,62914560,95,0,0,52,0
pes,17:07:51,x86_64,32,2,1,0,0,0,0,0,1,1,9.0,65853296,62914560,62914560,2890000000,29,BUS_2,2890000000.,8.97453096703,62914560,95,0,241664,125,98
pes,17:07:52,x86_64,32,2,1,0,0,0,0,0,1,1,9.7,65853296,62914560,62914560,3130000000,29,BUS_2,3130000000.,9.71935788873,62914560,95,0,0,52,0
pes,17:07:53,x86_64,32,2,1,0,0,0,0,0,1,1,16.3,65853296,62914560,62914560,5250000000,29,BUS_2,5250000000.,16.3178737592,62914560,95,0,0,0,0
pes,17:07:54,x86_64,32,2,1,0,0,0,0,0,1,1,4.5,65853296,62914560,62914560,1460000000,29,BUS_2,1460000000.,4.53272387009,62914560,95,0,0,52,0
pes,17:07:55,x86_64,32,2,1,0,0,0,0,0,1,1,0.6,65853296,62914560,62914560,200000000,29,BUS_2,200000000.,0.620800354656,62914560,95,0,0,132,244
pes,17:07:56,x86_64,32,2,1,0,0,0,0,0,1,1,0.5,65853296,62914560,62914560,160000000,29,BUS_2,160000000.,0.496972879618,62914560,95,0,0,52,0
pes,17:07:57,x86_64,32,2,1,0,0,0,0,0,1,1,0.6,65853296,62914560,62914560,200000000,29,BUS_2,200000000.,0.621373657136,62914560,95,0,0,0,0
pes,17:07:58,x86_64,32,2,1,0,0,0,0,0,1,1,4.1,65853296,62914560,62914560,2010000000,29,BUS_2,2010000000.,4.13330448675,62914560,95,0,1282048,52,0
pes,17:07:59,x86_64,32,2,1,0,0,0,0,0,1,1,10.7,65853296,62914560,62914560,3440000000,29,BUS_2,3440000000.,10.6777635714,62914560,95,0,0,52,0
pes,17:08:00,x86_64,32,2,1,0,0,0,0,0,1,1,37.1,65853296,62914560,62914560,11940000000,29,BUS_2,11940000000.,37.1337767716,62914560,95,0,0,0,0
pes,17:08:01,x86_64,32,2,1,0,0,0,0,0,1,1,36.0,65853296,62914560,62914560,11570000000,29,BUS_2,11570000000.,35.952439984,62914560,95,0,0,802,588
pes,17:08:02,x86_64,32,2,1,0,0,0,0,0,1,1,50.4,65853296,62914560,62914560,16220000000,29,BUS_2,16220000000.,50.4373756852,62914560,95,0,0,0,0
pes,17:08:03,x86_64,32,2,1,0,0,0,0,0,1,1,50.1,65853296,62914560,62914560,16110000000,29,BUS_2,16110000000.,50.1106341615,62914560,95,0,339968,52,0
pes,17:08:04,x86_64,32,2,1,0,0,0,0,0,1,1,43.2,65853296,62914560,62914560,13900000000,29,BUS_2,13900000000.,43.1824700912,62914560,95,0,12288,0,0
pes,17:08:05,x86_64,32,2,1,0,0,0,0,0,1,1,21.1,65853296,62914560,62914560,6800000000,29,BUS_2,6800000000.,21.1225437025,62914560,95,0,290816,52,0
pes,17:08:06,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2450000000,29,BUS_2,2450000000.,7.61148630792,62914560,95,0,32768,66,118
pes,17:08:07,x86_64,32,2,1,0,0,0,0,0,1,1,18.5,65853296,62914560,62914560,5950000000,29,BUS_2,5950000000.,18.476572791,62914560,95,0,0,302,196
pes,17:08:08,x86_64,32,2,1,0,0,0,0,0,1,1,25.7,65853296,62914560,62914560,8270000000,29,BUS_2,8270000000.,25.691760622,62914560,95,0,229376,0,0
