Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:08:26,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:08:27,x86_64,32,2,1,0,0,0,0,0,1,1,4.3,65853296,62914560,62914560,1380000000,29,BUS_2,1380000000.,4.28142162258,62914560,95,0,0,2642,4332
pes,17:08:28,x86_64,32,2,1,0,0,0,0,0,1,1,9.4,65853296,62914560,62914560,3040000000,29,BUS_2,3040000000.,9.43762707176,62914560,95,0,0,66,150
pes,17:08:29,x86_64,32,2,1,0,0,0,0,0,1,1,7.3,65853296,62914560,62914560,2360000000,29,BUS_2,2360000000.,7.33143582936,62914560,95,0,77824,118,158
pes,17:08:30,x86_64,32,2,1,0,0,0,0,0,1,1,8.6,65853296,62914560,62914560,2760000000,29,BUS_2,2760000000.,8.5750763916,62914560,95,0,741376,0,0
pes,17:08:31,x86_64,32,2,1,0,0,0,0,0,1,1,9.1,65853296,62914560,62914560,2930000000,29,BUS_2,2930000000.,9.10385561687,62914560,95,0,0,52,0
pes,17:08:32,x86_64,32,2,1,0,0,0,0,0,1,1,5.6,65853296,62914560,62914560,1790000000,29,BUS_2,1790000000.,5.55705147533,62914560,95,0,180224,0,0
pes,17:08:33,x86_64,32,2,1,0,0,0,0,0,1,1,8.0,65853296,62914560,62914560,2580000000,29,BUS_2,2580000000.,8.00740108426,62914560,95,0,0,52,0
pes,17:08:34,x86_64,32,2,1,0,0,0,0,0,1,1,13.9,65853296,62914560,62914560,4490000000,29,BUS_2,4490000000.,13.9413722265,62914560,95,0,16384,0,0
pes,17:08:35,x86_64,32,2,1,0,0,0,0,0,1,1,19.1,65853296,62914560,62914560,6150000000,29,BUS_2,6150000000.,19.1105422336,62914560,95,0,73728,52,0
pes,17:08:36,x86_64,32,2,1,0,0,0,0,0,1,1,10.7,65853296,62914560,62914560,3440000000,29,BUS_2,3440000000.,10.6789117112,62914560,95,0,88248320,0,0
pes,17:08:37,x86_64,32,2,1,0,0,0,0,0,1,1,4.1,65853296,62914560,62914560,1310000000,29,BUS_2,1310000000.,4.06612099449,62914560,95,0,90112,52,0
pes,17:08:38,x86_64,32,2,1,0,0,0,0,0,1,1,14.9,65853296,62914560,62914560,4790000000,29,BUS_2,4790000000.,14.8709576715,62914560,95,0,28672,0,0
pes,17:08:39,x86_64,32,2,1,0,0,0,0,0,1,1,15.3,65853296,62914560,62914560,4920000000,29,BUS_2,4920000000.,15.2823433894,62914560,95,0,12288,52,0
pes,17:08:40,x86_64,32,2,1,0,0,0,0,0,1,1,3.6,65853296,62914560,62914560,1150000000,29,BUS_2,1150000000.,3.5690416663,62914560,95,0,40960,418,416
pes,17:08:41,x86_64,32,2,1,0,0,0,0,0,1,1,1.3,65853296,62914560,62914560,410000000,29,BUS_2,410000000.,1.27268473039,62914560,95,0,97992704,52,0
pes,17:08:42,x86_64,32,2,1,0,0,0,0,0,1,1,2.6,65853296,62914560,62914560,830000000,29,BUS_2,830000000.,2.57678707411,62914560,95,0,219738112,0,0
pes,17:08:43,x86_64,32,2,1,0,0,0,0,0,1,1,0.4,65853296,62914560,62914560,140000000,29,BUS_2,140000000.,0.434572700854,62914560,95,0,106496,52,0
pes,17:08:44,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217421976657,62914560,95,0,0,0,0
pes,17:08:45,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.248470188582,62914560,95,0,0,52,0
pes,17:08:47,x86_64,32,2,1,0,0,0,0,0,1,1,0.5,65853296,62914560,62914560,220000000,29,BUS_2,220000000.,0.475158354041,62914560,95,0,622592,0,0
pes,17:08:48,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217298649699,62914560,95,0,0,52,0
pes,17:08:49,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,50000000,29,BUS_2,50000000.,0.155205013849,62914560,95,0,0,0,0
pes,17:08:50,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.18622771379,62914560,95,0,0,52,0
