Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:08:50,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:08:51,x86_64,32,2,1,0,0,0,0,0,1,1,3.4,65853296,62914560,62914560,1090000000,29,BUS_2,1090000000.,3.38203160305,62914560,95,0,28672,3618,2946
pes,17:08:52,x86_64,32,2,1,0,0,0,0,0,1,1,9.1,65853296,62914560,62914560,2920000000,29,BUS_2,2920000000.,9.06298978783,62914560,95,0,450560,492,1278
pes,17:08:53,x86_64,32,2,1,0,0,0,0,0,1,1,8.3,65853296,62914560,62914560,2660000000,29,BUS_2,2660000000.,8.2635801565,62914560,95,0,0,132,300
pes,17:08:54,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2240000000,29,BUS_2,2240000000.,6.95279108588,62914560,95,0,0,52,0
pes,17:08:55,x86_64,32,2,1,0,0,0,0,0,1,1,8.6,65853296,62914560,62914560,2760000000,29,BUS_2,2760000000.,8.56891587292,62914560,95,0,0,0,0
pes,17:08:56,x86_64,32,2,1,0,0,0,0,0,1,1,10.3,65853296,62914560,62914560,3310000000,29,BUS_2,3310000000.,10.2921653035,62914560,95,0,163840,434,616
pes,17:08:57,x86_64,32,2,1,0,0,0,0,0,1,1,8.4,65853296,62914560,62914560,2720000000,29,BUS_2,2720000000.,8.44314475525,62914560,95,0,77824,462,1042
pes,17:08:58,x86_64,32,2,1,0,0,0,0,0,1,1,3.5,65853296,62914560,62914560,1140000000,29,BUS_2,1140000000.,3.54089988128,62914560,95,0,1282048,250,394
pes,17:08:59,x86_64,32,2,1,0,0,0,0,0,1,1,7.0,65853296,62914560,62914560,2260000000,29,BUS_2,2260000000.,7.01376837777,62914560,95,0,0,0,0
pes,17:09:00,x86_64,32,2,1,0,0,0,0,0,1,1,9.7,65853296,62914560,62914560,3110000000,29,BUS_2,3110000000.,9.65550801369,62914560,95,0,0,52,0
pes,17:09:01,x86_64,32,2,1,0,0,0,0,0,1,1,13.3,65853296,62914560,62914560,4280000000,29,BUS_2,4280000000.,13.2895997567,62914560,95,0,0,0,0
pes,17:09:02,x86_64,32,2,1,0,0,0,0,0,1,1,8.1,65853296,62914560,62914560,2600000000,29,BUS_2,2600000000.,8.07236789588,62914560,95,0,0,177,98
pes,17:09:03,x86_64,32,2,1,0,0,0,0,0,1,1,10.4,65853296,62914560,62914560,3350000000,29,BUS_2,3350000000.,10.4096348068,62914560,95,0,299008,0,0
pes,17:09:04,x86_64,32,2,1,0,0,0,0,0,1,1,19.2,65853296,62914560,62914560,6180000000,29,BUS_2,6180000000.,19.1776398451,62914560,95,0,24576,52,0
pes,17:09:05,x86_64,32,2,1,0,0,0,0,0,1,1,3.7,65853296,62914560,62914560,1180000000,29,BUS_2,1180000000.,3.66556587877,62914560,95,0,0,0,0
pes,17:09:06,x86_64,32,2,1,0,0,0,0,0,1,1,5.2,65853296,62914560,62914560,1670000000,29,BUS_2,1670000000.,5.18383150304,62914560,95,0,0,184,244
pes,17:09:07,x86_64,32,2,1,0,0,0,0,0,1,1,36.5,65853296,62914560,62914560,11760000000,29,BUS_2,11760000000.,36.5300170966,62914560,95,0,598016,52,0
pes,17:09:08,x86_64,32,2,1,0,0,0,0,0,1,1,36.6,65853296,62914560,62914560,11770000000,29,BUS_2,11770000000.,36.5820952504,62914560,95,0,136740864,750,588
