Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:09:39,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:09:40,x86_64,32,2,1,0,0,0,0,0,1,1,4.6,65853296,62914560,62914560,1490000000,29,BUS_2,1490000000.,4.62447967959,62914560,95,0,0,4102,4106
pes,17:09:41,x86_64,32,2,1,0,0,0,0,0,1,1,9.1,65853296,62914560,62914560,2930000000,29,BUS_2,2930000000.,9.09569019215,62914560,95,0,73728,66,198
pes,17:09:42,x86_64,32,2,1,0,0,0,0,0,1,1,9.4,65853296,62914560,62914560,3040000000,29,BUS_2,3040000000.,9.44127430787,62914560,95,0,4096,118,134
pes,17:09:43,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2440000000,29,BUS_2,2440000000.,7.57731012519,62914560,95,0,1368064,66,150
pes,17:09:44,x86_64,32,2,1,0,0,0,0,0,1,1,9.0,65853296,62914560,62914560,2900000000,29,BUS_2,2900000000.,9.00529667868,62914560,95,0,0,52,0
pes,17:09:45,x86_64,32,2,1,0,0,0,0,0,1,1,9.7,65853296,62914560,62914560,3120000000,29,BUS_2,3120000000.,9.69277425554,62914560,95,0,0,66,182
pes,17:09:46,x86_64,32,2,1,0,0,0,0,0,1,1,7.6,65853296,62914560,62914560,2460000000,29,BUS_2,2460000000.,7.64380009592,62914560,95,0,86016,434,472
pes,17:09:47,x86_64,32,2,1,0,0,0,0,0,1,1,9.9,65853296,62914560,62914560,3190000000,29,BUS_2,3190000000.,9.90147020795,62914560,95,0,12288,594,1254
pes,17:09:48,x86_64,32,2,1,0,0,0,0,0,1,1,9.9,65853296,62914560,62914560,3200000000,29,BUS_2,3200000000.,9.94867576451,62914560,95,0,176128,52,0
pes,17:09:49,x86_64,32,2,1,0,0,0,0,0,1,1,9.0,65853296,62914560,62914560,2900000000,29,BUS_2,2900000000.,9.00459055291,62914560,95,0,3018752,0,0
pes,17:09:50,x86_64,32,2,1,0,0,0,0,0,1,1,11.7,65853296,62914560,62914560,3760000000,29,BUS_2,3760000000.,11.6693996175,62914560,95,0,0,52,0
pes,17:09:51,x86_64,32,2,1,0,0,0,0,0,1,1,9.7,65853296,62914560,62914560,3140000000,29,BUS_2,3140000000.,9.74910057372,62914560,95,0,0,125,98
pes,17:09:52,x86_64,32,2,1,0,0,0,0,0,1,1,14.3,65853296,62914560,62914560,4610000000,29,BUS_2,4610000000.,14.3319132868,62914560,95,0,0,52,0
pes,17:09:53,x86_64,32,2,1,0,0,0,0,0,1,1,12.5,65853296,62914560,62914560,4020000000,29,BUS_2,4020000000.,12.4843223745,62914560,95,0,28672,0,0
pes,17:09:54,x86_64,32,2,1,0,0,0,0,0,1,1,1.6,65853296,62914560,62914560,500000000,29,BUS_2,500000000.,1.55107010015,62914560,95,0,643072,184,244
pes,17:09:55,x86_64,32,2,1,0,0,0,0,0,1,1,6.5,65853296,62914560,62914560,2110000000,29,BUS_2,2110000000.,6.5469196597,62914560,95,0,0,0,0
pes,17:09:56,x86_64,32,2,1,0,0,0,0,0,1,1,13.4,65853296,62914560,62914560,4320000000,29,BUS_2,4320000000.,13.4157371096,62914560,95,0,0,177,98
pes,17:09:57,x86_64,32,2,1,0,0,0,0,0,1,1,20.1,65853296,62914560,62914560,6460000000,29,BUS_2,6460000000.,20.0843274784,62914560,95,0,0,125,98
pes,17:09:58,x86_64,32,2,1,0,0,0,0,0,1,1,22.8,65853296,62914560,62914560,7350000000,29,BUS_2,7350000000.,22.8252887104,62914560,95,0,12288,52,0
pes,17:09:59,x86_64,32,2,1,0,0,0,0,0,1,1,17.9,65853296,62914560,62914560,5750000000,29,BUS_2,5750000000.,17.8548389351,62914560,95,0,67956736,0,0
pes,17:10:00,x86_64,32,2,1,0,0,0,0,0,1,1,15.6,65853296,62914560,62914560,5040000000,29,BUS_2,5040000000.,15.6445097862,62914560,95,0,12288,52,0
pes,17:10:01,x86_64,32,2,1,0,0,0,0,0,1,1,19.8,65853296,62914560,62914560,6370000000,29,BUS_2,6370000000.,19.7776948702,62914560,95,0,0,0,0
pes,17:10:02,x86_64,32,2,1,0,0,0,0,0,1,1,18.7,65853296,62914560,62914560,6030000000,29,BUS_2,6030000000.,18.7303933371,62914560,95,0,16384,52,0
pes,17:10:03,x86_64,32,2,1,0,0,0,0,0,1,1,16.2,65853296,62914560,62914560,5200000000,29,BUS_2,5200000000.,16.1554891497,62914560,95,0,0,0,0
pes,17:10:04,x86_64,32,2,1,0,0,0,0,0,1,1,19.2,65853296,62914560,62914560,6190000000,29,BUS_2,6190000000.,19.2275769105,62914560,95,0,1335296,52,0
pes,17:10:05,x86_64,32,2,1,0,0,0,0,0,1,1,20.3,65853296,62914560,62914560,6550000000,29,BUS_2,6550000000.,20.3459844175,62914560,95,0,16384,0,0
pes,17:10:06,x86_64,32,2,1,0,0,0,0,0,1,1,11.9,65853296,62914560,62914560,3840000000,29,BUS_2,3840000000.,11.9313216451,62914560,95,0,32768,52,0
pes,17:10:07,x86_64,32,2,1,0,0,0,0,0,1,1,3.0,65853296,62914560,62914560,960000000,29,BUS_2,960000000.,2.97938872735,62914560,95,0,114688,191,208
pes,17:10:08,x86_64,32,2,1,0,0,0,0,0,1,1,1.7,65853296,62914560,62914560,540000000,29,BUS_2,540000000.,1.65865284231,62914560,95,0,4096,184,236
pes,17:10:09,x86_64,32,2,1,0,0,0,0,0,1,1,7.2,65853296,62914560,62914560,2320000000,29,BUS_2,2320000000.,7.20660030434,62914560,95,0,147456,132,700
pes,17:10:10,x86_64,32,2,1,0,0,0,0,0,1,1,8.2,65853296,62914560,62914560,2640000000,29,BUS_2,2640000000.,8.19673873958,62914560,95,0,0,52,0
