Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:10:26,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:10:27,x86_64,32,2,1,0,0,0,0,0,1,1,7.9,65853296,62914560,62914560,2560000000,29,BUS_2,2560000000.,7.94611657912,62914560,95,0,330346496,3618,2946
pes,17:10:28,x86_64,32,2,1,0,0,0,0,0,1,1,11.0,65853296,62914560,62914560,3550000000,29,BUS_2,3550000000.,11.0211872847,62914560,95,0,279883776,550,1310
pes,17:10:29,x86_64,32,2,1,0,0,0,0,0,1,1,7.8,65853296,62914560,62914560,2500000000,29,BUS_2,2500000000.,7.7659668259,62914560,95,0,0,0,0
pes,17:10:30,x86_64,32,2,1,0,0,0,0,0,1,1,11.0,65853296,62914560,62914560,3530000000,29,BUS_2,3530000000.,10.9546098539,62914560,95,0,4096,316,536
pes,17:10:37,x86_64,32,2,1,0,0,0,0,0,1,1,1.2,65853296,62914560,62914560,2920000000,29,BUS_2,2920000000.,1.17350017325,62914560,95,0,2142208,722,708
pes,17:10:38,x86_64,32,2,1,0,0,0,0,0,1,1,7.3,65853296,62914560,62914560,2340000000,29,BUS_2,2340000000.,7.25999606593,62914560,95,0,81920,198,474
pes,17:10:39,x86_64,32,2,1,0,0,0,0,0,1,1,6.3,65853296,62914560,62914560,2040000000,29,BUS_2,2040000000.,6.33556044502,62914560,95,0,0,514,938
pes,17:10:40,x86_64,32,2,1,0,0,0,0,0,1,1,9.6,65853296,62914560,62914560,3110000000,29,BUS_2,3110000000.,9.64727471784,62914560,95,0,0,0,0
pes,17:10:41,x86_64,32,2,1,0,0,0,0,0,1,1,8.5,65853296,62914560,62914560,2730000000,29,BUS_2,2730000000.,8.47413354982,62914560,95,0,0,52,0
pes,17:10:42,x86_64,32,2,1,0,0,0,0,0,1,1,9.6,65853296,62914560,62914560,3100000000,29,BUS_2,3100000000.,9.62011134827,62914560,95,0,491520,0,0
pes,17:10:43,x86_64,32,2,1,0,0,0,0,0,1,1,9.5,65853296,62914560,62914560,3100000000,29,BUS_2,3100000000.,9.52956694191,62914560,95,0,0,177,98
pes,17:10:44,x86_64,32,2,1,0,0,0,0,0,1,1,14.8,65853296,62914560,62914560,4770000000,29,BUS_2,4770000000.,14.810648087,62914560,95,0,0,0,0
pes,17:10:45,x86_64,32,2,1,0,0,0,0,0,1,1,15.3,65853296,62914560,62914560,4930000000,29,BUS_2,4930000000.,15.3033810792,62914560,95,0,106496,52,0
pes,17:10:46,x86_64,32,2,1,0,0,0,0,0,1,1,1.9,65853296,62914560,62914560,600000000,29,BUS_2,600000000.,1.86302447252,62914560,95,0,0,132,244
pes,17:10:47,x86_64,32,2,1,0,0,0,0,0,1,1,14.1,65853296,62914560,62914560,4550000000,29,BUS_2,4550000000.,14.1280460302,62914560,95,0,688128,401,337
pes,17:10:48,x86_64,32,2,1,0,0,0,0,0,1,1,39.7,65853296,62914560,62914560,12780000000,29,BUS_2,12780000000.,39.6868400384,62914560,95,0,0,0,0
pes,17:10:49,x86_64,32,2,1,0,0,0,0,0,1,1,38.1,65853296,62914560,62914560,12250000000,29,BUS_2,12250000000.,38.0819290665,62914560,95,0,0,844,630
pes,17:10:50,x86_64,32,2,1,0,0,0,0,0,1,1,56.5,65853296,62914560,62914560,18170000000,29,BUS_2,18170000000.,56.4939786015,62914560,95,0,0,0,0
pes,17:10:51,x86_64,32,2,1,0,0,0,0,0,1,1,44.4,65853296,62914560,62914560,14280000000,29,BUS_2,14280000000.,44.397819044,62914560,95,0,0,52,0
