Hostname,Time,Arch,Physical CPUs,Count,Running,Blocked,Paused,Shutdown,Shutoff,Crashed,Active,Inactive,%CPU,Total hardware memory (KB),Total memory (KB),Total guest memory (KB),Total CPU time (ns),Domain ID,Domain name,CPU (ns),%CPU,Mem (bytes),%Mem,Block RDBY,Block WRBY,Net RXBY,Net TXBY
pes,17:11:52,x86_64,32,2,1,0,0,0,0,0,1,1,0.0,65853296,62914560,62914560,0,29,BUS_2,0.,0.,0,0,,,,
pes,17:11:53,x86_64,32,2,1,0,0,0,0,0,1,1,6.9,65853296,62914560,62914560,2220000000,29,BUS_2,2220000000.,6.88362810787,62914560,95,0,245903360,2150,2974
pes,17:11:54,x86_64,32,2,1,0,0,0,0,0,1,1,12.2,65853296,62914560,62914560,3940000000,29,BUS_2,3940000000.,12.2250306204,62914560,95,0,354930688,492,1160
pes,17:11:55,x86_64,32,2,1,0,0,0,0,0,1,1,10.6,65853296,62914560,62914560,3410000000,29,BUS_2,3410000000.,10.5864962553,62914560,95,0,197935104,66,150
pes,17:11:56,x86_64,32,2,1,0,0,0,0,0,1,1,7.7,65853296,62914560,62914560,2470000000,29,BUS_2,2470000000.,7.66437779397,62914560,95,0,708608,118,158
pes,17:11:57,x86_64,32,2,1,0,0,0,0,0,1,1,9.3,65853296,62914560,62914560,2990000000,29,BUS_2,2990000000.,9.27570434878,62914560,95,0,339968,0,0
pes,17:11:58,x86_64,32,2,1,0,0,0,0,0,1,1,7.1,65853296,62914560,62914560,2300000000,29,BUS_2,2300000000.,7.14292720941,62914560,95,0,0,52,0
pes,17:11:59,x86_64,32,2,1,0,0,0,0,0,1,1,0.9,65853296,62914560,62914560,280000000,29,BUS_2,280000000.,0.869503082339,62914560,95,0,0,0,0
pes,17:12:00,x86_64,32,2,1,0,0,0,0,0,1,1,0.4,65853296,62914560,62914560,140000000,29,BUS_2,140000000.,0.434832721648,62914560,95,0,0,52,0
pes,17:12:01,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,100000000,29,BUS_2,100000000.,0.310528133794,62914560,95,0,0,52,0
pes,17:12:02,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,90000000,29,BUS_2,90000000.,0.279516708832,62914560,95,0,0,0,0
pes,17:12:03,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,100000000,29,BUS_2,100000000.,0.310266083371,62914560,95,0,0,52,0
pes,17:12:06,x86_64,32,2,1,0,0,0,0,0,1,1,1.8,65853296,62914560,62914560,1970000000,29,BUS_2,1970000000.,1.83104563583,62914560,95,0,1302528,52,0
pes,17:12:07,x86_64,32,2,1,0,0,0,0,0,1,1,8.1,65853296,62914560,62914560,2610000000,29,BUS_2,2610000000.,8.10828237283,62914560,95,0,0,52,0
pes,17:12:08,x86_64,32,2,1,0,0,0,0,0,1,1,12.8,65853296,62914560,62914560,4130000000,29,BUS_2,4130000000.,12.828851204,62914560,95,0,12288,0,0
pes,17:12:09,x86_64,32,2,1,0,0,0,0,0,1,1,17.6,65853296,62914560,62914560,5680000000,29,BUS_2,5680000000.,17.6398744316,62914560,95,0,12288,52,0
pes,17:12:10,x86_64,32,2,1,0,0,0,0,0,1,1,14.4,65853296,62914560,62914560,4640000000,29,BUS_2,4640000000.,14.4299712029,62914560,95,0,28672,0,0
pes,17:12:11,x86_64,32,2,1,0,0,0,0,0,1,1,14.6,65853296,62914560,62914560,4710000000,29,BUS_2,4710000000.,14.6298471583,62914560,95,0,151552,52,0
pes,17:12:12,x86_64,32,2,1,0,0,0,0,0,1,1,14.8,65853296,62914560,62914560,4770000000,29,BUS_2,4770000000.,14.8235319222,62914560,95,0,57344,0,0
pes,17:12:13,x86_64,32,2,1,0,0,0,0,0,1,1,2.5,65853296,62914560,62914560,810000000,29,BUS_2,810000000.,2.5167613697,62914560,95,0,40960,470,416
pes,17:12:14,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,50000000,29,BUS_2,50000000.,0.155114095345,62914560,95,0,0,0,0
pes,17:12:15,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,70000000,29,BUS_2,70000000.,0.217393230772,62914560,95,0,0,52,0
pes,17:12:16,x86_64,32,2,1,0,0,0,0,0,1,1,0.4,65853296,62914560,62914560,140000000,29,BUS_2,140000000.,0.434775747912,62914560,95,0,581632,0,0
pes,17:12:17,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,80000000,29,BUS_2,80000000.,0.248490915158,62914560,95,0,69632,52,0
pes,17:12:18,x86_64,32,2,1,0,0,0,0,0,1,1,0.3,65853296,62914560,62914560,90000000,29,BUS_2,90000000.,0.279479491812,62914560,95,0,61440,0,0
pes,17:12:19,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.18625470621,62914560,95,0,0,52,0
pes,17:12:20,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.186257088269,62914560,95,0,0,0,0
pes,17:12:21,x86_64,32,2,1,0,0,0,0,0,1,1,0.2,65853296,62914560,62914560,60000000,29,BUS_2,60000000.,0.18634725431,62914560,95,0,0,52,0
pes,17:12:22,x86_64,32,2,1,0,0,0,0,0,1,1,0.1,65853296,62914560,62914560,40000000,29,BUS_2,40000000.,0.12422014123,62914560,95,0,0,0,0
