,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,6354005,1632669,186018,932326,45935,28990052,109168,-1,0.00,0.00,0.00
,20527953,3892214,328453,1614773,167956,60002873,192976,28489,0.00,0.00,0.00
,1090857706,220233231,8261363,22998482,818117,1077064020,1694427,1438463,0.00,0.00,0.00
,815877345,168678646,5527670,19821451,999901,966730742,2865464,1762374,524288.00,0.00,0.00
,2447922126,451539863,22227442,58624261,1686753,2491365303,4070446,2947422,524288.00,0.00,0.00
,2620482360,493667392,20903945,51584949,1761733,2408018262,3568567,2273236,557056.00,0.00,0.00
,1059936187,205644578,7949568,23820888,1064370,1077919992,2113173,1427053,557056.00,0.00,0.00
,11221497,2356882,248000,1417230,146486,39024912,183633,117545,557056.00,0.00,0.00
,9048491,2041830,202083,1136024,52733,43768061,136960,64848,589824.00,0.00,0.00
,9284042,2465560,212680,1164441,26761,38012670,176315,90709,589824.00,0.00,0.00
,8933481,1917623,209737,985331,15533,23755346,120465,53636,589824.00,0.00,0.00
,7937432,1975507,273456,1079025,19164,36981342,166692,140759,589824.00,0.00,0.00
,12125781,1972700,191062,819284,10452,31380025,152160,132613,589824.00,0.00,0.00
,20975626,3932020,326734,1541250,69479,44113490,198339,126168,589824.00,0.00,0.00
,7694901,1857322,220541,932213,17214,28979589,140396,72700,589824.00,0.00,0.00
,9595837,2095425,246207,1310491,36651,45234985,173989,81804,589824.00,0.00,0.00
,8231944,1841143,214819,1088920,16154,25286184,118364,111983,589824.00,0.00,0.00
,12790475,1789164,237838,1180709,11648,32567665,167428,148540,589824.00,0.00,0.00
,5736997,1433307,159803,801058,9958,18618950,102590,53728,589824.00,0.00,0.00
,6397102,1855150,208248,2137117,14027,35463815,161761,111040,589824.00,0.00,0.00
,10721266,1958239,176862,847081,5117,26990564,127290,98408,589824.00,0.00,0.00
,7830219,1735789,239115,1290059,6098,38325047,148945,106379,589824.00,0.00,0.00
,11433769,1989351,192821,1009967,8765,31031469,151040,78670,589824.00,0.00,0.00
,7977805,1884460,288338,1127173,8297,28575355,162347,86100,589824.00,0.00,0.00
,7972600,1822483,221233,856245,19424,23137464,128724,73750,589824.00,0.00,0.00
,9098320,2233364,243743,1031764,30911,34013542,168727,111544,589824.00,0.00,0.00
,128891991,24636687,913868,3985420,283450,179780506,456359,287593,589824.00,0.00,0.00
,2360865027,436608813,20597960,55645447,1304435,2414688379,3823473,2591373,9863168.00,32.08,17.17
,2267551549,430223290,18548693,47001464,1188222,2078878920,3102247,2006678,11632640.00,32.08,17.17
,2444108771,551399474,15564337,42130392,1928188,3204085463,3198865,1896233,11632640.00,32.08,17.17
,1422465861,284433757,11290698,26483619,1202012,1280552661,1864859,1109794,11632640.00,32.08,17.17
,1379061297,268741078,10785115,31522993,1457109,1596968990,3294353,2292651,11632640.00,32.08,17.17
,3565858670,696061915,29936535,82882387,2662457,3652322043,6106366,4047166,11632640.00,32.08,17.17
,2568738287,487822429,21235354,50941584,2248087,2456356771,3841727,2292227,11632640.00,32.08,17.17
,3051864494,633291389,14861481,48356969,2818926,3159716661,3125897,1856554,11632640.00,32.08,17.17
,3499350885,678180796,18796857,53548183,3898605,3115665181,3290915,1803489,12091392.00,32.08,17.17
,2288003779,479827134,16197282,40443898,3038644,2381747111,2790091,1546826,12091392.00,32.08,17.17
,1374502176,265207521,11501287,35662485,2094026,1587462809,2793676,1908324,12091392.00,32.08,17.17
,3346374784,648479671,22445262,72749622,4405771,2972985311,4024421,1973739,19234816.00,72.22,42.01
,1736399655,325218447,9443968,35872910,5200517,1482801189,3294857,1495707,31358976.00,72.22,42.01
,1617847828,300022718,14747235,41730744,1108998,1827778014,3003103,2379305,31358976.00,72.22,42.01
,2067004405,392993164,18425315,46893005,1418819,2111341750,3250305,2392613,31358976.00,72.22,42.01
,2278509264,430923320,19687810,47758643,1565440,2220392807,3238854,2172203,31358976.00,72.22,42.01
,2807440577,519871389,16274641,55406109,2561534,2302782635,3006312,1857092,31457280.00,72.22,42.01
,2077566264,434897315,14008554,36252540,1955794,2225514482,2746287,1961974,32899072.00,72.22,42.01
,2971847128,611803235,16370997,51138385,4685140,3074631898,3457881,1920415,32997376.00,72.22,42.01
,1869213304,369681559,14233080,39620189,2530329,1766123351,3121769,72.22,33095680.00,72.22,42.01
,3135833756,579339197,18931582,73879040,4118387,2757152200,4828315,1862301,33161216.00,72.22,42.01
,4147251035,742000163,25537268,65884828,7744959,3232311295,4832426,1915530,39714816.00,72.22,42.01
,1885216596,441238716,12897512,39378524,3672293,2732553702,3959166,2215286,40599552.00,74.55,43.25
,6794429247,1609688942,32211034,125637447,5977445,5593886538,5760762,2304046,42270720.00,76.94,44.17
,7263673573,1538909427,38275053,126141120,10395540,5520286455,5912209,2732240,40763392.00,76.94,44.17
,1749235647,359483528,6522286,31556627,1101936,1240286202,1117457,2828112,40763392.00,76.94,44.17
,315545509,61570614,2690962,6859285,770905,379310598,848488,234133,40796160.00,76.94,44.17
,7909527,2038744,254921,1590726,81348,33300484,164392,461288,40796160.00,76.94,44.17
,1012576576,193081480,8171107,21720407,2305472,1010469622,2241166,111237,41189376.00,77.46,44.60
,1792325797,336913811,16747855,46575459,1298568,1986340708,3129694,1367396,41287680.00,77.46,44.60
,2999412566,558844507,26174577,69619644,2949276,3191680949,5180195,2491164,41287680.00,77.46,44.60
,3440822258,697460806,29024636,83436736,3694457,4139689310,5822606,3827265,41353216.00,77.46,44.60
,5312384607,1008143032,43412367,107621748,6407220,5170432037,7304021,4412954,41910272.00,77.46,44.60
,7887082007,1584273327,52858215,153350601,13442166,8289812851,9404364,4951361,42172416.00,77.46,44.60
,8436864908,1715495125,61343658,149710231,11552014,8740916465,9819474,6036316,42827776.00,79.50,45.84
,10473927355,2026563221,75332447,201709842,20547921,10868042847,12652178,6302808,42991616.00,83.49,47.05
,8594847249,1720039277,63466567,164889696,15596908,9627882788,11414953,7801337,42893312.00,85.36,47.87
,8700182966,1792782638,59592872,175213078,13096640,10254827128,11284837,7302534,43057152.00,87.46,48.79
,9807240416,1897237773,75750227,192956545,18519631,10270791789,13981952,7089142,44924928.00,95.75,52.95
,11000785131,2138822806,75055616,209222705,21982998,11509882631,13025482,8712569,45744128.00,107.38,60.39
,9778397620,1987220746,70511600,165728679,14634491,9842778269,11808555,7252030,44662784.00,107.38,60.39
,10866916081,2196377268,82175633,200781497,18932988,12031041647,13308384,6788540,44662784.00,107.38,60.39
,12632706818,2454610480,92988258,228723852,22687075,13456829232,15626711,7549338,46563328.00,117.47,66.49
,12286862385,2487945521,82048420,232807155,28205096,14348222127,15990261,9197164,47448064.00,117.47,66.49
,10860569450,2148707964,80316561,194968797,18734865,11035852330,13240806,9835765,47448064.00,117.47,66.49
,13622753030,2707142986,89124471,252036680,28999795,15035618848,14703009,7436571,47448064.00,117.47,66.49
,9710605838,1927621002,68990054,170513417,14707632,9922860500,11507728,8078906,47448064.00,117.47,66.49
,11430188365,2269642221,82711275,217107654,24714155,13400256982,14473713,6726511,47579136.00,117.47,66.49
,9793128748,1985932794,71989517,183808551,18950396,11645696049,13836451,9119899,47579136.00,117.47,66.49
,7562021339,1481986511,51610231,145172870,15315182,8426606567,8871237,8606304,49807360.00,117.47,66.49
,8009782337,1616287003,57199293,144994443,13784988,8985020441,11248406,5225726,49807360.00,117.47,66.49
,10519912389,2034977658,80797700,222241994,17848631,12084848667,14544404,7076778,49807360.00,117.47,66.49
,12117682530,2436120614,87464560,215177501,22826196,13728169462,14694394,9276540,49807360.00,117.47,66.49
,6710053097,1373085447,50150980,141564644,11404874,8244469827,10636698,8904752,49807360.00,117.47,66.49
,11682108348,2323382199,85047042,202753382,22597332,12295546069,14201900,6692327,49807360.00,117.47,66.49
,14922991986,2891177327,93842820,287788518,33389727,15846409801,15348782,7948709,50200576.00,120.95,67.90
,12416927778,2499276281,89684820,217215714,20694158,13209646193,14519385,8268937,52068352.00,120.95,67.90
,12258407561,2405426333,99137381,247572381,26274170,14117167184,17338127,8373894,53739520.00,120.95,67.90
,11491165636,2339671531,85796368,212731192,23788092,13076326736,15566970,10614735,61571072.00,120.95,67.90
,10594340277,2072854249,59985727,193989618,23082510,10480884078,10745449,9664919,51380224.00,120.95,67.90
,8025137598,1575574918,58032058,145605049,12239139,8125379318,10240235,5441665,51412992.00,120.95,67.90
,12935534936,2497853947,101158020,258348349,25555560,15091147645,16730756,5916965,33521664.00,87.82,44.73
,12348394073,2466886347,91212022,228014202,23259647,13930554785,16143573,9938831,33357824.00,87.82,44.73
,9010364577,1733359440,67245204,174814348,17522132,9402669975,12098592,9529310,33357824.00,87.82,44.73
,11480999133,2385539667,77508589,193505539,20793925,12895750915,13032638,1733359440,33357824.00,87.82,44.73
,14931304982,2960318608,91433835,256785617,31552886,15404772334,14503222,7163964,33259520.00,87.82,44.73
,11332917538,2216157877,88537917,207991086,16584130,11318739631,14326054,7357067,35979264.00,87.82,44.73
,13152453922,2596190207,101945145,255639718,28948754,16597334981,17670667,7231985,35979264.00,87.82,44.73
,3023379643,649951069,23457207,58479728,6120579,3694769388,4518472,8421047,35979264.00,87.82,44.73
,3475965704,658528536,26906166,75549816,6774628,3721024400,5032844,10832282,35979264.00,87.82,44.73
,9906280107,1902328408,66617330,195799067,18182698,9708601513,11854225,2745143,36110336.00,118.06,60.69
,8418742214,1695116242,52249149,137724401,16554813,8426543754,8986989,3246376,36995072.00,124.52,63.47
,10067799263,1954041046,72617190,190815665,17176642,10294099666,11400795,6819582,36634624.00,172.39,87.56
,8793573362,1816157348,64058506,162755028,18165502,9890487274,11664368,4638390,37617664.00,176.82,89.65
,4551712684,887717611,36371532,95988260,9050878,4913194002,6955131,6577641,37748736.00,176.82,89.65
,3671809112,703493045,29217204,77754769,7008216,3706375102,5932520,7130229,37748736.00,176.82,89.65
,4474904155,852049173,26156116,78530813,6770327,4076788887,4308710,4326704,37748736.00,176.82,89.65
,2286117243,452321383,15867165,37069936,3296576,2040168720,2726236,3699975,37748736.00,176.82,89.65
,1316456193,284422044,9862919,29261111,3083688,1596219380,1971191,2310059,31522816.00,176.82,89.65
