,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,7472933,2260073,246148,1251873,107356,41921789,-1,-1,0.00,0.00,0.00
,22247352,4122721,350580,1317146,132592,59547941,90587,14474,0.00,0.00,0.00
,1060490657,215621321,8169379,22897585,801579,1055352650,1978646,1457407,32768.00,0.00,0.00
,685897596,153496750,5308867,19165690,966532,855317164,2757180,1638608,1212416.00,0.00,0.00
,2341491011,435572988,20558603,56562116,1683950,2331098929,3705100,2575727,1212416.00,0.00,0.00
,2606885812,498064512,21549212,50181032,1761055,2320012893,3578567,2154714,1343488.00,0.00,0.00
,1237327851,236221362,8652301,27205072,1082023,1274789625,2354546,1372483,1376256.00,0.00,0.00
,48103701,10772268,549341,2383281,228691,101838917,279288,168865,1540096.00,0.00,0.00
,14082942,2267361,328087,1233843,80284,26775243,126224,87932,1540096.00,0.00,0.00
,5928829,1768772,248324,926442,15819,37721541,133898,103044,1540096.00,0.00,0.00
,30495856,6958632,479171,1897344,233595,84566461,195422,137318,1540096.00,0.00,0.00
,76003597,17744699,1046774,4075952,220818,190428861,413217,299362,1540096.00,0.00,0.00
,25278720,6482880,401256,1543326,226238,51657895,179067,95369,1540096.00,0.00,0.00
,15399058,3146368,292679,1345369,58334,96160980,306293,91873,1540096.00,0.00,0.00
,203831799,41160048,1306580,4702126,496497,324226024,554076,347213,1540096.00,0.00,0.00
,343915672,63054002,628239,2020546,344626,303927484,362284,353361,1540096.00,0.00,0.00
,7825365,1845403,227369,1103958,88343,23541683,132488,97534,1540096.00,0.00,0.00
,9132734,2108188,204852,1255882,23054,26804706,144548,108633,1540096.00,0.00,0.00
,11077730,2089311,201646,1111183,11706,47315944,211742,75428,1540096.00,0.00,0.00
,8346721,1810995,198011,953061,11374,19418307,135015,77806,1540096.00,0.00,0.00
,8336315,2057317,209617,1302446,13330,21939316,137133,100528,1540096.00,0.00,0.00
,33111560,8379653,432814,1001604,188754,117958328,183803,220135,1540096.00,0.00,0.00
,18742329,3240579,269163,1133720,18958,25772816,141099,168752,1540096.00,0.00,0.00
,7354845,1700506,199029,983566,17266,19439605,116366,134680,1540096.00,0.00,0.00
,271552412,50793686,1829438,8283821,1241330,429095716,776686,1540096.00,1540096.00,0.00,0.00
,6852023,1666791,250931,865994,31070,31668883,131729,394124,1671168.00,0.00,0.00
,96954710,22162043,619645,1972794,350403,204722757,272287,69460,1671168.00,0.00,0.00
,2032896714,388486383,17843931,51378671,1443766,2134013051,3689334,164150,1671168.00,0.00,0.00
,2414252041,447623688,20791960,52426375,1776359,2307914268,3409422,2707924,1671168.00,0.00,0.00
,1404488944,266516610,10626010,31378405,813239,1433403426,2526104,2289088,1671168.00,0.00,0.00
,2361651975,469879093,16578399,39797499,2805493,2348407862,2781091,1788831,1671168.00,0.00,0.00
,507452216,107554561,3364442,9208759,931522,877102707,1007502,1655249,1671168.00,0.00,0.00
,2270115846,419954017,18714654,49767408,1646364,2336100149,3362775,561248,1671168.00,0.00,0.00
,2289970518,430217876,19446840,50142768,1392812,2174852834,3303554,2307917,1671168.00,0.00,0.00
,1417453555,265937528,10313268,28696569,1086464,1432405567,2455058,2086924,1671168.00,0.00,0.00
,2409379000,500408019,15799986,39377847,2514500,2525935155,2670244,1602464,2260992.00,0.00,0.00
,488118836,106555285,4192437,10718742,936541,718399847,1118310,1631969,2293760.00,0.00,0.00
,2774439058,540406433,22732810,60327421,2437713,2922427834,5028304,685751,2359296.00,0.00,0.00
,2794893481,551663288,22784785,67770488,3831474,3086641233,5301033,3327888,2457600.00,0.00,0.00
,2202820178,412821733,18082166,39830149,1295374,2019916475,2986783,3257821,2457600.00,0.00,0.00
,2489122697,500494312,15530442,41285195,2428278,2637971142,3079513,1762644,2457600.00,0.00,0.00
,3790759773,767155173,19585593,62377308,5141390,3436239494,3421235,1562965,2457600.00,0.00,0.00
,2281008405,455350875,16225872,42550240,3013268,2212905278,3053763,1496435,2588672.00,0.00,0.00
,1373016908,270843292,12374892,32679476,2014534,1483673969,2738061,1738608,2654208.00,0.13,0.10
,3179616341,592382776,20352305,73172328,4489923,2674079655,4491910,1758304,2818048.00,0.43,0.23
,1557659703,286103875,9156827,30924202,4336589,1587758557,2905252,2035964,2818048.00,0.43,0.23
,2050123500,382449110,19218313,49204086,1475164,2305040618,3500834,1752248,2818048.00,0.43,0.23
,2595083842,490649091,22438472,52715302,1892733,2417667671,3612746,2532942,2818048.00,0.43,0.23
,2625083160,485239767,18380874,58213000,2339789,2331741147,3357623,2476897,2981888.00,0.43,0.23
,2980277799,595785627,17403829,46350328,2503573,2849507685,3081543,2338559,3145728.00,0.43,0.23
,3241311242,656524973,17449690,54099272,4122339,3209670192,3326399,1924105,3145728.00,0.43,0.23
,1572060203,314248481,12516464,37012014,2352847,1554368935,2878224,1791999,3145728.00,0.43,0.23
,3084183673,560518566,17546976,70159051,6327536,2598075811,4538197,1623130,3145728.00,0.43,0.23
,3661313367,674770243,22415514,68398658,6040981,2940534285,4127731,1626891,3145728.00,0.43,0.23
,1966741215,472140482,12930625,40300586,2699749,3132491275,3293169,1727833,3145728.00,0.43,0.23
,5513881925,1277913788,28308810,107909119,4482036,4642357081,5309143,2194098,3112960.00,0.43,0.23
,7028928755,1499156328,35415981,138108603,10048389,5155704911,5439139,2648291,1966080.00,0.43,0.23
,2617485993,601792396,13070620,45232065,1631286,2152588250,1868543,2564585,1966080.00,0.43,0.23
,1270160902,229992634,5670792,22140450,1528197,833114080,1167001,903235,1966080.00,0.43,0.23
,124492642,22950808,992735,4679660,340150,157602934,504887,416129,1835008.00,0.43,0.23
,1247621849,306272304,8198306,21529289,1823139,1945027887,2274611,270243,3178496.00,0.43,0.23
,5251850150,986293982,45106250,140729350,6178540,6695094976,11718713,1348220,3178496.00,0.43,0.23
,10736754299,2042279422,98168264,248885504,14646262,12427140898,17661794,9512192,3178496.00,0.43,0.23
,12470585244,2371545506,105781052,249200395,15484296,13508850301,16337048,12831340,6291456.00,0.43,0.23
,8981519933,1779765234,73298682,199972160,17434950,10504635802,14892096,10802671,6291456.00,0.43,0.23
,14578388560,2918884208,96778213,230960885,27618367,15471189594,15184192,9975547,6389760.00,0.43,0.23
,18355326308,3587697544,102199566,372826027,47753684,20342528839,19616227,8464914,9699328.00,0.43,0.23
,15174630373,3178879629,90469345,230288972,34000639,16733720455,15744617,10618968,9699328.00,0.43,0.23
,14391872001,2833503816,94366483,237891618,25131648,16432459791,15531919,7943468,11075584.00,117.70,60.72
,24369250856,4538136067,155780326,383273351,63438030,26925427135,18783246,10801642,14450688.00,262.31,120.72
,8441242843,1542107184,56580142,143866759,18676743,8223952653,9918640,9233274,12353536.00,278.95,127.89
,584490018,104080748,3536679,13319014,1858454,733852980,1405270,6295754,12386304.00,278.99,127.93
,1776320242,322251217,11227895,36026374,2464413,1936228270,3616240,891992,12386304.00,278.99,127.93
,8572163968,1608487534,81653017,208536211,10777749,10476473664,14667251,2641544,14548992.00,278.99,127.93
,13019386819,2458516656,114569648,248986444,14892682,13660846925,16617097,10172081,15007744.00,311.07,142.77
,9161721676,1841129190,75108058,204095170,16089340,10894475889,15087736,15007744.00,15892480.00,325.35,148.87
,14087489371,2795281970,105558553,233782085,25406739,14574997026,15532176,10050580,18808832.00,342.20,156.14
,19476827445,3723765162,110577538,352576050,47287920,20280431434,17540039,9360618,18251776.00,425.16,203.88
,15401262472,3199033194,91360410,236552190,30455464,15690815419,15265577,8219773,19791872.00,447.22,214.43
,11779384980,2336580485,87512704,215223440,20727911,13728570089,15423751,8123430,22544384.00,484.11,232.19
,25275761892,4694275675,155202214,360614815,66429861,27094627113,16745331,7507334,20643840.00,484.11,232.19
,6285133118,1166242944,45769800,130850258,15128556,6727347538,8617240,8848267,20840448.00,484.11,232.19
,1738625468,321905541,11558166,39432659,4302806,2264154165,4529373,7636225,20971520.00,495.35,238.88
,8301329923,1560384432,75602051,194929440,10444114,9690668376,14011338,5744521,20774912.00,495.35,238.88
,13498879444,2555759347,119427590,255649208,16463662,14806932750,17339769,3087759,21954560.00,495.35,238.88
,8933735124,1809019468,69128276,197628466,15963088,11368805306,15535168,9938538,22511616.00,495.35,238.88
,12038184192,2299986530,96949325,222077543,20406900,12050062764,15003271,10954695,22511616.00,495.35,238.88
,18023495929,3484781969,106937627,331446284,41080524,19214868395,17557379,10227947,25133056.00,495.35,238.88
,17313734552,3630895851,92906001,249609853,44863123,18703333884,15704125,8835693,26083328.00,495.35,238.88
,10109540534,1989254328,72057294,197362416,19586916,11504037483,14554749,8732122,26083328.00,495.35,238.88
,22144033338,4282307581,140934012,337979805,48643243,24296356052,15375459,6656537,28082176.00,495.35,238.88
,11155638858,2075964052,70780630,178581283,28257467,10674299633,11059502,9691327,30801920.00,495.35,238.88
,2484310294,439696731,14068371,40809507,4768228,2660369072,3798657,6940648,30801920.00,495.35,238.88
,6934149964,1275369757,60460231,156805085,8128717,7715058120,11425433,6542075,30998528.00,495.35,238.88
,11456111661,2163517326,101787318,220673496,13022252,11883162603,15160421,2284215,30998528.00,495.35,238.88
,7309991816,1450300444,59796727,160838151,11352063,8503296468,12092870,7809293,30998528.00,495.35,238.88
,12154166518,2351576463,89688988,199781217,19395725,11734073308,13113970,9242069,35880960.00,495.35,238.88
,18417080135,3594204475,101604207,334161724,42084143,18861555988,15110247,8028520,36306944.00,495.35,238.88
,13241133882,2736406898,79970413,206109615,28519083,13939596653,13606179,7051386,42401792.00,495.35,238.88
,10328761686,2026344060,74733765,182816190,18798741,10936176230,12026689,7036143,42401792.00,495.35,238.88
,13748300074,2547875699,86121878,206328754,27347757,12746281767,9923112,6545442,42401792.00,495.35,238.88
,727611631,125334807,5363457,18645800,2522925,955964261,1898414,6429452,42401792.00,495.35,238.88
,467286816,86070529,3723555,12390249,921442,599230187,1704515,5329086,42401792.00,495.35,238.88
,4069129257,750251095,36514040,100227751,3937308,4589530044,7313369,1197774,42401792.00,495.35,238.88
,7625374105,1438052309,65178394,150905415,7212501,7803857643,10558468,1204811,42401792.00,495.35,238.88
,4386689616,934550437,35730231,102682064,6950422,5571786688,7647348,5297568,42401792.00,495.35,238.88
,7270912011,1447417282,52934413,116014482,9736643,7076962576,7828586,6785224,42401792.00,495.35,238.88
,11543324830,2245421205,64427816,192453637,19886891,10322434517,9722538,5025240,42401792.00,495.35,238.88
,7569155565,1549842777,52969913,127097362,12097113,7565296302,8657180,4312686,42401792.00,495.35,238.88
,9831799792,1880926517,72185284,169154272,15503948,10072938886,9441291,4540237,42401792.00,495.35,238.88
,11339125221,2146673692,66618251,167755063,22367197,9927009586,8658068,4702216,42401792.00,495.35,238.88
,708548611,135150581,4550157,18498902,2161656,923849274,1834383,5065225,42401792.00,495.35,238.88
