,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,152052268,36165944,1412382,6908810,977149,368341318,653854,207892,0.00,0.00,0.00
,102891258,17591659,755192,2819296,275633,158040455,317229,201857,0.00,0.00,0.00
,1513948362,303536201,9153180,26863499,1669309,1380764044,2341462,1690577,0.00,0.00,0.00
,714290802,149256051,5339800,18093005,817412,787712607,2438453,1469745,0.00,0.00,0.00
,2341485439,443318331,21679173,60391769,1590612,2552408984,4131290,2961182,0.00,0.00,0.00
,2631956983,499675639,21423635,50190966,1871643,2411598016,3426358,2168575,131072.00,0.00,0.00
,1169302847,226165303,8178241,24626498,1160722,1199089834,2244909,1319452,131072.00,0.00,0.00
,12665956,2599372,277114,1264574,44759,54757626,216480,163687,131072.00,0.00,0.00
,5684247,1330463,204477,751567,34583,24668005,136109,100715,163840.00,0.00,0.00
,10812963,1795978,219568,1102725,33011,29156257,153630,170954,163840.00,0.00,0.00
,15857012,3605133,263481,1909655,90808,36958733,157649,120988,163840.00,0.00,0.00
,16489454,2775669,317294,1322557,31464,24751568,140375,141642,163840.00,0.00,0.00
,6668222,1485160,180964,963832,26456,19276709,118495,94247,163840.00,0.00,0.00
,22104417,4157210,339243,1435637,69225,65555313,163840.00,166695,163840.00,0.00,0.00
,13149553,2230587,160490,816215,46139,28692329,0.00,82057,229376.00,0.07,0.03
,26785801,7844606,648103,1931759,88559,73365309,0.00,115911,294912.00,0.07,0.03
,18061075,4446978,275300,1775252,67618,72389712,22104417,104601,294912.00,0.07,0.03
,7633378,1889462,237412,1535695,38370,49115676,4157210,80406,294912.00,0.07,0.03
,9112301,2129701,179922,966574,13410,57947706,339243,117081,294912.00,0.07,0.03
,15022251,2739249,298881,1182026,34612,28058225,1435637,108655,294912.00,0.07,0.03
,31422683,7487585,384346,1650722,113418,72312645,69225,92126,294912.00,0.07,0.03
,5926018,1407475,226067,1107833,20011,26803198,65555313,162445,294912.00,0.07,0.03
,6844355,1572625,272083,994340,28455,32442434,209496,133655,294912.00,0.07,0.03
,14026020,2467548,233684,1163504,18888,28024931,166695,94980,294912.00,0.07,0.03
,6174527,1360825,181688,871172,27631,22235941,113478,103115,294912.00,0.07,0.03
,9032236,2034617,252098,1433214,21814,51332757,266948,103926,294912.00,0.07,0.03
,18229774,4017391,381068,1520997,91777,40940637,176381,89189,294912.00,0.07,0.03
,2114279298,394800735,18142649,49163066,1123281,2236540074,203562,2435848,655360.00,1.18,1.05
,2365566055,456895197,20580236,53273046,1384466,2416852925,157214,2416852925,655360.00,1.18,1.05
,1905973931,354152952,14815255,36997254,1320276,1738787723,162275,2300534,688128.00,1.18,1.05
,2088118339,478520920,12147949,30546799,2683779,2471075932,152098,1622823,786432.00,1.18,1.05
,660762522,114508251,3901187,14506317,922890,767427980,148029,1301203,786432.00,1.18,1.05
,3459617919,670638355,29342390,78061716,2544274,3369732111,147501,1355883,10452992.00,1.18,1.05
,2645123793,513571713,22698182,57546079,2459012,2622259531,147072,3731431,10485760.00,1.44,1.25
,1381757179,264057911,10448559,28961424,931078,1468533343,123829,2915571,10485760.00,1.44,1.25
,3321955182,690481601,21299187,50472514,3254899,3526835112,195395,1472367,10715136.00,1.54,1.25
,2514312459,523643126,14159005,40762397,4343553,2740427325,164398,1674242,11698176.00,4.06,3.18
,920839737,177784528,5987336,20242710,1259120,846611005,3433714,1349986,11567104.00,4.06,3.18
,1006926504,183515712,8361067,22801736,1253372,1006872184,3648277,732095,11567104.00,4.06,3.18
,3753895928,714214572,23704472,74327071,4721024,3006553824,2801151,1273546,11567104.00,4.06,3.18
,1546271381,258619432,5855641,23433155,2102000,1000516596,2290871,1880558,11894784.00,4.06,3.18
,849150252,161678235,7163200,24675156,1591508,1196818706,2106561,245893,11894784.00,4.06,3.18
,1959132709,368528608,18384556,49395505,1613345,2048088885,5443352,1745332,11894784.00,4.06,3.18
,2729817306,504656827,22809027,53944016,1618825,2493663559,4694256,2628883,11894784.00,4.75,3.60
,2246410644,429874615,16347465,47771297,1786985,2051025460,2566588,2608272,13991936.00,27.72,16.35
,3135303095,577972397,18254220,62827928,2806386,2392906190,3252279,2045812,12222464.00,27.72,16.35
,2973879289,806561823,13288588,35939719,2582611,4945257807,2689041,1823686,12222464.00,27.72,16.35
,2723670479,509302381,16904098,53056334,3111840,2265316568,1287908,1563069,12222464.00,27.72,16.35
,2638062741,493032216,16766959,63240949,3852146,2314877507,1965029,1939035,12222464.00,27.79,16.35
,4253275543,780543285,25954932,76440036,8301229,3310528501,4050923,1889833,12222464.00,27.79,16.35
,1942772957,430814425,12920685,43011120,3169416,2697585049,1481203,1942418,12222464.00,27.79,16.35
,4264904740,971796657,25976925,88063121,5106805,4282053852,2529022,2376383,15040512.00,71.66,39.09
,7558013272,1646864825,32401887,140241214,7767326,5264198634,3420025,3084647,17268736.00,71.79,39.16
,3703153056,831654165,21614019,72642220,3467586,3086180677,3771536,1618548,17334272.00,73.50,39.81
,2429894145,463715905,10884193,35961195,3973726,1930632698,3049948,2041992,28966912.00,98.44,53.48
,25229666,5617066,491563,1736316,245936,62253630,3190114,1070446,23756800.00,98.44,53.48
,731249088,138453553,5951439,15836510,1142735,754552008,2652115,134757,23756800.00,98.44,53.48
,1392734539,256428114,11570415,36228252,1416677,1485651760,3353091,806441,23756800.00,98.44,53.48
,2613513432,489785955,23274560,57701446,2612916,2715197087,4230378,2191993,23756800.00,98.44,53.48
,3210059080,606543395,28311226,81653010,3126662,3513535251,5126261,3110376,23756800.00,98.44,53.48
,4274230775,839104242,35364514,87206223,5731308,4525034244,3605134,4291318,23756800.00,98.44,53.48
,6296763909,1218700690,45652776,130268206,9285284,6431061900,5469703,4351088,23756800.00,98.44,53.48
,8396772671,1664908557,58368052,152202187,13753799,8311338360,4231453,5682371,23756800.00,98.44,53.48
,8445420514,1762754139,55563639,169318618,13076761,10085387627,3651458,5578287,23756800.00,98.44,53.48
,11078173613,2231815415,71243496,182314375,18273986,11324613347,2383430,7130332,23756800.00,98.44,53.48
,11264186151,2256067563,69256422,201739681,17529816,12197666075,263077,7125331,23756800.00,98.44,53.48
,12881079694,2499258266,75984397,220957733,23454456,13850721308,1540835,9674106,23756800.00,98.44,53.48
,13082826957,2509104148,78733088,244336937,21341524,13788410990,2801152,10755485,23756800.00,98.44,53.48
,16401603684,3337098905,89614975,249613561,31383957,18451343576,4164867,12305471,23756800.00,98.44,53.48
