,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,10464959,2324846,258617,1278878,70202,40607204,-1,-1,131072.00,0.00,0.00
,15188715,4149990,308574,1427916,140598,56606012,159950,28948,131072.00,0.00,0.00
,1015552612,206559686,8166319,21697901,864479,1065842444,1966453,1384604,131072.00,0.00,0.00
,713467868,150480815,5031764,20095407,1137706,898670083,2751637,1642913,131072.00,0.00,0.00
,996583405,184015683,8990863,27906345,892288,1168988811,2092399,1731212,1146880.00,1.57,0.49
,2595521016,492864082,22578568,60232154,1759577,2548569596,3872608,2661180,1146880.00,1.57,0.49
,2077261668,390608131,15612354,41376850,1535932,1866212385,3130201,2078515,1146880.00,1.57,0.49
,885833382,167822142,6766985,18959754,1080541,921812517,1702874,1073295,1146880.00,1.57,0.49
,556691427,112749095,3005706,17216677,3343299,898762329,1896996,592424,1146880.00,1.64,0.56
,492414416,99859836,2303233,20362147,3836528,931013876,2280756,629203,1146880.00,1.64,0.56
,607121436,114041609,2378642,22149760,3900192,1039454442,2879676,693816,1146880.00,1.74,0.66
,40630537,10201908,286952,2494547,341826,77499677,215761,134271,1179648.00,1.74,0.66
,14685642,3222907,240259,1093414,27535,24405645,126290,87181,1179648.00,1.74,0.66
,11668373,2897447,332667,1514172,167376,60681088,161443,227338,1179648.00,1.74,0.66
,25880658,5834168,333842,1449520,45767,107216272,321776,145350,1179648.00,1.74,0.66
,9032466,1996638,190479,1223420,23442,29948817,124888,57285,1179648.00,1.74,0.66
,7939540,1671494,322780,1034824,12387,28671656,136945,131335,1179648.00,1.74,0.66
,57120226,12034451,248413,1343595,188419,66590872,112382,106483,1179648.00,1.74,0.66
,51882393,8279504,256631,1728920,48682,57392671,161478,75746,1179648.00,1.74,0.66
,14203177,5316902,201427,1165824,122625,58822349,189664,195349,1179648.00,1.74,0.66
,43447988,5619312,328015,1095037,62345,44746839,143950,111174,1179648.00,1.74,0.66
,247399515,47603933,2410737,13472297,1013618,445539922,1440645,952261,1179648.00,1.74,0.66
,928294261,179674545,3775869,17052638,2872290,1204257683,1854282,1237981,1277952.00,1.74,0.66
,2952891623,556320002,24438361,76165199,5139367,3348905932,5423427,3284205,1605632.00,1.74,0.66
,2706677628,529916095,20823812,63976329,5370642,2872112057,4955861,2544770,2097152.00,2.23,0.92
,2098484203,404368887,15024025,50261769,5104892,2430724740,4161968,2214246,9011200.00,13.34,6.03
,2332980426,470965562,15018073,49442433,7290396,2661481017,3889157,1745796,8355840.00,13.34,6.03
