,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,399806984,90587252,2593536,13418213,1809573,728299858,1137530,412854,0.00,0.00,0.00
,38365710,7569971,291518,1527035,173947,78139675,264165,104970,0.00,0.00,0.00
,1229388020,250166063,8526187,21551695,1320461,1186216887,1811920,1220272,163840.00,0.00,0.00
,2177534434,425961222,8188260,24835787,4391197,1929974440,2565226,1735805,163840.00,0.03,0.03
,3141485855,592454025,17414469,49849751,6019901,3091893493,3664212,2735754,163840.00,0.07,0.07
,3044868047,576941164,23253143,56585314,3118907,2988398766,2988398766,2554570,196608.00,0.10,0.07
,2180493727,408002460,15884047,44173666,1818656,1968347979,4011141,2013897,294912.00,0.10,0.07
,251817871,51647898,1814888,7333580,925496,347234880,3279180,453440,425984.00,0.10,0.07
,12446061,4880698,375309,1325948,80338,81662447,811104,172745,425984.00,0.10,0.07
,9138800,2152054,176022,1220864,9319,24578994,243123,67921,425984.00,0.10,0.07
,8037403,1833752,205442,1147897,5336,25735606,125677,144810,425984.00,0.10,0.07
,41313051,8415603,384364,1266270,136708,79162655,137962,82744,425984.00,0.10,0.07
,31093722,4810513,292902,1119651,85251,44416995,171303,134163,425984.00,0.10,0.07
,36691883,8644904,497393,1559225,140832,73567741,140783,158741,425984.00,0.10,0.07
,20309940,4305760,350961,1601639,68431,77414979,177460,182335,425984.00,0.10,0.07
,123960945,28094507,1200059,5092397,152870,221991442,241686,249750,425984.00,0.10,0.07
,199633005,34242139,1119598,3605818,421034,265466571,308326,339493,786432.00,0.10,0.07
,372720615,67976790,810362,2560416,384647,401299150,440926,445090,786432.00,0.10,0.07
,13705721,2354781,239140,1044045,56675,33165128,396926,95591,786432.00,0.10,0.07
,9238581,2094049,192543,860829,11072,50506298,132290,76474,786432.00,0.10,0.07
,20249183,4344613,253895,1283521,102194,32679154,184348,82333,786432.00,0.10,0.07
