,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,862295794,182000264,7449830,19724659,763230,964017347,1681481,1045917,0.00,0.00,0.00
,526000042,110964279,3281445,16443802,731105,570832608,1901128,1021655,0.00,0.00,0.00
,7245120,1650130,217395,1103419,55207,25021811,140415,56236,262144.00,0.00,0.00
,613924226,116004217,3843777,14596032,973124,727506582,1542381,1092540,262144.00,0.00,0.00
,2718467585,505914305,21478794,74259924,6512239,3170858737,5547751,3479591,491520.00,0.00,0.00
,2817571687,534079157,22929171,61258855,6575585,3138974725,4835739,2612764,491520.00,0.00,0.00
,1994912390,389287346,13213857,47742631,5554355,2271962600,4151759,1925969,3571712.00,0.00,0.00
,684253686,137774909,3540290,23496247,4073100,1119792803,2539742,922591,3571712.00,0.00,0.00
,485871107,96580986,2275285,18740138,3656923,874486871,2168546,658173,17235968.00,0.00,0.00
,455037507,94511855,2478936,18215173,3618542,795076474,1918990,585829,17235968.00,0.00,0.00
,434703704,85538354,2227868,16647265,3358852,730730769,1788794,524988,17235968.00,0.00,0.00
,417507141,83179273,2242129,16643678,3255411,716321147,1602039,531681,17235968.00,0.00,0.00
,429342132,87764973,2289051,17986235,3703573,805700477,1862394,503501,17334272.00,0.00,0.00
,373411925,74965952,1766048,14037557,2324973,610060462,1299755,489647,19005440.00,0.00,0.00
,9658337,3303651,204830,917062,60021,29401016,135796,132207,19005440.00,0.00,0.00
,29138960,5349252,276720,1383229,132709,49959970,135767,97853,19005440.00,0.00,0.00
,23879377,3746727,167920,1099620,25448,45902724,157512,53536,19005440.00,0.00,0.00
,32496929,7972933,248002,1505067,108123,47607773,187948,138723,19005440.00,0.00,0.00
,26040204,3293398,188325,711621,62932,30897538,99744,106322,19005440.00,0.00,0.00
,28879697,6129971,284768,1986212,47326,69788119,188794,121127,19005440.00,0.00,0.00
,37095033,8060286,322571,978862,230842,73120784,140800,191721,19005440.00,0.00,0.00
,698365714,138520917,6443651,29953184,1979858,1152528393,3805634,2778516,19103744.00,0.00,0.00
,2433542211,460890014,19633262,64690144,4602241,2798617199,4412086,2947049,21692416.00,3.77,3.38
,2413584425,455978902,20718959,54158036,2053656,2336158078,3594232,2535686,19103744.00,3.77,3.38
,1349491841,258828437,10473492,30691894,782533,1479811384,2608828,1821095,19103744.00,3.77,3.38
,2441762348,553233959,15278108,37856504,2230302,2936903503,2518362,1497813,18841600.00,3.77,3.38
,399876355,77407782,3037813,8327710,871398,481648600,1045034,608950,18644992.00,3.77,3.38
,2669136640,505816817,23295932,63294836,1430480,2751952370,4120159,2870641,18644992.00,3.77,3.38
,2246983078,420410652,18083851,46091936,1413219,2052400903,2977527,1959524,15597568.00,3.77,3.38
,2364070609,509892614,15445973,38503833,1851648,2888478271,2959632,1779741,15597568.00,3.77,3.38
,1264229652,245590863,10047479,23106987,1448504,1180077996,1639134,991192,1933312.00,3.77,3.38
,920554474,167295826,5765126,18975915,1288457,1007555787,2672522,1641649,2326528.00,3.77,3.38
,3859191899,757186124,32988004,90130661,3158794,3937471808,6094370,3966999,2523136.00,3.77,3.38
,2430156513,469291064,20508787,50635442,1982624,2369058441,3986998,2575469,2523136.00,3.77,3.38
,1898861554,395785677,12583825,35613015,2133955,2196439847,2719554,1517433,8814592.00,24.64,17.60
,2844738231,530016448,18184080,48200793,2795918,2276504479,2789145,1442428,8552448.00,24.64,17.60
,2751456275,609901849,13508748,45553374,4205884,3546444006,13508748,1491066,8486912.00,24.77,17.73
,1441821594,280424081,11554680,32948616,2316572,1534374959,2956155,1598545,7110656.00,25.59,18.22
,3174704295,607856314,22647840,59584136,3536454,2734779208,2441451,1839691,7077888.00,25.59,18.22
,2948485845,510666509,12658812,57244986,4383755,2008520270,3635237,889417,7110656.00,25.59,18.22
,167769380,40194090,836622,2549783,541921,167545734,2851339,120547,7208960.00,25.59,18.22
,686372784,130204822,5045759,17773281,1525122,896740975,311481,1492020,7208960.00,25.59,18.22
,2010537837,380949539,19129380,52738231,1291840,2259924216,2155289,2794008,7208960.00,25.59,18.22
,1676139807,322177120,13967172,36574119,1634157,1817961001,3636734,1713525,7372800.00,25.59,18.22
,2143010329,408529633,18461572,43198897,1455544,2045010273,2639656,2160994,7405568.00,25.62,18.25
,3142900755,587962172,18146663,60429176,2024928,2532658859,3095444,2013261,7405568.00,25.62,18.25
,2194555468,462725222,14274042,35032052,3704345,2672783313,3459611,1851289,7405568.00,25.62,18.25
,3340451575,631396877,20602109,61965808,3136048,2676058501,2991977,1860845,7536640.00,25.62,18.25
,1940965687,375015831,12522770,49354566,2708580,1867017416,3547855,1767932,7569408.00,25.62,18.25
,3693064105,666580074,21625742,77352984,7030542,3088616441,3126155,2121262,7864320.00,25.62,18.25
,2966345572,550219373,21212694,55713032,5571001,2795377964,5381417,2640708,7897088.00,25.62,18.25
,3533904269,807595873,21637123,67570924,5966670,4180565848,4650572,2587870,8355840.00,25.62,18.25
,8669026737,1916859130,38617874,169952401,11223174,6538223618,4795473,2416177,8323072.00,25.62,18.25
,4367163829,961158507,23320721,89173741,3876910,3633030598,5884183,2020947,11337728.00,25.62,18.25
,1676003062,330166254,6897764,27170534,1607585,1219605589,3854469,515031,11501568.00,25.62,18.25
,361540226,72406528,3419307,8301603,800764,388100566,1470837,370996,11599872.00,25.79,18.32
,148743141,32396240,1686568,5565830,468962,234941412,638128,409487,11567104.00,25.79,18.32
,4447687050,844862684,36099153,116736156,4343884,5785989822,712703,7899440,11698176.00,30.38,20.28
,9358964400,1773763868,86303387,226005388,12955666,11227116096,10127448,12664926,12648448.00,42.34,26.12
,12222345459,2305706911,103651589,237426332,15508449,13168941099,16347849,11135084,14319616.00,49.77,29.16
,8590878760,1853897604,65083337,189962505,15074390,11842276542,15777585,9954129,12320768.00,49.77,29.16
,12700304379,2443899022,99863365,230314792,22737342,12684931006,13388225,9799837,12320768.00,46.01,25.79
,16423275574,3221998735,97075220,296657816,35050816,17821803614,15472306,9937941,12320768.00,47.19,26.61
,17656470116,3804461387,87632533,255283480,42958477,20671667805,17195953,7368331,12320768.00,47.19,26.61
,10963607684,2238423853,76584802,195949699,18981131,12604320958,15386305,9786450,12484608.00,49.15,27.36
,16504242981,3284482473,110073936,240564893,29030637,17967882676,14189975,8301246,14680064.00,121.18,75.10
,22124647126,4549252053,94342919,239195583,49875234,22419900363,13517267,4317228,16056320.00,239.67,150.11
,14201489874,3141036142,19510537,87022184,30843371,12448174522,10105112,3626029,15532032.00,239.67,150.11
,13262506242,2963891056,13442451,62432717,26992903,11708501075,5806977,2604808,20905984.00,404.62,254.21
,12811790852,2810631254,16877776,63812815,25756438,11627876717,3888218,2224209,20152320.00,412.16,258.38
,15221973672,3032955866,40057089,146883337,42780317,16949308268,3552279,2145244,21299200.00,412.16,258.38
,13799727291,2500465894,30019860,142428146,52214689,15427793660,5498781,1614746,24870912.00,426.51,264.93
,10415351622,1794339266,18350412,76533097,38742728,10184151613,10228717,646149,20709376.00,426.57,264.99
,10654123489,1772464939,18165125,60801970,29702785,8306094748,11565787,790179,20840448.00,426.70,265.13
,11594333650,1879108972,21399439,52926878,21936316,7922501307,11822632,513297,14778368.00,406.29,251.00
,11144818379,1819562880,22315982,49841939,19494744,7837680656,14894825,552664,16515072.00,415.89,256.11
,16781239206,2880732174,64148628,151549053,28769474,12332088650,15884565,2555269,18874368.00,415.89,256.11
,13581317486,2273985512,29597242,99964093,28880102,9779513768,17457414,1810526,18612224.00,415.11,255.66
,12383630909,2383263998,21764182,74692547,26838821,9355643835,19083198,1778332,21463040.00,416.78,256.44
,13159713065,2635870383,15371972,65675514,28870621,8580034522,11543887,2220458,21495808.00,417.46,256.87
,12143727198,2608789566,11891033,62630582,25423737,9738530179,4578935,2106983,21659648.00,420.25,258.31
,13968201314,2702538228,21210755,115964346,33686980,12171383109,3184742,1822884,21463040.00,420.61,258.47
,11929504078,2255711838,18173777,122323877,48658853,13919711959,3883559,1306680,21692416.00,429.13,261.06
,9769667439,1640053452,15836145,92540757,55240566,11471274290,7914178,553400,21364736.00,429.13,261.06
,9597471073,1579385441,16872681,77402389,50564050,10203447918,9590627,452494,21397504.00,429.13,261.06
,10376556480,1702056381,17527893,56711358,27858997,8100042214,10072673,349357,21102592.00,429.26,261.13
,11024413025,1810721877,20990507,54545003,20879219,7331912007,13119779,666198,21069824.00,431.65,262.47
,11429693092,1847309870,17929367,58247574,23085941,7878309888,13897844,825177,20938752.00,438.37,265.75
,11718224287,1967539092,25883586,94541172,27878601,9114431416,17253722,2802861,21757952.00,439.71,266.44
