,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,9412774,2159947,264614,1346517,55131,39908166,164621,-1,0.00,0.00,0.00
,25378034,4905028,432397,1352439,120822,62638255,123826,54216,0.00,0.00,0.00
,1068969995,226783580,7947902,22765855,877260,1187512282,1913291,1314187,131072.00,0.00,0.00
,689454938,152982306,5653639,17013550,1276237,845319169,2714082,1513620,557056.00,0.00,0.00
,2222924255,418116658,20708421,56906790,1464441,2427942132,3829640,2845786,3506176.00,0.00,0.00
,2668687903,491069456,20826928,51649684,1814515,2320580384,3388538,2194224,3506176.00,0.00,0.00
,1243541613,237985885,8507342,26779952,1277733,1595736944,2424149,1595551,3506176.00,0.00,0.00
,54602557,11631562,546946,1951402,152481,69972613,241583,122228,3571712.00,0.00,0.00
,8855868,2323771,273146,1762248,50105,49590522,182199,137126,3571712.00,0.00,0.00
,7151817,1767046,242094,888985,13897,39097966,164439,66929,3571712.00,0.00,0.00
,10248057,2068608,243937,1105537,8259,26794189,152902,156154,3571712.00,0.00,0.00
,5921214,1928072,206276,857556,39846,23377402,134259,110904,3571712.00,0.00,0.00
,7899890,1850108,236416,1499043,8878,40665703,1850108,144750,3571712.00,0.00,0.00
,16248052,2219518,164480,857768,5875,26262853,202777,71889,3571712.00,0.00,0.00
,26453699,5934666,537762,1738139,80735,52019580,120509,189893,3571712.00,0.00,0.00
,16020742,2908980,225817,1815062,53602,49253499,176035,88589,3571712.00,0.00,0.00
,6457463,1641723,266138,1235532,21778,26234866,187798,110453,3571712.00,0.00,0.00
,21618399,2673757,235769,871231,79391,36799569,150570,102521,3571712.00,0.00,0.00
,12995712,2531178,243520,987633,12379,39521711,119826,99785,3571712.00,0.00,0.00
,7039993,1635126,190110,789986,9832,18590685,140724,75409,3571712.00,0.00,0.00
,12571260,2598856,317639,1034366,4686,24309710,104341,168884,3571712.00,0.00,0.00
,6762321,1429762,189281,733716,7781,30365476,131865,91088,3571712.00,0.00,0.00
,77400031,17084631,1105542,4212042,164206,190755428,139506,288693,3571712.00,0.00,0.00
,7076629,1607488,202630,1620319,22178,24305027,448862,86525,3571712.00,0.00,0.00
,9349747,2104278,268743,1806341,31504,55295087,119426,86029,3571712.00,0.00,0.00
,4626555,1464599,177716,884614,11680,17649270,232262,103637,3571712.00,0.00,0.00
,10721751,2005970,239791,1196888,7701,43534381,111530,139988,3604480.00,0.00,0.00
,1444399502,274589407,13020526,37372124,1054484,1668863654,170398,2062233,3637248.00,0.00,0.00
,2790867860,522904276,24011281,59263484,1743197,2717396587,2793569,2545735,3637248.00,0.00,0.00
,1253980797,241166916,10278861,30003076,910836,1349276029,3867478,1525151,4030464.00,2.98,2.26
,2527724860,530809336,15944829,39645751,2160839,2486706102,2342063,1680689,4030464.00,2.98,2.26
,461362690,89916571,3702186,9929570,759442,564715411,2807288,623169,4030464.00,2.98,2.26
,2724061475,541342883,22949496,61630328,2523250,2848301847,1098559,3616246,5242880.00,2.98,2.26
,3032091973,594997810,24265479,66017898,3656530,3136492356,5178098,3484174,5242880.00,2.98,2.26
,2115638087,398435065,15988259,38237982,1384001,1873726422,5622270,1721792,5242880.00,2.98,2.26
,2716685760,557504034,16390770,53043256,2886607,2810643998,3031860,1694096,5242880.00,2.98,2.26
,3509120328,655339552,18427690,52833428,4185276,2733525845,2875323,1373249,5242880.00,2.98,2.26
,2244902339,613915340,12423446,29121309,2502625,3690361609,2892488,1331770,5242880.00,2.98,2.26
,1322437624,264393289,10324547,31897546,2691174,1401971926,2493293,1731749,5603328.00,2.98,2.26
,3383858938,657876315,25082682,58061646,3524283,3042735666,2730627,2040696,5668864.00,3.60,2.72
,1953813477,362154644,9790517,40466470,3776272,1484155837,3954311,906546,5898240.00,3.87,2.92
,798166834,157231193,7489212,26112510,1477030,1165975610,3016327,2119286,6062080.00,3.87,2.92
,2324178148,445531678,19853986,55724514,1833352,2535232850,2604671,3024693,8159232.00,6.68,4.65
,3124011136,623926936,23336249,59158780,2743000,3412827737,4019948,3352148,7536640.00,6.68,4.65
,2432115503,459306710,18256379,48506351,1801621,2249038611,4185403,2543903,8093696.00,6.68,4.65
,3462120073,622392347,20671775,62543922,3164852,2917384075,3348646,2870264,8093696.00,6.68,4.65
,2650035205,578634550,14822061,50284302,4996163,2905384599,4084332,1694493,8126464.00,6.68,4.65
,2339375772,442409312,16591482,49039800,3508173,2169949360,2663613,2129418,8585216.00,6.68,4.65
,3091101377,579917614,18295548,68296286,6030207,2593885818,3452732,2042421,8585216.00,6.82,4.72
,3491838786,636620788,22114928,63025659,5626370,2673945180,4568625,1869858,8585216.00,6.85,4.75
,1463818562,297534179,12039434,40838489,1793394,2003883541,3940310,2619338,8585216.00,7.14,4.85
,5146802391,1306973016,25431475,85847710,5610188,5825903967,3616655,2508560,10027008.00,14.12,10.62
,7703082797,1654747663,36994988,171524185,10571567,5872273515,4539582,2879930,10223616.00,30.51,21.46
,2519781572,588481724,11791747,60730306,1478916,1884603963,5954155,726113,12091392.00,30.51,21.46
,1923624303,359176068,8772761,37201389,2874551,1421610028,1476260,803952,12091392.00,30.51,21.46
,5150552,1458468,235500,926372,47942,29753290,2015836,92836,12091392.00,30.51,21.46
,800306558,150093821,6654135,18736171,1519934,784724150,131924,924461,12091392.00,30.51,21.46
,1221168473,231820574,9859317,32885574,1698448,1449542406,1610196,1997210,12189696.00,30.51,21.46
,2569350322,483952383,23693423,63372182,2759722,2846180319,2591512,3429555,12222464.00,30.51,21.46
,3576110044,674857589,31876348,85851053,3061820,3767226269,4690386,4347072,14876672.00,30.51,21.46
,4414143394,878957628,36242967,92315391,6093084,4661464249,5621712,4900881,14876672.00,30.51,21.46
,6629817092,1318658732,48678592,139541043,8693266,7169036964,7086614,5755111,14876672.00,30.51,21.46
,8603936450,1824973494,58265281,148188714,14087183,9581092910,8482145,5636189,14876672.00,30.57,21.53
,9172177282,1789764138,60947611,179241657,14876938,9459410985,9214872,7106701,14876672.00,30.57,21.53
,7226020567,1482892302,56567932,141167175,13129012,8121803779,10974396,6850251,15106048.00,34.11,22.71
,8760894015,1659382957,64071821,184599501,15468652,8526389288,10964916,6978203,17399808.00,42.07,27.49
,7920377508,1555806210,59339537,142830255,13125857,7851032566,11503219,5811670,17661952.00,42.07,27.49
,9841212067,1950877577,67792269,190059197,17809079,10723360572,10380428,6990550,15171584.00,42.07,27.49
,10966246943,2106323761,87627257,203497422,17977536,11379538727,12208316,8451157,18350080.00,42.07,27.49
,9256356154,1816217491,67433483,205600906,18849549,10513866510,14249967,8270792,19857408.00,42.07,27.49
,11075972798,2226237487,80489186,187346936,18069364,11299270596,13518099,7091077,23986176.00,42.07,27.49
,12545163292,2493586187,77310660,243295229,25722366,13307010084,13196138,7741442,25624576.00,42.07,27.49
,10421879908,2086599444,74852427,184381303,17514969,10786927606,14298329,7303751,26542080.00,42.07,27.49
,10318658098,2041370414,78994820,208629726,19051531,11727307986,12711454,9368438,27000832.00,42.07,27.49
,11496189837,2230718384,84766042,208749633,20792972,11502290765,15130271,7968168,27492352.00,42.07,27.49
,10817734722,2194187781,71450341,210415858,18663721,12075841323,13971974,7517195,29753344.00,42.07,27.49
,10452590587,2094738905,77137970,193080650,17598441,11230930751,12955572,8225689,29392896.00,42.07,27.49
,10641752987,2046902384,68763353,207374993,19706529,10730968021,13915834,7337968,32014336.00,42.07,27.49
,11813352249,2373007795,81923492,201656159,23121126,11981757639,12870448,6974498,32014336.00,42.07,27.49
,10167946588,2041408934,67379586,193558002,18377820,10952582406,13065048,6858313,38699008.00,42.07,27.49
,8705915132,1735121773,66835001,163306981,13650372,9029617738,12253902,6320856,39387136.00,46.43,30.21
,8214027840,1577982809,59473490,174161229,15242152,8396148314,11437761,6594305,38633472.00,46.86,30.34
,8550176972,1711322081,61854543,147865901,14783808,9058864378,11140624,6063120,39944192.00,79.63,55.38
,8779775757,1727763775,59315577,177732134,17122505,9279537312,10658675,6538319,37289984.00,83.69,56.30
,8530823247,1755695821,62573368,144738187,12438521,9007636746,10969807,5789340,39092224.00,83.69,56.30
,9265843687,1828728364,64491862,185196935,15760184,10293640364,10268368,7783887,39944192.00,83.69,56.30
,10381759964,2002665100,81068730,184566468,15689285,10301630268,12600916,7154113,39714816.00,88.64,57.77
,10748474001,2132072530,76663054,212294497,18876886,11838164999,12476180,8863313,40697856.00,98.70,61.24
,12784858857,2516134122,101611060,229205546,20022680,13287561589,14396520,9301683,41844736.00,104.37,64.13
,11781013697,2273717747,76180294,237345525,24188112,12180498975,15618507,8163640,42303488.00,104.37,64.13
,11068648544,2235862950,69506331,169249926,18864520,10791100075,14349868,6305410,42729472.00,104.37,64.13
,12707789267,2445072709,86260996,244880717,25206330,13031595206,11694697,8350392,42729472.00,104.37,64.13
,11243359685,2203457729,81569022,195931210,20628225,12034210463,14704763,7500917,42729472.00,104.37,64.13
,7818413094,1601683859,59538667,163147434,14743924,9756513077,13476945,7714790,42303488.00,104.37,64.13
,7162131016,1376674248,58694276,148424064,10826202,7525018331,12380542,6420383,39288832.00,104.37,64.13
,10757810477,1994208770,69149577,200799583,20436564,10994112168,10568707,6920930,41320448.00,104.37,64.13
,9974478479,2036676940,71025463,173704808,16878368,10392559648,11954664,6454812,41320448.00,104.37,64.13
,8307699264,1619074913,59764541,167496924,15012042,8616945154,11578974,6683953,41320448.00,104.37,64.13
,6586597001,1459990007,39553388,113656804,12130308,8040686383,11318593,4145478,41648128.00,104.37,64.13
,6051544092,1166686951,39731491,115284495,9373095,5891216135,7739647,3772607,43122688.00,104.37,64.13
,3458182816,722009419,24682098,67820523,7164261,3903043768,6845979,2956369,43122688.00,104.37,64.13
,2181193089,418377119,16527716,46555075,3708805,2244942053,5232422,2219914,43122688.00,104.37,64.13
,1043006605,209834179,9311132,35002779,2651720,1681042647,3498748,2373341,43220992.00,104.37,64.13
,447961863,94125510,5726425,23265767,2061293,846907656,3434215,1841967,43352064.00,104.37,64.13
,15117789,2551810,373741,1148424,42715,55098289,2579875,178244,43352064.00,104.37,64.13
,98935476,17429070,1115793,5931979,440842,208015228,252203,568793,43352064.00,104.37,64.13
,20117969,2937637,274624,1336399,33279,37736074,681931,116604,41517056.00,100.83,62.95
,744858391,221149373,3172742,8830924,885985,1471255480,182398,509111,40173568.00,92.86,58.16
,541623322,99250637,4096170,14541523,1459933,677249520,1085267,884933,39714816.00,92.86,58.16
,1530070,,,,
