,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,7178314,1662991,193644,988483,26385,28158551,121790,-1,0.00,0.00,0.00
,18360801,3680641,322881,1477321,74896,54368287,178385,27101,0.00,0.00,0.00
,1010195849,224939526,7858416,23537716,899500,1083693515,2082823,1531543,98304.00,0.00,0.00
,749566959,161116776,5609478,18867309,1108685,872429643,2816877,1709136,1245184.00,0.00,0.00
,2283090714,427270192,20086416,56142323,1463826,2300142716,3718428,2696089,1245184.00,0.00,0.00
,2608954940,493219230,22082577,53754872,1611225,2437749377,3576647,2197204,1245184.00,0.00,0.00
,1249151687,235481948,8619579,27140798,1222166,1271411263,2463996,1452350,1310720.00,0.00,0.00
,10971586,2950001,329775,1475150,154404,57297703,217088,192783,1376256.00,0.07,0.03
,7311757,1836510,261634,1305263,149067,40215982,151681,147595,1474560.00,0.07,0.03
,9029181,2062405,256703,918386,15412,31502126,134480,81170,1474560.00,0.07,0.03
,7548883,1859527,210169,1219823,27850,49155818,176050,57368,1474560.00,0.07,0.03
,9933848,2143266,301762,1351458,15056,51017704,200699,235137,1474560.00,0.07,0.03
,20789410,1598766,182063,846069,6516,23771036,115624,67894,1474560.00,0.07,0.03
,9362443,2024525,243093,1500458,11798,32461721,152935,120204,1474560.00,0.07,0.03
,18837615,3705805,238080,1176075,32868,62287043,230729,99527,1474560.00,0.07,0.03
,7416859,1641246,250094,889358,15017,29389787,145319,135272,1474560.00,0.07,0.03
,9915576,1751700,172674,1146197,12445,23748903,119873,103258,1474560.00,0.07,0.03
,7323114,1853894,286355,1690719,24538,31032700,145278,116517,1474560.00,0.07,0.03
,6202283,1486774,191441,1045179,23756,27852720,130910,83867,1474560.00,0.07,0.03
,12712989,2978635,248439,1269954,27621,36148805,176252,133564,1474560.00,0.07,0.03
,6735258,1586542,183814,1054110,14506,24175599,123200,91941,1474560.00,0.07,0.03
,12176822,2318488,234785,1371714,10477,24380710,138277,104821,1474560.00,0.07,0.03
,13223335,1862703,147347,1034891,26130,20346299,110541,139696,1474560.00,0.07,0.03
,14441555,3231038,220383,1208448,27750,39312817,200410,99441,1474560.00,0.07,0.03
,6199211,1447492,212961,930993,2835,16153172,110496,76772,1474560.00,0.07,0.03
,7350169,1777528,360402,1131121,5592,28026972,158764,170646,1474560.00,0.07,0.03
,6900244,1520359,217454,1089491,37038,26697116,113636,83139,1474560.00,0.07,0.03
,2156109178,397425708,17935465,49416194,1576258,2165215929,3375532,2330239,3080192.00,0.07,0.03
,2259768211,430483999,19632294,48866569,1283433,2138554684,3368698,2221235,3080192.00,0.07,0.03
,1310263487,251721415,10445862,29490608,903097,1358981951,2485329,1546386,24444928.00,0.07,0.03
,2645804654,519706975,18538710,43032658,2748918,2397078036,2854287,1580396,24444928.00,0.07,0.03
,399191519,75345198,3177838,9515542,576056,470631562,805106,561267,24444928.00,0.07,0.03
,2625112354,508984560,23847687,63456828,1429999,2648144445,4260552,2792782,24543232.00,0.07,0.03
,1995798972,374176696,16648658,38607496,1195815,1858107449,2770526,1650537,24576000.00,0.10,0.03
,2546531103,565504133,14870181,42966706,2572562,3325406730,3091479,1969581,28114944.00,4.16,3.34
,1380516939,263485283,10308226,25176048,1434038,1176188932,1795915,1051035,41648128.00,4.16,3.34
,718564254,131522746,4394479,14102508,1228268,980009499,2245942,1484713,41648128.00,4.16,3.34
,3743703907,724628742,31609136,87807200,3435132,3796261187,3743703907,4012782,41648128.00,4.16,3.34
,2509350129,474990747,21642704,51096808,2398824,2499646368,6137434,2567032,42696704.00,4.16,3.34
,2288583828,519278708,14524402,37357851,1616889,2809485455,4344220,1553761,42696704.00,4.16,3.34
,3654588266,672600199,20580372,61724055,4407802,2722100849,2998025,1657057,43483136.00,4.16,3.34
,2435117471,564963206,14560579,39444500,3179143,2986418106,3142848,1386964,43483136.00,4.16,3.34
,1372013856,265180540,10714768,31970130,2253491,1367213485,2492952,1528426,43483136.00,4.16,3.34
,3035589710,579122592,22770657,55504785,3584654,2605813262,2491726,2185782,43548672.00,4.33,3.47
,2127244663,379018669,9595507,46095386,4093666,1526280993,3927373,733536,43515904.00,4.33,3.47
,186924590,43878573,989912,4406436,466529,184363237,2784295,188145,43876352.00,4.69,3.67
,1356781043,254666907,11020640,35066370,2329504,1575330615,332864,2009184,44007424.00,4.82,3.70
,2036193828,385524486,18869563,50634444,1661548,2267702171,3043670,2641799,49414144.00,11.01,6.62
,2578932296,507499377,23644736,55519223,2052975,2672172871,3474014,2877861,51478528.00,11.01,6.62
,2449763436,452048631,16871096,48234703,1649566,2117398813,4034909,2141063,51511296.00,11.04,6.65
,2682042388,505071273,16209217,47478242,2589220,2171077140,3036259,2127845,51642368.00,11.21,6.65
,2751080931,669807365,13748632,39583494,3337616,3791944537,3113360,1844117,52658176.00,11.21,6.65
,2572241875,469495702,17150558,55950453,2919737,2181586678,3090581,2124590,53182464.00,11.21,6.65
,2692832435,500048052,16577974,57295657,4003456,2331537290,3541480,1691867,53182464.00,11.21,6.65
,4327594296,788814857,26706699,73072679,8489470,3379775770,4095625,2135940,53805056.00,11.21,6.65
,2125430732,595138950,11688852,36293362,2875216,3827072531,4947059,1666756,54624256.00,14.68,7.83
,5507040744,1281901021,29777970,108922230,4477206,4728378661,2812346,3007304,54591488.00,15.17,8.22
,7090082019,1527251406,33630645,140954558,7226860,5110108374,5490764,2097194,55934976.00,15.17,8.22
,3016397229,668501595,17998369,56118877,3310560,2832956413,5110108374,1663952,56000512.00,15.17,8.22
,1548231580,270413339,7017161,27482059,2096107,962941486,4768763,451355,56033280.00,15.17,8.22
,139245727,29527317,1338617,4609262,489370,211968479,3301345,383431,56033280.00,15.17,8.22
,720710369,140316918,6005001,19297077,1256837,823273727,1453716,1004545,56033280.00,15.17,8.22
,4413445348,830179036,37276211,117360934,5689042,5470928399,595806,8042176,56033280.00,15.17,8.22
,10464772600,2007027344,92825336,248797479,15171871,12938929807,1831428,13210138,56033280.00,15.17,8.22
,12498669465,2337999000,105825544,237832469,14768845,12708164003,9771684,10372259,56033280.00,15.17,8.22
,8589608796,1755196397,69817502,191536650,16313006,10706224373,18071026,9690127,56131584.00,15.17,8.22
,13342816337,2708251886,92984788,215917347,21611955,14044553092,15756468,8440880,56033280.00,15.17,8.22
,18405869247,3634145747,103233394,331303947,43402725,19904653180,14828890,9397526,56229888.00,15.17,8.22
,16433475256,3457333100,92912114,238414713,39794728,18533315044,15147655,8033259,55083008.00,15.17,8.22
,9802115846,1954958220,70399177,191851487,18114786,12095121076,17158647,11314449,55214080.00,15.17,8.22
,5097575100,977633225,41569405,138057800,11589353,6079426402,16500060,6851351,55246848.00,15.17,8.22
,2358052473,451669869,16447198,50610774,5083718,3051448747,15351675,3746530,55443456.00,15.17,8.22
,8318906119,1549028892,75874966,195440769,9591401,9787092991,9729727,9845456,55443456.00,15.17,8.22
,13189541544,2489397255,115677801,246476177,14992122,13862073254,5912602,10250378,55443456.00,15.17,8.22
,9357908236,1894000698,74895482,203081981,15402324,11309833906,13908339,9957508,55443456.00,15.17,8.22
,13403324407,2626832389,99826279,228289294,22996145,13473570528,16441096,8353552,55443456.00,15.17,8.22
,18702013184,3680831156,104704037,341186725,42665369,19712891782,15233482,8250983,55443456.00,15.17,8.22
,17396959014,3633229156,100797013,253180480,38891802,18827860741,15291860,7420877,55443456.00,15.17,8.22
,9789604801,1958254322,71106235,197238883,19582660,11768298585,17106466,9827100,55443456.00,15.17,8.22
,4064786057,771277504,31718206,96318973,8747794,4391181368,16285082,4341982,55443456.00,15.17,8.22
,714914692,134929759,5607742,14893039,1706726,785731690,15813311,1099169,55443456.00,15.17,8.22
,503870842,96157299,4971610,17559787,1496266,835873919,7008024,1342379,55443456.00,15.17,8.22
,7013866888,1303088163,63315530,171599668,8578317,8285291742,1648752,9019576,55443456.00,15.17,8.22
,14315568482,2679919010,123391415,270323868,17711152,14961817829,1866282,11009414,55443456.00,15.17,8.22
,9276461299,1851771322,76853501,203754794,14949712,10937721496,12539004,9294258,55443456.00,15.17,8.22
,11589942680,2249267589,89933711,207222884,19846059,11980887762,18038457,8850291,55443456.00,15.17,8.22
,17325457825,3382732584,105201244,306796886,34654873,18501930364,14575318,8504661,55443456.00,15.17,8.22
,18451441840,3966727190,93318311,281190370,50316426,22365995911,14899656,6317140,55443456.00,15.17,8.22
,12462631280,2600591005,83767215,219723524,20675877,14448904190,16574298,8176494,55443456.00,15.17,8.22
,6924293525,1313451941,52875548,168169492,15005868,8670589664,15396476,8960090,55443456.00,15.17,8.22
,2823915564,556846275,15572097,50692508,5080323,3004813930,14285931,1870730,55443456.00,15.17,8.22
,321995071,65033925,3566625,14245404,1084952,590031487,13255800,1106919,55640064.00,15.17,8.22
,5948638852,1102398779,52380089,150988664,6802266,6982833712,3191058,8424431,57737216.00,15.17,8.22
,11705529374,2219672087,101362691,224845969,13509196,12686688074,1678891,9704999,37224448.00,34.77,21.56
,7756982128,1530158228,64775554,178120089,12498160,9060107779,11364820,8258720,37945344.00,34.77,21.56
,8980765798,1721601766,72737326,182254834,15037634,8948025895,15227910,7360662,39976960.00,34.77,21.56
,14664748807,2831118531,89196459,258356498,29955301,15366263101,12962737,7636137,41123840.00,34.77,21.56
,15473707374,3338962231,79924421,231425852,38769756,18020837927,12523756,5803531,24182784.00,34.77,21.56
,9926813444,2003862389,70054290,183429177,17205521,11212551960,14385809,8228641,27459584.00,34.77,21.56
,3089730822,579718573,26129457,78588541,5710455,3439601639,13454700,3724021,26869760.00,34.77,21.56
,751672293,143639589,4841891,17808847,2331608,1059131170,13132874,1124962,26869760.00,34.77,21.56
,76910796,13540868,1035839,4632330,355714,192225150,5935724,528947,26869760.00,34.77,21.56
,3651285901,679342959,29163185,97848818,4592480,4401106039,1907808,5406794,26869760.00,34.77,21.56
,7818825763,1460346635,68182533,155747661,7101850,8181416728,607269,7101850,27328512.00,34.77,21.56
,4346336032,837013511,37869130,107645521,6309988,5067806054,7415542,6619780,27361280.00,34.77,21.56
,6463714153,1224106735,50724349,115852993,8282235,5666285941,10405970,5279228,27131904.00,36.90,22.97
,12081992021,2368801248,67537114,212307300,23935888,11440518431,7957895,4311095,32800768.00,36.90,22.97
,9355794308,1933672861,58865932,144687251,17656009,9558555839,7790752,4663258,37552128.00,36.90,22.97
,4596000947,868801449,35320185,115736045,9390276,5457867149,10498101,4639695,30998528.00,53.77,27.59
,877902785,169941518,4256893,17599372,2191392,1060799025,9385604,35320185,30441472.00,53.77,27.59
,1351209314,255031466,13013877,40190024,1913953,1650567456,8779075,5685556,30441472.00,53.77,27.59
,2621032403,491296935,23539342,55171532,1510361,2572052254,1773000,1115298,30441472.00,53.77,27.59
,2341607317,465662322,18661293,51873415,2697582,2560020373,3248801,2418566,30507008.00,53.84,27.56
,2790057234,587277144,18326779,43514946,3448547,2804207647,3641100,2383922,29622272.00,54.98,28.44
,5695432160,1144252450,34544793,104135704,7728235,5605470758,2560020373,2384639,29622272.00,56.98,28.84
,5360372691,1058999175,39022807,103085496,5184302,5354942181,3507892,1472667,32079872.00,57.57,29.23
,4479714265,948279115,35163097,100704440,7506835,5987610032,2797042,3194410,32702464.00,57.11,29.10
,8250804629,1647230073,67949037,168978507,15709766,9056903033,5765557,4452200,31686656.00,65.27,33.75
,7151213245,1421634806,50706771,156905596,14030506,7982636299,7032034,5351713,38141952.00,71.47,37.19
,8367830242,1619245253,61648295,146658938,13162564,8215312010,8279368,8026819,43352064.00,77.04,39.62
,9939769208,1906529176,72405340,205890670,17851109,10672226101,13175152,5879483,43417600.00,85.16,43.22
,12436391146,2523979616,94959991,224555436,19396047,14107341543,10097181,5198702,44466176.00,85.16,43.22
,11139101745,2178311548,81235725,215124803,20252379,11919609623,9766049,8938312,44466176.00,85.16,43.22
,8414596030,1727576350,62361882,155219898,13358500,8897322439,14485909,9218380,44466176.00,85.16,43.22
,12776007255,2428675134,84414826,240436721,24809175,12774805692,15677224,7873776,47710208.00,85.16,43.22
,11880558911,2505368230,72627818,204046358,27423579,13819251838,13929173,6208579,47710208.00,85.16,43.22
,10019184101,1911291086,77009053,204779286,17347531,10938771983,11016085,8101020,47710208.00,85.16,43.22
,7613446040,1487670995,64973699,163734191,14460876,8207683622,14680155,6532690,47677440.00,85.16,43.22
,7302508983,1425484634,51806877,144469794,11691756,7737745297,13053796,8918194,47677440.00,85.16,43.22
,8698283089,1751674982,62150386,148886161,11185252,8615903619,14588731,7365865,47513600.00,85.16,43.22
,9756409972,1940479988,68918498,201781337,17179573,10871406353,11863262,5796837,49512448.00,85.16,43.22
,11580027997,2407798845,87159670,208589965,17908916,13600308801,9749432,5227112,50659328.00,85.16,43.22
,12424242351,2421501129,90299145,234985443,21972737,13506737439,9162308,8390441,53313536.00,85.16,43.22
,9108429466,1835688321,68014396,167968946,16462327,9487868912,13475086,8610018,53313536.00,85.16,43.22
,12604488883,2411174798,80081422,234702953,24362249,12740415622,14451952,8193295,53772288.00,85.16,43.22
,12315042284,2540884082,76467655,196152743,26298556,12969128922,14555588,6899969,54198272.00,85.16,43.22
,8950693974,1775680322,69043765,188865358,16553072,10556615088,12245574,7877659,54198272.00,85.16,43.22
,7263718945,1417353565,59795759,153507824,13389258,7577773173,14419152,6350559,54198272.00,85.16,43.22
,6806964794,1284454974,48651907,133033055,10168213,6726400741,12530718,8765453,54198272.00,85.16,43.22
