,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,59441159,15947177,747789,3288178,209759,175937478,318831,198557,0.00,0.00,0.00
,78384881,13993064,724619,3305181,300643,111293650,305174,164139,0.00,0.00,0.00
,1084151082,230739310,8082675,22314190,741909,1069451299,1820373,1355584,32768.00,0.00,0.00
,744703775,138391010,5532484,17388365,1068351,853064544,2566033,1572946,163840.00,0.00,0.00
,2357562276,438105978,21260805,56116310,1284826,2418602265,3921909,2652389,262144.00,0.00,0.00
,2746234991,508330834,22361879,51609704,1868758,2418588648,3608039,2019279,262144.00,0.82,0.46
,1140900481,219262700,7782009,22486084,986014,1064941027,2091762,1154630,557056.00,1.11,0.59
,11208281,2440458,285414,1679752,167893,55168387,253153,188799,557056.00,1.11,0.59
,6819831,2667273,429847,914175,94860,42596148,127637,119007,557056.00,1.11,0.59
,114180563,25782444,1321764,6678524,183961,228877868,542751,401929,557056.00,1.11,0.59
,7592453,1577717,171152,974162,31398,34985748,136029,60662,557056.00,1.11,0.59
,16220700,3033556,250552,1496343,46436,58456255,234055,105209,557056.00,1.11,0.59
,4760493,1165402,236810,652320,12626,17356106,76896,46095,557056.00,1.11,0.59
,13841278,3642171,387767,1609877,88133,72704286,266178,176408,557056.00,1.11,0.59
,4915416,1041188,149683,966563,4665,18949736,86853,70400,557056.00,1.11,0.59
,10710611,2206851,324791,1288209,21069,31690589,169702,232591,557056.00,1.11,0.59
,11276234,3054965,291941,755791,78257,30703082,114062,88727,557056.00,1.11,0.59
,7638875,1849127,352409,1254599,19338,42379625,184395,152806,557056.00,1.11,0.59
,22268773,5134177,386073,932068,25058,26075926,110542,87380,557056.00,1.11,0.59
,32066955,6367181,493188,2643547,95972,77493595,281861,179298,557056.00,1.11,0.59
,31495952,8140748,449700,1709445,38021,52208479,154947,76208,557056.00,1.11,0.59
,85320822,16690481,973058,2832541,170106,131146641,275833,188444,557056.00,1.11,0.59
,5331992,1086374,138689,670742,8065,18657156,90527,68011,557056.00,1.11,0.59
,23009198,3932013,207566,1276044,30239,25971447,155184,113539,557056.00,1.11,0.59
,6071211,1211715,191286,622181,5955,22680190,86656,63874,557056.00,1.11,0.59
,15193780,2949272,238356,1440832,47782,55384036,218907,126089,557056.00,1.11,0.59
,10500918,3922255,215435,714951,68220,40865693,114190,78977,557056.00,1.11,0.59
,1940913443,361472699,16379506,45081871,1757962,2001441973,3174500,2451286,557056.00,1.11,0.59
,2445316362,468904399,21686972,55300860,1517716,2381562212,3567802,2398230,557056.00,1.11,0.59
,1329448459,258623505,10620565,32265873,933253,1333594116,2607172,1768761,786432.00,1.11,0.59
,2819015181,686399587,16567084,37747211,2232496,3808442972,2396575,1391350,786432.00,1.11,0.59
,477765914,121719727,3401510,8522326,648741,2221395694,694550,488219,917504.00,1.11,0.59
,2403058085,469450807,20468682,54502884,2237590,2774500601,4867662,3541151,1802240.00,4.52,3.11
,3041853674,589745244,24783100,71035110,3367902,3118011796,5535498,3436202,1835008.00,4.52,3.11
,2175148455,409868221,17907112,43336136,1253841,2051877525,2957288,1968906,1835008.00,4.52,3.11
,2924462462,644447992,18882601,48973309,2458886,3463419134,3302482,1923964,1835008.00,4.52,3.11
,3065048264,621417559,15522737,51818849,4455635,2901008956,2830514,1353102,9961472.00,4.52,3.11
,1614335097,311042718,12787083,35155250,2180303,1466095532,2291974,1332091,9961472.00,4.52,3.11
,2184486629,418276830,17024959,43993457,2926294,1993232976,3107365,1908067,9961472.00,4.52,3.11
,3606928074,661148559,19884115,82530426,7011985,3206181874,5344305,2590432,9961472.00,4.52,3.11
