,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,7462623,1586586,162866,786813,44381,25480363,-1,-1,0.00,0.00,0.00
,1621683978,340031427,12299926,39805219,1689710,1813705743,4590739,2947441,1277952.00,1.67,1.28
,1344504918,257573070,12170866,38916227,958242,1606676719,3083276,2444729,884736.00,1.67,1.28
,2838362517,533681579,24530072,61742382,1596503,2766889641,4116945,2730004,1212416.00,2.00,1.31
,2034477956,380501360,14651200,38881285,1499285,1892869131,3007159,1910508,1081344.00,2.00,1.31
,417408926,82542678,3012595,10629774,574753,485690670,1071428,821324,1114112.00,2.00,1.31
,7079250,1371332,141897,988348,147452,18735737,104120,85234,1114112.00,2.00,1.31
,19145226,3105731,240304,1665812,83853,61101544,234694,117887,2064384.00,2.00,1.31
,11786738,2046165,236365,892191,43424,29486067,105724,61940,2064384.00,2.00,1.31
,7919895,2178252,343723,1152703,42359,63891346,224365,96294,2064384.00,2.00,1.31
,7550876,1652516,317227,980635,62963,28158607,116947,94530,2064384.00,2.00,1.31
,15470674,3371266,306995,2012805,50166,51576895,220377,126165,2064384.00,2.00,1.31
,7136235,1305245,223588,863158,13386,49371043,153695,57547,2064384.00,2.00,1.31
,88134483,15822654,837222,2290400,170669,99622179,214681,153662,2064384.00,2.00,1.31
,12086254,1806271,158818,912081,24676,25236813,114545,117161,2064384.00,2.00,1.31
,9770120,2279689,251571,1190944,35345,34808349,162119,150172,2064384.00,2.00,1.31
,5705109,1180609,229117,907392,12758,23441028,108988,92295,2064384.00,2.00,1.31
,14195658,2084181,234445,1230250,18227,55358122,216368,161210,2064384.00,2.00,1.31
,7553743,1432271,170339,787255,7328,23482663,116310,71305,2064384.00,2.00,1.31
,11400814,2055901,361285,1163161,29915,28212281,155592,102496,2064384.00,2.00,1.31
,8409290,1740758,174508,779669,14467,23595652,124168,76430,2064384.00,2.00,1.31
,8580372,2096978,237801,1254226,20640,26719879,153650,157978,2064384.00,2.00,1.31
,10882373,1430700,160524,760934,7017,17482639,99742,92493,2064384.00,2.00,1.31
,8579761,1867791,240709,2266518,46949,41096673,170478,134804,2064384.00,2.00,1.31
,10534193,2157216,177962,897834,12025,17723530,105265,76866,2064384.00,2.00,1.31
,466981455,90568556,3976065,11517490,442207,548833567,1057358,734405,2064384.00,2.00,1.31
,2361677408,452075049,21588810,56099810,1670794,2437684187,3901388,2742152,9961472.00,2.00,1.31
,1837955422,358119517,15489667,39839656,1241226,1782877955,2725817,1721579,9961472.00,2.00,1.31
,2147677115,462461692,14297321,37382306,1644190,2727247681,2877541,1751997,9961472.00,2.00,1.31
,1591799321,302518592,11591232,26928653,1514783,1252769158,1843098,1009266,9961472.00,2.00,1.31
,940937395,176784121,7976075,24526166,813552,1097342777,2028420,1436863,10027008.00,2.29,1.57
,2530009232,478877685,22325700,54489962,1602050,2464353312,3733834,2657622,9994240.00,2.29,1.57
,1829055660,348748597,14878954,37900399,1075160,1794795295,1075160,1799689,9994240.00,2.29,1.57
,2708945637,572146628,17728658,46219752,3090997,2867102433,2791782,1497158,21004288.00,2.29,1.57
,553821042,108316513,4276898,11720258,900481,621727853,2951813,646050,21004288.00,2.29,1.57
,3155855355,605677496,25503331,66486862,2855787,3150439532,1204125,3845482,21004288.00,2.29,1.57
,2804347788,540692238,24327400,65366419,2850048,2956735519,5608962,21004288.00,21004288.00,2.29,1.57
,1582468287,300827681,12910191,32010564,1218845,1465182823,5346275,1.57,21004288.00,2.29,1.57
,2119702872,423590287,13990727,36777040,2116904,2030142304,2406278,2.29,21004288.00,2.29,1.57
,2924051186,721879237,18896491,56637856,5359997,4313633680,2603910,2804347788,21004288.00,2.29,1.57
,4794013006,884865692,28769782,97680993,15742599,4914248847,4651016,540692238,21004288.00,2.29,1.57
,2767214414,516825178,17872509,54361208,3480603,2409801924,5084215,24327400,21004288.00,2.29,1.57
,2001643563,415903750,15104631,41797950,3355550,2218649082,3750672,65366419,21004288.00,2.29,1.57
,4122178276,750795869,22390414,75610442,5959216,3035660809,3298988,2850048,21331968.00,2.29,1.57
,1140454165,225786777,7570310,25851307,2004745,1276520495,3798855,2956735519,21364736.00,2.29,1.57
,2133544350,403019338,20409232,53147565,1415347,2277769772,2735236,5346275,21364736.00,2.29,1.57
,2373017727,441495081,20222744,49359856,1600119,2236271941,3880959,3410405,21364736.00,2.29,1.57
,2529836091,481616810,18799823,52669817,1749144,2235858847,3446673,1410696,21528576.00,2.42,1.57
,3420179925,685116078,19637719,58821398,2623692,3271670027,3384606,1341394,21594112.00,2.92,1.84
,3210309903,658203954,16892635,60585492,4466385,3519458393,3732195,3018347,22544384.00,2.92,1.84
,1889063423,374359586,14417613,41570623,2325469,1778281320,3304428,2717100,22609920.00,2.92,1.84
,3351598940,609888579,19217296,75170897,6096001,2897696639,3093180,2077463,22609920.00,2.92,1.84
,4279405325,780997699,26963338,67980950,8465112,3391586984,4836678,1868681,23134208.00,2.92,1.84
,2084757491,567608474,12235102,37879960,3099467,3924534002,4856362,1622480,23756800.00,2.92,1.84
,6401965226,1508934423,30835345,114669075,4562933,5121388264,3241246,1825081,23756800.00,2.92,1.84
,5502938894,1169654836,25735022,103284104,5654425,3906942781,5071782,2900813,23756800.00,2.92,1.84
,3442093295,739396830,21550557,65370146,3513690,3251931475,3723789,2463717,25362432.00,2.92,1.84
,1126144683,208453729,5199650,14614748,1856569,677761859,4006488,2235490,25362432.00,2.92,1.84
,109477429,20818341,1147005,3915860,429026,210693535,935635,2051197,25362432.00,2.92,1.84
,1502327922,290241908,11847757,34637133,2651441,1792260625,518030,1758006,25362432.00,2.92,1.84
,6585129712,1231482897,58782007,177666836,8456779,8188899726,4217130,1683837,26083328.00,5.05,3.18
,12324209944,2380414995,105868845,260921064,16613242,13954909660,13139912,1920042,26345472.00,5.05,3.18
,10743886778,2070902063,88874082,232811068,15247543,12891923718,18107063,2286540,26345472.00,5.05,3.18
,9640148210,1990842691,76056648,195071577,17356788,11770077558,16232294,2007225,29196288.00,5.05,3.18
,15915190862,3096022881,101869114,270079638,30305605,16528948882,14819133,2570829,29523968.00,5.05,3.18
,18670433653,3719743188,100424837,329072155,50438775,21071057651,17107615,1623376,29753344.00,5.05,3.18
,12627426279,2642805827,87859206,217304904,20731279,13759276726,18111901,2130287,30113792.00,5.05,3.18
,11000245863,2093440241,79575656,192787772,18495563,13354970901,15083928,302102,30900224.00,46.53,18.64
,22662185288,4155769795,103473518,238260915,33445065,19548482296,13719734,346384,31031296.00,46.53,18.64
,10036839260,1815476144,62621506,166534245,19840997,9532850434,16097110,2656855,31096832.00,47.15,19.04
,1044533044,181621110,5583929,16766622,2902562,1201899738,12182340,10782992,31096832.00,47.15,19.04
,3183381308,605793890,25964794,74160361,4084124,3824701593,1960932,13092031,31096832.00,47.15,19.04
,9976148056,1860969664,90169976,223359943,13115971,11302424504,6698005,11323678,31522816.00,72.06,30.44
,13276002789,2519740127,115318514,254455509,16383555,14094259895,16366912,9862401,31490048.00,72.06,30.44
,9464600858,1833289573,77299099,202866948,17858952,10581456634,16908200,9328255,31490048.00,72.06,30.44
,15354277683,3043087784,106653633,242724701,27565235,15515066486,15105977,9063918,31817728.00,89.29,39.62
,20475754538,4157301194,112116575,341564003,51239079,23007962742,15860102,8974062,34340864.00,139.13,66.16
,15093770018,2967145955,98419575,262566778,28978271,15309746415,17022850,10366581,32866304.00,139.13,66.16
,15711297791,2995156394,111851469,264392227,29249517,17627154420,16077973,7107001,33521664.00,139.13,66.16
,20219281428,3616175865,83032247,174016917,27439562,15185113407,15395844,8672751,38830080.00,139.13,66.16
,7383612363,1387028033,49770717,139875843,15700296,7521184126,13588004,1217702,39026688.00,139.76,66.45
,3484498693,646952831,22928715,70181650,5817203,4025825006,9581493,4752733,38502400.00,144.24,68.94
,8100761014,1508632870,75209874,186801337,9776210,8945508869,6331477,11528152,31358976.00,178.55,83.23
,11422451329,2157080133,98480212,222295988,13303061,12136658535,13485861,10231135,30769152.00,189.40,88.21
,9292463270,1816253002,78192604,205922668,17138715,11026187526,15340425,9394165,33783808.00,209.78,98.01
,15694557439,3098303996,111782692,256814231,26940111,15857953422,15710541,8083069,33685504.00,209.78,98.01
,17942565231,3555988768,99904683,316934399,43242139,18963748029,15711923,7351813,22839296.00,209.78,98.01
,15326384529,3210822696,97299138,241286955,28437499,16616962324,16240092,8595903,22937600.00,209.78,98.01
,18057764947,3461945224,114037718,293476777,36881939,19473569452,16542610,8965700,24838144.00,209.78,98.01
,15992134685,2993797228,71124675,162732549,20203617,12729486999,16050338,6108337,25493504.00,209.78,98.01
,7887042971,1557471345,48490149,126673615,11764241,7338231652,12461275,6099815,25493504.00,210.01,98.17
,6266163377,1196395925,34967601,86220559,9519544,5799323641,7935159,4281001,25559040.00,217.35,100.76
,6963597540,1303031335,63892266,165365473,9362885,7805927953,7228779,9136246,25755648.00,217.35,100.76
,9234799834,1736454128,77952119,181415370,10384548,9692165225,11793522,9787178,25821184.00,217.35,100.76
,7938376208,1699043046,62027975,168700037,11306768,10569608032,12598324,9838035,27394048.00,217.35,100.76
,11771857012,2344226798,84207610,199844407,23932568,13000454721,11811593,7895995,27721728.00,217.35,100.76
,15026933791,2916438922,87627035,285533393,32051906,15293716643,13503641,7382257,27131904.00,217.35,100.76
,13561659725,2792863784,83242216,213557687,28659550,14062207390,15072898,8489491,28114944.00,217.35,100.76
,10839492944,2150163501,70586578,190607342,21034252,12084765170,13455641,8256405,28114944.00,217.35,100.76
,11955469289,2222754299,59269445,135544544,15145165,9512879077,12414255,5858010,26738688.00,221.87,103.61
,6240018316,1179754481,37776726,101887999,9943072,6160968165,8425849,4181931,30343168.00,285.11,136.94
,3381712498,633229526,15244268,35485807,4403180,2747565302,7221436,4386491,35487744.00,285.11,136.94
,3090917307,591893175,24386349,70494433,4986287,3503178814,3550758,7955778,35487744.00,285.11,136.94
,2727917928,513533028,22841116,57200906,2469390,2717502929,5056412,7872709,35094528.00,285.11,136.94
