,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,67457506,17640512,844713,3427820,207410,182980668,326925,117209,32768.00,0.00,0.00
,39798693,5792449,388824,1846378,139339,69556521,250758,108274,32768.00,0.00,0.00
,1013935478,211645840,8187217,20886265,739089,1044079084,1816810,1281037,32768.00,0.00,0.00
,1172915883,232236333,6381444,22436591,2061781,1219217490,3018876,1798277,32768.00,0.00,0.00
,2382498495,434255643,20530174,55303694,1270952,2408774331,3673366,2547231,32768.00,0.00,0.00
,2760968266,516082098,22777573,54594947,1813217,2591612264,3704454,2378404,32768.00,0.00,0.00
,1216033648,231930993,8191388,25319619,1259216,1165783224,2372256,1258516,32768.00,0.00,0.00
,14282276,2673266,272916,1527462,72369,57488269,261020,104134,32768.00,0.00,0.00
,5424807,1429707,148850,1048779,48542,20642320,129924,115960,32768.00,0.00,0.00
,13049237,2144879,367083,1319950,7464,43598671,180591,145298,32768.00,0.00,0.00
,13667716,2405523,291466,909212,59767,32743560,118486,100766,32768.00,0.00,0.00
,11012277,2495252,283093,1310615,26406,28707518,181933,101611,32768.00,0.00,0.00
,223498874,47307809,1657851,4124071,293027,184459055,267119,158501,32768.00,0.00,0.00
,17143188,3670088,418499,1867475,133825,61117917,200786,103175,32768.00,0.00,0.00
,19914559,5056272,342981,1532989,90775,48732499,177900,80018,65536.00,0.00,0.00
,7709053,2028440,208092,1322148,16525,34134290,65536.00,112287,65536.00,0.00,0.00
,10304133,2389291,252987,919280,63686,48339717,0.00,103784,65536.00,0.00,0.00
,9147692,2301543,345417,1209196,8985,30584082,0.00,86571,65536.00,0.00,0.00
,4660638,1584224,197484,799530,10189,20987272,7709053,53669,65536.00,0.00,0.00
,12272975,2851879,317844,1276946,5558,26194049,2028440,144259,65536.00,0.00,0.00
,7112942,1492874,130897,1000091,20091,38023087,208092,174637,327680.00,0.00,0.00
