,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,8444337,1782332,202289,1015317,45820,31457147,-1,-1,0.00,0.00,0.00
,19583167,4068575,319299,1529410,151675,59280234,153281,29550,0.00,0.00,0.00
,1074870673,220132477,8042191,22192490,871549,1112975771,1938814,1535506,131072.00,0.00,0.00
,738739472,161925917,5372560,20530799,1110903,975424679,2949297,1750327,196608.00,0.00,0.00
,2171138701,394111741,17334249,51530400,1416513,2371609313,3584340,2609529,1507328.00,0.00,0.00
,3187992656,598568936,26866064,67439625,2242663,3006267969,4442488,2873593,1507328.00,0.03,0.00
,1286142101,251564299,8994494,27300956,1360658,1847988915,2370675,1426760,1835008.00,0.56,0.23
,8572163,2377863,298728,1446633,109644,58693713,221511,146432,1835008.00,0.56,0.23
,7035580,1597138,194014,967303,31587,35356951,142512,55303,1835008.00,0.56,0.23
,11036128,2771563,243476,1212151,82731,36919092,172827,108351,1835008.00,0.56,0.23
,27566761,4310390,362622,1207737,72172,52498613,129798,79919,1835008.00,0.56,0.23
,16091314,3412071,347645,1321282,60184,41185611,168944,196073,1835008.00,0.56,0.23
,11222127,1660595,195915,865145,40943,43165951,142588,69995,1835008.00,0.56,0.23
,57968404,11748866,395919,2164726,89039,120208816,254558,229854,1835008.00,0.56,0.23
,17212643,3036528,213647,964131,92553,30654969,129050,96873,1835008.00,0.56,0.23
,17121000,3148332,261185,1426135,80860,51137187,217556,109487,1835008.00,0.56,0.23
,8316486,1626823,196019,1182305,16733,31761417,125851,68481,1835008.00,0.56,0.23
,12037688,2820556,235728,1365044,29891,27370367,152922,103146,1835008.00,0.56,0.23
,9046068,1552767,153799,760076,9543,20376297,117102,124565,1835008.00,0.56,0.23
,8040684,1772760,192195,1140296,14175,35342128,169768,94752,1835008.00,0.56,0.23
,8666519,1740559,207440,783171,7789,18219560,91801,105047,1835008.00,0.56,0.23
,8649379,1921134,344166,1273941,19941,46012689,160972,99406,1835008.00,0.56,0.23
,5592680,1427658,184226,877977,5627,34325649,149919,92249,1835008.00,0.56,0.23
,111170930,22134940,692963,6281137,795293,223950962,574876,247265,1835008.00,0.56,0.23
,6337459,1381018,145014,901833,33389,23359533,116930,79156,1835008.00,0.56,0.23
,7533577,1764816,294677,1242040,79123,32609978,155356,103520,1867776.00,0.56,0.23
,19575422,4334966,180236,875721,62691,36678771,176795,99866,1867776.00,0.56,0.23
,1968690958,369309921,16510950,46151551,1399340,1993964221,3276936,2407504,2654208.00,0.56,0.23
,2402817341,457337196,21160375,50946293,1441585,2340870459,3576419,2403938,2785280.00,0.69,0.23
,1333929327,250800498,10627493,30709441,975386,1353017106,2455289,1740735,2818048.00,0.69,0.23
,2497963579,521212561,16908619,41987655,2607008,2611342345,2701298,1692377,14286848.00,30.64,15.47
,386459493,80664827,2976900,9224748,923586,827457851,965645,615883,6160384.00,30.64,15.47
,2162128066,400750051,18932947,52368545,1404523,2195220359,3492566,2570246,6160384.00,30.64,15.47
,2259340123,428460478,19848911,49348252,1595961,2316783564,3338757,2138215,6160384.00,30.64,15.47
,2056554191,379404957,15187814,41686908,1727732,1978108495,3138255,2119074,6160384.00,30.64,15.47
,1823891891,375019180,11762459,29073277,1970707,1985807285,2388680,1346861,6160384.00,30.64,15.47
,794804348,150803265,5284710,16521729,931384,1004669380,2348016,1596955,6291456.00,30.64,15.47
,3395471334,673923996,29432455,83172378,3712410,3646621801,5876049,4088960,7962624.00,30.64,15.47
,2535192986,501797220,22320325,52042631,2215849,2502573390,4384052,2617070,7962624.00,30.64,15.47
,1495995645,309583042,9925849,27917158,1141159,1755090655,2486448,1416757,7962624.00,30.64,15.47
,3714975929,736467313,22476449,55723600,3088416,3241003567,3142825,11927552.00,11927552.00,30.64,15.47
,3025826610,801060943,12035176,37188052,3389683,4908440737,2393083,1531855,12517376.00,30.64,15.47
,9726410,1986079,145150,888857,28262,34734948,133716,1042539,12517376.00,30.64,15.47
,1196725443,236957596,10190552,31922766,2061138,1256445015,2565674,76287,14155776.00,30.64,15.47
,2855094937,552159878,21008446,51842728,3507913,2416970435,3252211,1648029,14155776.00,30.64,15.47
,3473923843,622500748,17382584,77284452,7521429,2798747176,4422489,1664081,14286848.00,30.64,15.47
,1151480768,227728646,8750915,27312238,1671617,1292200866,2427730,1925842,15433728.00,30.64,15.47
,2118939480,409618897,20015522,51580894,1367406,2290001959,3675837,1766620,15433728.00,30.64,15.47
,2485281279,475855356,21313588,51137025,1665854,2376233151,3501616,2694225,15433728.00,30.64,15.47
,2800826177,519671278,18345901,60183892,2039384,2342243731,3329737,2307605,15433728.00,30.64,15.47
,2609502359,515552628,16598709,46369699,2798032,2540050473,3179823,2325643,15794176.00,30.64,15.47
,3352466756,630738491,18676434,65499360,5290421,2913327419,3551447,1939969,16318464.00,30.64,15.47
,1527780475,301744757,12004278,36270086,2076421,1536290228,2847679,1741957,16318464.00,30.64,15.47
,3427097736,642425305,20525301,81557318,5664789,2896041220,5077415,1681469,16318464.00,30.64,15.47
,3607312001,639158591,23532504,60595619,5184178,2953800048,4476215,2062242,16318464.00,30.64,15.47
,1800808157,393389558,13761289,40945498,4282653,2464858402,3887539,2206929,30244864.00,30.64,15.47
,7218676514,1686481116,32193761,139130620,6752740,5820903715,5308772,2279171,30244864.00,30.64,15.47
,7187089040,1502554885,40858401,124331757,11077495,5451087291,6523702,2419205,30310400.00,30.64,15.47
,1489883183,320919273,5277983,22242322,858613,1142317883,943949,2965446,30310400.00,30.64,15.47
,617059293,120198155,3796205,10446909,1246018,505068868,1060618,214287,30310400.00,30.64,15.47
,180352300,36062183,1809004,4542236,144050,193960128,339126,531246,30310400.00,30.64,15.47
,1823322060,337229185,13080575,38060212,3273032,1827227878,3829116,169000,30310400.00,30.64,15.47
,6854190120,1272222871,59272857,176943924,9039448,8178892219,12724695,2281087,32079872.00,30.64,15.47
,11495879162,2214244330,98662688,256893277,16289811,13527798177,18313055,10225944,34308096.00,30.64,15.47
,11017924908,2088851589,94467652,234614285,14844801,11925946588,15813847,13287304,34570240.00,30.64,15.47
,9166509963,1876500114,72564061,187029498,16970760,10732560892,14036832,10448835,34635776.00,30.64,15.47
,14809997659,2997242711,97888147,238327821,27603998,16394985919,15612870,9039332,34635776.00,30.64,15.47
,19013878002,3702357918,103438215,367915539,51696999,21215757573,18446812,8624084,34635776.00,30.64,15.47
,13841028820,2960239274,86655417,210899731,26890147,15691870689,15135133,9808755,34635776.00,30.64,15.47
,7621861893,1547688915,52998456,148957994,15058093,10355304947,12965293,8182433,34635776.00,30.64,15.47
,20981181847,4265257172,124277978,289754023,36784041,22308436162,13919877,10794017,34799616.00,31.10,15.63
,22120889716,4572001775,83816819,216963185,56692099,22616161611,10031204,7018474,34635776.00,31.13,15.63
,15933532956,2869046195,48254911,100487542,26769487,10276495603,8459040,4043005,33914880.00,31.13,15.63
,14543311927,2364391514,31277908,58723949,17601300,8272722588,13457246,2354994,33914880.00,31.10,15.63
,19636294581,3402717464,84038032,194295958,36533277,16308866633,17940951,520935,34537472.00,30.57,15.40
,10249350131,1885501125,50551847,150682048,19141258,9425511428,14473193,3744515,37388288.00,30.57,15.40
,1307488091,246155217,5763122,27975546,3619079,1626976862,2606801,6300822,37650432.00,30.57,15.40
,3327669074,630218877,26683805,79519604,4060485,4086782201,6863260,1763611,38174720.00,30.57,15.40
,10258563877,1920402127,95842017,232470203,13582800,11551575040,17043819,4613195,40042496.00,30.57,15.40
,13165395846,2487576897,112132592,244615932,15736153,13323439470,16491426,11414793,41091072.00,39.81,20.35
,9802590061,1949011367,79887208,203723331,18317067,11158329419,15578221,9930925,37191680.00,46.69,24.84
,16591227880,3262910436,111378921,267933253,31086772,16971988344,16001705,9465782,40173568.00,102.53,56.56
,19794357693,4069314850,101685732,324576113,48865495,21759814353,16039143,8198576,45187072.00,116.00,63.67
,14233397573,2910355875,96323627,243142845,24615728,14949843173,16030386,6968404,41811968.00,209.91,113.34
,16783323495,3296387415,111960439,266893498,30380366,18478572008,15036682,8791697,41222144.00,209.91,113.34
,23587936437,4835806927,97951792,249644132,55931522,23639995586,38010880.00,8239326,38010880.00,209.91,113.34
,15901782496,3094767440,39120237,98380664,30779028,12117915949,11178021,4542138,37486592.00,209.91,113.34
,15353966545,2618491047,44691182,81600150,20056214,9331804968,6892124,2946632,35848192.00,209.91,113.34
,16565765662,2886870701,61386432,135746395,26827370,12277432306,12705567,777588,37879808.00,209.91,113.34
,15509082812,2732723448,65839428,186773240,30411097,12908911310,15683444,2288061,38273024.00,209.91,113.34
,2214800456,415412381,13777197,40671930,4768564,2197890190,17889265,5813433,38273024.00,209.91,113.34
,3043396494,567708904,23564991,70026488,3602173,3652886082,3769980,1975880,38273024.00,209.91,113.34
,9565048620,1749695125,87725836,215724571,11981903,10862934326,6394505,4446476,40763392.00,209.91,113.34
