,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,8010866,2075805,235610,1290641,68874,40505249,8010866,-1,0.00,0.00,0.00
,22539413,4729356,370548,1778573,168498,66368143,-1,42094,0.00,0.00,0.00
,1113909023,230466993,8085488,24508408,831712,1121195757,226310,1632968,65536.00,0.00,0.00
,784680557,160226945,5546905,19775597,1241984,859158494,1957887,1855015,622592.00,0.85,0.85
,2203426324,417391776,19827834,56411733,1141890,2353284389,2701000,3052803,393216.00,1.02,0.95
,2615954004,499982341,23208184,55356892,1725753,2554742705,3720514,2533909,9797632.00,15.56,12.32
,1236200017,234218632,8852758,27996905,1134976,1339549248,9797632.00,1833988,15859712.00,15.56,12.32
,186805740,33644931,1378680,5135657,459803,212220428,3592966,368214,15859712.00,15.56,12.32
,15326335,3501524,306710,1642533,55619,64972345,2586324,290248,15859712.00,15.56,12.32
,23757948,4613019,377239,1684097,53806,34243506,600132,120433,15859712.00,15.56,12.32
,9416514,2125226,256699,1180956,15518,38207501,260574,100886,15859712.00,15.56,12.32
,15614799,4235942,431749,1429915,75396,38978865,183116,166943,15859712.00,15.56,12.32
,7868073,2242590,259485,1809696,23080,48773153,166347,94524,15859712.00,15.56,12.32
,13596780,2312506,275211,2015985,37841,45596687,173506,106778,15859712.00,15.56,12.32
,14543646,3578757,359969,1885569,99158,42471967,172582,238771,15859712.00,15.56,12.32
,38734728,4814112,308199,1617298,85582,65115974,175551,157389,15859712.00,15.56,12.32
,14995584,2513525,248418,1357551,31706,66635957,197279,109805,15859712.00,15.56,12.32
,10490761,2470135,189670,1306905,45891,30996065,230367,98576,15859712.00,15.56,12.32
,315516979,58826078,2064125,5107257,201381,226732598,207136,155925,15859712.00,15.56,12.32
,14520718,2751385,380388,1583701,70536,36653074,152414,258255,15958016.00,15.66,12.42
,24439530,5109495,450118,1792685,77703,86184377,300047,156356,15958016.00,15.66,12.42
,15102281,3404096,633649,1384993,33887,35783027,158395,145154,15958016.00,15.66,12.42
,21467105,3852640,362087,1484050,12407,61886657,320446,102937,15958016.00,15.66,12.42
,14980324,3395411,330127,1834931,26001,42611740,150428,108226,15958016.00,15.66,12.42
,10324893,2337808,246966,1328526,8713,26743483,219867,105118,15958016.00,15.66,12.42
,16055326,4601311,473457,1247984,60328,49644792,219571,83991,15958016.00,15.66,12.42
,14855972,3765504,375458,1852162,58610,43545529,151531,181225,15958016.00,15.66,12.42
,1008766338,185016677,9208836,27327870,927300,1167632456,178454,1626318,16023552.00,15.73,12.48
,2970805841,557205655,25097351,61773521,1639658,2789893536,204633,2657194,17104896.00,18.84,15.24
,2022141041,387712807,15548285,40974461,1635380,1953273081,2101605,1939669,16646144.00,18.84,15.24
,3495761662,688701716,21589476,54277220,4372547,3404284760,4050705,2684043,16711680.00,18.84,15.24
,523211546,112600145,4308349,11769200,971206,580939443,3102704,643592,17203200.00,18.84,15.24
,2405187163,457595195,19241563,54517079,2341204,2402044956,3786891,3140844,17301504.00,19.01,15.34
,3301451797,639149984,27295763,72694049,2932175,3351201596,1066237,3757969,17956864.00,19.01,15.34
,1927894372,368373605,15326383,36703248,1490744,1699247735,4669379,1524465,17989632.00,19.07,15.34
,3134806294,618539318,17855689,53928979,3126368,2866333800,5810644,1774424,19267584.00,19.07,15.34
,2962365491,592735270,16561928,47021062,2964180,2583065348,2787770,1533665,20054016.00,19.07,15.34
,1553965924,353228166,11024067,25763765,2448696,1902600094,3226783,1083565,20054016.00,19.07,15.34
,1465487072,294778228,10348190,33684759,2268225,1496562626,2749195,1619059,20381696.00,19.63,15.70
,1647970190,301851297,8172562,35221694,2668791,1375905747,1919237,301851297,20250624.00,19.63,15.70
