,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,6258168,1454025,178676,896666,21130,26014834,102949,-1,131072.00,0.00,0.00
,21475122,4374805,385711,1829024,102519,64634856,209721,35869,131072.00,0.00,0.00
,908758364,191690985,7631422,19305679,753912,970192497,1617211,1049570,131072.00,0.00,0.00
,815961035,173951301,5448457,21575918,1310262,891792349,2737233,1972629,262144.00,0.23,0.13
,2294617556,429592101,21148408,56061652,1542848,2355025556,3730140,2752865,1507328.00,0.23,0.13
,2681516042,499868558,22021376,49558135,1755592,2422829647,3563596,2275095,1507328.00,0.23,0.13
,1167819112,226346762,9152625,24970355,1128401,1255746935,2272583,1174164,1507328.00,0.23,0.13
,85435170,17513357,1154832,3998042,431454,177149217,468948,317507,1507328.00,0.23,0.13
,444937857,82689961,1352810,4235436,498907,384162183,436338,379215,1507328.00,0.23,0.13
,13188875,3016034,340071,1934239,107179,65694025,243275,151313,1507328.00,0.23,0.13
,21081080,3987489,287562,1131151,28549,32708826,140393,117521,1507328.00,0.23,0.13
,11164441,2475189,285679,1894237,118420,86844921,327171,103190,2195456.00,0.23,0.13
,13715332,3796983,417173,1083078,74152,37123583,160066,158529,2195456.00,0.23,0.13
,19812302,4501921,420301,1809455,68532,60088211,271907,192501,2195456.00,0.23,0.13
,9457296,1200847,144930,740008,6068,19024165,97631,97451,2195456.00,0.23,0.13
,45086865,10791616,717101,2783153,160271,110192999,331041,202517,2195456.00,0.23,0.13
,6266885,1635621,170662,886089,37235,37238156,118724,129248,2195456.00,0.23,0.13
,35215455,4664924,471412,1935720,38683,71072450,243979,132825,2195456.00,0.23,0.13
,49791189,10847046,798165,2722004,76314,110759324,311993,270620,2195456.00,0.23,0.13
,8441273,2181890,282788,1516030,19472,35262487,190667,98223,2195456.00,0.23,0.13
,21104765,4492630,373669,1319992,39235,39291564,138994,172210,2195456.00,0.23,0.13
,15286536,3174078,334136,1569175,50701,40426069,222357,146125,2195456.00,0.23,0.13
,7039085,1502857,189841,1355752,9692,20252528,120410,83089,2195456.00,0.23,0.13
,16560518,2709966,399510,1749757,15107,32736931,171073,108721,2195456.00,0.23,0.13
,17893263,2217130,176295,883867,30783,28778548,114074,120551,2195456.00,0.23,0.13
,10414277,2209062,283251,1265475,11706,29556712,161969,95943,2195456.00,0.23,0.13
,91106348,17066971,590866,2313544,153809,70232941,314597,241064,2195456.00,0.23,0.13
,2335420270,430007818,20856038,57012970,1614982,2443894523,3681663,2661259,2195456.00,0.23,0.13
,2066110584,396917551,17475421,42651319,1267992,1964292090,3010108,1941400,2293760.00,1.47,0.62
