,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,62909994,16902207,911602,4115844,296094,208724957,407296,207342,0.00,0.00,0.00
,27780172,6344527,400319,2071964,165982,71280283,292634,142026,0.00,0.00,0.00
,1052293917,224754054,8713354,18312528,777278,1107113912,1777657,1314101,0.00,0.00,0.00
,760949847,162058591,5435592,21151230,1321476,996943301,2611844,1552894,655360.00,0.00,0.00
,1986088733,373345500,16643956,45591128,1657058,2014461951,3276192,2326529,1409024.00,0.00,0.00
,2900492108,551033391,24933384,60456916,1883695,2652796645,3940774,2599420,1409024.00,0.00,0.00
,1442132318,273310432,10826280,34148556,1301801,1452837734,2892968,1788915,1409024.00,0.00,0.00
,192795873,39536700,1065521,3771717,643007,350601548,485191,308537,2621440.00,0.00,0.00
,96427234,22706872,941644,4504443,70501,210640735,476320,286275,2621440.00,0.00,0.00
,19841745,3139917,372979,1457916,44714,35045665,167738,148762,2621440.00,0.00,0.00
,30752913,7876470,425849,1121927,157648,61981319,189504,125852,2621440.00,0.00,0.00
,15237521,3170979,332249,1466484,96494,44794227,193147,174143,2621440.00,0.00,0.00
,12829572,2312369,232462,1058225,36457,28575683,150305,107200,2621440.00,0.00,0.00
,54066039,13109639,909207,2016908,103059,69473957,218676,229660,2621440.00,0.00,0.00
,21456118,4392835,335049,1296203,86347,70149462,253205,149580,2621440.00,0.00,0.00
,25331829,5592905,380533,2665532,73291,84440738,299567,152299,2621440.00,0.00,0.00
,7687492,1741595,216088,943244,30819,62016170,151075,96162,2621440.00,0.00,0.00
,79800936,14910663,723856,3004269,86425,91645663,250257,173813,2621440.00,0.00,0.00
,7694814,1767710,217624,1179464,77139,17803650,126181,88588,2621440.00,0.00,0.00
,12551174,2713219,285490,1539353,75033,52787235,177897,107681,2621440.00,0.00,0.00
,6125327,1620613,242779,1057901,22874,24378802,110756,86247,2621440.00,0.00,0.00
,9370566,2264660,275145,1202875,42572,60625896,241011,123387,2621440.00,0.00,0.00
,14283077,2811281,197089,906722,9511,19710260,105380,61332,2621440.00,0.00,0.00
,6616432,1828942,347355,1410888,7421,32124244,133219,89872,2621440.00,0.00,0.00
,15037567,2255393,230602,1148596,14756,50056942,179262,136054,2621440.00,0.00,0.00
,8316004,2030250,223924,1207980,15342,33296364,160674,103721,2621440.00,0.00,0.00
,15388177,1941021,170011,1331074,10542,29879657,128353,175073,2621440.00,0.00,0.00
,1083623630,197356848,10278153,31042516,1059292,1236305823,2143991,1824835,2621440.00,0.00,0.00
,2917365982,547283970,24944487,62559374,1732853,2804084132,4075890,2675170,2621440.00,0.00,0.00
,1352173344,260491701,11459032,32657650,1017779,1414301265,2336804,1476187,2621440.00,0.00,0.00
,2220913827,438799129,13971966,35737054,2467899,2253800641,2789088,1612802,2621440.00,0.00,0.00
,874198103,178503876,7648684,18495920,1353092,907209252,1318754,731396,2621440.00,0.00,0.00
,1997153279,370997824,15985871,46929366,1944347,2254801054,4211106,3163065,2621440.00,0.00,0.00
,3786509229,747673486,31058119,84894337,4267831,3809373536,6351905,4092816,2621440.00,0.00,0.00
,1992786797,380425818,15836052,39645729,1791479,2022778337,2996420,1935157,2621440.00,0.00,0.00
,2374719831,474306020,16874883,44361355,2895856,2524611546,3176224,1747654,2621440.00,0.00,0.00
,3825091950,782725183,20192273,59230410,5271160,3685766981,3401583,1618427,2621440.00,0.00,0.00
,1611412648,300330637,12688059,31147869,2343191,1505553915,2432292,1509904,2621440.00,0.00,0.00
,1695065304,318666193,14500115,38120777,2127267,1718486629,2820157,1764920,2621440.00,0.00,0.00
