,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,26941921,6912970,477401,2668794,43132,77997985,164335,102952,0.00,0.00,0.00
,13680037,3736249,282383,1335364,86874,49723136,145309,57792,0.00,0.00,0.00
,997275055,216668267,7921063,23628855,826818,1122645702,2036123,1558734,98304.00,0.00,0.00
,742463903,153400307,5176602,17790803,861102,783008706,2605804,1685538,1769472.00,0.00,0.00
,2209554617,419559719,19575441,55250523,1361426,2367594782,3825867,2816973,1867776.00,0.16,0.00
,2843433832,534844478,23753187,54490917,1948244,2649718620,3822916,2310982,1867776.00,0.16,0.00
,1351444296,258563657,9931180,30683188,1253776,1336438644,2569375,1650699,1867776.00,0.16,0.00
,51661365,10554046,466803,2419962,329134,86077326,290973,178700,2392064.00,0.16,0.00
,16951071,2889002,315205,1481796,66209,27486529,137510,153010,2392064.00,0.16,0.00
,10274399,1833070,196302,1073790,43169,39737608,173311,93703,2392064.00,0.16,0.00
,12346711,2434948,262041,1255162,82685,41538893,172774,97538,2392064.00,0.16,0.00
,13842111,3908987,324653,1577385,141061,51055262,189484,123416,2392064.00,0.16,0.00
,9408223,2194843,251746,1185626,66691,49302142,189636,87992,2392064.00,0.16,0.00
,10142672,2789416,255823,1412565,57656,33916783,147922,64192,2392064.00,0.16,0.00
,9312679,2448531,229119,1158386,33319,57856727,226725,62147,2392064.00,0.16,0.00
,11116844,2698347,265769,1251660,38346,31795697,141862,293088,2392064.00,0.16,0.00
,5865285,1441805,259604,1279009,14200,56490240,192666,136357,2392064.00,0.16,0.00
,8292045,1559918,292754,1320823,31855,63465160,234247,161208,2392064.00,0.16,0.00
,82031252,14589731,636006,2444495,80093,90617356,275350,163876,2392064.00,0.16,0.00
,6646012,1386886,216604,900790,8390,28819153,137199,95184,2392064.00,0.16,0.00
,33413372,4765433,350779,1335674,40739,34700841,172107,113754,2392064.00,0.16,0.00
,38378844,6163378,368540,1819437,88182,37853150,155472,126310,2392064.00,0.16,0.00
,13972743,2757526,269562,1757920,60211,28728751,159537,122256,2392064.00,0.16,0.00
,7729239,1665642,214953,878960,8685,16622505,120098,111138,2392064.00,0.16,0.00
,14665033,3208044,334473,1098934,51007,37073248,196041,123381,2392064.00,0.16,0.00
,7564389,1547635,180968,765711,20247,16241970,89257,105067,2392064.00,0.16,0.00
,7924616,1756293,239937,1447698,12733,33649151,172682,107294,2392064.00,0.16,0.00
,1185785288,221680853,10833737,31511095,843183,1361576912,2357666,1669197,2424832.00,0.75,0.52
,3168074452,583343939,26228626,63992303,1770589,2824695962,4059366,2460985,2916352.00,0.75,0.52
,1481265102,278500755,11068014,32569794,947693,1414547103,2699598,1708934,2981888.00,0.75,0.52
,2515191965,547689093,16219548,39554500,2619850,2773337081,2766323,1517017,3145728.00,0.75,0.52
,362733797,76270287,2694276,7629829,613006,414590315,853566,582220,3145728.00,0.75,0.52
,2553996861,482950285,23800409,62278724,1509039,2588397461,4286312,3116428,3145728.00,0.75,0.52
,1957949719,370347008,16151181,41577372,1176657,1863778725,2801784,1847681,3145728.00,0.75,0.52
,2330123234,467299284,16198863,40823658,1705298,2373213476,1847681,1687088,17006592.00,1.57,0.52
,1076792593,210574776,8674465,20359538,1246506,963699924,2988522,894606,17399808.00,1.57,0.52
,1159835120,217195546,8787992,25490035,1525171,1503464969,1543063,2025155,17432576.00,1.64,0.59
