,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,7426605,1937471,227700,1166472,66468,35657610,101052,-1,131072.00,0.00,0.00
,22684432,3758447,274928,1286688,136232,50820737,172029,55362,131072.00,0.00,0.00
,941626146,204210405,8015025,20553856,859889,978336586,1898902,1401679,131072.00,0.00,0.00
,744927031,162263609,5107182,18597880,805101,806445306,2671838,1567544,131072.00,0.00,0.00
,1695294327,313823649,15191422,40046983,1321651,1779597713,2979733,2142112,131072.00,0.00,0.00
,3226040261,612744581,27380252,64392709,2272607,2989354328,4473374,2821305,131072.00,0.00,0.00
,1443262565,280897914,11227735,30771466,1098908,1408497609,2925424,1689115,819200.00,0.00,0.00
,81525032,15129594,530241,2494106,268667,119276036,266432,180085,819200.00,0.00,0.00
,15217614,2539030,244417,1480226,53367,54604943,233866,147072,819200.00,0.00,0.00
,3558267,1336332,112310,757401,12677,16585860,87165,109351,819200.00,0.00,0.00
,13416240,2501657,210768,1270428,19632,31820370,162592,118271,819200.00,0.00,0.00
,6405443,1279422,174446,663610,29887,15599779,87866,60615,819200.00,0.00,0.00
,11743814,2544768,290498,1176463,35755,33711274,126384,102984,819200.00,0.00,0.00
,14862979,3039857,190170,1077073,39282,38145440,141985,69056,819200.00,0.00,0.00
,60218259,14265016,783846,2247899,249840,110136557,303163,114542,917504.00,0.10,0.10
,19015186,4059160,348892,1230497,27796,38641963,134062,121314,917504.00,0.10,0.10
,7074449,2030982,183427,1106948,14079,30301236,146340,73499,917504.00,0.10,0.10
,8240402,1381737,189735,575241,3657,15013945,84157,159512,917504.00,0.10,0.10
,7592747,1970559,221759,1188193,6741,41125301,208639,79962,917504.00,0.10,0.10
,4509636,1132673,137440,864206,31271,15572298,96109,56497,917504.00,0.10,0.10
,10005915,1865217,205500,1077130,5948,38953972,208043,134011,917504.00,0.10,0.10
,4511938,1174745,125409,617868,11889,28565975,111983,45157,917504.00,0.10,0.10
,6739748,1935815,201524,1485718,4611,28466536,159086,76142,917504.00,0.10,0.10
,3516971,1066831,116989,584387,3381,12834395,77380,35220,917504.00,0.10,0.10
,23838103,3994508,445729,1418005,47236,56325197,198977,156153,917504.00,0.10,0.10
,10992596,2164416,179271,746085,98256,25213008,108436,89730,917504.00,0.10,0.10
,14116091,2386731,249908,1146785,24445,49559949,172419,130889,917504.00,0.10,0.10
,1030014744,191253669,8516952,24399531,943976,998460999,1982480,1490869,917504.00,0.13,0.13
,3835445650,719575551,31666239,76235372,2122559,3525787987,4667957,2822752,917504.00,0.13,0.13
,1694385359,320290927,11801451,34821927,1100300,1580095366,3158810,1789489,950272.00,0.16,0.13
,2383321552,461480584,17103873,40348799,2020915,2097225788,3031460,1670340,950272.00,0.16,0.13
,333065941,64817002,1966109,6198328,669133,324047833,904553,599581,1015808.00,0.16,0.13
,2342328459,434743469,20673673,54524337,1398308,2419042287,3858224,2649645,1048576.00,0.26,0.16
,3183612839,590784607,25096518,57100085,2211324,2720684767,3610913,2218071,1310720.00,0.49,0.39
,1854392487,355221735,13136825,35590763,1297025,1720878506,3177490,1553724,1343488.00,0.66,0.56
,1535882022,284427016,10614231,23688333,1310627,1258542872,1882801,1112233,1409024.00,0.72,0.56
,478185398,92453297,2564384,8733066,648692,515742449,1740895,1152925,1409024.00,1.02,0.85
,3550073426,682651063,29272055,77957913,3599685,3574116245,5701188,3715991,7602176.00,1.02,0.85
,3717218810,708149569,30060727,70410112,2798846,3346903352,5264823,3081828,9011200.00,1.02,0.85
,1706927023,315323693,14804925,34591700,1030598,1635465915,2502108,1562593,9142272.00,1.02,0.85
,1513148044,278073664,10640518,29012231,1064512,1426355953,2765150,1349602,10092544.00,3.74,2.26
,2150579707,451087028,12497023,34750732,3964978,2450071076,2985438,1654791,9240576.00,3.83,2.36
,3028150513,581674304,23317541,52362973,2567921,2631357615,3493759,1950541,14843904.00,18.45,13.96
,2431532757,450132326,18168600,43785077,2953892,2108431958,3014580,1661228,11894784.00,19.01,14.52
,1246046664,246159162,11136257,34022293,2175324,1372437661,3061819,2060602,11829248.00,19.01,14.52
,680485392,138794909,9189682,31405125,1961199,1226864535,3447576,2502809,12091392.00,19.63,14.78
,811354487,171110264,9497534,37766143,2261127,1488817391,3762288,2656324,12255232.00,19.63,14.78
,990505211,239251743,8697255,31521336,3031413,1923938082,3120759,2136586,12255232.00,19.63,14.78
,514952501,103798674,5429768,16454931,1519811,773468472,1703623,1178091,13795328.00,19.63,14.78
,513566121,96425092,6100607,24592790,1845336,930501558,2468359,1733160,13795328.00,19.63,14.78
,182928766,37352388,2289458,8189990,761811,357381446,930416,677209,13795328.00,19.63,14.78
,316345137,62871171,3487968,12719954,1246988,573136132,1399417,1065563,13795328.00,19.63,14.78
,181819595,41712445,2560180,9405352,641149,389689485,1126140,775202,13795328.00,19.63,14.78
,134737923,31452569,1934925,6525738,713962,277130736,856780,649728,13795328.00,19.63,14.78
,126173702,24761650,1601189,5642992,534764,258111712,709522,479019,13795328.00,19.63,14.78
,488988191,91657647,3774611,9883886,550694,429147034,815879,540921,14090240.00,19.63,14.78
,209280516,35824294,844398,4009967,341316,360389558,673007,475549,14090240.00,19.63,14.78
