,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,60381175,19634909,862155,3765331,276121,204107255,367243,152098,163840.00,0.00,0.00
,19993686,3680943,277643,1219895,128471,53343187,178813,97856,163840.00,0.00,0.00
,1086513362,216528875,8164999,21815044,704694,1050918111,1698220,1233512,163840.00,0.00,0.00
,820827881,170013605,5520331,20298293,1240622,934714040,2879718,1774107,1638400.00,0.00,0.00
,2064341357,386710508,18768338,51892490,1210877,2108475928,3548298,2588550,1638400.00,0.00,0.00
,3118246308,593957129,25055042,59053354,1820303,2866788535,4108279,2381607,1638400.00,0.00,0.00
,1234547024,231860111,8498589,24275078,1116349,1102860558,2229554,1186351,1802240.00,0.00,0.00
,14730350,2712052,249075,1223648,75946,45397532,189669,121805,1802240.00,0.00,0.00
,44950659,11316667,636599,2424961,225801,129746552,372815,175063,1802240.00,0.00,0.00
,6189825,1850961,177557,830761,58344,28532138,132404,94700,1867776.00,0.00,0.00
,11197594,2266444,150906,1182567,39886,26881876,113085,51012,1867776.00,0.00,0.00
,6462644,1865632,164392,1158338,22158,26103698,127775,115836,1867776.00,0.00,0.00
,20844252,4096940,303492,1049129,55974,35936012,136419,129850,1867776.00,0.00,0.00
,26127246,3116451,300885,1138576,30470,52285624,169138,159411,1867776.00,0.00,0.00
,29617514,4770757,389535,1758747,82076,50679289,159374,162137,1867776.00,0.00,0.00
,20683798,3273525,231662,1332856,30658,26743733,121050,81410,1867776.00,0.00,0.00
,6949454,1630002,155488,926505,42219,18928969,88785,55594,1867776.00,0.00,0.00
,7399559,1744718,320078,938176,38963,51363648,217265,62911,1867776.00,0.00,0.00
,9182935,1804652,235990,918556,19730,18841757,89462,42680,1867776.00,0.00,0.00
,35875243,6510115,422144,1532396,78803,45882630,129489,95211,1867776.00,0.00,0.00
,8258187,1844969,206668,956365,61193,22146587,113908,178439,1867776.00,0.00,0.00
,6525462,1541072,221041,1096397,50803,22209508,122579,112129,1867776.00,0.00,0.00
,4971516,1272473,170525,732881,28642,33676414,163776,56965,1867776.00,0.00,0.00
,32357376,5623395,367928,2345336,74352,62896101,183329,121906,1867776.00,0.00,0.00
,12120564,2603980,208735,1273420,31556,41099984,152146,88267,1867776.00,0.00,0.00
,10846021,2674756,180516,1139628,25608,21781967,120473,82863,1867776.00,0.00,0.00
,22343316,8377284,503058,1504454,193598,83516223,267645,238341,1867776.00,0.00,0.00
,1696638565,318716767,14105284,40975458,1006543,1734896990,3112955,2273121,14057472.00,0.00,0.00
,3306835024,617743039,26793319,63016464,1780201,2950907265,3920590,2285655,14057472.00,0.00,0.00
,1452851832,271769319,10824652,29491563,848807,1434957756,2792853,1481934,14057472.00,0.00,0.00
,2182254664,417467299,15131452,35296181,1349263,1905164804,2899455,1403692,14057472.00,0.00,0.00
,253187277,46948421,2268036,5504688,394666,261607443,566799,354023,14057472.00,0.00,0.00
,1976761126,378813825,15449548,43092807,1709029,2008018571,3931335,2008018571,14057472.00,0.00,0.00
,4519012968,876114119,35615631,97652553,4729350,4377532658,6464276,2791442,14647296.00,0.00,0.00
,2039109461,391816159,16123555,38341729,1209468,1837452485,3095523,3991242,14647296.00,0.00,0.00
,2288697119,439412016,17214424,42061734,1295176,2084111052,3423410,1652125,14647296.00,0.00,0.00
,2493677165,587774885,16743449,39554093,3737268,3369557201,3007750,1730130,14647296.00,0.00,0.00
,3523355473,654621291,26576818,53829028,3232666,2870461647,3556786,1880496,14647296.00,0.00,0.00
,4183429415,816511047,25411047,65435453,3914641,3735443859,4243837,1901963,14811136.00,0.72,0.39
,2359550266,402467270,12013252,47354512,2563613,2102872502,3994765,2690558,14680064.00,0.72,0.39
,1695167055,292061056,8447885,32820496,1680826,1543643505,3028201,3488168,14680064.00,0.79,0.46
,2075934908,357128165,10406711,38331026,1478548,1849104486,3415941,2899391,14680064.00,0.79,0.46
,2688186457,513280828,12806903,46714808,3237619,2470779501,3541900,3352013,16318464.00,0.79,0.46
,4734332845,828833862,20445184,77906208,7070206,3389997016,4882630,3246205,16318464.00,0.79,0.46
,4465625230,760420036,17122829,72592435,8510595,3428038718,5260658,3551418,21200896.00,0.79,0.46
,3200975095,595122821,11263874,45874869,4769063,2720390346,3241982,3894780,24641536.00,0.79,0.46
,443664247,76305586,2046415,3598816,804777,347756967,349708,3429183,24641536.00,0.79,0.46
,241131694,43990412,1428327,7756334,713776,293404464,447023,279721,24870912.00,1.28,0.79
,2431558165,402292160,9905355,36744149,3765644,1839624136,3319786,353939,25001984.00,1.28,0.79
,367893451,69266556,1977224,12422088,1734737,471295920,803328,3123202,25001984.00,1.28,0.79
,378252414,62264620,3052801,11051453,1581963,435037439,983089,504128,26247168.00,2.88,2.06
,206222832,40204135,1779914,5367088,328174,211502532,525979,628788,27852800.00,2.88,2.06
,198256505,38006709,1106438,3774683,537378,230943643,480451,302524,27852800.00,2.88,2.06
,291706,,,
