,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,8726386,2236036,192594,1105452,114246,36035467,-1,-1,0.00,0.00,0.00
,16908479,3269193,249401,1165419,144543,46540542,106137,23436,0.00,0.00,0.00
,1079642051,223452279,8061843,22480296,843577,1060590936,1604861,1125036,32768.00,0.00,0.00
,744241980,156970597,5240008,17252300,787211,809435248,2775648,1629442,98304.00,0.00,0.00
,1707083601,315883352,15748299,43100077,1234926,1773905387,2930129,2255496,98304.00,0.00,0.00
,2803880936,528900766,23937866,59431799,1824499,2626833561,3749826,2620954,131072.00,0.00,0.00
,1950371957,367548004,14244333,38668915,1340569,1830439646,3251860,1984844,163840.00,0.00,0.00
,146007283,26032842,1174478,3866155,343795,185228023,437128,281517,196608.00,0.00,0.00
,22334146,3566574,214815,1074978,155918,35185020,152376,86054,196608.00,0.00,0.00
,10940649,3854764,335334,696465,110129,23664023,118286,110898,196608.00,0.00,0.00
,10056322,2150793,220318,1252309,90692,23212774,117637,118302,196608.00,0.00,0.00
,6069338,1245510,146492,1033806,36279,10996480,67526,61074,196608.00,0.00,0.00
,15383628,3323220,259328,1053458,25064,50123316,177217,85197,196608.00,0.00,0.00
,6566240,1596962,197215,933105,26720,19468267,102683,69632,196608.00,0.00,0.00
,12265774,3198551,300932,1716647,45855,50255609,192116,145997,425984.00,0.00,0.00
,4409560,1160418,151748,718474,18064,14368509,82509,79099,425984.00,0.00,0.00
,10124454,1815235,220083,1123410,40468,40345377,186102,111543,425984.00,0.00,0.00
,7298217,1462391,158468,723798,69555,47097373,133636,91217,425984.00,0.00,0.00
,6975817,1869694,205708,1233096,112538,74504226,174314,77940,425984.00,0.00,0.00
,9376756,1843360,168142,836590,26704,19826480,96920,61815,425984.00,0.00,0.00
,5027031,1224297,176371,980213,25051,32166104,133017,136162,425984.00,0.00,0.00
,7402639,1205221,158071,700222,24942,19295058,86305,61406,425984.00,0.00,0.00
