,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,86163339,20233058,931297,3822551,404276,185292725,477836,329400,0.00,0.00,0.00
,23335972,3955899,258791,1060535,117407,46812454,166303,94462,0.00,0.00,0.00
,1054907387,229344953,8238823,23265193,811561,1137648820,1911323,1468752,0.00,0.00,0.00
,838497188,181946897,6364189,21295383,1030605,1024166836,2861619,1796526,65536.00,0.00,0.00
,2107709155,398738193,19915211,54230149,1244851,2219992229,3693783,2741192,65536.00,0.00,0.00
,3301319039,624379669,23866510,53488226,2609506,2851679194,3826489,2302363,65536.00,0.00,0.00
,1238895500,236290388,8873631,25102944,1054654,1148472147,2118422,1239110,196608.00,0.00,0.00
,35489959,10039481,524314,1140840,124530,90182899,278017,140788,196608.00,0.00,0.00
,7516392,1663913,207490,1110983,40317,39492363,179407,81002,196608.00,0.00,0.00
,5322804,1220924,138951,699733,9791,23690042,125394,46372,196608.00,0.00,0.00
,7194063,2131699,232021,1045746,27174,27423854,147319,86067,196608.00,0.00,0.00
,4936351,1311670,171062,694108,49841,21024563,102844,109268,196608.00,0.00,0.00
,41319083,3689675,264898,1240671,250581,52679797,164858,81456,196608.00,0.00,0.00
,4180940,911962,144979,966536,14101,18218255,89584,51966,196608.00,0.00,0.00
,31484951,7408839,490007,2284823,94007,62745459,245484,112137,196608.00,0.00,0.00
,12814412,2548096,156958,778665,16364,24633530,105645,87917,196608.00,0.00,0.00
,29861477,4734443,279651,1160852,53625,36313206,116862,76596,196608.00,0.00,0.00
,6096361,1495982,191376,934090,30723,26441259,120077,111839,196608.00,0.00,0.00
,9780380,1856651,220215,1080356,20185,21782344,130391,20185,196608.00,0.00,0.00
,5033364,1180964,159578,763662,25615,31833940,104401,143023,196608.00,0.00,0.00
,10297407,1955671,215883,1214937,20826,25069051,129470,5033364,196608.00,0.00,0.00
,4384443,1052366,129156,875788,15222,17625684,84878,44387,196608.00,0.00,0.00
,7738337,1772967,232294,1160067,16823,35827348,158030,159661,196608.00,0.00,0.00
,10558900,1765895,218671,764741,17185,18320445,90007,88807,196608.00,0.00,0.00
,10651495,2291708,183737,1094967,8305,28614958,141903,83411,229376.00,0.03,0.03
,4149017,1093388,168278,876001,8173,28133592,106212,58821,229376.00,0.03,0.03
,7423377,1912574,215928,1098846,7875,42716476,191798,168224,229376.00,0.03,0.03
,1175278506,215372987,9679587,27846166,762627,1264712905,2445511,229376.00,262144.00,0.62,0.36
,3701491453,689171368,30801666,72641134,2657536,3232391170,4307923,0.03,524288.00,0.62,0.36
,1568944595,300161426,11697779,34035383,1142283,1587076654,3100682,0.03,655360.00,0.62,0.36
,2292009689,442062629,16206531,39867885,1459219,2028933767,3060143,4149017,655360.00,0.62,0.36
,545695707,98430402,3072748,7787013,625249,496913812,1084212,1093388,655360.00,0.62,0.36
,3279202947,634650542,26140770,66906504,2527752,3158376143,5318863,168278,655360.00,0.62,0.36
,3701981746,719259473,30020070,75050714,3365346,3548702451,5415843,876001,884736.00,0.62,0.36
,1958252055,377186350,18102693,39832145,1236730,1982660337,3044656,8173,884736.00,0.62,0.36
,1836837737,352985653,12600406,36017127,1228471,1897905599,3514735,28133592,884736.00,0.62,0.36
,2910801127,593412078,19757530,47287501,4569705,3071472757,3548506,106212,884736.00,0.62,0.36
,2878648290,544396563,22592680,46253885,2812296,2428691926,2718671,51676,884736.00,0.62,0.36
,3530699526,650642368,26161969,64438545,5049521,3131293593,4074084,71820,3440640.00,6.46,3.67
,553775557,106200192,5655137,13950774,1106388,664980696,1411179,1757598,1867776.00,6.46,3.67
,122707998,21052773,486272,3492392,336291,150550333,376989,2705658,1867776.00,6.46,3.67
,1704967,,,
,1832413,,,
,673310,,,
,3763966,,,
,3349996,,,
,1953905,,,
,1819995,,,
,2081444,,,
,1394802,,,
,2890037,,,
,1050175,,,
,218557,,,
