,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,6603518,1939999,208529,1102661,101319,34567676,-1,-1,0.00,0.00,0.00
,20313309,3538155,248894,1120027,125009,44875499,144230,36913,0.00,0.00,0.00
,1100422709,228726733,8123282,22340953,850757,1087509826,1976757,1326333,0.00,0.00,0.00
,822388712,177058208,5371143,17057351,1151229,933150024,2910432,1403208,1212416.00,0.00,0.00
,1848526079,351601542,17551135,48795922,1179166,1993442469,3273834,2483491,1245184.00,0.00,0.00
,3153168302,600885988,25516639,61636970,2411496,2916564252,4049761,2466566,1245184.00,0.00,0.00
,1468735523,275198709,10170646,28788874,1332143,1433186572,2759109,1379162,1835008.00,0.00,0.00
,138640781,29188883,1084633,3411015,547941,253422391,391383,186626,1835008.00,0.00,0.00
,13676690,2612363,227452,1442672,58731,42252861,170637,81196,1835008.00,0.00,0.00
,11791225,2692018,226999,851558,21496,22667838,118221,83322,1835008.00,0.00,0.00
,10003786,2376405,202577,1416670,21236,29032959,147966,82086,1835008.00,0.00,0.00
,24385739,7366788,183732,1029357,234083,39867586,171571,112656,1835008.00,0.00,0.00
,12460887,1809711,235380,986406,77716,19943503,109615,107761,1867776.00,0.00,0.00
,4833051,1359726,121371,715660,7021,22120832,100473,53053,1867776.00,0.00,0.00
,6308296,1637796,227220,1062643,41816,36099970,142936,217047,1867776.00,0.00,0.00
,12287323,2565839,244760,1200257,56983,26335784,134932,143715,1867776.00,0.00,0.00
,9104359,1817730,229329,1375698,34950,47724523,200184,112933,1867776.00,0.00,0.00
,5187851,1188098,129712,765972,10508,14183861,81707,104502,1867776.00,0.00,0.00
,6576104,1464701,259692,897913,7694,35713238,150653,86626,1867776.00,0.00,0.00
,4854444,1064460,151553,817782,6214,36707720,151414,51023,1867776.00,0.00,0.00
,6853931,1601578,206141,1424576,5912,23850111,138833,64624,1867776.00,0.00,0.00
,26165088,3458853,234010,815148,39420,19422699,92121,56051,1867776.00,0.00,0.00
,6735967,1716887,227411,1267301,18836,49351185,149573,126245,1867776.00,0.00,0.00
,5063690,1245329,171410,664210,3468,39173780,132642,47552,1867776.00,0.00,0.00
,8746860,1661755,198654,933236,10235,24236113,123826,54914,1867776.00,0.00,0.00
,5794940,1423736,152261,674663,20058,17394643,86494,49906,1867776.00,0.00,0.00
,32360197,4702462,354264,1820733,64567,57391225,200810,190621,1867776.00,0.00,0.00
,679794150,129337381,4295849,13570186,586870,656257657,1240647,840414,5308416.00,4.06,2.95
,2611232742,486492319,22859863,62215723,2034156,2511944847,3983741,2789337,6094848.00,4.06,2.95
,2719036853,512291389,21710651,52208261,1644436,2483967014,3392785,2004168,6094848.00,4.06,2.95
,1930917748,364927057,13338968,37513635,1142102,1747092520,3237122,1712161,6094848.00,4.06,2.95
,1176310564,233493770,8334044,21125282,1010007,1046396379,1637377,907974,6094848.00,4.06,2.95
,830641634,158083720,6337742,19945297,812168,947672214,1931338,1422687,6127616.00,4.06,2.95
,3011993041,561605548,26528988,66949382,1886468,2942641681,4381378,2803811,6127616.00,4.06,2.95
,2513784984,469259935,18304041,45896889,1584230,2219888140,3505467,1896342,6127616.00,4.06,2.95
,2581739713,494615477,17801411,45587332,1784479,2294456341,3532180,1793650,6193152.00,4.06,2.95
,234809359,44649556,1589534,5275628,553827,266249680,634677,330082,6488064.00,4.36,3.05
,2276040244,439657284,18103864,48778692,2065638,2413763280,4493562,3286561,6291456.00,4.36,3.05
,4012819013,783963151,32498607,86129916,4207555,3951416766,6268313,3881346,6815744.00,4.36,3.05
,2239485219,412139514,17481426,40302603,1553508,1875469118,2823483,1756498,6979584.00,4.36,3.05
,1783146672,339581773,11474551,31394254,1326419,1656573894,2901461,1469255,7241728.00,4.36,3.05
,2034192418,445066356,13672364,37184588,1933066,2432521197,2907578,1782996,7372800.00,4.36,3.05
,2655743894,552737153,19581631,42268558,3448556,2619158267,3064427,1875798,7372800.00,4.46,3.15
,2679757946,506754595,21397405,47427411,3236125,2437484494,2939498,1741380,7405568.00,5.08,3.51
,3104272908,577326114,18250385,44903918,2413780,2470115670,2867837,1757182,7438336.00,5.08,3.51
,3007610848,582965147,10886141,27553550,1867209,2358146823,2172415,1409499,7602176.00,5.90,4.19
,3830598208,1247549222,5996945,25067787,6325407,8567996264,2536530,2285701,7602176.00,5.90,4.19
,3382548156,562111436,10127682,18518662,2279631,1847251858,2751315,359891,7602176.00,5.90,4.19
,4408612707,767306451,17561024,41115179,3420279,2817118887,3892593,825002,7864320.00,5.90,4.19
,1897035040,339517929,9074953,29283232,2309767,1370023428,2777597,1179310,8650752.00,5.90,4.19
,1003462124,194369250,11905327,39665444,2444792,1535433769,4276138,2955825,8650752.00,5.90,4.19
,760840646,148749547,9936721,36406750,2207327,1298345293,3830595,2698337,10354688.00,10.72,7.11
,133172396,28207911,1812049,9860063,519135,274237379,950795,665251,10420224.00,10.72,7.11
,712217635,137540128,9282965,32983391,2131458,1181559018,3362229,2713433,10420224.00,10.72,7.11
,58159602,11212429,902361,4457518,435958,136720644,474945,339928,10715136.00,10.72,7.11
,232440800,44141518,2772247,11824248,897252,419980970,1215300,805454,10715136.00,10.72,7.11
,559811197,111525240,7439481,29472215,2080250,1084481718,3044462,2085409,11468800.00,13.76,9.34
,770749169,143458847,7001089,22018216,1245999,866210733,7001089,1259060,11403264.00,13.76,9.34
,277085292,44945875,1027089,5263853,789234,380884374,1912820,593951,11403264.00,13.76,9.34
,943410,,,,
