,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,7586130,1764313,207042,1090206,101624,33754609,-1,-1,32768.00,0.00,0.00
,26878306,7077564,420653,1976279,190529,82383799,181023,55502,32768.00,0.00,0.00
,866124513,183140251,6926253,18924592,765649,987021771,1862090,1314048,32768.00,0.00,0.00
,738956508,159762033,5233687,20139522,1054247,919062177,2423356,1494539,32768.00,0.00,0.00
,1360711581,249923511,10772881,34381401,1355861,1358885707,3036260,2346543,32768.00,0.00,0.00
,2657353509,495037117,23138183,59677361,1721377,2740440192,3954776,2825098,360448.00,0.00,0.00
,1870223859,358389923,14388986,35610889,1135218,1778017288,2988319,1839030,425984.00,0.07,0.00
,1065299606,204002306,7673324,20356741,1204334,1019532959,1831898,1092107,655360.00,0.07,0.00
,46287676,7814661,440388,1766824,124064,76018638,230614,141151,655360.00,0.07,0.00
,8604104,2190507,157534,951753,61566,27231406,141286,69728,655360.00,0.07,0.00
,6274881,1721370,296197,858643,17896,25445816,135873,102449,655360.00,0.07,0.00
,5579472,1612616,214907,1015810,15780,21790914,119500,131035,655360.00,0.07,0.00
,11393066,1670433,253601,854901,11088,24729500,134102,89049,655360.00,0.07,0.00
,13623730,2743749,181897,776997,28255,29389052,122883,76918,655360.00,0.07,0.00
,37819080,5561545,388223,2255414,64896,62410267,228147,139258,655360.00,0.07,0.00
,7875332,1827838,193577,969011,52196,19484469,127304,118634,655360.00,0.07,0.00
,74272793,16365166,730718,2762428,133653,120272174,308730,182753,688128.00,0.07,0.00
,10546471,2812907,201049,1266630,24160,34888665,130431,57725,688128.00,0.07,0.00
,10689923,2220938,221228,1015856,46201,23793987,108393,71838,688128.00,0.07,0.00
,21842319,5399292,362209,1674209,97500,47634856,201382,108452,688128.00,0.07,0.00
,5907459,1635736,183142,1282183,26018,44299493,182326,235213,688128.00,0.07,0.00
,7399564,1559083,163980,891643,22088,18357611,111926,99431,688128.00,0.07,0.00
,8205620,1800407,199105,1113411,55037,43463428,136324,100684,688128.00,0.07,0.00
,4905760,1179771,128235,920716,12275,29000255,119608,186198,688128.00,0.07,0.00
,9335554,1763538,159188,1067909,21870,51412745,191598,71599,688128.00,0.07,0.00
,4702612,1214130,362984,840181,35471,30702473,126917,118017,688128.00,0.07,0.00
,15003694,1717998,191510,891249,6845,25245263,135499,90361,688128.00,0.07,0.00
,30224285,3929968,257663,1618065,61202,38588019,148307,74395,688128.00,0.07,0.00
,1079437174,192966800,8609072,26317454,862310,1118497184,2348975,1683464,720896.00,0.07,0.00
,3516670162,657087370,29506426,70872107,1939604,3148974412,4261521,2813964,753664.00,0.07,0.00
,1593178725,305881258,12109849,31628055,964642,1548509117,2752972,1551505,753664.00,0.07,0.00
,2262468109,430283588,16372098,39882534,1294999,2087192890,3158187,1668190,786432.00,0.07,0.00
,475733403,85029469,3338321,8599987,471158,394889080,812016,517530,884736.00,0.16,0.10
,1638928588,309901432,12146412,35736270,1691123,1903620539,3919103,2656727,884736.00,0.16,0.10
,4233425389,823171193,34476325,94532171,4388669,4224631233,7129804,4401640,884736.00,0.16,0.10
,2979656100,568575517,24435215,55581058,2294030,2636553842,4094902,2265636,917504.00,0.26,0.16
,1411604083,267228828,10333415,28606043,1198240,1428241669,2971315,1638407,917504.00,0.26,0.16
,2713916242,602415540,16490574,38434550,3776562,3054774537,3021038,1503481,917504.00,0.26,0.16
,3663020424,696516177,29073168,63612920,3185909,3216033040,4106116,2368693,917504.00,0.26,0.16
,3199026944,603903787,24899900,64071184,5087434,3065384774,4056849,2513778,1277952.00,0.26,0.16
,1267801848,247132764,11214892,33974541,2020441,1619448803,2838162,2238393,1409024.00,0.26,0.16
,191376834,33905528,1067176,3872376,315688,324009183,451395,307773,1409024.00,0.26,0.16
,66080613,10286168,399553,1606597,184483,75619602,184712,148177,1409024.00,0.26,0.16
