,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,8079968,1899985,217709,1121042,44611,32902011,-1,-1,65536.00,0.00,0.00
,23038349,3804946,290141,1331337,118300,49957370,172095,35131,65536.00,0.00,0.00
,1045080758,235162149,8343595,23567832,1297956,1094825858,2100471,1411052,65536.00,0.00,0.00
,741735939,157704386,4981086,15882851,967314,794316865,2664594,1377476,262144.00,0.00,0.00
,2129926649,391112576,18900453,53636349,1380647,2158389350,3579269,2532030,262144.00,0.00,0.00
,2979290628,561796192,24374258,57739101,1864621,2792901055,3661330,2248213,262144.00,0.00,0.00
,1338076491,252443382,9214052,26796771,1236380,1276124224,2508862,1374965,262144.00,0.00,0.00
,50979303,11856312,809608,3498342,159779,133754041,340769,304995,294912.00,0.00,0.00
,10530855,2164323,212135,973773,89713,49807387,151828,84135,393216.00,0.10,0.10
,14634310,2092751,145442,1209180,8483,30591551,138874,104857,393216.00,0.10,0.10
,10025057,2232793,149569,1483325,31061,51317974,206353,83977,393216.00,0.10,0.10
,9925597,3366512,312527,691423,30710,25276655,129925,70535,393216.00,0.10,0.10
,12358377,2364850,260479,872913,16966,27125209,145055,75710,393216.00,0.10,0.10
,11944986,2409313,291791,839916,66891,29036847,132436,86166,393216.00,0.10,0.10
,9737323,2780752,247722,1328135,53109,55792550,236750,108411,393216.00,0.10,0.10
,6368736,1492310,221089,591514,11440,14007004,90298,68023,393216.00,0.10,0.10
,10959482,2658210,196722,1134757,24216,33737971,167479,82679,393216.00,0.10,0.10
,6163021,1596712,159916,719047,8787,16859951,88584,60651,393216.00,0.10,0.10
,6706612,1783353,176197,925415,13145,31476331,135927,73254,393216.00,0.10,0.10
,14854973,3372195,272613,1037870,79207,32619486,123292,49527,393216.00,0.10,0.10
,9372538,2408100,207676,1179894,36837,24680771,134807,84973,393216.00,0.10,0.10
,6370775,1510790,174991,680338,3991,26095636,124454,43503,393216.00,0.10,0.10
,8734324,2154223,218651,926499,7032,27045603,157675,64121,393216.00,0.10,0.10
,5616758,1385105,224784,630982,13678,19696851,113774,130259,393216.00,0.10,0.10
,6503054,1488798,174517,1138889,22034,34129391,137275,118281,393216.00,0.10,0.10
,6582905,1549354,183132,1242975,13949,23655778,115630,59556,393216.00,0.10,0.10
,56740288,9102212,763167,1702425,155266,88929018,285043,269752,393216.00,0.10,0.10
,2129598560,384624811,17147349,47290734,1048852,2107034636,3517503,2501197,458752.00,0.10,0.10
,3162467239,592903382,26448813,63818720,1705428,2949920391,3879299,2332012,2424832.00,0.10,0.10
,1952307164,360267379,14217345,36804667,1180884,1845501771,36804667,1742889,2424832.00,0.10,0.10
,1748483994,339273785,11840222,29224447,1385992,1478931715,3314643,1175496,2457600.00,0.10,0.10
,336508869,66710365,1645111,6557205,710311,331789493,2347229,653617,2588672.00,0.10,0.10
,2079323495,395749103,18331212,49925291,1159943,2086013300,991723,2361345,2719744.00,0.26,0.16
,3047496356,587682411,25773898,59452516,1722173,2795721217,3264613,2346764,2654208.00,0.29,0.20
,1305833739,242183402,9815243,26736250,1078009,1351017201,3869161,1406152,2621440.00,0.29,0.20
,2406149068,458301087,16154514,37900197,1545267,1930611579,2635260,1347925,2621440.00,0.29,0.20
,262748241,47705858,1885149,5770726,493081,268824284,458301087,421728,3637248.00,1.47,0.98
,2238252971,445181073,18408132,53270143,2057168,2519424462,2779587,3479279,3211264.00,1.47,0.98
,4065531308,779272597,31806801,84957893,3794481,3892607130,674400,3885097,3604480.00,1.47,0.98
,2273582675,433096007,18590106,38484871,1523157,1966468748,4817798,1438209,3604480.00,1.47,0.98
,1431057062,271928615,11964828,31662098,1172085,1396120278,6481626,1619120,3604480.00,1.47,0.98
,1568968177,301685612,11129567,29482325,1388414,1498040656,2489247,1416644,3604480.00,1.47,0.98
,2291373975,458494789,15919079,39569610,3462604,2285159377,2927626,1413185,4325376.00,1.47,0.98
,2910697592,538191048,22687022,45947901,2865240,2399818734,2599910,1560211,4325376.00,1.47,0.98
,4421864569,845831802,28226843,69950786,4105873,3789658413,2826677,2032584,6422528.00,1.47,0.98
,2859620882,513982453,18537257,49388827,3823463,2353141904,2828542,2379356,6422528.00,1.47,0.98
,2168781528,405732930,20368465,56293686,3883340,2439966587,3885589,3289197,7241728.00,1.47,0.98
,1752546815,348926371,15512957,48479151,3084746,1989219653,3596426,2744003,7274496.00,2.26,1.08
,495345171,104451954,6108848,24356077,2138469,967688541,4957285,1804437,7700480.00,2.26,1.08
,735417201,166230047,6825112,23139862,2341454,1298557055,3985446,1921375,7831552.00,2.49,1.31
,312742369,62709555,3235356,9650331,951085,444936381,2374485,523430,8093696.00,2.49,1.31
,651218921,123810598,7638554,29853794,2260270,1118267485,2568440,2057134,8847360.00,2.49,1.31
,143494515,31577748,1968008,7503700,789366,271548070,803868,718253,9076736.00,2.72,1.51
,239031670,46127420,2803773,11436836,850459,390818810,2966204,865622,10289152.00,4.78,2.85
,315569498,62628937,3982798,17891006,1482126,634406336,861281,1349008,11141120.00,4.78,2.85
,484773071,88465217,4198130,12862628,775515,506304296,1138112,752178,11141120.00,4.78,2.85
,235127455,46094855,1738711,5447347,541720,334802748,1776335,511118,11141120.00,4.78,2.85
,8941902,2670377,166126,298643,65243,16658896,1053530,29108,11141120.00,4.78,2.85
,894074,,,,
,36302,,,,
