,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,67670650,21200367,1000733,4066129,352502,225344282,468332,222040,0.00,0.00,0.00
,21969932,3370417,270199,1491498,86301,48236796,172672,131330,0.00,0.00,0.00
,1160570211,248405671,8929695,23916490,994629,1238627836,1854325,1502595,196608.00,0.00,0.00
,812269075,179319160,5599073,17622440,1182593,1071817236,2656791,1569282,1933312.00,0.00,0.00
,1739419413,327314593,15950044,46784912,1294733,2031388658,3579985,2755604,1933312.00,0.00,0.00
,3030597195,567966007,24657392,63095595,1874107,2949847018,4043668,2593232,1933312.00,0.00,0.00
,2086106928,400357070,15268075,41220679,2034380,2046988225,3406103,1971488,2129920.00,0.46,0.07
,195566797,36281488,1549875,5826722,377110,244515386,651505,400066,2129920.00,0.46,0.07
,15395189,2766341,197158,989303,117310,29872513,149978,129650,3145728.00,0.46,0.07
,5545106,1220594,122727,672645,10345,27395078,95648,83687,3145728.00,0.46,0.07
,9553892,1932312,227569,898293,36832,27852308,133364,93805,3145728.00,0.46,0.07
,9618731,2527954,218808,951898,44377,24505078,121307,76759,3145728.00,0.46,0.07
,21217785,3808779,216610,1236689,84026,28537623,144240,136780,3145728.00,0.46,0.07
,18793598,3855420,233164,2055275,36938,59307841,181029,145820,3145728.00,0.46,0.07
,10989144,2360886,254828,964578,19827,43658923,159459,79441,3145728.00,0.46,0.07
,8668621,1705189,275365,581628,18081,32056194,125251,54920,3145728.00,0.46,0.07
,12419555,2734458,201196,968847,32305,43507691,172161,70650,3145728.00,0.46,0.07
,15076788,2849328,167204,833232,40569,24614455,112489,81995,3145728.00,0.46,0.07
,13821348,3227508,275587,1759479,127594,43351485,191205,141943,3145728.00,0.46,0.07
,7758681,1126677,123500,728642,25744,29506498,151200,60414,3145728.00,0.46,0.07
,14650399,2681805,163483,1045182,60747,26991652,129401,91691,3178496.00,0.46,0.07
,7004087,1593416,311490,782982,11592,30996091,106619,67198,3178496.00,0.46,0.07
,9309502,2096793,297050,993098,26448,42062344,165416,130036,3178496.00,0.46,0.07
,5879118,1354966,182169,857682,5438,19026817,97935,49590,3178496.00,0.46,0.07
,11651182,2631512,248271,1448325,30192,50063804,208228,79758,3178496.00,0.46,0.07
,5740720,1403553,150980,1454082,11253,23451802,104387,73785,3178496.00,0.46,0.07
,14058679,3879186,410413,871569,34168,44195228,183989,148134,3178496.00,0.46,0.07
,388132441,75296008,2250102,6526564,373449,374722724,893552,534111,3211264.00,0.49,0.10
,2382384986,448736283,21803932,59935300,1600490,2490261694,3893139,2780424,3637248.00,0.49,0.10
,2722467598,507310694,21329489,48700181,1409858,2346600751,3162977,1846814,5242880.00,2.79,2.20
,1846297078,352104918,13551282,37900653,1216438,1723157589,3220393,1609285,3702784.00,2.79,2.20
,1485313718,279020154,9800512,23785367,969580,1252805207,2019133,1216755,3833856.00,2.79,2.20
,550083130,102063037,2599604,9333096,735724,517848297,1852782,1134215,3899392.00,2.79,2.20
,3546222915,684059882,29834123,80404215,2572482,3694495420,5313685,3805314,4096000.00,2.79,2.20
,3770786187,716028541,30437344,80218021,4318779,3648225196,5883033,3548231,4096000.00,2.79,2.20
,1597107766,299949820,11613420,31485556,1091555,1583331624,3081694,1754478,4161536.00,2.88,2.29
,2317668255,449241580,17699942,47150391,1790650,2205527648,3559335,2160592,4128768.00,2.95,2.36
,3692853750,853947674,23128325,49127636,4165428,4739967939,3463552,1945515,6356992.00,2.95,2.36
,2757098913,525672147,19592459,43684048,2924167,2171240912,2698462,1198275,6356992.00,2.95,2.36
,4673140026,908622457,27879452,71844423,4932674,3947643271,4570542,2940364,6356992.00,2.95,2.36
,2466096667,435173718,12466030,47085317,2922479,2177150127,4158222,3722640,6356992.00,2.95,2.36
,2492564141,432498572,11249168,45198113,2224313,2212332271,4062284,3772353,6356992.00,2.95,2.36
,3647885832,720689183,15038001,56891026,3223234,3699942565,4527986,3870911,6356992.00,2.95,2.36
,5123073290,901933409,20971956,72518278,7326123,3537616952,4829457,3325342,6356992.00,2.95,2.36
,3649314456,617536251,16279505,61863888,5639072,2664599501,4564997,2922258,6356992.00,2.95,2.36
,2461613968,405985675,9911205,38984325,3132793,1739463294,3041913,2713883,6356992.00,2.95,2.36
,2671421479,474239774,11615818,42098979,3658005,2047454820,3428031,3222261,6356992.00,2.95,2.36
,2669029453,512192869,9387832,33829638,3232256,2718880257,2766359,2763568,6356992.00,2.98,2.36
,2925170791,515784296,15706265,44290264,3530622,2377768448,3303248,2684824,6717440.00,8.39,4.59
,3842381105,681918187,16336240,56442078,5693992,3009309392,4278744,3519130,7012352.00,8.39,4.59
,447546403,77799069,1755457,4000600,577287,302698232,411289,393614,7012352.00,8.39,4.59
,207818784,37567960,1080778,5496297,509470,195337280,343098,327155,7012352.00,8.39,4.59
,2773382047,507595333,13777963,40879046,2418709,2224762320,3729671,3351819,7012352.00,8.39,4.59
,3600073742,642739547,14661066,49311625,3307136,2781870960,3949607,3564613,7045120.00,8.65,4.59
,2774196215,469723935,11955558,43084525,1486390,2228842440,3708446,3536259,7045120.00,8.65,4.59
,1886301086,327369609,9057976,31684917,1214492,1607652770,1886301086,2952742,7045120.00,8.65,4.59
