,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,8286440,2032452,243460,1224031,86554,37766129,147858,-1,0.00,0.00,0.00
,17977587,3616735,259837,1098881,89347,46554884,125372,24019,0.00,0.00,0.00
,1485172382,303841191,9265994,37505255,3932253,1706823980,2873600,1673875,294912.00,0.00,0.00
,1206209441,249880926,6159611,36683358,5052375,1483568606,3379468,1890045,1507328.00,0.00,0.00
,2337534923,442338225,16503271,65718494,6540987,2648558889,4108135,2810129,1507328.00,0.00,0.00
,3263816118,621219113,24882185,76871954,7695931,3427636468,4642865,2881876,1507328.00,0.00,0.00
,1970097339,389480499,12819421,48197878,5077942,2223685106,3887346,1974071,1572864.00,0.00,0.00
,708036697,128233490,5489545,14536876,874994,734617260,1138365,674442,1671168.00,0.00,0.00
,101418372,16829224,268585,1456014,296463,92993387,178904,132579,1671168.00,0.00,0.00
,40684418,7827838,233300,1475448,162080,43058587,127353,81622,1671168.00,0.00,0.00
,19149508,5496516,227829,1144462,210282,40471970,165776,121315,1671168.00,0.00,0.00
,27335991,3188457,196923,656932,82752,42141441,67685,72038,1671168.00,0.00,0.00
,36284038,7239520,281870,1670095,155847,40672394,120119,83188,1671168.00,0.00,0.00
,43250374,7062850,154085,844686,76089,45622896,129027,83578,1703936.00,0.00,0.00
,21996343,5630661,199024,1245769,158729,41393088,172264,127273,1703936.00,0.00,0.00
,26472064,3803055,276900,1070579,73622,37147378,126312,98287,1703936.00,0.00,0.00
,38664891,7931829,236511,1681390,115462,27932455,113144,122526,1703936.00,0.00,0.00
,458797216,95844943,3160979,22102953,2791276,791282484,1429439,1047022,1703936.00,0.00,0.00
,522335998,100125269,2178479,19763116,3644146,709868064,938671,476100,1736704.00,0.00,0.00
,548010907,107840642,1981293,20200950,3643658,716691937,808014,317780,1867776.00,0.00,0.00
,225804924,45522934,889965,8424162,1526751,306361417,406324,197796,1867776.00,0.00,0.00
,450117646,85258425,1905993,6603317,654902,437405246,1003012,570649,1867776.00,0.00,0.00
,2359312422,449714387,21389807,58007510,1652979,2575120739,4010300,2743861,3276800.00,0.00,0.00
,2696206746,499539536,21405402,50472390,1921173,2385196042,3117163,1947250,3276800.00,0.00,0.00
,1349237369,252734335,9684646,29032775,1001240,1406044222,2862026,1691275,3276800.00,0.00,0.00
,3672126564,700673445,26832234,72931631,3482495,3485314509,6045897,3815887,3276800.00,0.00,0.00
,3323109927,630926822,28447991,67796452,2357654,3153389706,4368698,2852444,3276800.00,0.00,0.00
,1940366743,366463584,14637222,38470987,1184636,1802438767,3012609,1718153,3276800.00,0.00,0.00
,2401412851,451355263,16870012,41965491,1542708,2165134802,3378650,1779715,3473408.00,0.00,0.00
,479469596,92574603,3775526,9048526,520452,440787693,797292,505761,3538944.00,0.00,0.00
,1962428771,374394897,15059631,43016280,1607453,2114919866,4459218,3130957,4227072.00,0.00,0.00
,3840313929,746207619,31024585,90318312,3340893,3810645297,6523710,4017151,4685824.00,3.21,1.84
,2804792043,531806647,22046778,50653101,1923897,2531651678,3625479,2061034,4653056.00,3.21,1.84
,2581521552,493918521,17754385,44975594,1719783,2205930295,3491322,1875833,4653056.00,3.21,1.84
,2341435431,523749917,14478234,46395094,4126491,2944348304,4139698,2751355,4653056.00,3.21,1.84
,2764733700,525166086,17109115,71428769,8343789,3027922478,4451629,2759535,4882432.00,3.64,1.97
,2606913976,496665797,21286106,58002895,2890493,2514431994,3731861,2378103,4882432.00,3.64,1.97
,3808204710,716226125,29579766,60738329,4796980,3289195798,4048135,2106201,4947968.00,3.70,2.00
,2639769510,523174831,12821703,35700023,2514537,2203254481,2302845,1688086,4947968.00,3.70,2.00
,1914118042,396262728,1792802,13419114,1879445,1210532264,1176055,954845,4947968.00,3.70,2.00
,3796133039,691506271,14537226,40014960,6870066,3281350129,2449453,911179,4947968.00,3.70,2.00
,2236885864,344978841,3003663,8802709,2332291,1458621225,3140170,177745,4947968.00,3.70,2.00
,2802415792,438263660,5689207,10897627,1067067,1651428128,4512204,525625,4947968.00,3.70,2.00
,1551122643,266908068,3584583,12219477,3463032,1180563445,2080673,1032667,4947968.00,3.70,2.00
,1664144830,332897643,2806494,13299153,2380948,1264733350,1402396,895356,4947968.00,3.70,2.00
,3972706324,1290736771,5547089,23901974,5765552,8896457330,2194449,1611667,5013504.00,6.98,4.46
,3133242701,483662927,4610800,8834809,1524285,1558931154,4231359,268800,4718592.00,6.98,4.46
,2978283870,486448343,6248739,15454806,3044653,1803381902,3862408,659547,3571712.00,6.98,4.46
,3014605839,537757526,13323771,32151364,3719539,2360548316,2520059,1312668,4554752.00,6.98,4.46
,1977378117,346044463,3121748,9951320,2280194,1293478383,574380,912943,4554752.00,6.98,4.46
,2420448080,415148732,2602843,11444491,2910103,1597272969,670250,1095122,4554752.00,6.98,4.46
,3401405917,613245773,9610440,32280078,5128884,2179471902,1539458,1300772,4554752.00,6.98,4.46
,2996394817,534958712,4189488,22178186,3892769,1847546942,2500000,713581,4489216.00,6.98,4.46
,2510773293,384795666,3210377,7111861,618495,1212703605,3391468,76463,4554752.00,6.98,4.46
,2503412807,393331505,3200449,10938620,2741640,1525535012,3816866,399640,4554752.00,6.98,4.46
,2164551720,393264842,1945626,14306030,4323688,1227906204,1620516,724342,4521984.00,7.05,4.52
,2550617933,397391046,3696838,7706918,1221733,1220146460,3289544,226372,4521984.00,7.05,4.52
,2860005225,441091570,3311127,9294718,1874780,1504747133,4190896,258315,4816896.00,7.50,4.95
,2664490822,456944626,6190330,19374899,4331792,1926517253,2162524,1077951,4653056.00,7.50,4.95
,2459215494,419182496,3191809,11567336,2727149,1620752725,665609,1194292,4653056.00,7.50,4.95
,2408661636,413076363,2409814,11862759,2648168,1551359743,711157,1307229,4653056.00,7.50,4.95
,2693323485,754102293,3710369,23815025,5692097,4362570455,1366641,882221,4653056.00,7.50,4.95
,2525173738,473826838,4430173,28564308,7710863,2507524906,1899224,852656,5308416.00,7.50,4.95
,2025166878,316478503,2507746,8570919,3245738,1400806617,2741704,113674,5373952.00,7.60,5.05
,2338355334,350053066,2950443,6324746,616283,1051310907,3364434,137981,5373952.00,7.60,5.05
,1746321876,286628527,2316387,9010923,2947730,1217154123,2812645,674087,5373952.00,7.60,5.05
,2310586406,432540439,2742141,14753540,4442361,1403331377,1820614,932643,18907136.00,25.40,18.02
,3150713102,478792046,4074693,7477699,541785,1520203571,4393515,124070,20676608.00,25.40,18.02
,2316271733,366111370,3132966,10896335,2888583,1508901319,3299607,740584,20676608.00,25.40,18.02
,2285824081,394558755,3157810,11956877,3097145,1551277808,1048902,1216553,21331968.00,26.05,18.64
,2491445780,429568264,3450381,14258105,2659843,1651989948,745341,1388080,21069824.00,26.15,18.74
,2359852393,422408087,3575097,17098046,3378565,1736832868,956027,1251977,21037056.00,29.85,21.23
,2974916769,557133171,2898118,29759614,5890050,1973904456,1362069,837308,20971520.00,29.85,21.23
,2065063274,320971087,2720930,7044585,1457167,1135668395,3054550,112317,19562496.00,29.92,21.30
,2301781090,346120543,2991821,6694573,511652,1064110293,3481560,134339,19562496.00,29.92,21.30
,1951581265,317433580,2276108,10434695,3524383,1394422712,2732298,449457,19365888.00,29.92,21.30
,2704793785,479506499,2692950,14280061,3805148,1444421173,2340897,686979,19562496.00,29.92,21.30
,3492519673,565781196,5408628,18429850,3412733,2060992898,4950168,327659,18907136.00,29.92,21.30
,2157468629,353395353,2957870,12368826,3363012,1526953100,3423073,642011,18481152.00,26.77,19.53
,2347898756,403887445,2039290,10210660,2761451,1520054628,796291,1056444,18251776.00,26.35,19.40
,2349979992,406322490,2268033,10577369,2778241,1546517945,674769,1129579,18186240.00,26.28,19.37
,2525640195,467568614,2760940,16715054,3419100,1616411253,1156443,1162304,18186240.00,26.28,19.37
,3021757007,536047305,3114581,18100821,2758279,1744001339,2577004,690888,18874368.00,26.28,19.37
,2585543335,396081883,3451627,6439238,671322,1212649896,3665908,75206,18874368.00,26.28,19.37
,2538497133,399178910,2934498,9844223,2773556,1498905772,4003216,369603,18874368.00,26.28,19.37
,2074355495,378114636,1998264,13112820,3374834,1246602892,1753759,726445,18874368.00,26.28,19.37
,2551363574,392140308,3757950,6641016,1216658,1210791317,3249876,235067,18874368.00,26.28,19.37
,2645226296,428658754,3456005,7438798,1232127,1525397514,3684790,261072,18939904.00,26.28,19.37
,2128546658,383873337,3882352,25773979,6280699,2396011240,2563665,19.37,18907136.00,26.28,19.37
,2343730371,424054311,3551757,26327815,5506298,1908283648,1292350,26.28,17924096.00,26.28,19.37
,1786808687,300210879,1711487,8990398,1955351,1129632203,531247,1014133,17924096.00,26.28,19.37
,2020399714,353453545,2732422,12247189,2511759,1496320496,802118,1908283648,17956864.00,26.28,19.37
,2035418403,403019430,2154570,16027548,2810792,1242024921,1437293,1211703,17825792.00,26.28,19.37
,2364105623,417713582,2773434,15775460,2614179,1583775829,2131447,915012,17825792.00,26.28,19.37
,2281414560,354994659,3108000,6195048,867377,1068679735,3317115,1148772,17825792.00,26.28,19.37
,2538954232,391038039,3145227,7839764,1849917,1356736849,3715271,1222456,17989632.00,26.28,19.37
,1800668909,324908124,2075448,12545114,3727013,1364544517,2088453,577916,17989632.00,26.28,19.37
,4413480367,1515381170,6488081,22184892,6335155,10261242495,2246538,137403,20414464.00,26.28,19.37
,2450269393,394926525,3295231,8283040,1653746,1306764749,2951594,330489,20414464.00,26.28,19.37
,3135078400,469846940,4203383,6935615,840965,1429802497,4323153,1078857,20414464.00,26.28,19.37
,1880372298,322881838,2462337,12558038,4054991,1536165143,2239915,2031746,20414464.00,26.28,19.37
,2491804093,433397441,3018118,12062360,2775066,1612792628,598214,392000,20414464.00,26.28,19.37
,2417170492,421356498,2736568,11260040,2700507,1585960556,634641,172954,20414464.00,26.28,19.37
,2106149579,399063692,3101606,16799517,3308830,1429137153,1115836,945893,20414464.00,26.28,19.37
,2467600921,458646408,2196948,17871934,4300824,1729409802,1587914,1182218,20414464.00,26.28,19.37
,1999415108,308094437,2878268,5910586,550422,1011185733,2977042,1286510,20414464.00,26.28,19.37
,2493076349,386049337,3168841,7152763,905674,1178430622,3739688,966439,19759104.00,26.28,19.37
,1925296294,321588950,1991393,11547467,4833119,1507257486,2636686,573751,19693568.00,26.28,19.37
,2170073342,400411357,2500390,11445168,2594830,1137063866,1669938,89770,19660800.00,26.28,19.37
,2882742818,445549979,3685063,7315780,834897,1406073083,4390912.00,156525,4390912.00,26.28,19.37
,1575029040,246894175,1970260,6432396,1480995,1051896254,19.37,510778,4063232.00,26.28,19.37
,1341085600,216143022,1734369,7079222,2095471,1065637311,26.28,535445,4096000.00,26.28,19.37
,2015995645,350114046,2291138,9381614,2307290,1412678313,2882742818,96498,3997696.00,22.94,17.17
,2459675748,419784141,2296030,9346020,2725872,1549336173,445549979,285339,3997696.00,22.94,17.17
,2699014127,506870466,2723327,18131799,3909751,1678319460,3685063,537849,3997696.00,22.94,17.17
,2609376635,461398829,2376192,23657617,5688876,1813260539,7315780,1007356,3997696.00,22.94,17.17
,3101508105,483822611,4036714,7768789,932525,1575131367,834897,1040770,3997696.00,22.94,17.17
,2372665504,376871630,2810467,10042907,3306210,1496023065,1406073083,974383,3735552.00,22.94,17.17
,2305740141,409801917,1809444,12225959,3502928,1160197210,4111359,391475,3768320.00,22.94,17.17
,2688170887,417213417,3625697,6164155,693394,1258128263,96498,131022,3768320.00,22.94,17.17
,2448191475,389204479,3018894,9756094,2622330,1496124450,2544509,383396,3768320.00,23.10,17.27
,2349450538,394487917,1871097,10076053,3287106,1494743490,1507650,544534,3964928.00,23.27,17.43
,2505107864,432896888,2094023,11171813,3144095,1617683548,608040,123040,3932160.00,23.27,17.43
,2216687886,387477642,2979478,14886385,2926844,1417667830,489730,400249,3932160.00,23.27,17.43
,2611273484,500137933,2646739,23203403,3930538,1542111394,932783,826876,3932160.00,23.27,17.43
,2087116535,334304679,2563493,10221886,1853548,1259841089,1919148,908342,3244032.00,23.27,17.43
,2227141486,345792143,3102005,5667503,588562,1057397011,4454351,1089979,3244032.00,23.27,17.43
,1968955095,314829998,2250123,7479443,2326128,1458353537,3403686,786124,3276800.00,23.27,17.43
,1919963862,359082733,1598496,10460914,3569098,1174508024,1444640,145202,3407872.00,23.43,17.53
,2278217038,346675633,3037373,4908894,695429,1027163763,3724976,144617,3342336.00,23.43,17.53
,2727365736,410227960,3496224,6941376,1343811,1399255678,3545522,377261,3342336.00,23.43,17.53
,1922594527,319725748,1723231,8426697,2885754,1498778299,942660,605852,3342336.00,23.43,17.53
,2608623899,444869588,2260130,10657161,2967331,1607674811,464549,88302,3342336.00,23.43,17.53
,2548349334,463515813,2526552,12098704,2889462,1783511535,932415,240974,3342336.00,23.43,17.53
,2024540729,398766638,1877046,16335832,3562978,1130923263,1236870,620249,3342336.00,23.43,17.53
,2260841765,386200980,2804883,14807750,3954830,1691675049,2745457,1018708,3244032.00,20.25,15.07
,2069596590,317465635,2641189,6253141,664500,1060609655,3441586,893940,3178496.00,20.25,15.07
,2438305804,376533383,3000920,6741641,1183121,1254018074,2925043,700051,3178496.00,20.25,15.07
,1205656719,197492543,1381309,6815883,2352933,1078213103,1181955,385821,3178496.00,20.25,15.07
,2252062855,412896557,2921567,12700409,2909490,1174784876,3133500,148548,3211264.00,20.35,15.11
,3104166300,453331489,4094486,12937545,2195836,1596627954,3926463,162392,3178496.00,20.35,15.11
,2701254274,439380502,3916453,18177915,4166106,1872694762,1576410,445796,3145728.00,20.35,15.11
,2400528236,405836522,2113574,10978807,3412872,1512610665,461658,449574,3145728.00,20.35,15.11
,2589206909,447104351,1905749,9074134,2674677,1508627791,554579,229330,10715136.00,20.35,15.11
,2181255218,393471653,2530864,14163901,2928968,1372857616,953774,451815,10518528.00,20.48,15.24
,2244722115,431351985,1967996,15433939,4641973,1414396858,1946853,914649,19890176.00,36.90,19.27
,1943801486,317374994,2434294,14663155,6631502,2196362238,3255663,926732,20283392.00,36.90,19.27
,2942466698,446815367,3808883,6769642,585258,1447415065,3463506,993537,20283392.00,36.90,19.27
,1482733726,239771559,2027006,7113165,2099446,1123208685,1759469,687249,20283392.00,36.90,19.27
,1615589279,292385145,1608628,9660777,2843325,1118428684,1328944,300140,21200896.00,48.40,19.69
,2171176550,367059635,2615613,7472673,1635894,1017160616,4165277,113933,21757952.00,48.40,19.69
,2607377762,401621751,3592298,7689192,1065877,1383578436,3673942,550816,21757952.00,48.40,19.69
,2114992517,342722096,2948147,20946918,4596465,1929855007,1090085,569190,21856256.00,48.40,19.69
,2281795916,391644820,2039362,9613209,3117305,1586519657,370714,318273,21856256.00,48.40,19.69
,2523247950,431177786,2217472,10449336,2867200,1585606780,851427,162539,21856256.00,48.40,19.69
,2001307774,370271898,2552434,14200095,2962873,1395412640,1024918,629170,21954560.00,48.43,19.60
,2514286666,473232692,2427076,18631607,3826103,1564609629,2488434,804646,21954560.00,48.43,19.60
,2023962117,314948470,2643738,7352516,2270365,1281133061,4341573,965846,22216704.00,48.43,19.60
,2376029220,357562512,3104512,5994226,697909,1062554644,2281495,980354,22216704.00,48.43,19.60
,1982093369,307388265,2264313,7535366,2380941,1417278988,1313468,553451,22216704.00,48.43,19.60
,1982317858,370621519,1875034,11502818,3524049,1266973293,2274673,134360,22216704.00,48.43,19.60
,2769987319,418897618,3711915,6409857,840236,1245600062,3802062,116883,22216704.00,48.43,19.60
,2748745232,440713270,3817934,14738744,2969848,1786999196,3075778,415030,22216704.00,48.43,19.60
,2115392086,364028953,2403249,15662633,4212587,1745792425,715472,720572,22282240.00,48.43,19.60
,2540912228,450901151,2879711,11656926,2943433,1584795055,564733,103967,22282240.00,48.43,19.60
,2326097795,407355247,2697203,11737466,2892297,1693570975,871971,400079,22282240.00,48.43,19.60
,2137172987,426083686,1932512,18635845,3013906,1283440233,1182945,725643,22282240.00,48.43,19.60
,2385147170,413905168,2729572,14201303,1733405,1413276173,3015366,970584,22249472.00,48.43,19.60
,2213127740,336913255,2739582,5738884,601348,1057394956,3541779,907736,22249472.00,48.43,19.60
,2240289140,353808158,2850839,7332479,1862630,1448071669,2740319,1097524,22315008.00,48.43,19.60
,1425299002,242025545,1617993,9297177,3322655,1407122047,1390173,447275,22315008.00,48.43,19.60
,2334680237,403989053,2606207,10216089,1923493,1162561866,3471935,132762,22347776.00,48.43,19.60
,3063713331,481359625,4312180,7734306,833142,1487619365,3861486,235431,22347776.00,48.43,19.60
