,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,73017514,19736785,980213,3229275,406822,194019347,497107,210423,0.00,0.00,0.00
,31893210,4211375,221134,1049523,99322,45876587,140410,79547,0.00,0.00,0.00
,1016926852,210400377,7683135,21038490,680950,982564273,1715520,1217350,32768.00,0.00,0.00
,778300897,158648395,5086472,17852813,1082346,798129510,2639974,1654342,688128.00,0.00,0.00
,1957798822,362323924,17958600,49601222,1433781,2065147374,3319734,2577276,720896.00,0.00,0.00
,3220566926,603512994,25436505,60641949,2029677,2814782264,3789727,2324756,720896.00,0.00,0.00
,1208932995,235014671,8783998,26595874,1311593,1226612367,2389488,1215035,851968.00,0.00,0.00
,23611574,6425564,444949,1569793,81491,65938558,148421,98817,851968.00,0.00,0.00
,66391135,14042285,800543,4538107,88186,144669710,417689,366624,851968.00,0.00,0.00
,5428626,1787257,123272,602015,17935,16685297,93833,39310,851968.00,0.00,0.00
,20655138,4516780,408646,1588258,100648,40768731,161885,128937,884736.00,0.00,0.00
,15846061,2207078,152416,797979,48613,31757394,135438,66619,884736.00,0.00,0.00
,12729815,2028189,201207,1109477,14981,38596850,203887,235660,884736.00,0.00,0.00
,4713993,1038615,106331,452512,4484,22507383,84697,43905,884736.00,0.00,0.00
,16618569,4051570,395951,1283364,34706,68423925,285189,97250,917504.00,0.00,0.00
,8129268,2215260,187257,759278,15554,33620623,127549,133914,917504.00,0.00,0.00
,10141599,2100423,232734,1247808,22081,26507865,152169,121580,917504.00,0.00,0.00
,14799021,4514851,423657,1002369,87481,33956702,132252,92206,917504.00,0.00,0.00
,7505775,1899318,226488,1347394,52899,25694813,144646,118087,917504.00,0.00,0.00
,10976837,1425544,124372,571391,6726,12192443,76668,61670,917504.00,0.00,0.00
,5927670,1663113,210035,1089720,3852,15842582,124043,160639,917504.00,0.00,0.00
,8370624,2786642,278420,605123,68976,27653181,107527,70251,917504.00,0.00,0.00
,11920226,2561216,230766,1094625,32091,20714519,127759,88856,917504.00,0.00,0.00
,169528474,39001258,955297,5127861,346951,368463304,877312,598231,1081344.00,0.00,0.00
,7977214,1822714,191589,1055719,68719,32515697,168855,77367,1572864.00,0.00,0.00
,4855024,1215399,186746,617819,7355,20036702,96155,42925,1572864.00,0.00,0.00
,7181988,1677586,196281,956303,6616,26158135,159234,152922,1572864.00,0.00,0.00
,1146337796,218944450,10257137,28831113,1132899,1358220378,2648541,1876173,1572864.00,0.00,0.00
,3976677697,747535025,32836216,77504194,1993250,3663322401,4705399,2838635,1638400.00,0.13,0.13
,1345634012,251878446,10080707,29940267,957691,1386728375,2875134,1571745,1638400.00,0.13,0.13
,2376597268,456622780,16719372,40675661,1642759,2128128848,3299197,1777104,1736704.00,0.16,0.16
,258838515,53902886,2213227,6145055,397833,308003702,706948,434595,1736704.00,0.16,0.16
,2561212289,497976304,19946803,55171879,1777987,2548343733,4793636,3313968,1998848.00,0.16,0.16
,4285328246,810405872,33898529,86168334,4200973,4080907389,5955922,3427335,1998848.00,0.16,0.16
,2218766610,415702620,18994880,42369474,1407126,2071836092,3059456,1894260,2031616.00,0.16,0.16
,2118697664,406436197,14162433,37427500,1312463,2025732712,3709579,1766070,2031616.00,0.16,0.16
,3036729874,684074539,19009567,45185010,4693854,3811849157,3805026,2133509,2129920.00,0.16,0.16
,3106310384,597395084,23354804,51892807,3560747,2670832187,3626835,1935613,2588672.00,0.16,0.16
,668174461,127593099,5469367,17787989,1519089,739528218,1695699,1031946,3571712.00,0.16,0.16
,195530354,40300545,2469509,7800650,350461,338085111,725144,622863,3571712.00,0.16,0.16
,150549375,23193810,663998,3482460,470928,174622035,477687,308332,3571712.00,0.16,0.16
