,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,5970074,1233976,123844,607098,4638,18869445,75306,-1,0.00,0.00,0.00
,20357626,3856814,296394,1396000,73385,51967345,173089,22301,0.00,0.00,0.00
,1058224196,219921377,7974767,21581895,743500,1058610607,1777762,1205173,0.00,0.00,0.00
,760624651,160990086,5492940,18232885,893116,853910736,3091633,1799659,131072.00,0.00,0.00
,2012971875,374380158,18570609,52354160,1236107,2182808841,3522037,2726083,163840.00,0.00,0.00
,3068931331,582251263,25031171,58133483,1901417,2804801010,3808176,2452229,229376.00,0.00,0.00
,1330450640,256020915,9382226,27249582,1248879,1239339659,2640576,1501476,262144.00,0.00,0.00
,83454983,14323573,768844,3000604,318987,115557063,294629,218221,262144.00,0.00,0.00
,5692490,1193995,107516,684324,11728,39388232,151767,94526,262144.00,0.00,0.00
,12227281,2508688,298363,1025766,31988,26705157,134376,88790,262144.00,0.00,0.00
,5647770,1670604,125256,751954,27252,18568115,87506,95845,262144.00,0.00,0.00
,13976738,2105871,250947,984154,6509,24848710,126907,143170,262144.00,0.00,0.00
,12045682,3289172,283007,926161,19261,21498297,80864,68224,262144.00,0.00,0.00
,20805710,4295590,406326,1925458,67924,32875393,171733,164794,262144.00,0.00,0.00
,5547852,1308328,140991,674887,30382,21440636,89506,79787,262144.00,0.00,0.00
,12545660,2326314,220993,1569417,71058,37782015,165055,145238,262144.00,0.00,0.00
,6514801,1644735,154379,868462,48815,38569829,150572,98125,262144.00,0.00,0.00
,6393485,1828356,285805,1172794,38932,53121249,53121249,64439,262144.00,0.00,0.00
,6308713,1323643,130794,671336,20675,28209120,192350,46632,262144.00,0.00,0.00
,5702551,1790220,237207,1201638,9661,75338494,112340,126397,262144.00,0.00,0.00
,6945262,897250,131754,649155,2640,15296439,292506,37587,262144.00,0.00,0.00
,11388624,2447411,273198,1325240,26090,51497505,81891,79031,262144.00,0.00,0.00
,4851415,1279263,193539,732640,27494,21865966,181930,50263,262144.00,0.00,0.00
,7292633,1933610,275179,1316982,50059,29634001,105530,84460,294912.00,0.03,0.03
,11190424,2392930,232724,765093,34585,15412477,174035,115452,294912.00,0.03,0.03
,16439206,2447281,224037,1041339,17535,33714291,91379,110648,294912.00,0.03,0.03
,4431544,971177,133760,572547,12826,13673392,155638,40651,294912.00,0.03,0.03
,1168880042,216059507,9537423,28313096,944111,1234916429,69771,1715504,327680.00,0.16,0.16
,3401130609,643829973,28807123,67215598,2121657,3162046623,2307820,2546640,3571712.00,10.81,6.13
,1634272940,302264741,12428054,30847904,1143840,1457439317,4111293,1387126,3538944.00,10.81,6.13
,1816319931,344341123,12114343,31405413,889748,1614916576,2370254,1321365,3538944.00,10.81,6.13
,917580881,181164509,6934291,16281812,802592,927339698,2724678,975650,3538944.00,10.81,6.13
,542789745,112414721,2744602,8413483,559136,1000558229,1553833,678372,3538944.00,10.81,6.13
,2807978129,517683312,25425388,68872700,1447817,2943551292,906612,3144180,3538944.00,10.81,6.13
,2582051056,501451797,21380570,49019101,1918260,2303850741,4519074,2072912,22380544.00,42.24,22.58
,1920779644,362173973,13143514,33905485,996957,1682507343,3418468,1470175,27820032.00,42.24,22.58
,1178532139,229566979,8372046,21594067,883588,1017505508,3081887,821086,27820032.00,42.24,22.58
,800377134,153015263,4239973,13112188,990012,894998822,1566870,1642134,28016640.00,44.24,24.31
,3163956286,628848498,27098660,72473462,3087380,3233258992,2357757,3327017,31195136.00,66.88,36.83
,3560855753,667145438,29027267,69397099,2104785,3198010569,4891832,2950170,30998528.00,66.88,36.83
,1395437371,272176747,11123058,33725657,1206875,1445705857,4689658,1612392,30998528.00,66.88,36.83
,2268409639,429798755,16321146,39011484,1237795,2003387864,2830757,1522413,30998528.00,66.88,36.83
,2106160952,439129472,16789549,40881805,3507694,2433204214,2981077,1750762,34275328.00,75.66,38.31
,3751555562,705030329,27255222,60270808,3561281,3049800743,3171100,1873588,40370176.00,75.66,38.31
,1933304961,368547416,14025920,43335200,2148664,1829141751,3533371,1944768,40370176.00,75.66,38.31
,167348536,36976294,2010340,6551079,428504,252751298,3130999,535624,40370176.00,75.66,38.31
,965280502,196154771,11247961,38675806,2521816,1492843978,729780,2853770,40370176.00,75.66,38.31
,634645391,126315929,8795434,34175569,2428384,1227426931,3990671,2531710,40534016.00,76.09,38.40
,1068428769,275041260,7384501,26311348,2362109,2038914662,3631706,2036298,40501248.00,76.09,38.40
,489224837,107405230,6464837,24482084,2006692,1140636953,2835539,2057709,41189376.00,76.09,38.40
,949404499,189715357,10308842,34019385,2822882,1341794307,2780923,2246735,42336256.00,76.09,38.40
,788471300,155063548,8616477,30655882,2353297,1214613715,3182699,2157033,42336256.00,76.09,38.40
,264621606,46962395,1532454,5284145,392915,297630144,3202379,350053,42336256.00,76.09,38.40
,33618375,6305801,185984,1136058,45156,42309802,641525,122166,42336256.00,76.09,38.40
,221171,,,,
