,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,56678272,17652163,842273,3910310,279604,193262844,404709,149623,0.00,0.00,0.00
,14123081,4022136,270938,1169666,117018,50866017,151844,96313,0.00,0.00,0.00
,1031509806,206427309,8009505,20757381,867203,973628293,1642377,1236225,0.00,0.00,0.00
,787633985,166317717,4943781,18034979,819129,877491612,2490473,1733448,1114112.00,0.00,0.00
,1625714320,301845022,15050803,41398922,1288605,1795706243,3332221,2446349,1114112.00,0.00,0.00
,2635713483,494497420,22448447,54744818,1525237,2481939849,3802472,2435288,1114112.00,0.00,0.00
,2202503613,407394314,15963344,43230986,1748267,1999693413,3432937,1822704,1146880.00,0.00,0.00
,293748416,59773615,2515447,10020017,638757,430726582,980725,602926,1179648.00,0.00,0.00
,92235556,18493732,806162,2789993,336813,136012543,252472,201625,1179648.00,0.00,0.00
,1724705823,318256901,4011861,5896838,2524444,1107662766,286197,238389,1179648.00,0.00,0.00
,1650973664,308164983,3701565,4985909,2222964,1029106416,251498,206157,1310720.00,0.00,0.00
,7092735,1622794,173885,776603,30936,24969538,116738,55624,1310720.00,0.00,0.00
,7622302,1714768,225176,1364363,33452,44849526,195003,97509,1310720.00,0.00,0.00
,18078781,3871366,231844,1157521,41813,34574455,164944,87649,1310720.00,0.00,0.00
,15964191,3935579,370126,1259608,115697,33909758,147235,110177,1310720.00,0.00,0.00
,10569226,1741455,186851,823694,17818,23212811,111320,94016,1310720.00,0.00,0.00
,9826433,1775822,327300,900355,24417,23365711,112944,73983,1310720.00,0.00,0.00
,21145444,5461703,547150,896876,73221,86138775,180536,163536,1310720.00,0.00,0.00
,6875880,1864054,212604,1614540,19376,37412531,154741,67176,1310720.00,0.00,0.00
,7581221,1945502,224257,1218023,18374,26659211,128342,104387,1310720.00,0.00,0.00
,22761302,4868536,383226,1253902,97496,40920565,172025,135347,1310720.00,0.00,0.00
,9845283,1272416,139069,726792,53673,28692921,137658,121622,1310720.00,0.00,0.00
,13200281,2409781,245065,971251,18516,25733894,137413,88610,1310720.00,0.00,0.00
,6701444,1409195,142534,518852,8158,16524306,98275,59492,1310720.00,0.00,0.00
,7414287,1683986,190804,907420,10744,30889263,150352,71370,1310720.00,0.00,0.00
,6299182,1599170,155817,672055,15258,18892934,108608,128595,1310720.00,0.00,0.00
,11037774,2293817,293275,1333197,53072,49329830,172183,129985,1310720.00,0.00,0.00
,886289359,169700869,7062704,22998518,789357,996489335,2054598,1459742,1310720.00,0.00,0.00
,3402967033,639748960,28499750,72410271,2517940,3054902583,4482814,2840005,1343488.00,0.00,0.00
,2069075567,381301705,15220180,38159203,1205866,1859090805,2912463,1721833,1376256.00,0.00,0.00
,2489776616,475379724,16440453,41223445,1331321,2229995168,3469757,1766846,1507328.00,0.00,0.00
,218637631,49679680,2424288,5901242,422839,299558921,615426,379314,3047424.00,0.00,0.00
,2086223109,404310779,16387336,46094445,1913721,2176760971,4480446,3099555,3440640.00,2.16,1.87
,4226290451,809245929,33977281,94587418,4583245,4253329966,6639681,4052269,4194304.00,11.37,7.96
,2754589865,514178328,22071520,49203343,2215415,2489732907,3129974,1799061,5603328.00,11.37,7.96
,1347291733,252170867,10586596,30844028,968274,1423093520,2934797,1693323,5603328.00,11.37,7.96
,2259274343,491174661,13219400,36067017,3000009,2714671545,3134181,1726540,5636096.00,11.37,7.96
,3316524670,684129859,23195930,49748216,3508895,3257901094,3142963,1855806,5636096.00,11.37,7.96
,1779010922,344976659,13114120,33542712,2709673,1733471670,2406257,1400873,6291456.00,11.37,7.96
,3241244040,602398191,24928451,64431498,4864397,3219599123,4574319,3531878,6389760.00,11.67,8.13
,1657023372,359690179,10496840,38680141,1944270,2384891210,3006063,3601069,6422528.00,11.67,8.13
,1791777297,321569572,11309372,47414610,6847103,1905289052,3385972,3040426,6422528.00,11.67,8.13
,2788942174,537498200,15185570,58050148,8275191,2801611307,3289033,2874482,6520832.00,11.67,8.13
,2015589837,393068502,12753620,45217054,4242632,2441132389,3737375,4380236,6586368.00,11.67,8.13
,2404670452,432619303,12002811,41179204,4463330,2349326717,3578093,3427227,6750208.00,11.67,8.13
,577886853,182769444,2659301,7459623,627824,1235657215,882415,591284,6750208.00,11.67,8.13
,169339626,30927644,1586490,5461611,392898,213035888,508290,380307,6750208.00,11.67,8.13
,249709891,40891180,871811,3714917,647936,207635021,490280,275690,6750208.00,11.67,8.13
