,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,10029938,2331491,257171,1315481,137677,42694182,147037,-1,262144.00,0.00,0.00
,29254427,5338232,424927,1489704,244693,65516799,105598,40440,262144.00,0.00,0.00
,1071362784,222948692,8077887,21576484,927607,1077604203,1884704,1391581,262144.00,0.00,0.00
,763437993,168313861,5161359,16729784,1195930,887116916,2728516,1586660,262144.00,0.00,0.00
,1727453651,320037238,15056782,42518053,1258289,1826155715,3315261,2548887,262144.00,0.00,0.00
,2582789030,498179315,22703092,56322399,1542334,2543754864,3798325,2646866,262144.00,0.00,0.00
,2008151026,377218259,15239686,39903416,1410039,1916984367,3270830,1948530,294912.00,0.03,0.03
,352232912,69184487,2706789,9505317,866065,399191815,952945,674380,393216.00,0.03,0.03
,12520320,2545803,226344,1146602,71612,68843634,214805,88057,393216.00,0.03,0.03
,10076472,2079936,197354,767069,42949,17589884,104889,54762,393216.00,0.03,0.03
,11022077,2803329,249599,1060238,34471,47411289,180213,91433,393216.00,0.03,0.03
,40898413,10573389,497199,1135843,243673,102634653,188720,147714,393216.00,0.03,0.03
,11200288,2301392,291830,944862,58776,54376147,176422,116996,393216.00,0.03,0.03
,6615767,1726182,180833,659451,48927,22631712,117872,58835,393216.00,0.03,0.03
,15162774,3442761,313897,1816611,35918,34941253,158421,140575,393216.00,0.03,0.03
,7495143,1485156,163210,1425067,11269,23124049,101472,53221,393216.00,0.03,0.03
,6240289,1737376,218494,1280671,10060,43355955,139665,132287,393216.00,0.03,0.03
,6222953,1553432,173487,853490,6076,18596005,95127,58633,393216.00,0.03,0.03
,16957019,2792093,231625,1132218,11410,36553809,157139,115440,393216.00,0.03,0.03
,6323820,1617142,179062,786497,14748,42124092,129434,64236,393216.00,0.03,0.03
,51399297,10199133,307997,1505235,370638,80998466,223574,100106,393216.00,0.03,0.03
,13060730,2273738,141734,855128,27835,27054992,104951,82917,393216.00,0.03,0.03
,54533744,11592952,555968,1829024,156156,119658039,170973,154556,393216.00,0.03,0.03
,27637900,7851607,535293,1245181,95370,87633428,211340,120386,393216.00,0.03,0.03
,14140309,2219477,213218,1026780,16803,32943123,149983,118621,393216.00,0.03,0.03
,10555875,2093594,167969,843482,68344,24036218,131525,79185,393216.00,0.03,0.03
,6593029,1508615,218983,1222571,12341,24319815,127037,89593,393216.00,0.03,0.03
,285386392,60371653,1625720,4280980,263537,301864985,808376,559274,393216.00,0.03,0.03
,2241009696,417948127,19692696,56091603,1333358,2354013858,3628467,2684702,393216.00,0.03,0.03
,2826557682,538246182,23126923,56742750,1683738,2616822430,3595334,2321977,2654208.00,0.03,0.03
,1762429315,327021846,13055601,35840707,1249677,1730571749,3142067,1891745,2654208.00,0.03,0.03
,1810127992,345869393,11941408,30221653,1353848,1662111681,2474875,1551216,2654208.00,0.03,0.03
,361676769,70146801,1783700,6502780,487238,376321790,1029382,577913,2654208.00,0.03,0.03
,2440404708,443843108,21431783,56847184,1528033,2464890814,3846283,2709365,2654208.00,0.03,0.03
,3083246283,595513281,25129738,60402378,2147924,2809168120,3876860,2292416,2654208.00,0.03,0.03
,2026176514,382873755,14057172,38580492,1481539,2009907275,3533133,1780449,2719744.00,0.03,0.03
,1308624312,258133289,9389483,22304521,1153292,1162003634,1886961,1169107,2719744.00,0.03,0.03
,1175792502,223291795,6517242,20889448,1058222,1108019604,2998039,1976238,2719744.00,0.03,0.03
,4318283389,836972605,36643295,100919710,4627366,4575262222,6915569,4641176,3735552.00,6.49,5.41
,3173968695,613717453,25970840,62203846,2516154,3031541507,4826565,2791929,3244032.00,6.49,5.41
,1892730753,359575215,12604004,35349602,1493776,1714296764,3244394,1668600,3276800.00,6.52,5.44
,2143340346,458629475,14249135,38076308,3086132,2664480201,3087063,1751425,3899392.00,14.16,12.19
,2840030142,537345045,21785163,49759712,2831966,2501154932,3121220,1749998,3964928.00,14.71,12.58
,2420025783,464784572,17200339,45648400,3293668,2154454309,2867870,1496581,3932160.00,14.71,12.58
,4750677139,901809995,24544279,55551583,2917735,3508214161,4128768.00,2121730,4128768.00,14.71,12.58
,2980050956,890929103,4551648,22794859,3958746,5468775951,12.58,1751887,4227072.00,14.71,12.58
,2861909981,541510623,5170230,18518743,6547011,1905406071,14.71,791337,5505024.00,14.71,12.58
,3279303385,674302176,6087739,20045886,6082547,2690264277,3339482,668801,5505024.00,14.71,12.58
,2323525384,403254595,6675835,22859845,9751922,2680322881,2518539,390043,5636096.00,14.71,12.58
,2282559429,404192429,4969799,22226300,7033696,2646150895,1267403,362169,5636096.00,14.71,12.58
,1982591434,322761237,4368045,8259075,2987417,1136735100,995404,86683,5636096.00,14.71,12.58
,2168622575,358990123,3725379,10831913,2790266,1439247028,1055926,102234,5701632.00,14.88,12.71
,2039384236,328692687,3410465,9319793,2154932,1073053793,1987348,93177,5668864.00,14.88,12.71
,4023566693,700967790,16500388,37133912,3217734,2579034716,2192603,578105,5734400.00,15.01,12.71
,2658328065,445552776,6883816,22327638,4046292,1683947972,2703424,425182,5832704.00,15.14,12.71
,2865566060,513762912,7485761,21926009,4585428,1793884772,2861484,544693,5865472.00,15.34,12.91
,2562851538,469909354,2680970,11308602,2958914,1511879689,4171669,1035551,5865472.00,15.50,13.04
,2078547919,374563047,3619525,10702363,1075825,1633406813,3296200,1788717,5865472.00,15.60,13.11
,2352729670,478306719,5356906,19345227,7207152,2974221398,2679604,629232,5865472.00,15.60,13.11
,1693780642,291634750,2251495,15351143,8687230,2601137713,1567641,187356,5865472.00,15.63,13.14
,2123158748,351571022,3635302,13159989,5895093,2004542090,1869895,183650,6127616.00,15.83,13.30
,2474706605,405926667,4305951,9651539,2779386,1368635747,1155076,129288,6193152.00,15.83,13.30
,2182385246,355318270,3615133,9815549,2275977,1217295890,1690595,131508,6193152.00,15.83,13.30
,2339195910,392497587,4271816,12546232,2151309,1503879651,2636686,291680,6258688.00,15.83,13.30
,2172601510,340130266,624131,8171745,2577164,1544344829,2909796,269890,6258688.00,15.83,13.30
,2308637305,414695862,1988927,10534529,4807494,1051867601,2783026,317801,6258688.00,15.83,13.30
