,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,2190766012,395808727,13963918,52550122,3691184,2733760624,4027197,2844538,0.00,0.00,0.00
,2738679933,523508826,17185121,50689597,6124473,2500433377,2859245,1288337,65536.00,46.04,28.77
,436067817,86653769,2853035,13021380,467236,612568897,1407501,968005,65536.00,46.04,28.77
,878798578,195953659,10332250,17162446,1446428,1171902572,1359491,816628,65536.00,46.04,28.77
,2460523299,414329000,18286092,50306806,3753199,2207939116,4299772,2235292,9011200.00,69.24,37.72
,2059040891,403740762,7980686,14968232,588226,959012691,1315470,846203,9011200.00,69.24,37.72
,2513831925,461320337,21961919,36015463,2452616,2339965830,3420717,1729385,9011200.00,69.24,37.72
,2323032626,407986114,16329075,28971212,1762378,1457624376,1433269,488066,9011200.00,69.24,37.72
,-1,-1,-1,-1,-1,-1,-1,805564,9011200.00,69.24,37.72
,3559140720,619314365,33029162,60885162,2475895,2985723056,4864862,3437805,9011200.00,69.24,37.72
,1538180635,281865263,9673621,72125656,566951,1258497667,1087563,1725513,9011200.00,69.24,37.72
,1301232509,269478756,11501587,25116174,1264678,1878188439,2372498,1651075,9011200.00,69.24,37.72
,1145031802,205856132,7271757,40715752,1102437,1488714628,898468,2813207,9666560.00,69.89,37.81
,1557585779,259666926,7473986,32064679,3772497,1892042118,2206598,1303921,9666560.00,69.89,37.81
,2260341583,401890382,15118979,61740366,2043539,2571495050,1552262,2771690,9666560.00,69.89,37.81
,131605750,24139963,1245899,3636813,193809,205095567,122905,241032,9666560.00,69.89,37.81
,1197308454,231298964,7507221,37062743,1149683,1616396416,931757,1832088,9666560.00,69.89,37.81
,1858561700,356889933,14825695,41960376,1565958,2080285837,1303382,1898147,9666560.00,69.89,37.81
,2022616927,337826704,16007769,21290067,941478,1151161787,1339223,1035929,9666560.00,69.89,37.81
,2747144293,557060817,17687400,57924754,4457142,2150177964,2596306,1504431,9666560.00,69.89,37.81
,1499051821,208307443,11501257,41996297,2732406,2463574813,3718694,1951274,9666560.00,69.89,37.81
,2266245816,494373085,18571474,37898378,2611389,2125924879,2176932,959213,9666560.00,69.89,37.81
,931249037,182508586,4133227,19525545,4582222,1027026808,1217063,797668,9666560.00,69.89,37.81
,-1,-1,-1,-1,-1,-1,3491,326,9666560.00,69.89,37.81
,1088944302,269877020,7143941,14380859,899012,905484799,554534,160167,10190848.00,70.88,38.76
,1242223688,232520511,13279265,27966981,3841303,1395503286,2678914,2048930,10190848.00,70.88,38.76
,2224614594,397023367,13348552,42300736,5274721,1970836325,3556229,1845721,10190848.00,70.88,38.76
,3326688998,706450569,27051495,48295301,1369335,2695566262,1874403,1366571,10190848.00,70.88,38.76
,848978414,176039749,6970524,15531957,1909059,844002556,1424991,1259118,10190848.00,70.88,38.76
,2271938492,456348291,20016008,39724674,2138800,1928124355,1929005,869264,10190848.00,70.88,38.76
,1400546241,255958547,10278597,23077329,1958285,1225992662,1325103,376487,10190848.00,70.88,38.76
,1354270165,244580489,12430861,4842768,817488,1007514293,494699,806261,10190848.00,70.88,38.76
,1825137958,343155621,19803490,31280575,2382765,1580285984,1486089,943866,10190848.00,70.88,38.76
,1423872867,217043848,13562536,14194620,824081,2013198616,1619837,2157750,10190848.00,70.88,38.76
,2264702984,392725414,24471647,19946853,4704870,2399155140,887186,1271827,5406720.00,52.56,32.87
,1569230851,286682245,11529252,40993367,2272737,1978090915,1899537,1234498,5406720.00,52.56,32.87
,2626419026,469889081,18371939,51372343,3006214,2197974898,2419875,2005921,5406720.00,52.56,32.87
,4049579795,752743280,21028736,53219693,2465878,3283446528,4090985,2580726,7274496.00,54.85,33.16
,667800278,140203455,10501959,16647834,578447,783064561,1861346,1380264,7274496.00,54.85,33.16
,2450002792,433618439,11238116,64548963,1544968,1940721629,2767021,1797598,7274496.00,54.85,33.16
,814118409,159992440,8334881,14977667,1735510,880444067,1203678,670007,7274496.00,54.85,33.16
,1617693636,294735660,11793413,22267598,1419324,1172678066,1413268,899733,7274496.00,54.85,33.16
,3632954207,649542917,15732363,61502224,5645830,4078634331,5033768,3445298,7274496.00,54.85,33.16
,4888110436,857544087,21670058,65432980,9875895,3148014705,3793965,1599864,7274496.00,54.85,33.16
,1321564176,231427492,9310819,22944151,3779006,1397561143,1711055,946823,7503872.00,55.12,33.23
,2584530372,504496047,18178142,49767012,3691028,2334181747,4289211,2275271,7503872.00,55.12,33.23
,3048601523,565263757,13386143,42870913,4369057,2534913644,4293429,2031849,6979584.00,54.13,32.28
,1642872927,310044384,8734591,25647162,1415957,1582859386,1272829,1058589,6979584.00,54.13,32.28
,93535597,18570499,1516108,7678783,836677,353226054,483440,1035009,6979584.00,54.13,32.28
,346430140,50101785,2836841,-1,-1,-1,-1,-1,6979584.00,54.13,32.28
,13834096,4238423,325270,11367330,4029240,892713213,2681450,967074,6979584.00,54.13,32.28
,739592464,117475536,4882362,12516679,2852951,795398579,1868055,1680856,6979584.00,54.13,32.28
,2442659565,403403645,11580933,33105580,1383484,2131757414,1822542,2367086,6979584.00,54.13,32.28
,2731684665,565302236,24083774,57596613,2222953,2896310914,3604976,2657301,6979584.00,54.13,32.28
,2557179358,463015693,21744137,36657801,4106618,2370022104,2471216,1923527,6979584.00,54.13,32.28
,4532442946,880206425,39492473,75417857,7748200,4380141339,4685430,2660795,6979584.00,54.13,32.28
,3720312185,712028431,33420974,87408516,4531283,3938290971,5771543,4561935,6979584.00,54.13,32.28
,5785214533,1037005089,43048498,95746089,6181064,5015810150,6149725,3547441,6979584.00,54.13,32.28
,5904445138,1121711711,40658162,100324353,7883507,5145808645,5646699,3494135,6979584.00,54.13,32.28
,3833727120,765998495,25635658,56403473,4858161,4011759712,4002150,3274593,6979584.00,54.13,32.28
,6576611812,1238382360,40690688,86312827,5559219,5012708304,4625469,1942914,6979584.00,54.13,32.28
,5057973837,890794462,26291418,50726718,7063646,3835203759,5034337,2881307,6979584.00,54.13,32.28
,4476736254,823497292,34450475,69771929,7487748,3837709053,5047704,2737354,6979584.00,54.13,32.28
,7982749885,1442270888,44420403,62487726,4006404,4950679302,3612316,1623725,6979584.00,54.13,32.28
,7123595587,1190205273,31711115,72712777,7387016,4239592889,3514141,1906353,6979584.00,54.13,32.28
,8445389077,1310065413,26497284,58717815,6465618,4388214983,1613577,810092,6979584.00,54.13,32.28
,8663660829,1402362233,17706506,25350525,1467265,4207596349,1347136,756313,6979584.00,54.13,32.28
,421174473,76983171,2692067,7492189,870188,442186108,748152,440306,6979584.00,54.13,32.28
,317765412,-1,-1,-1,-1,-1,-1,-1,6979584.00,54.13,32.28
,2605356593,458573701,21335720,47964730,4008025,2845096128,6118253,4450291,6979584.00,54.13,32.28
,4117736398,897722685,38171402,87980430,4142637,4228740198,5283391,2871456,6979584.00,54.13,32.28
,4606369900,927788995,41302911,97966044,3167511,4560602934,6419560,4004096,6979584.00,54.13,32.28
,5106154967,965944514,45265325,101510592,5185504,4840769514,7072018,5002096,6979584.00,54.13,32.28
,5398183273,1062478651,41852609,99315627,7172676,5298877597,6913882,4786324,6979584.00,54.13,32.28
,4946230109,952698208,37793384,89288336,7733797,4745912656,6159193,3101844,6979584.00,54.13,32.28
,6343133671,1276316780,45071001,114047081,7678363,5461713956,5254935,2805821,6979584.00,54.13,32.28
,6600220882,1222100115,44410093,94431030,7764220,4586643867,5288477,2953926,6979584.00,54.13,32.28
,5887205411,1049812170,35897810,66726927,8842132,4910450131,5987871,3412134,6979584.00,54.13,32.28
,5142264207,933707486,32518832,62843995,5589276,4587322877,4742865,1747345,4456448.00,51.18,31.88
,6644273778,1238660991,40249391,74282914,8187828,4746863260,4809877,2295904,4456448.00,51.18,31.88
,5543373024,1125811019,28111969,77359750,14168928,4932395016,6495640,3209665,7372800.00,95.13,64.45
,5072523566,1105086053,30960444,77854141,7646023,4611620915,5358144,2593567,7372800.00,95.13,64.45
,4285803026,993356418,14798073,55063467,6808550,5136408045,5329996,2351249,7471104.00,95.52,64.72
,2849114934,672399392,12741562,41036982,4138644,3275498426,4313571,1306494,13172736.00,120.23,82.84
,524191994,99017535,4333183,13287010,1415784,873620002,1017707,363128,13172736.00,120.23,82.84
,94785366,25292249,1389465,4286264,539404,210311870,354726,808889,13172736.00,120.23,82.84
,-1,-1,-1,-1,-1,-1,51027315348138608,13470621010014738,13172736.00,120.23,82.84
