,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,1192121249,262772168,12669550,49998969,1840824,2840865515,11793415,5906021,0.00,0.00,0.00
,616184187,151354407,3462182,5750402,20026617928046844,0,44071796202727936,226190,0.00,0.00,0.00
,230823109,46077881,2235422,8129430,1372743,1054145531,990686,1107270,0.00,0.00,0.00
,2582033618,512525572,16001470,58142933,3541818,2656903663,2545173,1679799,393216.00,1.11,1.11
,1549964885,305832119,12998027,32952400,1125397,1623369487,1984685,1322003,393216.00,1.11,1.11
,828012235,177013711,5593858,20639104,963414,1103338424,1916321,1578770,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,-1,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,-1,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,-1,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,-1,-1,393216.00,1.11,1.11
,1139277,29380525,-1,-1,-1,-1,-1,-1,393216.00,1.11,1.11
,251257157,1869732,67021,7586444,292050,543677898,3291468,-1,393216.00,1.11,1.11
,3453047,-1,32917,154016,2309,4603120,21505,17696,393216.00,1.11,1.11
,6459551,1502345,1454002,14362800,1310604,9888229,42259,31173,393216.00,1.11,1.11
,159766146,48757086,2953179,4027137,1629764,868685686,393216.00,888759,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,1.11,53741750448456272,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,1.11,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,159766146,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,48757086,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,2953179,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,4027137,-1,393216.00,1.11,1.11
,-1,-1,-1,-1,-1,-1,1629764,-1,393216.00,1.11,1.11
,18567563,61585810,2761920,16604482,6302,483225582,868685686,-1,393216.00,1.11,1.11
,3120342,643210,53369,250293,2899,7615949,2151703,-1,393216.00,1.11,1.11
,660911,248667,36571,166058,1207,4764379,888759,-1,393216.00,1.11,1.11
,2580831485,355897090,16563320,49274169,2721026,1818207552,-1,3045500,2097152.00,3.47,1.28
,1514160259,427724390,21424096,38983007,1245835,1691162637,-1,1200097,2097152.00,3.47,1.28
,1996427251,226365600,2363520,7016936,123281,338071511,-1,385808,2097152.00,3.47,1.28
,251719975,268996592,15115667,37382076,1635067,2050174424,-1,329247,2097152.00,3.47,1.28
,2221897855,360140587,4713379,16297778,1253824,1414314420,-1,3385140,2097152.00,3.47,1.28
,2621086764,542206171,21549421,59100200,1893352,2808828868,-1,4233127,2097152.00,3.47,1.28
,84270073,16890581,880336,6338611,82414,199035733,-1,424173,2097152.00,3.47,1.28
,2177741565,431347332,19869929,50552265,1138795,2133750068,-1,1626866,2097152.00,3.47,1.28
,1297742113,228465659,12353906,17003089,788245,1014421600,-1,599519,2097152.00,3.47,1.28
,1276399052,211012849,7316834,32059593,1121447,1242703300,21053,1121341,2097152.00,3.47,1.28
,1313186293,239186402,8660651,43345229,1312711,1663373283,5253705,1671376,2097152.00,3.47,1.28
,888343605,153113344,6127588,25440155,881866,1043485884,2574964,1366629,2097152.00,3.47,1.28
,2422961178,431634840,10970666,29650496,1337701,1491604962,618669,1438933,2097152.00,3.47,1.28
,787698456,131716529,9144736,41996063,1797091,2072783766,1565031,2517510,2097152.00,3.47,1.28
,1196309095,214624282,7512939,33342940,1203599,1206232556,2515120,1162389,2097152.00,3.47,1.28
,1263951130,237193371,7667558,34840445,2641441,1617411105,6208915,1601114,2097152.00,3.47,1.28
,1947457005,423976632,13269756,40595523,1889156,1959500116,278198,980040,2129920.00,3.57,1.38
,3182225584,625014189,20265852,64939173,6101517,2742976964,1599926,1814472,2129920.00,3.57,1.38
,2106992798,429290302,16957064,37965457,2333109,2017021872,1031028,1217750,2129920.00,3.57,1.38
,1634246679,332708660,9630564,26345062,3705739,1441043172,770296,792809,3702784.00,84.18,57.51
,1287645895,253089695,7893245,15770341,514565,461338722,856500,76017,3702784.00,84.18,57.51
,1101311338,202210963,7843303,41900227,2167969,1682334407,732239,990919,3702784.00,84.18,57.51
,3035093571,457308590,17103653,73155969,4191716,2519580047,810274,3030674,3702784.00,84.18,57.51
,636297384,117081887,8142215,17306239,1712477,870051386,1390322,861142,3702784.00,84.18,57.51
,2622628513,454246237,8191616,182774477,5435599,2736313663,892214,1817178,3702784.00,84.18,57.51
,456551098,78091746,2040461,6591367,1359336,356205033,1508377,355984,3702784.00,84.18,57.51
,1642639285,272639135,16365547,7114535,1084824,1307359921,1879927,780754,3702784.00,84.18,57.51
,2330658907,564652251,33187319,23864375,2551365,1674865422,3706215,1303847,3702784.00,84.18,57.51
,1318691817,188498319,11592989,61497937,2933180,3283376116,2442331,5325652,3702784.00,84.18,57.51
,1711682414,300943874,14748204,14070353,2523486,1422672215,2247871,761779,3702784.00,84.18,57.51
