,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,942892155,202764298,7824835,14549713,586171,884952297,1281917,831998,0.00,0.00,0.00
,597105392,108206335,3511160,12083812,689587,596658386,693511,242674,0.00,0.00,0.00
,3260114453,585884356,26558295,58010833,3271092,2686512503,58010833,2273039,0.00,0.00,0.00
,2227247383,406174028,15855263,28491761,1031741,1585579447,3916136,1258767,0.00,0.00,0.00
,653809148,137762649,4956678,17987951,766241,803648708,2299808,1040078,0.00,0.00,0.00
,3218027014,567319034,23940840,57420976,1397094,2528925417,1490119,1526867,0.00,0.00,0.00
,3213337241,570469374,22846608,52621265,2881176,2340551024,2538426,1886738,0.00,0.00,0.00
,1809080992,344231310,13433067,36128162,1539243,1676941555,4031134,999293,0.00,0.00,0.00
,729938655,167266508,7046446,5019312,185367,297341853,2337504,-1,0.00,0.00,0.00
,3028197331,577279591,23319021,65037644,3099921,3342961380,-1,4796956,0.00,0.00,0.00
,1509316827,300764131,11199268,40446589,2813393,1917211395,8041242,2650764,0.00,0.00,0.00
,1511807686,275355277,9079301,67543998,1073265,1856500232,5315775,3886548,0.00,0.00,0.00
,2027558337,374769592,17188770,44870951,1183015,1398571671,2037720,1005873,0.00,0.00,0.00
,1143703938,201676911,10067006,26093537,1248288,1586829732,1017500,1976133,0.00,0.00,0.00
,1122638527,194579980,6967110,35038837,1110072,1445768609,1469108,1917911,0.00,0.00,0.00
,1329048712,234363526,11260685,30188472,1516769,1493289261,947058,1877958,0.00,0.00,0.00
,1336943829,243919860,12435739,20446865,1249361,894625947,871711,1411218,0.00,0.00,0.00
,957223360,171204183,7978909,40128706,2055994,1867242028,994139,2340494,0.00,0.00,0.00
,1257975052,245781549,13057216,44647543,1238772,1122634070,1676146,1190034,0.00,0.00,0.00
,2410101189,482056694,21370595,60773486,2879435,3159605827,902267,2494489,4292608.00,7.70,6.59
,644945543,126854602,6260461,13110368,887206,713922681,3295506,509421,4292608.00,7.70,6.59
,2246387643,427603730,15000391,39606463,1691308,1834040428,860789,792071,4292608.00,7.70,6.59
,2840938517,528874422,13374888,38722531,7231779,2478711285,1658701,1499194,4292608.00,7.70,6.59
,3476515104,634763188,18234151,31750058,2672075,2325263868,2901224,1719493,4292608.00,7.70,6.59
,290680556,55743796,768119,797737,396546,327067402,1807645,936355,4751360.00,8.22,7.08
,912580290,185772243,8947087,15819691,1320024,914866096,185834,985568,4751360.00,8.29,7.08
,3366678946,599132385,26310466,96026517,7138974,3146893340,1525294,3842299,4751360.00,8.29,7.08
,113586902,2432585100249376768,93601440652779632,346010551810366720,53082316732466568,0,5239067,-1,4751360.00,8.29,7.08
,572471159,160458585,11099461,28991993,2088966,1353733857,-1,1910768,4751360.00,8.29,7.08
,1800596907,342528975,13058221,89127516,2848861,1860739738,2690744,1122335,4751360.00,8.29,7.08
,1059103470,190679160,4679805,7591779,1811119,686386902,1960713,40049,4751360.00,8.29,7.08
,1258906205,212077871,11078714,11104529,2208191,1124334834,892153,1526724,4751360.00,8.29,7.08
,1393175854,269664871,14295968,9674065,1010357,1208700666,1589996,1223567,1114112.00,1.31,1.18
,1559823198,232941690,9258022,21712005,2785338,1458384462,1128598,1287996,1114112.00,1.31,1.18
,1151579179,276762874,13266615,16349033,1440675,1279221830,1288412,1256328,1114112.00,1.31,1.18
,1249561966,235430318,14547717,18962148,1019114,1343546087,1012250,1234913,1114112.00,1.31,1.18
,1091935797,196364110,13195296,27723742,4079641,1657660302,957950,1681682,1114112.00,1.31,1.18
,924074975,165960636,7443308,32797658,1912676,1270039638,2186074,982986,1114112.00,1.31,1.18
,1980884259,384178180,17843096,58429701,4284678,2938845454,1954551,3052332,1114112.00,1.31,1.18
,1898707440,375077200,16658408,36823943,1683534,1899155759,3564915,1384162,1114112.00,1.31,1.18
,2880266719,546009068,17665681,41642089,3767360,2610480047,2157570,2014320,1114112.00,1.31,1.18
,1593760142,295458774,11380306,26200094,4149343,1792881209,2507105,1304536,1277952.00,5.64,4.52
,2120884958,426118770,14591011,37446622,3642832,1551895471,1965038,1522743,1277952.00,5.64,4.52
,1461644871,282180992,18356467,46725161,2386269,1969397442,2375731,1889384,1277952.00,5.64,4.52
,3539045458,698289438,15734270,206213636,3776713,3823401020,3157197,2591824,5079040.00,60.00,49.84
,3794376854,731040515,20451327,47169108,12931564,3355431003,4318078,1948706,17432576.00,179.54,155.62
,3059417821,564893088,21333250,65191881,4945673,2953361627,3926812,2234555,17432576.00,179.54,155.62
,2753295629,651613601,12647862,39675911,2944366,2713682333,4602703,1621870,17432576.00,179.54,155.62
,-1,-1,102776347600452848,373044988129208128,13678253081577694,11012679831121537024,2970201,-1,17432576.00,179.54,155.62
,1157303477,230689065,7168543,24940748,2165710,1642144507,35322857161513300,2699030,17432576.00,179.54,155.62
,1089663231,202966224,7156933,23068740,1522867,737500535,4201206,418573,17432576.00,179.54,155.62
,8451685,2973115,104383,917033,1033676,382166305,1409899,758239,17432576.00,179.54,155.62
,-1,-1,-1,-1,433,21090098,661504,67206,17432576.00,179.54,155.62
,474712578,97681154,3130069,11490173,1148487,486342150,99534,562137,17432576.00,179.54,155.62
,730318353,157828940,8570373,25095859,2633905,1136602606,1468482,2486821,18448384.00,181.01,156.63
,1322290627,236014800,10780461,36813779,1021040,1456916309,3634289,1836997,18448384.00,181.01,156.63
,3879647534,703618309,29064793,71475069,2939070,3446949083,2510343,3945516,18448384.00,181.01,156.63
,2403190772,487768995,19854881,49972589,4498592,2926080741,5480589,3285674,18448384.00,181.01,156.63
,4350443611,835185980,39244764,86015071,5259699,4496166494,4364636,4905464,18448384.00,181.01,156.63
,4391882351,818092834,31073861,91463310,6328534,4836781313,7002693,4781799,18448384.00,181.01,156.63
,5973793338,1117722867,42615223,77534153,7415978,4583982376,6884758,4300212,18448384.00,181.01,156.63
,6373993363,1155573790,46787851,99156110,5201184,5320877507,6051686,3327565,18448384.00,181.01,156.63
,6080847742,1151582450,38641725,99914345,8902933,5296233574,5963398,4788074,18448384.00,181.01,156.63
,6577476917,1191298664,40603629,105240472,12117132,5885350332,6824487,5566809,18448384.00,181.01,156.63
,5533405914,1085296006,35752149,78832226,9988302,5165182707,5957287,3800595,18448384.00,181.01,156.63
,5603601079,1098684182,34499485,75737753,9276676,5017619755,4798983,4807873,18448384.00,181.01,156.63
,4723881905,910686654,28309896,73156921,9598351,5286485824,5988690,5170413,9797632.00,84.64,66.32
,4159189597,791499422,22296566,61308159,11151910,4430863930,7021705,2354282,9797632.00,84.64,66.32
,4979633738,916493075,35831576,89439689,10647724,4757056049,5640001,3648685,9797632.00,84.64,66.32
,4659681711,880520630,22131525,69597755,10710469,4838085605,6470302,4699981,28803072.00,181.44,93.00
,4051861199,770502971,20716423,71296232,11128985,4664889861,6228235,3969340,28803072.00,181.44,93.00
,3458880177,649242307,20231066,75881291,14360108,5045043046,6632312,5070484,28803072.00,181.44,93.00
,3080583301,595040639,19469336,81538467,12796451,5100022675,14360108,3977703,28803072.00,181.44,93.00
,2917601110,534308973,16699916,70432511,13158860,4995564406,8638412,2770732,28803072.00,181.44,93.00
,2957054624,537271987,16810399,88083967,14124240,5121321959,9366398,4897859,28803072.00,181.44,93.00
,3186436083,598996092,18923232,84660938,14552051,5584597014,8601439,3670492,28803072.00,181.44,93.00
,2936652818,567507210,14166470,72678136,12124434,4748389804,10263202,4844936,28803072.00,181.44,93.00
,2881531835,544610984,16781778,70612890,11909600,4545831234,10211513,3339784,28803072.00,181.44,93.00
,1627787941,282736314,8380711,42276791,6949684,2171455683,8947594,2073147,28803072.00,181.44,93.00
,1886661602,359255453,8591422,51091535,6786680,2543228332,8714509,2644158,28639232.00,177.11,89.65
,1220528603,233849405,7644223,30413992,7181190,2411795075,4728609,1445428,28639232.00,177.11,89.65
,1317332750,232900839,9455723,29311932,4135169,1437082028,5590928,1079352,28639232.00,177.11,89.65
,413591197,79051516,2726447,15361026,3286715,1202906816,4400700,675763,26443776.00,124.78,46.10
,640140171,70505936,3475937,6364237,350763,369911878,2730181,71714,26443776.00,124.78,46.10
,1574748752,385494994,14069635,33448896,2946935,1588785323,2080678,1741884,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,248418,-1,32145408.00,124.98,49.41
,602959992,152269554,4825831,18521631,-1,-1,3570920,347962,32145408.00,124.98,49.41
,11563818988703711232,1940296970085786880,110172176469982960,654311480771179136,17681668041585212,0,-1,59423571405974896,32145408.00,124.98,49.41
,176009248,76975924,3896011,16003101,1600905,671754570,-1,531340,32145408.00,124.98,49.41
,1673025534,305668995,6757288,25349320,2116743,961418280,88246090525968672,990815,32145408.00,124.98,49.41
,864438936,159881602,2809330,10720693,2036087,1629534760,1427511,1242663,32145408.00,124.98,49.41
,-1,-1,-1,-1,48312344551540920,0,1710081,25538,32145408.00,124.98,49.41
,136521256,27328087,1868246,8238557,-1,-1,1937514,-1,32145408.00,124.98,49.41
,2011451,407214,34160,157481,2570,252820024,63639387776615152,-1,32145408.00,124.98,49.41
,-1,50025877,1563576,8613056,132567,243450626,-1,1673237,32145408.00,124.98,49.41
,-1,-1,-1,650508390622430464,10510157225759826,0,-1,59948432576960528,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,1080187,10481,32145408.00,124.98,49.41
,619767809,111905916,3953616,9916148,2152047,667569057,81675012301816064,1191307,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,2765,10055229387704546,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,1377561,-1,32145408.00,124.98,49.41
,222920692,52284046,1389367,5288294,1441172,328776165,14221600694132228,527929,32145408.00,124.98,49.41
,183177600,22124379,1444924,7738652,467045,264503993,-1,14079,32145408.00,124.98,49.41
,386492,222365,27531,259755,30934,8432880,757930,758202,32145408.00,124.98,49.41
,-1,-1,-1,-1,203,2005130,488973,14009,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,33707,7485,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,17803,-1,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,5340,-1,32145408.00,124.98,49.41
,270993640,47967702,1957979,-1,-1,-1,-1,-1,32145408.00,124.98,49.41
,5871203,1187810,88703,470155,486622,268143889,-1,-1,32145408.00,124.98,49.41
,982206,298172,32964,235278,5349,248552513,-1,851267,32145408.00,124.98,49.41
,1668984,338969,32533,198361,3272,9558820,-1,13862,32145408.00,124.98,49.41
,4347991,846787,98990,352568,819,2313301,1055132,5170,32145408.00,124.98,49.41
,600095735,104463046,4427334,9956563,506086,527905242,39893,931081,32145408.00,124.98,49.41
,965495136,218090625,6591685,20603200,479130,1177360022,12031,3163797,32145408.00,124.98,49.41
,1525896414,305380668,12195925,36629516,1218740,1508195643,727964,2171231,32145408.00,124.98,49.41
,2531416560,516251308,21772049,39110590,1038454,1753075794,4610627,920997,32145408.00,124.98,49.41
,1697813744,317070317,11439157,32036286,1421198,2034001710,2836120,2496963,32145408.00,124.98,49.41
,135334472,24402109,1284900,4938589,837257,232428389,2059615,205144,32145408.00,124.98,49.41
,-1,542669,61239,277775,5935,8585347,4271073,-1,32145408.00,124.98,49.41
,-1,160018,50013,270415,3746,7899265,440982,1324757,32145408.00,124.98,49.41
,887622802,163152238,2059754,29340661,4764150,1232424682,-1,732093,32145408.00,124.98,49.41
,163875835,29098521,990439,8154132,1108647,311246265,42495,377192,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,1257764,-1,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,578246,-1,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,-1,-1,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,-1,-1,32145408.00,124.98,49.41
,-1,-1,-1,-1,-1,-1,-1,-1,32145408.00,124.98,49.41
,2004799920,336545460,12125271,35183652,1056314,1437026701,-1,1493742,32145408.00,124.98,49.41
,3862214279,709192919,31374742,53380432,1997648,3288381456,-1,2173558,32145408.00,124.98,49.41
,2731992054,546942143,21461872,37273715,1692086,2617926224,2265732,2350047,32145408.00,124.98,49.41
,420918664,89161350,2269529,7251008,1520197,509094967,3440654,267320,16482304.00,40.53,35.03
,107992628,25705558,-1,-1,-1,-1,3851633,-1,16482304.00,40.53,35.03
,2625425,1631944175056980480,124569059922202576,4891860,157469,145520669,570948,-1,16482304.00,40.53,35.03
,-1,85152,9052,71126,6534,5878562,-1,947039,16482304.00,40.53,35.03
,-1,-1,-1,-1,2547,3568127,-1,16360,16482304.00,40.53,35.03
,-1,-1,-1,-1,-1,-1,25539,1567152,16482304.00,40.53,35.03
,1694554908,324163460,12553344,32925691,1131091,1560084537,22290,1039904,16482304.00,40.53,35.03
,2341927467,514394890,23836025,39764329,1351915,1972628246,2042917,1337204,15826944.00,39.68,34.24
,2224453509,458274836,11611351,46764158,1287376,2207104155,1900352,2073244,15826944.00,39.68,34.24
,1507308751,260141028,17168580,27476666,781968,1665268024,3060651,774251,15826944.00,39.68,34.24
,1814660721,329150324,12606787,38562045,1564899,1419574854,3664902,1290238,15826944.00,39.68,34.24
,3482605053,661721098,27203925,61845283,1828945,3119850141,1661490,2051486,15826944.00,39.68,34.24
,1082922146,217753019,8788570,37485744,895195,1535641232,2631288,1549635,13762560.00,37.16,31.98
,2124059958,413378862,16527123,56197819,1948836,2113870152,4265329,1916095,19300352.00,63.11,56.46
,1453413954,265030955,12011337,26594890,840053,1314941842,1420162,990100,19300352.00,63.11,56.46
,1082459918,189170251,9771739,24245169,1507674,1266912021,1640166,921138,19300352.00,63.11,56.46
,1431345572,232780521,3819290,9107948,2109769,880768190,960021,656563,19300352.00,63.11,56.46
,951082933,188564578,8291908,30044466,2372850,1513388568,611129,1863833,15958016.00,50.76,44.17
,1878638466,310706630,14954913,40006834,1746111,1951003329,701251,2577320,15040512.00,49.64,43.45
,921304135,165935123,7007159,23965367,978647,1063825307,1195403,940259,15040512.00,49.64,43.45
,1112139792,213741293,7984759,22367253,663185,850774536,1521155,948852,15040512.00,49.64,43.45
,550651360,94108287,2250818,19170214,5110942,956778311,715508,1552727,15040512.00,49.64,43.45
,1124334758,218201379,9569507,24435556,2662031,1121307166,492419,934780,15040512.00,49.64,43.45
,2831966985,526381734,23110462,53650788,2494017,2428566120,1980031,1616274,15040512.00,49.64,43.45
,3679620365,440412038,12641512,32775483,2911787,1839223952,1068438,1444305,15040512.00,49.64,43.45
,2540402303,605887909,15353270,46216903,3981879,2509011028,2714449,1602487,26640384.00,63.41,55.21
,2139446314,511690953,16288380,43418111,4924902,1959315488,2661030,1808186,26640384.00,63.41,55.21
,3259908002,587381876,18789681,137076157,6060701,3326803455,3705939,3187086,16908288.00,66.55,57.97
,2931851745,586904117,16569515,56432983,8100685,2802913547,3100513,3201852,16908288.00,66.55,57.97
,3057552347,660225854,22177714,71345371,6414349,2985511190,5092703,1253166,16908288.00,66.55,57.97
