,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,1017729583,223021390,8439589,19348138,717206,1017513133,1618915,1036527,0.00,0.00,0.00
,481399375,107940624,3904891,7810402,281835,473520875,1865113,1560619,0.00,0.00,0.00
,2750759125,565592415,22426449,55735000,1280196,2686493708,3359938,2192496,0.00,0.00,0.00
,1976631155,377549977,16397176,32079189,1536030,1816717288,2001744,1081632,0.00,0.00,0.00
,757714152,166433958,5520767,19788708,615600,924181117,2063598,1487295,0.00,0.00,0.00
,298881041,40061141,1386005,8398246,1869584,332095672,1254319,-1,0.00,0.00,0.00
,-1,-1,27860,129054,4036,3894297,16919,-1,0.00,0.00,0.00
,-1,-1,522484,2305726,35051,68804156,249889,128812,0.00,0.00,0.00
,475096045,86566607,1828500,22585637,6346747,997972835,1476494,503395,0.00,0.00,0.00
,500511677,103411596,6524451,14419730,4193412,834216390,1445374,1062710,0.00,0.00,0.00
,26539576,5444345,69447,1462070,89941,50662104,37768,12050,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,3331138360,646470234,20129126,39036566,1278427,2404480058,2620887,1622356,0.00,0.00,0.00
,2098432206,402811756,19683515,49236271,1567550,2175097949,3056342,1394146,0.00,0.00,0.00
,2511160784,530229996,18420483,56862230,1939584,1576149982,2447821,1729505,0.00,0.00,0.00
,342753746,89811721,2763362,8728266,217831,1073313265,994413,477397,3276800.00,12.48,12.39
,5374422675933272064,1102782648243794560,130000276726243328,649132687580975488,-1,-1,-1,-1,3276800.00,12.48,12.39
,1425943,466873,55868,258845,5144,314892867,-1,-1,3276800.00,12.48,12.39
,-1,85024,51090,249618,6834,7185973,32917,-1,3276800.00,12.48,12.39
,93604426,17402950,1943615,74647,5808,6666351,31717,24625,3276800.00,12.48,12.39
,154996769,59830797,1595117,12118608,1512327,606204005,1808512,1557381,3276800.00,12.48,12.39
,2090096490,380902978,19017219,51525771,959873,2106259438,3371428,2459763,3276800.00,12.48,12.39
,2249495816,436816505,20251574,46403030,2563289,2130026621,2462137,1099711,6193152.00,17.01,16.19
,1833013257,362375427,15126116,36818094,1588497,1819478890,2457331,1338236,6193152.00,17.01,16.19
,-1,-1,-1,-1,-1,-1,-1,-1,6193152.00,17.01,16.19
,2995154576,558443539,23999929,51857853,5445925,2835495320,7718526,5460145,6193152.00,17.01,16.19
,2330952092,453792287,21346934,55480340,2546023,2503601043,4376459,2589557,6193152.00,17.01,16.19
,809896518,152790192,6583467,27557347,713354,946231271,930927,1280940,6225920.00,17.07,16.22
,2129554558,417217342,18929319,44379764,2265661,2145302797,1527244,1053259,18677760.00,154.27,141.66
,1269358072,220344900,12530871,25739341,1163776,1245684907,1091816,1765391,18677760.00,154.27,141.66
,1696838294,298098538,14708469,39903705,1976047,1776519626,1255564,1055545,18677760.00,154.27,141.66
,507686917,92576125,3404238,12186294,1296152,570210040,830227,950936,18677760.00,154.27,141.66
,926063801,159106840,7501549,22867729,969193,1053791629,630308,1307186,15400960.00,141.79,129.27
,1833764622,191310964,6531251,26681220,915035,1223744087,690385,1241799,13434880.00,138.97,127.04
,1045314010,281532944,10982255,41084340,1715075,1706334744,952685,1087302,13434880.00,138.97,127.04
,1201516518,208692200,9892383,23623778,1681361,1268530250,788508,1382838,13434880.00,138.97,127.04
,-1,44925612,730700,2561374,1235259,203977455,342988,443463,13434880.00,138.97,127.04
,2180642300,402902427,15176239,39455195,3351745,1906513356,2134157,1634308,13434880.00,138.97,127.04
,2976127461,588516406,24567530,45734103,2556352,2479847946,3471826,2556352,13434880.00,138.97,127.04
,1816174716,327741969,13670751,23748830,2214391,1337246695,2063158,1942895,13434880.00,138.97,127.04
,2542781804,509378502,16015941,33522068,5711219,2158287133,3250888,1067131,24248320.00,178.72,161.48
,2507293206,537671576,15125440,46864382,6581497,2339126935,3762484,1003616,24248320.00,178.72,161.48
,1667034134,287242036,10406947,63637469,9093401,2249599766,2907563,1590620,14090240.00,104.10,89.85
,3204737205,658759313,16525060,49448504,8986584,2855651319,3905345,2608818,14090240.00,104.10,89.85
,2320463725,427316186,12249628,58981252,3973444,2763538718,2845984,1823836,14090240.00,104.10,89.85
,1374703227,90942852,4430921,5018261,956107,542354011,217470,1555645,14090240.00,104.10,89.85
,1287834039,327421074,18493083,27320817,3119977,1510805373,1547172,169206,14221312.00,104.79,90.34
,1695794965,310826750,17600815,26263581,2614474,2259340019,920703,1528071,14221312.00,104.79,90.34
,1442068126,188362480,8138799,24192232,2991975,1475762612,1749182,831661,14221312.00,104.79,90.34
,445043098,77431304,4533720,7289099,477066,457623450,476654,14221312.00,14221312.00,104.79,90.34
,2817431440,518568068,21617237,52853530,1518318,2494906476,3755225,90.34,14221312.00,104.79,90.34
,1809089691,365070766,12487682,32420102,1540239,1597491959,1636807,104.79,14221312.00,104.79,90.34
,1855184010,383063413,14156745,36974911,1040446,1794134017,2086738,1442068126,14221312.00,104.79,90.34
,1461472717,292242236,11354557,33518179,1215173,1568527565,2719754,188362480,14221312.00,104.79,90.34
,2283765063,446612868,13746777,27773477,3796237,2172742342,2671654,8138799,14221312.00,104.79,90.34
,1627151545,275013743,9498852,20877469,3289166,1391517723,1220942,24192232,6160384.00,70.42,58.29
,2334024162,421816992,11448182,87975792,1412978,1778928255,2079166,2991975,6160384.00,70.42,58.29
,4510464327,767145743,21542162,106921831,6317628,3805781317,5492689,1475762612,6160384.00,70.42,58.29
,2015521952,352307054,13428381,32061309,4717502,1783053892,3163931,1749182,6160384.00,70.42,58.29
,1422434540,275381652,10896934,31616447,3977083,1644827698,2674277,1532972,6160384.00,70.42,58.29
,3321859256,642776899,23496398,61715805,3593017,2846068956,4330830,520839,6160384.00,70.42,58.29
,2511061567,491548093,15439050,32012851,3639376,1562416613,1885785,2791080,10682368.00,81.13,58.92
,11215793054045220864,3292608273938461184,139019,492686,1122731,376277413,1075457,1216709,10682368.00,81.13,58.92
,1989343908,387561789,17718275,38128320,4447796,1967513154,3848354,1504689,10682368.00,81.13,58.92
,1716587858,319341262,9431263,21132715,1592087,1476737294,1482499,1860944,10682368.00,81.13,58.92
,-1,149405,29555,226566,8265,6617784,30888,1663842,10682368.00,81.13,58.92
,2730737043,482433707,17269172,52135135,5556333,2267913349,5781390,677921,10682368.00,81.13,58.92
,3855181565,715113594,31783998,85361935,2655134,4026032086,4779755,1102954,10682368.00,81.13,58.92
,5769753224,1036200912,42201901,96749832,4523720,4781793364,6705949,1999357,10682368.00,81.13,58.92
,4909295589,918119054,34897079,90737385,4833419,4770485165,6528110,1534956,10682368.00,81.13,58.92
,5633320551,1054495665,45491769,100045049,5471570,5132922631,7348969,1522050,10682368.00,81.13,58.92
,4954665067,945138154,41768425,106544776,8325165,5075150225,7904644,1749560,10682368.00,81.13,58.92
,5068625113,974312242,42008945,75673687,7615291,4585362807,4779426,1112606,10682368.00,81.13,58.92
,6599183794,1246717413,47298704,104599502,8446725,5685048515,7137994,692824,10682368.00,81.13,58.92
,6281470991,1264477262,41865329,90440205,15433703,5415195861,5967836,2334046,10682368.00,81.13,58.92
,4408220303,871346419,33393338,87539241,8709523,4439315602,7214806,458762,10682368.00,81.13,58.92
,5209976761,1017330279,33961030,96063952,10300795,4908152293,7826013,1014015,10682368.00,81.13,58.92
