,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,3615770917,665621579,28197765,67338855,7402338,3246831973,4376744,2672556,524288.00,2.59,2.23
,579850990,110165903,5082067,14716305,532928,583484667,1052637,753787,524288.00,2.59,2.23
,2260168383,406863794,17548568,31275177,933414,1613677917,2844544,1754893,524288.00,2.59,2.23
,13080243758497472512,2754265811465123840,95655559273031776,2730713,70490,165433135,564439,459301,524288.00,2.59,2.23
,-1,-1,-1,33428,21840,10649242,7631,23107,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,313091803,70635457,1437308,13145175,4465031,751945610,868856,289272,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,-1,-1,-1,-1,-1,-1,-1,-1,524288.00,2.59,2.23
,2918783358,508136242,26747131,75726568,1477256,2956400887,4393007,2519047,2228224.00,4.92,2.39
,1556715682,310151296,12033610,39128394,1304775,1605105204,1934314,753621,2228224.00,4.92,2.39
,1480762866,283299131,10437176,30455081,1270463,1842215939,4517122,993653,2228224.00,4.92,2.39
,1451245302,320894491,11941848,28292501,1582359,1471733050,1609931,1167703,2228224.00,4.92,2.39
,1690671878,327253016,7549008,20575721,1888682,1405957090,-1,1318916,2228224.00,4.92,2.39
,1848980568,317829680,16227743,74697997,2632139,2643367967,4018326,3740264,2228224.00,4.92,2.39
,0,5417177173366906880,185159858287818944,1396343247008990976,14866109311067894,0,44094537824018640,65355898181283088,2228224.00,4.92,2.39
,4264015801,809304621,23408316,83455027,1471379,3179437106,2431129,2080674,2228224.00,4.92,2.39
,561894036,97563777,9893578,41320634,1186676,1469305415,1483980,1408381,2228224.00,4.92,2.39
,1444700635,255810439,7743141,39896734,1110983,1492184207,909490,1618356,2228224.00,4.92,2.39
,-1,-1,-1,-1,-1,-1,-1,-1,2228224.00,4.92,2.39
,871958047,155574492,6106126,24540050,896763,1042612019,706422,1282134,2228224.00,4.92,2.39
,1120779375,189621012,8608533,28568946,1161174,1223375926,673028,1270413,2228224.00,4.92,2.39
,-1,-1,-1,-1,1175818,1169272740,759403,1265707,2228224.00,4.92,2.39
,2258800606,429035754,8827152,34249782,1165794,1489616669,871036,1616682,2228224.00,4.92,2.39
,1137467036,226583448,13595456,48231057,10459505,2691277616,4521611,1748307,2228224.00,4.92,2.39
,1848400768,352875284,11891928,32735339,1526061,1387422856,1639774,1674006,2260992.00,5.01,2.49
,3097738510,652942894,23841213,67295753,4332626,2698494375,4419409,2426890,2260992.00,5.01,2.49
,2046738121,407102569,11749056,64858448,3827349,2418256510,2378101,859548,2260992.00,5.01,2.49
,1885777062,409729284,13775712,24308946,8113416,2339452621,779962,612316,3833856.00,85.62,58.62
,1439651408,222742815,7624256,12747712,1479636,1122938322,1713868,1070356,3833856.00,85.62,58.62
,1264044571,199351575,7274705,16881924,2815923,985322384,1805045,373819,3833856.00,85.62,58.62
,3123083001,458361568,13539071,45601005,3059051,2657513335,3952291,3155759,3833856.00,85.62,58.62
,207017041,128501304,6003087,31117803,2999114,730960273,1220834,1462519,3833856.00,85.62,58.62
,3321511323,677343299,25125555,53998669,2323985,2923107365,2918136,1380669,3833856.00,85.62,58.62
,969222274,253188391,3201516,12781934,1974388,993190044,1852239,31411,3833856.00,85.62,58.62
,545425237,128709893,6956398,26558268,2069703,1042866088,2423032,2245891,3833856.00,85.62,58.62
,1547364138,303496541,18715956,30346461,2028107,2043534329,1780181,1030884,3833856.00,85.62,58.62
,2055070086,321216296,18780807,12578243,876573,1545822907,1127838,2037053,3833856.00,85.62,58.62
,2400231710,466179216,26422442,13650004,1438734,1812490735,1009611,1465198,3833856.00,85.62,58.62
,1470861978,264435624,10214865,39139253,5420202,1647309023,1833742,824858,3833856.00,85.62,58.62
,612968400,100016793,6284519,34033100,2889545,1732835765,2089362,1955508,3833856.00,85.62,58.62
,2619593174,514892206,22441094,56858653,3881931,2803829644,3394300,2352652,3833856.00,85.62,58.62
,1818354266,378221074,17408367,26327527,1430898,1162349200,1462872,711424,3833856.00,85.62,58.62
,1468782968,319016169,12269224,49202132,1840543,2465036996,3399253,2289719,3833856.00,85.62,58.62
,2463377416,455449730,21811835,44012101,1265445,2297459580,3793479,2982526,3833856.00,85.62,58.62
,1332939457,236924747,7681503,20375922,2323364,1315426537,1874133,1107241,3833856.00,85.62,58.62
,2503643146,493811150,20412991,56015859,3271211,2345523401,4301768,2733886,6193152.00,92.41,63.44
,1164833607,241703215,10552122,30159027,1030838,671428220,1226811,693335,13926400.00,111.08,68.22
,1007139914,151375090,3190897,12917871,3772227,1371877541,2245856,1319182,13926400.00,111.08,68.22
,781468462,160052370,5193609,23586758,1285450,1043308213,2541857,1631579,13926400.00,111.08,68.22
,3672700133,681847754,20801245,67078148,3929912,2605198336,4275293,1303241,13926400.00,111.08,68.22
,1456444713,278609108,11075422,41489271,2144541,1551852142,11075422,2506972,13926400.00,111.08,68.22
,3818128713,887088020,18676300,85720475,1855243,3019475478,3156841,2816500,13926400.00,111.08,68.22
,1246780163,210898075,7646175,13711908,1204736,791828757,5055851,219806,13926400.00,111.08,68.22
,-1,-1,-1,-1,-1,-1,606716,-1,13926400.00,111.08,68.22
,2053864323,387676457,15489826,42823362,2280063,2227701882,-1,2760352,13893632.00,110.99,68.12
,1381351948,231136112,5732646,20013311,2526461,984025739,4452217,602932,13893632.00,110.99,68.12
