,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,4767243626,904120752,35372148,76369041,3963213,3394287993,5250529,3699134,0.00,0.00,0.00
,1107800925,205269336,5614379,34404425,1046596,1463220589,3130881,1994236,0.00,0.00,0.00
,1389586749,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,2516608325,522789552,23770117,54915026,1615806,2751250928,3055995,1705397,0.00,0.00,0.00
,1909561760,321759404,10667605,38952843,1200910,1579974056,3394702,2113808,0.00,0.00,0.00
,2393898551,476994001,13893447,42585062,1609630,1481360018,2335485,1554905,0.00,0.00,0.00
,214101962,46510401,2280825,5509960,372803,1192632537,1747939,1080730,0.00,0.00,0.00
,-1,-1,-1,-1,-1,912115266,766033,809513,0.00,0.00,0.00
,2269359292,416118348,18746901,56615110,3268324,2734365092,3549408,1863854,0.00,0.00,0.00
,2242183396,261563854,9964582,37201823,1520809,2199651485,4047138,2799575,0.00,0.00,0.00
,2912908117,565841842,19539239,44030421,1922691,2165028707,2792516,1640345,0.00,0.00,0.00
,252573941,42483057,2651335,3726801,-1,0,24669780307321636,16232761310239780,0.00,0.00,0.00
,1756373,363709,37511,168115,-1,-1,-1,-1,98304.00,0.10,0.10
,4727776374,926787780,31269424,67353957,4490920,4379357596,5615011,2111827,3112960.00,27.20,10.78
,2177914185,403162796,14960825,32681940,2144419,1657056420,2090306,876458,3112960.00,27.20,10.78
,989496959,209177525,8833239,10681648,2076950,911508774,1733990,1058715,3112960.00,27.20,10.78
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,0,4202563756169648640,177682048736900448,549754386201895040,31038364819877072,0,55157956591962480,34186836615595384,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,326491208,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,33625004,7259554,325795,895932,7376,49742298,130333,49076,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,13327240137088665600,2982273227951030272,235528178663124256,433791859597397952,27144966846630692,0,-1,-1,4980736.00,30.80,13.80
,378223404,88748853,6100827,10471325,239486,25275083,26115,37273,4980736.00,30.80,13.80
,2260819,703426,102950,471794,119709,611824085,642582,623719,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,356,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,476582274,93970449,2942579,5264949,218053,490674257,674176,493094,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,-1,-1,-1,-1,-1,-1,-1,-1,4980736.00,30.80,13.80
,575579445,106213066,8931195,39911409,1170884,1573523644,2527152,-1,4980736.00,30.80,13.80
,7687468744356482048,1627524,118502171060149792,572580722718068160,10815,52036517,132376,233363,4980736.00,30.80,13.80
,758524291,153480186,6242422,29214034,939486,445618523,1077234,1487771,4980736.00,30.80,13.80
,3683325425,678273910,25471458,48443636,4852925,2869211850,2781204,1502238,4980736.00,30.80,13.80
,1985930200,454767950,12769314,66000045,3708862,2561615121,4282841,1085940,4980736.00,30.80,13.80
,2925640082,479278513,11463702,38266071,3345312,1271303906,1725571,602074,4980736.00,30.80,13.80
,0,9487448,378694,1080566,41284,871844904,923821,213060,5341184.00,31.33,14.12
,2890457629,535371306,17125935,44669344,2166527,2005478009,3927766,1238751,5341184.00,31.33,14.12
,600806225,102545744,5551937,9696655,209296,417685166,-1,-1,5341184.00,31.33,14.12
,3691487207,578709743,15907681,35852321,1082418,1663426273,2267422,894459,8552448.00,34.96,16.97
,277031410,119032309,6132914,33833279,82880844102808432,0,79844757740871616,35882,6160384.00,9.50,7.54
,2039607602,398419661,14041123,53007532,2463645,1795859328,1296653,477759,6160384.00,9.50,7.54
,16403268576826535936,3422882699722502144,230974249226696704,418542422792656768,459262,1003823394,1481931,1000253,6160384.00,9.50,7.54
,712454176,143434655,4281677,18233651,2675314,704372622,1076397,773185,6160384.00,9.50,7.54
,-1,-1,-1,-1,-1,-1,670,19466,6160384.00,9.50,7.54
,1102581171,245797348,7478567,23782037,386173,1079160558,2021564,234681,6160384.00,9.50,7.54
,1148056316,246687343,9670440,31400871,-1,-1,-1,-1,6160384.00,9.50,7.54
,196425151,40279578,1553992,4831728,1158340,848249221,1524074,1239811,6160384.00,9.50,7.54
,-1,-1,-1,-1,-1,-1,-1,-1,6160384.00,9.50,7.54
,955278018,134028967,5691208,24583495,-1,-1,-1,-1,6160384.00,9.50,7.54
,7995996,2270888,246558,1057487,39878,628432441,1978083,852358,6160384.00,9.50,7.54
,272999055,35135118,1031316,-1,12774988190278990,0,30187953671268856,19241147664973644,6160384.00,9.50,7.54
,12517486,3731617,309905,10640930,422200,611194714,1143925,725985,6160384.00,9.50,7.54
,-1,-1,-1,-1,-1,-1,-1,2660,6160384.00,9.50,7.54
,2666861443,567092224,20830683,47161083,5665169,1741710914,5067981,2009928,6160384.00,9.50,7.54
,-1,-1,-1,-1,59865225266844280,0,21382150693921188,5468,6160384.00,9.50,7.54
,569849674,151615584,3619536,10604890,4615753,1151896992,1924277,176342,6160384.00,9.50,7.54
,198171235,43998581,1010501,6191577,677106,231872282,690294,398963,6160384.00,9.50,7.54
,1487712092,313134525,12055531,45237470,3599898,1822807110,2467593,438927,6160384.00,9.50,7.54
,4193021467,704373660,17122328,57599925,6258307,2602692548,5424524,2838492,6160384.00,9.50,7.54
,0,40643232,1313889,676005340715557504,286850,789249377,585334,11241,6160384.00,9.50,7.54
,-1,-1,-1,-1,-1,-1,-1,-1,6160384.00,9.50,7.54
,1191519205,254374820,11094040,32339363,3459509,1625543490,3957505,1634413,6160384.00,9.50,7.54
,-1,-1,-1,-1,-1,-1,-1,-1,6160384.00,9.50,7.54
,6929386510,1559703654,934089,475351,333449,1956658081,2056265,1319869,6160384.00,9.50,7.54
,1429006996,262094670,9980190,29558364,1701129,1289502056,3491319,1928595,6160384.00,9.50,7.54
,1497594310,317473994,15319645,16762242,3166631,1250354825,-1,-1,6160384.00,9.50,7.54
,1513774344,286337452,10535560,36026183,2593726,1061977038,2012262,789871,6160384.00,9.50,7.54
