,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,743471442,148035514,3142513,8400839,971589,777536149,1001209,850358,13533184.00,24.41,23.27
,1477574737,273671161,15540773,33883771,1628183,1518704975,2344261,1520188,13533184.00,24.41,23.27
,1994038724,380005900,14110367,25643175,1561676,1601468580,1444470,1012194,13533184.00,24.41,23.27
,1663784057,269268695,11479994,25833617,799833,1371116474,3152870,1645578,13533184.00,24.41,23.27
,1464816787,315084931,16398591,41283515,915459,1618186490,2243406,1347270,13533184.00,24.41,23.27
,2500869892,479809863,21673522,41769548,1606905,2142335440,2525393,1173077,13533184.00,24.41,23.27
,2002366287,383185582,13939564,40860151,896557,1971179520,3584956,1942627,13533184.00,24.41,23.27
,1863458990,376524978,15628896,26268754,3599167,1617405078,2122796,1463039,13533184.00,24.41,23.27
,1455278126,289240864,13164372,32298166,1322004,1300750968,2934250,2077009,13533184.00,24.41,23.27
,2885092329,463166079,21390387,54249374,1013723,2364243201,2845952,2435467,13533184.00,24.41,23.27
,1349276626,224952439,9633757,40956842,901020,1290992176,1244446,1412277,13533184.00,24.41,23.27
,1905041422,365269056,13504176,60440763,2202952,2081116734,1539089,2069721,13729792.00,24.61,23.33
,1084727342,191806033,6839779,32592622,1101230,1255282880,845638,1832295,13729792.00,24.61,23.33
,1541923826,276941134,10349999,49058559,1423978,1889059244,669099,1453619,13729792.00,24.61,23.33
,1379710963,239430907,8668044,34278124,1219646,1523323225,1427726,2476830,13729792.00,24.61,23.33
,1190398723,201260141,10211552,26841695,1553546,1293129130,1120746,1648185,13729792.00,24.61,23.33
,996175783,174888217,5767070,27229191,5122733,1555004740,1403609,1085040,13729792.00,24.61,23.33
,638928667,116832100,3803424,19710487,613501,812363249,574096,1217522,13729792.00,24.61,23.33
,868496861,145460065,6046216,21741238,1001293,941120758,831388,1355295,13729792.00,24.61,23.33
,1670018084,282210159,11103967,40616763,2207095,1788155870,1777266,1761688,13729792.00,24.61,23.33
,2874231216,548520600,23100718,39217857,1996744,2175475170,2078311,1309746,13729792.00,24.61,23.33
,3388900844,658296446,20811362,65862822,5155480,3041262876,5088622,2465681,13729792.00,24.61,23.33
,987589884,214640025,8801469,22152638,997233,1003265481,1193139,578669,13729792.00,24.61,23.33
,2660420002,464639984,13972566,34432642,5475349,2017885695,2902200,1304202,13729792.00,24.61,23.33
,416902242,74072297,3000483,9155943,766531,346657682,926342,584264,1376256.00,3.21,2.62
,1720650723,327418136,13469538,63470294,7346444,2133077024,2961088,2892765,1376256.00,3.21,2.62
,2497603584,471114350,18249346,53396472,3993601,2547422936,3606145,1788811,1376256.00,3.21,2.62
,802993504,137161115,5150318,9237782,2453769,675448111,1228257,378242,1376256.00,3.21,2.62
,664936922,135446069,4384689,32767047,2212141,1187615596,3977273,2344310,1245184.00,3.11,2.59
,1459452600,248818173,17446843,9406339,1241935,1336577186,774927,1058042,1245184.00,3.11,2.59
,1319359696,219677605,11837227,6785170,1060168,948826171,607753,630431,1245184.00,3.11,2.59
,1089097313,207841761,15478107,13373332,1019281,1213722129,1210276,1175770,1245184.00,3.11,2.59
,1540574785,279040955,17983481,12483243,2711778,1560896169,698435,1123248,1245184.00,3.11,2.59
,1304587702,228283191,8243610,31148777,2782718,1489565788,1704344,1478513,1245184.00,3.11,2.59
,2569942770,485026354,21506864,49009323,1173062,2173337838,3466037,2738252,1245184.00,3.11,2.59
,2577979885,553005137,21933436,60190135,1457706,2261691290,3127720,2971568,1245184.00,3.11,2.59
,1412697900,275173626,12125491,33007526,2446465,2571719139,2718745,1324383,1245184.00,3.11,2.59
,1983720106,501944660,16081871,51964569,5860064,3093748387,2899211,1605328,1245184.00,3.11,2.59
