,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,2768420653,451708359,20142278,69617410,2365659,2774426826,4199183,3977212,0.00,0.00,0.00
,2118042621,372798318,17291179,25238652,1853805,1598084887,2198510,771511,0.00,0.00,0.00
,1253219868,252375542,5521986,15997469,1600058,834664226,1208567,676244,0.00,0.00,0.00
,2216672,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,1660295,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,1707718,361697,2812255,-1,-1,-1,-1,-1,0.00,0.00,0.00
,339367501,76204717,179928,264148,3017249,433313848,-1,-1,32768.00,0.03,0.00
,1416688,367243,27269,127928,3593,16322480,32388,559160,32768.00,0.03,0.00
,22561630,-1,-1,-1,-1,66236543,310353,220620,32768.00,0.03,0.00
,316784047,67233697,3658617,19988734,5292428,877054862,1857599,823696,32768.00,0.03,0.00
,659489706,116191664,2106496,18437184,3958192,1472891025,2809376,618696,32768.00,0.03,0.00
,636411222,127890601,2871049,15607954,3567413,845850365,2252315,924190,32768.00,0.03,0.00
,408298097,64999783,1551000,11802576,3001060,627971163,1625244,770064,32768.00,0.03,0.00
,-1,-1,-1,-1,-1,-1,165042,186357,32768.00,0.03,0.00
,3016597948,602262610,23221858,54036894,2543454,2947411365,4263665,2373058,32768.00,0.03,0.00
,3181986670,600048383,20128986,81731115,2500604,3702853490,7472759,5808233,32768.00,0.03,0.00
,1155726948,214536470,9302418,17694080,1558423,1082633510,1212313,796754,32768.00,0.03,0.00
,-1,-1,-1,-1,-1,-1,3382930,1679585,32768.00,0.03,0.00
,3262077971,595391829,23907945,50813300,3337795,2641473251,2784458,1539585,32768.00,0.03,0.00
,1960984560,530155728,16296820,38829767,3014643,2218777897,4520782,2061152,32768.00,0.03,0.00
,885563639,193939178,5125064,15281132,1600137,864137796,1022418,1143616,32768.00,0.03,0.00
,-1,-1,-1,21654,30865,13250056,2205,16,32768.00,0.03,0.00
,-1,-1,-1,-1,-1,164515,794,346,32768.00,0.03,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,32768.00,0.03,0.00
,1169627642,261666474,8171081,22225156,1877393,1253667711,4843553,3882024,32768.00,0.03,0.00
,4061804524,785854793,32502312,68964188,3488077,3573133317,3997554,1986253,32768.00,0.03,0.00
,994192020,194261380,7749301,27867318,1133126,1046621744,1144861,991298,32768.00,0.03,0.00
,3415303669,647966520,24321255,73874326,2370505,2796512039,2122551,2267289,7831552.00,10.62,5.41
,1763148192,365215055,9874215,35136046,1229134,1964442356,1539545,1977735,7831552.00,10.62,5.41
,1281471014,221701934,9196633,35180603,1191871,1476285217,819945,1844917,7831552.00,10.62,5.41
,1336467679,240421602,9317332,31576152,3929547,1830462876,1669285,2195392,7831552.00,10.62,5.41
,1250741946,221442287,9586919,34226567,1306614,1481260570,7831552.00,1544013,7831552.00,10.62,5.41
,931286847,164546620,7797654,25311382,1195893,1132909912,796601,1394255,7831552.00,10.62,5.41
,555338114,96755987,4806366,13656748,702949,681519842,699422,785934,7831552.00,10.62,5.41
,1947533677,355105542,7517811,38820422,1390953,2072134588,350122,2504511,7831552.00,10.62,5.41
,1566054759,312512301,11410308,21048194,861942,829710601,1665596,842311,7831552.00,10.62,5.41
,2260320521,407779232,20933209,51615113,3119257,2330400849,1267214,1967875,7831552.00,10.72,5.51
,2727920688,524715958,16398905,37181382,4642356,1859021910,3570505,1231877,11501568.00,17.63,9.34
,1468266068,329959500,11791070,24912229,3310321,1413813115,2402259,1255813,11501568.00,17.63,9.34
,1287970582,174818292,8692983,29039149,2577634,963729017,2229853,2023034,11501568.00,17.63,9.34
,2305280290,505655801,13207651,31659659,5784942,2413917771,2753536,2673589,11501568.00,17.63,9.34
,2949259271,556587440,16877683,66060884,10023418,3688291602,3841892,2952038,11501568.00,17.63,9.34
,1880145730,381019742,14181267,31946749,3326758,1609095997,4362826,1120469,11501568.00,17.69,9.34
,1965747815,382378313,13566111,40892578,2752486,2089484596,1457790,1441752,11501568.00,17.69,9.34
,1637424114,320872846,7889826,25989423,803113,1164036066,3090734,501016,11501568.00,17.69,9.34
,0,10391024376892882944,219733324868484224,276086116860573824,125527299183637600,0,1818440,1866,11730944.00,17.92,9.60
,1278448435,217011091,11782909,7283494,836816,1049883613,47597927374129984,774755,11730944.00,17.92,9.60
,1265125873,211795903,14071151,6687833,834080,1042310034,432761,688051,11730944.00,17.92,9.60
,1335293822,220605399,14312475,5920429,845542,1028326037,367753,595680,11730944.00,17.92,9.60
,2280158235,223247617,15006911,5111973,764389,1042446197,377707,542089,11730944.00,17.92,9.60
,480756315,235062911,14392482,9198463,1368154,964375439,202157,1011449,11730944.00,17.92,9.60
,2929614405,547183960,28582150,49664053,2119876,2597232094,1006785,2745514,11730944.00,17.92,9.60
,2233131489,421233265,18217306,42040035,1250010,1853265947,4225853,1175636,11730944.00,17.92,9.60
,2090544192,417153273,16471575,46743560,1259282,2399358364,2406519,994278,11730944.00,17.92,9.60
,1214929250,207877939,8720799,25840819,1757400,1275148999,2262015,2768864,11730944.00,17.83,9.50
,2416714447,486004798,14413762,47518203,3105976,2870385718,2980387,1756022,17825792.00,42.27,34.21
,791438423,154270146,6310035,17115166,1841976,963854008,2295372,1150797,17825792.00,42.27,34.21
,2739691572,508347997,17280387,46921579,2527650,2257070815,17825792.00,1383737,17825792.00,42.27,34.21
,2580387681,457025065,14201165,82233668,5987623,2547770858,2005994,1672089,17825792.00,42.27,34.21
,2005059549,387238733,17254773,52186360,2691108,2183604718,2974451,2348621,17825792.00,42.27,34.21
,1748325703,338692302,16724990,40911677,3991176,1582583966,4363029,1431142,17825792.00,42.21,34.21
,3797748667,904769021,19409081,111590834,2197233,3693339486,4652674,2052815,17825792.00,42.21,34.21
,2598985637,525514972,14621734,63362902,4945926,2568428915,2951280,2874761,17825792.00,42.21,34.21
,1822425033,328591074,11352470,29822844,1912332,1475587026,5425140,1879863,17563648.00,41.94,33.95
,337369207,80277468,3590003,7553477,1760024,423074518,4210854,816380,17563648.00,41.94,33.95
,-1,-1,15055,147098,78346,17252836,3392994,10313,17563648.00,41.94,33.95
,1010187306,-1,-1,-1,-1,428181276,1360754,3329845,17563648.00,41.94,33.95
,4058103797,748621247,35128701,102998494,6695930,4965369293,39971,4130669,17563648.00,41.94,33.95
,4294790594,725417405,36032214,98419609,5866419,4649261944,6161547,5532124,17563648.00,41.94,33.95
,4872422314,916620020,45938878,98656211,5076047,5028333980,5358385,4293094,17563648.00,41.94,33.95
,4654955502,894638494,36733898,105648173,3524266,4857041003,7016012,5636318,17563648.00,41.94,33.95
,6775982526,1271101198,49431410,96959715,6787888,5628581136,6405193,4069912,17563648.00,41.94,33.95
,4782465627,940368667,44668270,121685542,6527785,5861311220,6764998,5669837,17563648.00,41.94,33.95
,5028320530,972405055,39813590,122952300,10689241,5720908942,6758019,5636268,17563648.00,41.94,33.95
,5882561078,1108316958,45294368,86338357,8111025,4762061368,8156456,2783807,17563648.00,41.94,33.95
,4819716675,999946379,40106286,78650528,9756988,4746895744,8066763,3322789,17563648.00,41.94,33.95
,5731021228,1026920501,41384347,91346079,8963615,5047425237,5354547,3214739,17563648.00,41.94,33.95
,6158531762,1179273925,37478344,97411477,14811389,5618075827,5632866,2674821,17563648.00,41.94,33.95
,6309468076,1255677925,42533804,73788195,12954285,5372535104,5702261,3378456,17563648.00,41.94,33.95
,6192241466,1213629782,48126897,100937406,9041366,5483918330,6071171,3959532,17563648.00,41.94,33.95
,5656044122,969258167,32099329,85044471,10002654,5573752280,6459118,4517276,17563648.00,41.94,33.95
,5162854084,978344907,41859021,91947079,11239284,5384625150,6730957,5458327,24772608.00,92.24,70.88
,5739966780,1097409566,46289885,109827830,15737201,5924083298,7088162,4807247,24772608.00,92.24,70.88
,5540502137,1085198015,32202136,112011849,13883903,5544179001,8107520,2768404,24772608.00,92.24,70.88
,6610876158,1199839085,33491127,142401411,14783416,5621406859,9652572,1882938,24772608.00,92.24,70.88
,7602880252,1420782304,29018072,108347075,17732869,5571910905,6181858,1441006,24772608.00,92.24,70.88
,7348029195,1493193408,24775163,72848234,23244116,5398324332,24772608.00,1951530,24772608.00,92.24,70.88
,6766892838,1347345145,22292631,64670602,17015194,4687101899,4952359,1452220,24772608.00,92.24,70.88
,8492562117,1695789959,24543117,68019659,11879832,5268616127,5753630,1902998,24772608.00,92.24,70.88
,9796316024,2045638535,11144817,40298986,11156619,4937155734,4374256,1675262,24772608.00,92.24,70.88
,9801807965,2110575309,7136026,39574954,12079465,5267294724,3464575,2065138,24772608.00,92.24,70.88
,11200748544,2460159066,4850466,34022627,13202665,5508190793,3620011,1819378,24772608.00,92.24,70.88
,12233869944,2683260877,3362941,34852623,13644015,5936712096,1965433,1542584,24772608.00,92.24,70.88
,13276727391,2528597110,2382840,30506975,13961400,5741741758,3658194,1390595,24772608.00,92.24,70.88
,7514194908,1921009093,6842696,57319860,10425798,5372592510,2124167,2108619,24772608.00,92.24,70.88
,10122064063,2278241834,7077281,46648615,11398758,5860552280,2082849,2157911,24772608.00,92.24,70.88
,11703549739,2374643956,3509713,37384338,10674010,4772287611,1799732,1708956,24772608.00,92.24,70.88
,8593869681,1881883637,3954370,34169394,11627567,4863031117,2506502,1781062,24772608.00,92.24,70.88
,10708683266,2207313888,2599417,31538702,11641621,4644958469,3032214,1409587,24772608.00,92.24,70.88
,11013476809,2418491098,1941026,26544204,11279822,5034364788,2725558,1369016,24772608.00,92.24,70.88
,11015138064,2455682006,1973286,27749922,12337731,5363900465,2384145,1286426,24772608.00,92.24,70.88
,11673833160,2528040133,2446186,28071862,11493237,5089620067,1987880,1353335,24772608.00,92.24,70.88
,12150771895,2668791751,2642281,31768732,14331909,5926147773,1602434,1406430,24772608.00,92.24,70.88
,11136323157,2484428402,4754613,34512640,12904809,5441960057,1655261,1775363,24772608.00,92.24,70.88
,8752702581,1931122759,11370179,38003010,10979119,4967086154,1671207,1634573,24838144.00,92.96,71.53
,9288601108,2117221303,2541153,25663139,10483616,4974796418,1867555,1090355,24838144.00,92.96,71.53
,10513102408,2237994161,2257764,26338254,10710777,4802790612,2625918,1200631,24838144.00,92.96,71.53
,12545982576,2795488157,2301696,30339491,13279999,5914659736,2351775,1272013,24838144.00,92.96,71.53
,11070839773,2265382142,8109923,45391794,15138386,6272268927,1414896,2027553,17629184.00,42.66,34.60
,3217494494,688354082,16376680,35097006,4350180,2528986560,1519445,1368185,17629184.00,42.66,34.60
,1983982864,385818593,18413496,27992912,3519307,1300591989,1600737,571636,17629184.00,42.66,34.60
,0,4853433785554244608,173095052832416160,618322949202074880,64335112307672832,0,2238151,25373305150278148,17629184.00,42.66,34.60
,2559055608,521201038,16029760,56404687,2731008,2862935581,2463763,6040550,17629184.00,42.66,34.60
,4206153425,748238290,37651307,91309581,3717863,4134949799,1778315,4491472,17629184.00,42.66,34.60
,5005586434,838983506,38770807,92392311,5571171,4211936015,618322949202074880,3263935,18710528.00,59.24,37.26
,5381838052,1023847006,46208386,109598694,5684862,5353426742,60322967725041800,5721033,18710528.00,59.24,37.26
,7286436879,1336990013,48286736,100260632,7241969,5478179072,9137061,2582701,18710528.00,59.24,37.26
,4256668766,924397902,34370631,94557849,5052858,5210558841,6246375,4610069,18710528.00,59.24,37.26
,4419255020,895362545,36391250,100081609,8004704,5048287527,5484478,4537113,18710528.00,59.24,37.26
,4127148090,865745505,38872956,97295088,9317162,4918681758,7453950,4122004,18710528.00,59.24,37.26
,6420219817,1190412635,46310107,97420877,9529057,5624220186,5309538,2714564,18710528.00,59.24,37.26
,6000609593,1128236393,34784325,100743070,10637438,5342364079,6959326,3419658,18710528.00,59.24,37.26
,6450485752,1238628432,44213130,116610974,12690197,5926062731,7340798,3321105,18710528.00,59.24,37.26
,6302462584,1244677350,40049570,100512337,13965242,5902182874,7089047,3563411,18710528.00,59.24,37.26
,4931146219,1004898982,38417671,108383007,11348117,5380397976,5453099,4246571,18710528.00,59.24,37.26
,3369065156,658968328,18489946,54506513,8092989,5103721410,6205912,7544292,18710528.00,59.24,37.26
,4588430718,953549278,31202215,72537023,10018170,5538985698,6105973,5116561,18710528.00,59.24,37.26
,5047302193,1101201357,35892804,101832856,11560259,5505767834,7796737,3650816,18710528.00,59.24,37.26
,5008820833,1051230137,28375091,91429809,13855091,5205505158,7920720,2739106,18710528.00,59.24,37.26
,7331332463,1369374707,26565989,78937405,16728611,5320223050,6410596,1933809,18710528.00,59.24,37.26
,8071486491,1551360473,29854034,87861849,15362462,5852245451,7130201,1954871,18710528.00,59.24,37.26
,8306510065,1622122769,27932080,80134867,25127070,5910826938,9325858,1319018,18710528.00,59.24,37.26
,9314460743,2017895563,21729431,57165839,17474043,5930696508,7250995,1537819,18710528.00,59.24,37.26
,9950605470,1986538985,23507518,62665196,13050096,5853444192,5503294,1771204,18710528.00,59.24,37.26
,11038098898,2415748606,10682036,47932194,14133889,5915646550,6487537,1706820,18710528.00,59.24,37.26
,14113894996,2604908705,5775754,31031689,13555601,5489847784,5805281,1576337,18710528.00,59.24,37.26
,10306453043,2308115357,4668079,30564121,12036862,4833635249,3862790,1584964,18710528.00,59.24,37.26
,10890078163,2429478646,2674277,29116080,13417109,5114132357,2918766,1820558,7864320.00,11.30,6.06
,11157911652,2441035841,2326694,27805606,12355757,5509371230,2926256,1191139,7864320.00,11.30,6.06
,12537410290,2819807664,2791739,33350522,13802174,5872943049,1846261,1538738,7864320.00,11.30,6.06
,10916523601,2453386076,3062226,28806974,12404505,5030877860,1930400,1142233,7864320.00,11.30,6.06
,12020036800,2624435870,2208663,29822115,12501718,5566868801,2827008,1309011,7864320.00,11.30,6.06
,12148040377,2620496708,2548679,29914380,13045011,4533384217,1523339,1285897,7864320.00,11.30,6.06
,11164235782,2503948236,2216293,28679276,12307854,6110806707,1956029,1277737,7864320.00,11.30,6.06
,11889894048,2663139441,1926114,29311253,12874260,5552744043,1501648,1223506,7864320.00,11.30,6.06
,11110656999,2421649798,2169016,27575779,11100756,4815193971,1897182,1140045,7864320.00,11.30,6.06
,11530402939,2551197126,2991043,33622087,13785424,6248471152,1629990,1639385,7864320.00,11.30,6.06
,12024778551,2641213044,6265199,40090079,14975229,5920518878,1581756,2240502,7864320.00,11.30,6.06
,9799684201,2099666804,15352782,44783914,11252670,5070591981,1708708,3074611,7864320.00,11.30,6.06
,12187513705,2662936170,3037862,31456153,13190089,5916398969,1395518,1654310,7864320.00,11.30,6.06
,11646665347,2590994442,2801713,32720785,14030844,5925149799,2111580,1867498,7864320.00,11.30,6.06
,7788207016,1617335780,31766536,65476811,10847505,5615644432,2611982,4532621,7864320.00,11.30,6.06
,4265356230,772671229,33412386,81331354,6318669,4230827736,4193762,3940309,7864320.00,11.30,6.06
,5133720630,971023767,42529580,98862355,4655151,4974545159,2074778,4870875,7864320.00,11.30,6.06
