,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,424883189,97012146,3765370,8627171,282045,440350413,1818083,1104628,0.00,0.00,0.00
,833654409,177068689,5984356,16693275,259769,804020122,1508105,739477,5537792.00,17.53,5.14
,5130014451,972510578,40342716,86627392,2074969,4481219648,5696094,2721620,5537792.00,17.53,5.14
,0,4972204865871429632,143000916810934048,565919544237332480,95360544661258336,39644378,53469,11372,5537792.00,17.53,5.14
,4732786186,744747464,29809999,45723478,832062,2626946748,1329778,660864,5537792.00,17.53,5.14
,1578306547,268816767,10587313,34221008,1198529,330484975,861473,482842,5537792.00,17.53,5.14
,2955583187,583271366,24080636,61385969,2826946,4031735259,7213122,4505905,5537792.00,17.53,5.14
,68921055,17193896,1138852,1707812,44439,137065936,163998,73260,11239424.00,23.72,8.55
,-1,-1,-1,-1,-1,-1,-1,-1,11239424.00,23.72,8.55
,2364339583,430510776,21483915,46650455,1573966,1976149559,2834989,1517494,11239424.00,23.72,8.55
,5054126951,979414950,29667403,53370448,2384005,3546613328,5802868,3275448,11239424.00,23.72,8.55
,1368925854,291826539,9500698,28738001,2101851,387293991,695485,2101851,11239424.00,23.72,8.55
,1398850932,258929274,7412142,31209497,2357716,2586420275,7154154,430774,11239424.00,23.72,8.55
,5376453039,1028125992,37384465,80479537,4263279,4173727547,8359999,3264133,19431424.00,44.17,25.03
,793476106,146827882,7409068,20721046,1541709,936918010,2255575,4274884,19431424.00,44.17,25.03
,1073436947,196532128,6521776,46914956,623842,1407793448,1179491,1658385,19431424.00,44.17,25.03
,2016191262,385959904,10393381,34314093,6404179,2698836714,3036614,2189642,19431424.00,44.17,25.03
,205011990,36260459,1296037,6558784,177198,248735127,185281,1707271,19431424.00,44.17,25.03
,-1,-1,-1,-1,-1,727149495,456241,407886,19431424.00,44.17,25.03
,1529553192,248575456,8634938,35714327,1264588,592055845,456938,1064444,19431424.00,44.17,25.03
,743347880,137827354,7284136,16376974,630558,1917815108,1642760,919456,19431424.00,44.17,25.03
,-1,-1,-1,-1,-1,446705377,708575,2405918,19431424.00,44.17,25.03
,878230679,167465139,5747628,28496523,1027630,1406862754,952690,483159,19431424.00,44.17,25.03
,3030278808,540811182,21582724,80101593,3159959,3503135547,2208756,1817605,19431424.00,44.17,25.03
,1071445850,206960645,6890971,16740009,1796014,1014424996,1179569,4069245,19431424.00,44.17,25.03
,3221042397,605132183,25102305,43748600,2763869,2415301479,3051138,473316,19431424.00,44.17,25.03
,339261767,70521064,2466858,9432742,2326536,1025114046,2045082,2340199,19431424.00,44.17,25.03
,6348378574,885983243,23588867,167171757,3587898,3607175321,3064216,1225731,19431424.00,44.17,25.03
,1137296469,192235041,4716548,10553264,1640819,1358943239,1040009,2941078,19431424.00,44.17,25.03
,864389486,182478799,4759503,-1,-1,-1,-1,588417,19431424.00,44.17,25.03
,1335989018,222019568,7244305,490386385364555840,22430483151312564,0,33427788113023456,-1,19431424.00,44.17,25.03
,409747061,120199108,7601682,25180564,2929622,1690730128,2235204,8709642388234518,19431424.00,44.17,25.03
,4054237978,843752086,39235564,70502323,4310189,3785394257,5089282,1111528,19431424.00,44.17,25.03
,65189549,13810467,507911,2182750,304197,133970093,332013,3330300,19431424.00,44.17,25.03
,2946051321,527578309,23903257,52525741,3951963,2627502721,-1,280339,19431424.00,44.17,25.03
,2100270022,402381643,12185735,45242911,2737908,1147297427,1949514,-1,19431424.00,44.17,25.03
,843922865,141634967,9636584,14825607,1213391,1791517967,3086962,955697,13729792.00,37.98,21.63
,1806657122,297286101,20794043,6751484,1177097,1174972315,1406402,2853485,13729792.00,37.98,21.63
,1838535484,304613232,20503471,6450592,1169029,1484071413,368622,1449832,13729792.00,37.98,21.63
,1855407383,269567997,11953193,43337342,1981146,1560704340,2752266,662412,13729792.00,37.98,21.63
,997265549,199839958,9494579,-1,-1,-1,-1,3005829,13729792.00,37.98,21.63
,2812271396,525987498,22754426,54103462,3765183,3469851500,4309928,-1,13729792.00,37.98,21.63
,-1,-1,-1,-1,-1,-1,-1,2907876,13729792.00,37.98,21.63
,1179125512,221309778,5097622,19704031,3112230,1475000000,1731031,-1,14548992.00,38.86,21.79
,3108269087,610963868,21616709,48505235,5133346,2024887995,2749236,886575,14548992.00,38.86,21.79
,3163991951,460986362,16655438,26124418,2943703,1222305454,1386833,1100460,14548992.00,38.86,21.79
,3552827537,638370373,15624452,47500551,5885514,3022963594,3963109,1286382,14548992.00,38.86,21.79
,1137993323,209116196,7840288,15441804,5486353,1415480474,-1,1795074,22544384.00,67.93,44.83
,508631177,133856116,2940121,10337877,4372161,1075605386,852106,-1,22544384.00,67.93,44.83
,2456978522,443826272,24133034,57148960,2747692,2554483454,4684708,657314,22544384.00,67.93,44.83
,4864629728,1078448038,19333398,98730478,3362623,3113707019,3439515,2549398,22544384.00,67.93,44.83
,0,7849986086004710400,210548410229375328,341289654151379072,41662028800703288,0,38523538172513776,2102185,22544384.00,67.93,44.83
