,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,325286158,74214003,3137810,6069481,456879,310885858,622571,397245,0.00,0.00,0.00
,2958199991,597243424,24013621,69396888,621443,2725339650,5398482,3147189,0.00,0.00,0.00
,2480431627,452639806,20648902,45492968,1153427,2231753479,3126484,1579949,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,3299149715,705276728,17875553,46947982,266939,3184768153,2588877,1006101,0.00,0.00,0.00
,2341612201,469423929,21403319,42811758,1077331,2105325157,2419347,1284270,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,1577680103,275352770,10111038,22733215,654297,1220486678,1216594,803725,0.00,0.00,0.00
,1582524008,265303127,7264407,20024062,2616932,1610904282,1233862,1087196,1081344.00,6.91,6.59
,3643660213,756872573,31340279,75717276,3686702,3612306692,4674154,2238532,1081344.00,6.91,6.59
,816944471,168862992,9016311,28326573,624308,1074276470,1055130,958482,1081344.00,6.91,6.59
,1399864057,237732828,11231274,48324193,1431838,1754519597,1349859,1993220,1081344.00,6.91,6.59
,3059707686,589833135,26226587,54529753,3435517,2500147065,1203598,219570,1081344.00,6.91,6.59
,1789470948,432934820,15636706,44679323,1310975,2192396367,1098108,1931208,1081344.00,6.91,6.59
,0,3952904122647316480,128968637864366816,464785182175089984,9883090026246298,0,30010256985322784,43947872521565472,1081344.00,6.91,6.59
,927514415,158661060,8101717,22539045,898222,1042891201,698462,1296158,1081344.00,6.91,6.59
,1128424006,204573801,11463400,13761007,592537,605059673,495207,813794,1081344.00,6.91,6.59
,1687266834,304539002,14156166,90204490,3398619,1446731260,1059170,3168914,1081344.00,6.91,6.59
,893217627,155435426,4509388,16699886,1539168,2024896308,2290936,1070262,1081344.00,6.91,6.59
,2786804442,522630066,23447405,43987731,3976791,2329128169,1995868,1773678,1081344.00,6.91,6.59
,530873942,105626845,3951260,12013594,765740,487148471,861686,570133,1081344.00,7.05,6.72
,2523186402,550122335,19596189,44829151,3289708,2322496938,3592639,2151248,1081344.00,7.05,6.72
,-1,-1,-1,41614963,3847393,1656809853,2124464,1105516,1081344.00,7.05,6.72
,3447906280,668672591,18936880,40263098,5089190,2344857002,3713712,2149798,4456448.00,20.51,8.19
,1263638451,245982234,6426736,34942182,3362801,1262228279,3168560,1738562,4456448.00,20.51,8.19
,3478678862,632425814,22437179,64165425,5083287,3049375096,4412391,2931231,4456448.00,20.51,8.19
,459935335,84149470,2201820,12071165,2363860,633657695,1080610,933203,4456448.00,20.51,8.19
,2580940965,518371332,18673463,65414919,4116245,2662425626,6203986,1779846,12025856.00,47.61,33.29
,2694021833,474163048,9926889,50341267,3796663,2009162470,2913255,1358814,12025856.00,47.61,33.29
,1360659333,281422200,13423624,19417009,4478718,1533026114,2352567,1215999,12025856.00,47.61,33.29
,2669388444,447452101,28586263,12535822,1850821,1285158731,371374,735594,11403264.00,41.16,27.16
,128478403,24025491,1723482,648729,106803,1474563284,316816,759466,11403264.00,41.16,27.16
,1711741888,292306426,20318599,8917360,1090938,1438842442,400757,11403264.00,11403264.00,41.16,27.16
,1426873394,233503489,15573026,4781103,1121784,1187902307,157513,865443,11403264.00,41.16,27.16
,913331029,154632950,7270028,19026960,1225510,991193734,1797019,487876,11403264.00,41.16,27.16
,4342642992,839304467,36277402,84173118,3140783,3892928669,5434162,1478503,11403264.00,41.16,27.16
,-1,-1,-1,-1,-1,-1,-1,3111762,11403264.00,41.16,27.16
,3088633779,547245414,21883313,45824849,2587515,2853960579,4326269,-1,11403264.00,41.16,27.16
,1913650624,405765884,16682992,25641632,1718475,1649950415,2199174,2897032,11403264.00,41.03,27.03
,2039967177,396041998,14466274,51003337,2698473,1928282090,3198270,1350589,11403264.00,41.03,27.03
,3457784817,740829479,28621816,58889139,6835644,3713842757,6197150,2195629,11403264.00,41.03,27.03
,1745634233,323755468,8782634,14665351,2653772,1329280500,1184764,2496810,11239424.00,42.01,38.40
,3761634627,662116129,34561461,40207253,2922245,3048405321,2082473,629144,11239424.00,42.01,38.40
,2167732368,415768962,16050758,69498251,4050167,2395008381,3946698,1421044,11239424.00,42.01,38.40
,2361698290,562667339,19257480,79114872,4969725,3860867955,4018538,2143326,11239424.00,42.01,38.40
,-1,-1,-1,-1,-1,-1,-1,4018538,11239424.00,42.01,38.40
,904720457,191666375,7170977,16714772,1413536,1195494807,1646936,1360837,11239424.00,42.01,38.40
,0,4254651870392714240,60530,336591,13389,34120384,97131,-1,11239424.00,42.01,38.40
