,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,3279949953,589591050,27113614,50630763,1486294,2548261675,2438871,1461050,131072.00,0.23,0.23
,1510625999,267321769,7971447,16429020,529674,1037795500,1843592,1393787,131072.00,0.23,0.23
,1185054116,266544403,9138463,34904387,1538840,1603926604,2938959,1975043,131072.00,0.23,0.23
,4270575467,763047410,31144452,67827062,1250497,3346246796,3617700,2052955,262144.00,0.36,0.23
,3119706593,626672878,26133775,62981779,1974552,2898890597,4705625,3982411,262144.00,0.36,0.23
,3120900652,690424322,30532045,68320162,5525284,3789204617,6745985,2864682,262144.00,0.36,0.23
,0,7208671002972475392,187150021467943168,278745361773879040,17802363986185970,382433462,489648,255308,262144.00,0.36,0.23
,2881744779,439518213,11937835,37356499,1901170,1556292135,3161257,2117602,262144.00,0.36,0.23
,2365646173,434384304,20120087,56329733,1184137,2357435605,3551200,2401416,327680.00,1.25,0.82
,4103976385,704206854,16989689,38817552,1507955,2054967631,2209968,652701,327680.00,1.25,0.82
,2597986699,501427068,32760805,66882075,5121309,3549419018,3993204,2829160,327680.00,1.25,0.82
,2494668002,543947815,21795222,40367269,2638788,2308488942,2437036,882341,4521984.00,25.59,23.59
,574111490,114420554,3745328,15091146,1517734,631717897,1053297,410292,4521984.00,25.59,23.59
,276831108,44149798,1679583,8572233,580529,419105723,-1,-1,4521984.00,25.59,23.59
,1941058,1339997,72832,397226,42829,26819670,68545,697638,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,4521984.00,25.59,23.59
,1020980416,189690885,11666895,23331103,309722,992054810,2801709,-1,4521984.00,25.59,23.59
,-1,-1,963548,3680294,187570,167672946,413997,235915,4521984.00,25.59,23.59
,54174174,9701079,602452,1499270,-1,-1,-1,42933464187734272,4521984.00,25.59,23.59
,748742420,154033105,11054573,15201673,845123,676008090,831037,338324,4521984.00,25.59,23.59
,10555709,2360412,208463,21207673,498804,1305225830,2510458,1289289,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,4521984.00,25.59,23.59
,1375312596,250699770,8959421,14983132,862906,949799823,1503328,-1,4521984.00,25.59,23.59
,-1,-1,38168,171596,4404,10213401,33578,44001,4521984.00,25.59,23.59
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,379347041,15140798,354749,3037410,-1,-1,-1,-1,5210112.00,28.67,26.38
,9858608682837925888,1304040,59944,499318,116015138156563760,518540565,1140059,602272,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,193428670,45239791,2420084,9476891,158271,0,-1,-1,5210112.00,28.67,26.38
,2433714,1447952,170974,254748,93401,27202765,36900,970540,5210112.00,28.67,26.38
,-1,-1,-1,-1,-1,-1,-1,-1,5210112.00,28.67,26.38
,3616325266,657882460,25771493,59875340,1306993,2629068135,2317468,904803,6258688.00,31.26,28.80
,2335817521,414641283,10832902,38438432,2511567,1954854052,4473450,2150642,6258688.00,31.26,28.80
,1352141244,201252340,8073525,56857183,1024784,1096031376,1561735,403593,6258688.00,31.26,28.80
,4170363924,925753559,15583000,67517225,4974412,3911922897,2421677,988188,6291456.00,30.80,28.51
,3261501879,557592246,18898625,46541806,6506766,2150877106,2794851,1248489,6291456.00,30.80,28.51
,1639943676,342833912,11613114,24714279,2745896,1402215830,730231,109554,6291456.00,30.80,28.51
,841254484,155040495,6032544,14113280,566450,682684716,1071409,339424,4423680.00,10.62,9.90
,-1,-1,-1,-1,-1,-1,-1,-1,4423680.00,10.62,9.90
,-1,-1,-1,-1,-1,-1,-1,-1,4423680.00,10.62,9.90
,3593255370,677905821,19293486,42572519,1982544,1998712395,1900625,695747,4751360.00,9.14,8.45
,430749988,83866015,5893654,46246482,1853330,1547290248,1826724,420461,4751360.00,9.14,8.45
,13472325268680843264,2327022232774747136,179040151426850944,492012849749378304,68910232164889392,0,23661062421799772,635255,4751360.00,9.14,8.45
,1425656743,267783269,6597035,32503800,3508639,1050609672,2607213,1632349,4751360.00,9.14,8.45
,127408548,22735331,970210,2593554,579923,167431949,127408548,79050,4751360.00,9.14,8.45
,-1,-1,-1,-1,-1,-1,212506,158270,4751360.00,9.14,8.45
,-1,-1,-1,-1,-1,-1,-1,-1,4751360.00,9.14,8.45
,-1,-1,-1,-1,-1,-1,-1,-1,4751360.00,9.14,8.45
,-1,-1,-1,-1,-1,-1,-1,-1,4751360.00,9.14,8.45
,455782218,78458843,4387516,24843967,593348,661782068,-1,1267639,4751360.00,9.14,8.45
,1394535215,320845541,13628612,41434295,2147133,1722601057,1964593,351301,4751360.00,9.14,8.45
,0,5891025338567163904,99474257091270144,416774589742800064,30919934615658164,0,2631452,8021903958959452,4751360.00,9.14,8.45
,951146282,161553173,7245909,-1,-1,-1,15644828718670860,-1,4751360.00,9.14,8.45
,77647488,17399198,173664946547197792,527405470154354944,182908,255222880,-1,163688,4751360.00,9.14,8.45
,1131348532,241935683,15404206,27989089,6044575,2113887064,410662,1921328,4751360.00,9.14,8.45
,-1,-1,-1,-1,-1,-1,3763807,-1,4751360.00,9.14,8.45
,975306857,197592392,7722216,30764718,2485390,1310551401,-1,1526638,4751360.00,9.14,8.45
,2533375601,399656562,12728273,43595606,2118484,1026313549,3260412,1036203,4751360.00,9.14,8.45
,2481300120,454975221,18141693,29048830,3606818,2513199827,1971987,865465,4751360.00,9.14,8.45
,20619280,4587007,235964,920896,101047,48912183,2688175,54669,4751360.00,9.14,8.45
,789417865,193346330,9398817,24432629,3196114,1311535025,148752,1322125,4751360.00,9.14,8.45
,2794536698,591454619,10469661,28534137,3168743,1610972287,2479906,2227234,4751360.00,9.14,8.45
