,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,832181585,182096835,7983348,21577620,616808,843297094,1329373,887163,0.00,0.00,0.00
,615341446,140769045,4308979,15119952,1091152,908419029,2762478,1974966,0.00,0.00,0.00
,2157555342,387981402,17632720,39351923,1769842,1997552418,2511980,1563628,0.00,0.00,0.00
,2525232549,503986532,21169107,49051160,1865001,2332679126,3042492,1727950,0.00,0.00,0.00
,1332892080,254676793,8701709,25546205,1131103,1337492130,2491359,1646721,0.00,0.00,0.00
,907249580,169874675,5984736,17665185,982325,720557600,1228646,722270,0.00,0.00,0.00
,2788046250,526226233,23424642,61475667,2493310,2764899020,3814250,2033368,0.00,0.00,0.00
,1790008053,330809670,13598172,33339113,1264966,1605126753,2522523,1461046,0.00,0.00,0.00
,2422228356,436486773,14370925,37912441,3395324,1881841232,2708706,1513930,0.00,0.00,0.00
,277566783,79330076,3448117,7939960,691227,433108318,642240,402474,0.00,0.00,0.00
,1766772747,326355052,14175499,39743198,1885008,2143582147,3386296,2430715,0.00,0.00,0.00
,3039565274,627014898,24818047,56041105,3535092,2853509713,5326758,2812644,0.00,0.00,0.00
,2315269731,439040243,18127395,37628600,1557090,1904275883,3097351,1655580,0.00,0.00,0.00
,3054875351,553981888,16646556,65379395,3837534,2594248170,2973212,1426269,0.00,0.00,0.00
,3703101081,678827779,19597412,73101128,3650294,2798411410,3703101081,1418275,0.00,0.00,0.00
,1873824547,373785987,14509584,35856465,2636038,1653302990,3182686,1319540,0.00,0.00,0.00
,634686169,125435612,5422816,18726108,915868,737880748,2401057,834541,0.00,0.00,0.00
,2867396669,561491279,19747168,46702196,3915875,2359880802,1323466,1521132,0.00,0.00,0.00
,2137378858,380202135,8998230,43667008,5748040,1803403548,2965194,1049859,0.00,0.00,0.00
,1935882199,358575862,16089974,40005144,1422128,1798373502,2887819,1799463,0.00,0.00,0.00
,2584344164,484508045,19940878,41391117,2200901,2284173025,2517402,2137954,0.00,0.00,0.00
,2298312350,456933709,17187367,36596645,1305783,2029714470,3068042,1867656,0.00,0.00,0.00
,1800679210,344871669,12723696,31742093,3346028,1731697618,2726801,1732266,0.00,0.00,0.00
,1923248420,370767343,14269174,23530335,2987080,1386791026,2548988,1308532,0.00,0.00,0.00
,1657165342,332689289,12231078,33821767,2110345,1594977868,2006624,1288989,0.00,0.00,0.00
,2769085823,534889366,12579504,44614850,4553864,2368434691,2430473,1881080,0.00,0.00,0.00
,3180252256,597714182,15297408,51638685,5387960,2705810338,3422934,2031773,0.00,0.00,0.00
,1919091174,352484634,12987913,31557444,3396041,1637666294,4726252,1398491,14188544.00,73.01,67.50
,1706721373,322059536,16638982,42739944,2394752,1871308618,3608476,1951145,14188544.00,73.01,67.50
,4368264513,987536613,20163726,65111702,3293272,3205697606,3326510,1942368,14188544.00,73.01,67.50
,1389438342,254755133,8947540,23695223,1857758,1311616267,3614019,946288,14188544.00,73.01,67.50
,1452916562,272369488,10383288,25135005,1757835,1408229280,2153157,1527286,14188544.00,73.01,67.50
,885929535,167719992,4663048,11393107,1306123,586696241,2373221,751344,14188544.00,73.01,67.50
,6409208,1349258,543198,252450,23214,78660519,1059552,4551,14188544.00,73.01,67.50
,554361645,108668352,4448080,15938461,1618474,644852145,-1,954425,14188544.00,73.01,67.50
,1373339491,245703376,11402464,31363952,1580842,1507314988,1608437,1817282,14188544.00,73.01,67.50
,2789315816,525601293,23674181,50407904,2397762,2613090422,2676717,2436326,14188544.00,73.01,67.50
,3319693771,625432310,28448623,66781959,3339989,3218035845,3884036,3273496,16449536.00,77.46,68.35
,4004955565,771856698,32225067,70632096,4484083,3659270430,4664739,3320407,16449536.00,77.46,68.35
,4452961616,850939014,36768375,79798339,4815814,4148998745,5349432,3748601,16449536.00,77.46,68.35
