,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,853415796,188063529,6946352,16532099,466673,839887657,1162056,859228,0.00,0.00,0.00
,837044573,174461991,5504383,15389715,675621,874110744,2149412,1425667,0.00,0.00,0.00
,2820270383,509154108,25615322,54864358,1507620,2494423715,3527648,1990630,0.00,0.00,0.00
,2602309144,462599795,18333791,50014767,2118281,2270219579,3399502,1695796,327680.00,0.52,0.03
,1010283455,187024580,6327639,17244601,1470389,668909628,1123495,1123495,327680.00,0.52,0.03
,3377106600,644746568,30485262,63871731,2496641,3200556261,4064701,765458,327680.00,0.52,0.03
,1400847352,257941005,10475354,30605414,971194,1129416115,2088509,2169222,327680.00,0.52,0.03
,1720803730,338194660,13770813,31205331,3170644,2113226652,2837389,1239812,327680.00,0.52,0.03
,146403086,31255953,1703087,4409426,819607,268928307,309564,1497620,327680.00,0.52,0.03
,1167919399,219294736,6410701,30895041,5168059,1505993275,2410798,185640,327680.00,0.52,0.03
,2824031481,544926453,21164902,57687987,4904212,2725247554,3227731,1373960,327680.00,0.52,0.03
,1843243355,346684577,13134046,35175411,2256580,1768224695,2569740,1760453,327680.00,0.52,0.03
,2199559146,434721168,16744541,42534323,1290276,1953161971,2893655,1753395,327680.00,0.52,0.03
,1587180712,292169614,10968679,24631407,2130665,1315433317,1880106,1953161971,327680.00,0.52,0.03
,1064919895,194048728,6722202,18425524,887135,1004754695,1868462,1742190,327680.00,0.52,0.03
,2945467615,575649142,25568426,57805233,2859637,2858488118,4669508,958146,8454144.00,34.14,27.82
,2981297034,554425406,21630905,42718000,1671284,2417550938,4067962,1371897,8454144.00,34.14,27.82
,2115973356,403440573,13627888,39217148,2294431,1909853713,3402348,2453418,8454144.00,34.14,27.82
,3420885403,636509377,19790522,51652966,3998936,2522821885,2884963,2255728,8454144.00,34.14,27.82
,1950861081,378959772,9623262,30200963,4359692,1785750767,1976780,1584559,11796480.00,42.07,34.60
,553694990,123644056,3921851,8463939,82189,266475238,152208,1600458,11796480.00,42.07,34.60
,1446767997,268179678,10358400,29805039,3078636,1497463847,2865185,1292475,11796480.00,42.07,34.60
,1603980356,309738296,12002025,27137159,1712496,1494874004,2586134,79376,11796480.00,42.07,34.60
,2165400431,372881919,11793415,30348191,2350361,1580082249,2203035,1894817,11796480.00,42.07,34.60
,587367005,133667694,3566581,15642083,1565086,345376199,477623,1448422,11796480.00,42.07,34.60
,472824700,94483593,2306347,14918628,2344944,853933041,1923199,925915,12845056.00,43.48,35.36
,793930226,151563011,7132932,23135274,793384,1046288954,1916062,174681,12845056.00,43.48,35.36
,1820353915,355412430,14310012,34296321,1210998,1670394846,2436074,989607,12845056.00,43.48,35.36
,2841049750,531689415,23263242,52471830,1493931,2192079436,2722808,1046288954,12845056.00,43.48,35.36
,1642947012,310691757,12902480,30797482,1586264,1782462855,2854122,1363751,12845056.00,43.48,35.36
,2280300511,438610042,13484932,38158464,2712410,1725465140,2658796,1786770,12845056.00,43.48,35.36
,1696839622,321003187,12377278,25595339,2569981,1519393081,2198332,1772407,12845056.00,43.48,35.36
,2392342728,453265983,15673133,81293980,2993674,2060801383,3569328,1930823,12845056.00,43.48,35.36
,3502441390,686227225,17981669,49683770,7196435,3129872417,5247646,1450763,12845056.00,43.48,35.36
,1837026364,355073840,13342407,36605891,5157085,1825046157,3777558,1221971,12845056.00,43.48,35.36
,1744528592,332882776,17231202,37029404,2228991,1714822135,3269655,2107476,12845056.00,43.48,35.36
,4053994438,875830267,23120619,69919355,3820346,3166232954,4406138,1831920,12845056.00,43.48,35.36
,2960188388,595130176,20325109,44976083,3403994,2534596010,3165242,1544890,12845056.00,43.48,35.36
,587626107,125778801,4509840,10475346,517687,385928599,507088,1946833,12845056.00,43.48,35.36
,299511392,57972525,2387598,6049584,637249,321606820,684538,1920909,12845056.00,43.48,35.36
,41310647,13176719,622117,1002113,324916,270686664,526892,1515822,12845056.00,43.48,35.36
,859950622,161469797,6415231,21281571,1899491,912877549,2354759,273183,12615680.00,44.99,34.77
,3353812293,645454531,26672239,69525558,4105788,3683445449,4975206,316700,12615680.00,44.99,34.77
,4079904665,773579637,37052199,86335484,4050691,4201667229,5758585,357505,12615680.00,44.99,34.77
,5898487020,1113614109,47168561,87829585,4202966,4986609101,5444267,1141823,12615680.00,44.99,34.77
,5530131235,1035741616,46767186,108289084,6395123,5865028932,7921798,4121812,12615680.00,44.99,34.77
