,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,731040427,176739837,7557025,16378655,312442,847916308,1097468,704310,0.00,0.00,0.00
,999801036,206561555,7160814,24189008,980321,1017326681,3082040,1981147,0.00,0.00,0.00
,2386291934,440241595,22537772,51274106,1345483,2384379191,3139977,2005065,0.00,0.00,0.00
,1822255848,350613069,15403353,33002139,1704746,1729103269,2374009,1364601,0.00,0.00,0.00
,1313019419,270747474,8011446,29019055,917068,1345912129,2560182,1785333,0.00,0.00,0.00
,1584475251,306768129,14553999,33447647,1005723,1561652829,1995529,1090943,0.00,0.00,0.00
,2772052968,498547143,23113245,48495699,1622981,2057775304,3070430,1636009,0.00,0.00,0.00
,1985266184,346090453,13431009,30628652,1308510,1695454657,2946391,2103190,0.00,0.00,0.00
,1524168658,293115819,9057684,23012715,2115269,1271748206,1789669,982163,0.00,0.00,0.00
,403277975,123500530,7121509,10405272,1006249,574174144,1708732,689037,0.00,0.00,0.00
,3239751989,571657776,20996565,57065830,2347124,2762233568,3742592,3742592,0.00,0.00,0.00
,2678747132,503742555,20495727,51077267,3486510,2524885950,4892429,2499250,0.00,0.00,0.00
,1939939396,371804360,14951313,54127545,1458396,2019477344,3621612,2324074,0.00,0.00,0.00
,3740920634,677938394,22316084,46573761,4079592,2986162647,3190674,2096547,0.00,0.00,0.00
,2649256585,489603591,12458132,21438594,2080272,1543164402,1570797,1552616,0.00,0.00,0.00
,1232697719,205419446,11705261,31467723,1470341,1247155757,1675758,854769,0.00,0.00,0.00
,2774154443,531133638,18834862,44914897,3715297,2449189117,3610605,1016287,0.00,0.00,0.00
,524762758,92413477,2582131,8251674,198511,393344316,353021,1526193,0.00,0.00,0.00
,898857690,181254792,6916358,24600894,1754276,1124236449,1752050,49802,0.00,0.00,0.00
,2932967228,553871903,16345115,35830871,3714857,2660313527,2625825,1484124,0.00,0.00,0.00
,1748579958,340875506,12383784,36914516,4340423,2123934985,2412228,2001317,0.00,0.00,0.00
,2785890421,540923873,20734006,67187722,1827251,1900903887,2113606,1602199,0.00,0.00,0.00
,1492347671,302733504,10808065,30265595,1141041,1960859169,3219364,1388859,0.00,0.00,0.00
,2376642834,416735761,15340704,34808145,3171991,1934581481,2873385,2020061,0.00,0.00,0.00
,1784036761,366924856,13228209,42001918,2280425,1679057296,2337529,1751252,0.00,0.00,0.00
,3944550568,770106090,23293601,66094704,4023407,2982697098,4355003,1323898,0.00,0.00,0.00
,3268925443,574467814,18973143,126096844,6312186,3130383495,4806393,1971589,10813440.00,29.56,4.59
,2347169900,434527732,20567807,36608893,3935340,2096942064,2909524,2005647,10813440.00,29.56,4.59
,2915433080,534830572,23337828,65689515,3221399,2774948737,4819200,1642427,10813440.00,29.56,4.59
,3097724739,636169318,13457657,47911528,3468581,2549293807,10813440.00,2274239,10813440.00,29.56,4.59
,93997183,20403049,-1,-1,-1,-1,4.59,1293731,10813440.00,29.56,4.59
,1475536675,278365677,8688854,34280730,5055277,1899766815,29.56,-1,10813440.00,29.56,4.59
,-1,5794258443046905856,176757744271291488,693818045791024896,71374359478901632,0,3097724739,1751483,10813440.00,29.56,4.59
,1404316362,331515262,10329397,32006559,3982344,1971713267,636169318,68478793780632136,10813440.00,29.56,4.59
,1254742452,225962137,8691588,26968511,2534815,1002796534,13457657,1480577,10813440.00,29.56,4.59
,1505140660,282925140,10691785,41764521,5883429,2463782832,47911528,1163229,10813440.00,29.56,4.59
