,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,1118086600,199436843,5350224,23899789,3078699,1224956439,2037123,876677,3047424.00,6.65,6.09
,1562219927,287736404,10765935,37736844,2707294,1695605868,3803089,2700635,3047424.00,6.65,6.09
,2783042478,583791169,20127597,56428745,8255298,3403502079,4086504,2205678,13008896.00,86.74,71.96
,3146617699,593254432,18298979,42831177,4361262,2459979966,2872736,1313043,13008896.00,86.74,71.96
,1471569365,312184925,10448919,39262302,6197247,2227916458,4120681,2343865,17432576.00,136.58,96.17
,414171521,83460916,1470224,5598014,1024935,324896103,496903,110224,17498112.00,136.64,96.24
,125239471,29518673,1206220,11135630,551444,371827244,1198793,693598,17498112.00,136.64,96.24
,1122052,-1,-1,-1,-1,-1,-1,-1,17498112.00,136.64,96.24
,792746,-1,-1,-1,-1,-1,-1,-1,17498112.00,136.64,96.24
,96399248,21241821,1465748,7515766,275231,294206396,-1,-1,17498112.00,136.64,96.24
,639960384,111149246,4469610,15084500,3456714,789683728,2035348,1029700,17498112.00,136.64,96.24
,2625821454,496864641,17848131,56543322,5669749,2990223463,3509951,2171048,17498112.00,136.64,96.24
,2525155326,472504036,18934853,48282616,6408965,2749515539,5140262,2330318,17498112.00,136.64,96.24
,1378981788,325474150,15033666,35222081,2480261,1601953434,2367749,1214906,17498112.00,136.64,96.24
,2822038789,565047093,17939668,48773680,4690083,3098627620,4180931,2265395,17498112.00,136.64,96.24
,0,11380685257874151424,20539902909438124,218117527281806016,147142483382513536,0,-1,-1,17498112.00,136.64,96.24
,21250,536363,3142,52527,36008,14545592,2799,189,17498112.00,136.64,96.24
,55953148,15382183,534,1735,131,54410,543,8,17498112.00,136.64,96.24
,1704760375,343852342,8160381,25578019,3965989,2018581504,2372927,2018581504,14516224.00,130.06,90.14
,1831960097,318864860,13376100,41166195,1738094,1689836366,130.06,1711114,14516224.00,130.06,90.14
,2671861778,479495068,17787151,37826699,1790087,1840335103,2548972,1308845,14516224.00,130.06,90.14
,1618040477,297606206,15253962,34806556,1671160,1606446656,2621688,1442284,14516224.00,130.06,90.14
,1952188865,368874213,11828304,31792190,2060882,1889938738,2183730,1321759,14516224.00,130.06,90.14
,632264184,-1,3402903,15590999,872316,489286201,2567169,1406736,14516224.00,130.06,90.14
,2357921517,494205711,20500616,56997461,3721069,2641125203,2996258,2206583,14516224.00,130.06,90.14
