,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,558397642,120439423,2344052,9513416,2021720,823668997,1791964,678073,0.00,0.00,0.00
,2589237818,442867767,16244677,47409828,2204342,2273931427,3050248,2668478,0.00,0.00,0.00
,2352999882,445690917,20333629,47511188,2144158,2231605512,2904130,1553297,0.00,0.00,0.00
,651183019,145005064,4339906,6046813,171250,285887948,518090,327301,0.00,0.00,0.00
,1775925,358860,44060,-1,-1,-1,-1,-1,0.00,0.00,0.00
,594297,120366,14698,-1,-1,-1,-1,-1,0.00,0.00,0.00
,1241916,253719,31285,-1,-1,-1,-1,-1,0.00,0.00,0.00
,432118,89131,11258,55849,-1,-1,-1,-1,0.00,0.00,0.00
,61184168,12232227,1443436,152981,-1,-1,-1,-1,0.00,0.00,0.00
,396196616,70232729,2095944,14724966,1964174,1015147716,2217612,1170385,0.00,0.00,0.00
,399302879,76619713,1232676,11740707,2681875,662643217,1196504,239716,0.00,0.00,0.00
,-1,-1,-1,-1,-1,1231833,6541,15950,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,37347609,19278749,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,10478274,2099747,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,9243698308703479808,1832029436817334272,97135185230924560,2924276,51617,216912969,-1,-1,0.00,0.00,0.00
,759276,190641,21972,106415,3299,3138267,-1,-1,0.00,0.00,0.00
,-1,237778,45156,237403,7500,7262355,31156,781657,0.00,0.00,0.00
,-1,-1,-1,33321,1372,4383973,20016,12870,0.00,0.00,0.00
,-1,-1,-1,-1,-1,3951340,15860,12584,0.00,0.00,0.00
,-1,-1,-1,-1,-1,4411860,20905,13560,0.00,0.00,0.00
,-1,-1,-1,-1,-1,3108766,14826,11553,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,15028,13892,0.00,0.00,0.00
,72918809,-1,-1,-1,-1,-1,-1,10767,0.00,0.00,0.00
,2293912,486115,1377704,6010585,14397,183011367,-1,1945,0.00,0.00,0.00
,-1,317175,38485,234365,3746,7986402,40898,725022,0.00,0.00,0.00
,-1,-1,-1,-1,6,2083913,29197,19507,0.00,0.00,0.00
,227775220,74660386,3158213,12219315,400141,543108836,2816309,1987744,0.00,0.00,0.00
,1207427883,244350313,13108883,26220807,688467,1274612880,1900803,1666286,0.00,0.00,0.00
,2714426466,525260889,24446946,51960784,2822146,2638698142,3543146,1990576,0.00,0.00,0.00
,1716976287,319452107,12738140,34719725,1408130,1611390755,3416265,1973444,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,183564491,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,17540417,4292803,4833711,10994670,3440288,515122408,-1,-1,0.00,0.00,0.00
,801551,281091,51303,693755,17399,33308475,79107,1011256,0.00,0.00,0.00
,62999003,-1,-1,85244,5434,3760840,17144,9922,0.00,0.00,0.00
,15371022,4260062,2427803,4241032,1922019,279277883,984320,622171,0.00,0.00,0.00
,2131409945,365897854,16051719,29996253,1097964,1650742714,2164371,1459053,0.00,0.00,0.00
,1851365659,350763904,16680895,40486273,1318598,1853692959,2866782,1280552,0.00,0.00,0.00
,2749786536,541082726,20288662,50811124,1356764,2459221969,2871476,1328600,0.00,0.00,0.00
,891678143,186697331,7372607,11581020,429298,352362655,694858,453927,0.00,0.00,0.00
,1118443346,200614091,5584455,18151548,2835867,1495907409,2295647,1080144,5505024.00,5.54,5.44
,3053834173,651362228,26289586,57175742,2454044,2584955319,3908677,1711000,5505024.00,5.54,5.44
,2584240180,429162708,16420510,38987879,1531204,1979958463,2825394,1996885,5505024.00,5.54,5.44
,1449222023,295032054,13737601,23957540,1529555,1560075167,2524528,1226033,5505024.00,5.54,5.44
,-1,44036301,1932561,12529574,1294653,493573962,1612662,2208855,5505024.00,5.54,5.44
,3102712643,654948505,29664205,54498660,4921620,3022129242,4738772,2111781,5505024.00,5.54,5.44
,2517988047,489640361,19254278,39343655,1809787,2263167782,2870184,1836576,5505024.00,5.54,5.44
,2613296964,509306917,15310708,45306685,2648004,2571362339,4743855,2801716,5505024.00,5.54,5.44
,2682394550,479000613,16122542,51278650,3751850,2144974576,2384407,1342646,6389760.00,6.46,6.32
,1675962811,351456753,11797690,29685983,2623010,1277869892,1737112,881350,6389760.00,6.46,6.32
,17430666,3618820,35446,3256172,1664007,332469140,831232,157285,6389760.00,6.46,6.32
,-1,-1,-1,-1,-1,-1,403,9733,6389760.00,6.46,6.32
,-1,-1,-1,-1,-1,-1,-1,-1,6389760.00,6.46,6.32
,3810981,564958,-1,-1,-1,-1,-1,-1,6389760.00,6.46,6.32
,20915336,3888767,268913,8816969,26987,247157311,1050451,-1,6389760.00,6.46,6.32
,-1,-1,122098129732016064,657293233638602112,14838658877522664,0,71635109597159920,58368622853886952,6389760.00,6.46,6.32
,215696499,41979200,1609923,6972577,661584,334626524,938704,507914,6389760.00,6.46,6.32
,-1,-1,-1,125102,13456,6647695,31738,21542,6389760.00,6.46,6.32
,-1,-1,-1,-1,741,3555551,24129,16328,6389760.00,6.46,6.32
,71585026,-1,-1,-1,-1,-1,16250,11244,6389760.00,6.46,6.32
,1863055,-1,-1,-1,-1,-1,-1,-1,6389760.00,6.46,6.32
,2073317,438843,1768523,-1,-1,-1,-1,-1,6389760.00,6.46,6.32
,2040168,443050,46776,214988,6230,223853042,-1,-1,6389760.00,6.46,6.32
,115357803,22900980,1507958,154388,482,9842013,28131,484987,6389760.00,6.46,6.32
,4120772,824542,63664,7283732,-1,-1,-1,-1,6389760.00,6.46,6.32
,1233183,282990,27119,139065,6815,208746960,605395,-1,6389760.00,6.46,6.32
,-1,-1,10595,119939,561,3563195,15677,12722,6389760.00,6.46,6.32
