,Instructions,BranchInstructions,BranchMispredicts,LLCRef,LLCMiss,Cycles,DTLBMiss,ITLBMiss,LLCOcc,TotalBytes,LocalBytes
,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00
,2548917062,559297780,20744355,47595962,1661177,2419901924,3110616,1677201,0.00,0.00,0.00
,2897052838,565232519,17938550,28512869,1498180,1894374674,2541130,1576464,0.00,0.00,0.00
,1069198402,208743066,9276506,25031271,1442911,1325729235,2368447,1733192,0.00,0.00,0.00
,-1,-1,-1,-1,3363,1106905,4912,3467,0.00,0.00,0.00
,177156664,-1,-1,-1,15267,12197669,48727,22943,65536.00,0.07,0.00
,434785,129147,-1,-1,-1,-1,5934,4215,65536.00,0.07,0.00
,1285708,259542,1688133,7136875,-1,-1,30630,20847,65536.00,0.07,0.00
,374579,77761,9050,41587,-1,-1,5150,3764,65536.00,0.07,0.00
,1364771,278603,33034,154927,-1,-1,12626,16528,65536.00,0.07,0.00
,1259258,508369,28588,140588,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,282249,37428,180236,2838,244898890,-1,-1,65536.00,0.07,0.00
,113515246,26551406,1150430,6443705,69448,217707539,217707539,-1,65536.00,0.07,0.00
,-1,405910,55693,433886,32971,33242509,-1,506562,65536.00,0.07,0.00
,672657562,92282123,3620742,15849108,704104,731918590,53998,1106179,65536.00,0.07,0.00
,3370827501,608556010,27362248,63268234,2658316,3035687904,-1,2351982,65536.00,0.07,0.00
,2280957276,409779115,16192870,48134039,1070415,1575478843,3503934,1353521,65536.00,0.07,0.00
,1206586905,240969364,8326127,29530224,2786371,1831574109,2175255,1891759,65536.00,0.07,0.00
,397759109,77142393,3612035,7079537,492821,412045853,3318067,441110,65536.00,0.07,0.00
,2839668787,475503280,18213148,42464874,1640439,2278677937,629774,2326324,65536.00,0.07,0.00
,2417895350,466717390,23394880,41362026,1665758,2280601269,3170852,2018305,65536.00,0.07,0.00
,2523987605,491048856,17283723,37539740,1529431,1963677172,3028752,1535121,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,2738529,26759,65536.00,0.07,0.00
,2012288166,399591751,21518081,55950387,2691593,2732840579,-1,4167972,65536.00,0.07,0.00
,3264081243,630586490,29393066,56973348,5744772,2793288683,5336396,3727855,65536.00,0.07,0.00
,1666268110,305238488,13622597,38815231,1037744,2040549287,5325986,2222306,65536.00,0.07,0.00
,3220509744,620394574,27201402,56578174,4340296,3157570578,3080131,2381050,65536.00,0.07,0.00
,2495982998,541527793,13257686,68821798,6143329,2437495345,4688041,1875359,65536.00,0.07,0.00
,957525614,173852840,6682071,10863363,1611870,758560090,3183631,395161,65536.00,0.07,0.00
,-1,-1,-1,167182,34917,15099576,917290,58079,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,613284,61239,10582,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,12393,15157,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,195908794,57094334,1494677,9540313,-1,-1,-1,-1,65536.00,0.07,0.00
,707537,177080,21796,98681,155,252790277,-1,-1,65536.00,0.07,0.00
,-1,25320,31655,290642,16765,8613177,-1,929303,65536.00,0.07,0.00
,-1,-1,-1,95336,175,2881744,40820,11178,65536.00,0.07,0.00
,164162890,31312302,-1,5586548,22789,165834505,15159,552992,65536.00,0.07,0.00
,32657548,7371338,466765,7436194,139015,336955672,846382,740814,65536.00,0.07,0.00
,-1,-1,-1,-1,1017,4942272,816364,26136,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,38090,15161,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,8074,29276,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,12760,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,-1,-1,-1,-1,-1,-1,-1,-1,65536.00,0.07,0.00
,287788163,57678122,2250178,11227038,1276982,630733390,-1,1081921,65536.00,0.07,0.00
,1939133944,450763778,17377989,30805866,383645,1757369997,1856526,864241,6127616.00,4.78,4.46
,588857230,121521921,5044500,6659869,374843,421464183,1559087,755780,6127616.00,4.78,4.46
,382271849,77760277,2631913,14437646,495703,746922200,1088033,1289247,6127616.00,4.78,4.46
,3663978683,650243486,25844787,52298988,2167386,2711244331,1807443,2088378,6127616.00,4.78,4.46
,2176687795,421851004,18458030,50346417,1351336,2191835873,3714603,2607471,6127616.00,4.78,4.46
,334283731,56397839,3202295,5738014,854428,373409863,3892912,363497,6127616.00,4.78,4.46
,2967074931,572682962,19668309,43006988,1823296,2424081311,468553,1537226,6127616.00,4.78,4.46
,1610174418,309824021,13420015,32743370,841451,1570304215,2483813,1490828,6127616.00,4.78,4.46
,2786138711,525761564,19163895,48568064,4215659,2493824854,2336928,1753709,6127616.00,4.78,4.46
,-1,-1,-1,5399199,326636,190092672,3821384,70488,6127616.00,4.78,4.46
,3543598191,663957682,25534158,65863644,1918293,3110216995,162396,2589097,6127616.00,4.78,4.46
,1639875274,315583635,13848988,37822323,1627251,1617463774,3559126,2209475,6127616.00,4.78,4.46
,1635357499,292474289,10824766,74311804,1034093,2105377030,2286667,3392768,6127616.00,4.78,4.46
,2009684496,401185851,13683360,42958703,1767320,2052238128,2006907,1699638,6127616.00,4.78,4.46
,666674795,120729224,4188434,24202504,652707,912634536,1502096,1229541,6127616.00,4.78,4.46
,1702990944,305709868,12072695,44821840,1584739,2008343102,592294,2265466,6127616.00,4.78,4.46
,1261623100,219524858,10869488,29546694,2486694,1486979413,1244246,1794683,6127616.00,4.78,4.46
,639000777,113571102,3867741,20441240,599586,856113202,837453,1357993,6127616.00,4.78,4.46
,1240292999,218716745,8430843,36486194,1235181,1492357798,607142,2199857,6127616.00,4.78,4.46
,1319023955,224751143,6843914,26840225,4918370,1612892862,1024982,1812918,6127616.00,4.78,4.46
,2176298494,414187857,19269890,45025897,1939209,2482642068,1771418,1706960,8519680.00,15.99,14.29
,2269604390,420517923,16336506,30185735,2447754,1551405947,3052434,30185735,8519680.00,15.99,14.29
,2290328472,425872359,14855879,34249995,2289232,1758087248,2357151,1514902,8716288.00,16.35,14.48
,2627444139,546577830,13257992,32494890,4336293,2856540314,2294776,1139202,8716288.00,16.35,14.48
,1236604000,217899514,3487396,9303225,1447164,1114299551,2237380,1482712,8716288.00,16.35,14.48
,659046155,129628824,3244379,4770892,1055352,860413232,1260419,2094599,9371648.00,17.17,15.27
,2149772689,394742010,11920053,40731780,3246635,1455990855,483624,1167280,5963776.00,17.56,15.01
,1912320540,363450763,14752265,66256205,5810250,2534238039,2798031,2246385,5963776.00,17.56,15.01
,87909709,15267934,-1,-1,-1,-1,4155736,3134242,5963776.00,17.56,15.01
,1894621719,391061516,18832543,41712134,2966853,2158795649,-1,-1,5963776.00,17.56,15.01
,2588735206,497088073,15888552,28980459,4361231,1579500887,-1,1629736,5963776.00,17.56,15.01
,666625460,102780948,3323289,16423331,1844653,809372101,3272127,491144,5963776.00,17.56,15.01
,2273451173,370420562,13919120,20745387,2050208,1037883061,1692204,923598,5963776.00,17.56,15.01
,1450385991,248673985,17650308,8601009,1217531,1613936625,2035490,999916,5898240.00,9.76,8.06
,852684812,164986804,6974548,12863714,1736858,1013387505,949391,1125605,5898240.00,9.76,8.06
,1559402330,267387465,12397125,13318968,2064890,1345161350,698006,848656,5898240.00,9.76,8.06
,1221018251,214083216,15034553,30632897,3212362,1676188029,749064,1006197,5898240.00,9.76,8.06
