# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
pes;1;2020-05-25 08:48:13 UTC;0.00;0.00;0.00;222216.00;38.00;0.00;141.00;0.00;0.00;0.00;0.00;23605764;42247532;64.15;801028;36492704;10886980;8.19;32825480;7904168;4946424;3404900;1094532;25760;26872;0
pes;1;2020-05-25 08:48:14 UTC;0.00;0.00;0.00;96264.00;9.00;0.00;114.00;0.00;0.00;0.00;0.00;23606068;42247228;64.15;801028;36492824;10886980;8.19;32825496;7904160;4849540;3404964;1094948;25792;26960;0
pes;1;2020-05-25 08:48:15 UTC;0.00;0.00;0.00;96208.00;87.00;0.00;114.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4753928;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:16 UTC;0.00;0.00;0.00;96264.00;5.00;0.00;113.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4657432;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:17 UTC;0.00;0.00;0.00;96180.00;24.00;0.00;135.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4560936;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:18 UTC;0.00;0.00;0.00;44204.00;5.00;0.00;115.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4517252;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:19 UTC;0.00;0.00;0.00;123920.00;19.00;0.00;135.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4393372;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:20 UTC;0.00;0.00;0.00;96164.00;151.00;0.00;160.00;0.00;0.00;0.00;0.00;23606244;42247052;64.15;801028;36492824;10886980;8.19;32825500;7904160;4296876;3404972;1094948;25792;26960;0
pes;1;2020-05-25 08:48:21 UTC;0.00;0.00;0.00;64516.00;10.00;0.00;123.00;0.00;0.00;0.00;0.00;23606780;42246516;64.15;801028;36493028;10886980;8.19;32825616;7904236;4233092;3405040;1094920;25792;26960;0
pes;1;2020-05-25 08:48:22 UTC;0.00;0.00;0.00;96172.00;2.00;0.00;120.00;0.00;0.00;0.00;0.00;23607028;42246268;64.15;801028;36493060;10886980;8.19;32825648;7904260;4136628;3405040;1094924;25792;26960;0
pes;1;2020-05-25 08:48:23 UTC;0.00;0.00;0.00;95368.00;12.00;0.00;127.00;0.00;0.00;0.00;0.00;23606936;42246360;64.15;801028;36493072;10886980;8.19;32825672;7904260;4041952;3405052;1094892;25792;26960;0
pes;1;2020-05-25 08:48:24 UTC;0.00;0.00;0.00;9216.00;2429.00;0.00;297.00;0.00;0.00;0.00;0.00;23606936;42246360;64.15;801028;36493072;10886980;8.19;32825672;7904260;4032824;3405052;1094892;25792;26960;0
