# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
pes;1;2020-05-25 09:33:20 UTC;0.00;0.00;0.00;200008.00;20.00;0.00;161.00;0.00;0.00;0.00;0.00;28074256;37779040;57.37;807244;31800468;10830172;8.15;32919756;3455036;11796;3736212;984680;25616;27288;0
pes;1;2020-05-25 09:33:21 UTC;0.00;0.00;0.00;11376.00;35.00;0.00;164.00;0.00;0.00;0.00;0.00;28073520;37779776;57.37;807244;31800500;10830172;8.15;32921000;3455060;56;3737420;984616;25632;27320;0
pes;1;2020-05-25 09:33:22 UTC;0.00;0.00;0.00;544.00;173.00;0.00;88193.00;0.00;0.00;0.00;0.00;28424184;37429112;56.84;807244;31449476;10830172;8.15;32901964;3124440;100;3737364;984456;25616;27320;0
pes;1;2020-05-25 09:33:23 UTC;0.00;0.00;0.00;0.00;10162.00;0.00;4178.00;0.00;0.00;0.00;0.00;28406284;37447012;56.86;807244;31449064;11530512;8.68;32916664;3123884;128;3753888;983984;26176;27872;0
pes;1;2020-05-25 09:33:24 UTC;0.00;0.00;0.00;0.00;25421.00;0.00;1787.00;0.00;0.00;0.00;0.00;28317128;37536168;57.00;807244;31449096;11546688;8.69;33005804;3123916;160;3842580;983984;26576;28144;0
pes;1;2020-05-25 09:33:25 UTC;0.00;0.00;0.00;32.00;28189.00;0.00;53415.00;0.00;0.00;0.00;0.00;28422620;37430676;56.84;807244;31449160;10845572;8.16;32900704;3123948;232;3737496;984016;26432;27664;0
pes;1;2020-05-25 09:33:26 UTC;0.00;0.00;0.00;0.00;28483.00;0.00;3935.00;0.00;0.00;0.00;0.00;28327488;37525808;56.98;807244;31449192;11537400;8.68;32994924;3123960;264;3831516;984016;26352;27628;0
pes;1;2020-05-25 09:33:27 UTC;0.00;0.00;0.00;4.00;33354.00;0.00;4107.00;0.00;0.00;0.00;0.00;28225472;37627824;57.14;807244;31449224;11545856;8.69;33096288;3123976;296;3933860;984016;26432;28320;0
pes;1;2020-05-25 09:33:28 UTC;0.00;0.00;0.00;124.00;21176.00;0.00;52004.00;0.00;0.00;0.00;0.00;28354392;37498904;56.94;807244;31449224;11527892;8.68;32966576;3123976;300;3803800;983984;26032;27784;0
pes;1;2020-05-25 09:33:29 UTC;0.00;0.00;0.00;0.00;38081.00;0.00;4244.00;0.00;0.00;0.00;0.00;28225588;37627708;57.14;807244;31449284;11553372;8.70;33095156;3123984;444;3932308;983896;26416;28148;0
pes;1;2020-05-25 09:33:30 UTC;0.00;0.00;0.00;32.00;28167.00;0.00;71865.00;0.00;0.00;0.00;0.00;27892748;37960548;57.64;807244;31732932;11373608;8.56;33155456;3388460;284096;3976176;984344;26560;28432;0
pes;1;2020-05-25 09:33:31 UTC;0.00;0.00;0.00;44.00;7169.00;0.00;125818.00;0.00;0.00;0.00;0.00;27383440;38469856;58.42;807244;32235080;11373608;8.56;33189664;3858036;786244;3976936;986372;26592;28444;0
pes;1;2020-05-25 09:33:32 UTC;0.00;0.00;0.00;48.00;4739.00;0.00;122929.00;0.00;0.00;0.00;0.00;26850372;39002924;59.23;807244;32753616;11373608;8.56;33229176;4342560;1304780;3980900;998952;26560;28456;0
pes;1;2020-05-25 09:33:33 UTC;0.00;0.00;0.00;168.00;27437.00;0.00;105941.00;0.00;0.00;0.00;0.00;26362108;39491188;59.97;807244;33229128;11373608;8.56;33265260;4784956;1780372;3985104;1012460;26576;28460;0
pes;1;2020-05-25 09:33:34 UTC;0.00;0.00;0.00;44.00;23601.00;0.00;123305.00;0.00;0.00;0.00;0.00;25851452;40001844;60.74;807244;33729156;11373608;8.56;33299532;5251612;2280400;3985992;1023928;26592;28460;0
pes;1;2020-05-25 09:33:35 UTC;0.00;0.00;0.00;44.00;5831.00;0.00;129830.00;0.00;0.00;0.00;0.00;25289492;40563804;61.60;807244;34275084;11373608;8.56;33335412;5761996;2826328;3985796;1038688;26624;28464;0
pes;1;2020-05-25 09:33:36 UTC;0.00;0.00;0.00;48.00;29490.00;0.00;104806.00;0.00;0.00;0.00;0.00;24831612;41021684;62.29;807244;34716568;11373608;8.56;33368316;6174712;3267812;3988780;1051052;26592;28472;0
pes;1;2020-05-25 09:33:37 UTC;0.00;0.00;0.00;36.00;24244.00;0.00;113635.00;0.00;0.00;0.00;0.00;24354068;41499228;63.02;807244;35179720;11373608;8.56;33399636;6605712;3730964;3988856;1061856;26576;28472;0
pes;1;2020-05-25 09:33:38 UTC;0.00;0.00;0.00;148.00;3809.00;0.00;119227.00;0.00;0.00;0.00;0.00;23818844;42034452;63.83;807244;35706892;11373608;8.56;33434484;7098368;4258172;3988940;1075284;26576;28472;0
pes;1;2020-05-25 09:33:39 UTC;0.00;0.00;0.00;48.00;5979.00;0.00;113889.00;0.00;0.00;0.00;0.00;23285348;42567948;64.64;807244;36221448;11373608;8.56;33467632;7578004;4772728;3988972;1089432;26560;28476;0
pes;1;2020-05-25 09:33:40 UTC;0.00;0.00;0.00;32.00;4632.00;0.00;93384.00;0.00;0.00;0.00;0.00;22878864;42974432;65.26;807244;36621280;11381708;8.57;33495832;7948524;5172560;3989600;1099268;26560;28476;0
