# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
pes;1;2020-05-25 09:33:51 UTC;0.00;0.00;0.00;190408.00;14.00;0.00;147.00;0.00;0.00;0.00;0.00;23129708;42723588;64.88;807244;36622036;10836776;8.16;33246520;7951492;4958220;3737592;1100984;25632;27316;0
pes;1;2020-05-25 09:33:52 UTC;0.00;0.00;0.00;56324.00;6.00;0.00;122.00;0.00;0.00;0.00;0.00;23129708;42723588;64.88;807244;36622036;10836776;8.16;33246520;7951492;4902496;3737592;1100984;25632;27316;0
pes;1;2020-05-25 09:33:53 UTC;0.00;0.00;0.00;65544.00;385.00;0.00;459.00;0.00;0.00;0.00;0.00;23130148;42723148;64.88;807244;36622104;10836776;8.16;33246408;7951492;4836600;3737792;1100880;25680;27332;0
pes;1;2020-05-25 09:33:54 UTC;0.00;0.00;0.00;140352.00;12.00;0.00;130.00;0.00;0.00;0.00;0.00;23130464;42722832;64.88;807244;36622132;10836776;8.16;33246484;7951516;4696108;3737816;1101012;25632;27332;0
pes;1;2020-05-25 09:33:55 UTC;0.00;0.00;0.00;96180.00;4.00;0.00;116.00;0.00;0.00;0.00;0.00;23130804;42722492;64.88;807244;36622132;10836776;8.16;33246484;7951516;4599924;3737828;1101076;25632;27332;0
pes;1;2020-05-25 09:33:56 UTC;0.00;0.00;0.00;63492.00;2.00;0.00;111.00;0.00;0.00;0.00;0.00;23130804;42722492;64.88;807244;36622132;10836776;8.16;33246484;7951516;4536300;3737828;1101076;25632;27332;0
pes;1;2020-05-25 09:33:57 UTC;0.00;0.00;0.00;95244.00;8.00;0.00;174.00;0.00;0.00;0.00;0.00;23131196;42722100;64.87;807244;36622224;10836776;8.16;33246512;7951544;4441228;3737852;1100932;25632;27332;0
pes;1;2020-05-25 09:33:58 UTC;0.00;0.00;0.00;92056.00;5.00;0.00;121.00;0.00;0.00;0.00;0.00;23131536;42721760;64.87;807244;36622252;10836776;8.16;33246604;7951564;4349368;3737868;1100968;25632;27332;0
pes;1;2020-05-25 09:33:59 UTC;0.00;0.00;0.00;96340.00;4.00;0.00;128.00;0.00;0.00;0.00;0.00;23131536;42721760;64.87;807244;36622252;10836776;8.16;33246604;7951564;4253160;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:00 UTC;0.00;0.00;0.00;95160.00;546.00;0.00;563.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;4159256;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:01 UTC;0.00;0.00;0.00;64516.00;7.00;0.00;117.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;4094268;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:02 UTC;0.00;0.00;0.00;96172.00;12.00;0.00;111.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3997772;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:03 UTC;0.00;0.00;0.00;96268.00;7.00;0.00;126.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3901928;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:04 UTC;0.00;0.00;0.00;62456.00;4.00;0.00;129.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3839336;3737872;1100968;25632;27332;0
pes;2;2020-05-25 09:34:06 UTC;0.00;0.00;0.00;91841.98;242.80;0.00;140.33;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3616412;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:07 UTC;0.00;0.00;0.00;96264.00;3.00;0.00;123.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3520112;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:08 UTC;0.00;0.00;0.00;63384.00;10.00;0.00;127.00;0.00;0.00;0.00;0.00;23130980;42722316;64.87;807244;36622252;10836776;8.16;33247040;7951564;3456564;3737872;1100968;25632;27332;0
pes;1;2020-05-25 09:34:09 UTC;0.00;0.00;0.00;96340.00;8.00;0.00;107.00;0.00;0.00;0.00;0.00;23131508;42721788;64.87;807244;36622548;10836776;8.16;33246720;7951676;3359888;3737900;1100944;25568;27332;0
pes;1;2020-05-25 09:34:10 UTC;0.00;0.00;0.00;27648.00;5.00;0.00;116.00;0.00;0.00;0.00;0.00;23131632;42721664;64.87;807244;36622548;10836776;8.16;33246720;7951676;3332640;3737900;1100944;25568;27332;0
pes;1;2020-05-25 09:34:11 UTC;0.00;0.00;0.00;105456.00;150.00;0.00;304.00;0.00;0.00;0.00;0.00;23132520;42720776;64.87;807244;36622608;10836776;8.16;33246772;7951728;3227332;3737848;1100848;25520;27332;0
pes;1;2020-05-25 09:34:12 UTC;0.00;0.00;0.00;105472.00;70.00;0.00;119.00;0.00;0.00;0.00;0.00;23132520;42720776;64.87;807244;36622608;10836776;8.16;33246772;7951728;3121480;3737848;1100848;25520;27332;0
pes;1;2020-05-25 09:34:13 UTC;0.00;0.00;0.00;68608.00;5.00;0.00;127.00;0.00;0.00;0.00;0.00;23133048;42720248;64.87;807244;36622668;10836776;8.16;33246736;7951752;3052848;3737796;1100848;25520;27332;0
pes;1;2020-05-25 09:34:14 UTC;0.00;0.00;0.00;94304.00;5.00;0.00;118.00;0.00;0.00;0.00;0.00;23133764;42719532;64.87;807244;36622696;10836776;8.16;33246736;7951752;2958764;3737804;1100756;25520;27332;0
pes;7;2020-05-25 09:34:21 UTC;0.00;0.00;0.00;92084.74;11.26;0.00;23.11;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;2337448;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:22 UTC;0.00;0.00;0.00;98444.00;8.00;0.00;139.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;2239648;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:23 UTC;0.00;0.00;0.00;98304.00;3.00;0.00;122.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;2141196;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:24 UTC;0.00;0.00;0.00;65536.00;11.00;0.00;115.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;2075344;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:25 UTC;0.00;0.00;0.00;98304.00;5.00;0.00;107.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;1976892;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:26 UTC;0.00;0.00;0.00;65536.00;5.00;0.00;120.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;1911752;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:27 UTC;0.00;0.00;0.00;98304.00;5.00;0.00;114.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;1813300;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:28 UTC;0.00;0.00;0.00;98308.00;363.00;0.00;346.00;0.00;0.00;0.00;0.00;23134688;42718608;64.87;807244;36622696;10836776;8.16;33246736;7951752;1715196;3737884;1100948;25520;27332;0
pes;1;2020-05-25 09:34:29 UTC;0.00;0.00;0.00;65632.00;5.00;0.00;115.00;0.00;0.00;0.00;0.00;23135080;42718216;64.87;807244;36622964;10836776;8.16;33247008;7951852;1650092;3737992;1100948;25520;27332;0
pes;7;2020-05-25 09:34:36 UTC;0.00;0.00;0.00;88556.74;18.68;0.00;36.24;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;1019300;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:37 UTC;0.00;0.00;0.00;98392.00;4.00;0.00;118.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;921196;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:38 UTC;0.00;0.00;0.00;97776.00;7.00;0.00;111.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;823168;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:39 UTC;0.00;0.00;0.00;65448.00;5.00;0.00;114.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;758544;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:40 UTC;0.00;0.00;0.00;98304.00;6.00;0.00;129.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;660228;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:41 UTC;0.00;0.00;0.00;98100.00;3.00;0.00;118.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;561776;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:42 UTC;0.00;0.00;0.00;98304.00;7.00;0.00;123.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;463976;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:43 UTC;0.00;0.00;0.00;36988.00;6.00;0.00;169.00;0.00;0.00;0.00;0.00;23135592;42717704;64.87;807244;36622964;10836776;8.16;33247012;7951852;426660;3738024;1100980;25520;27332;0
pes;1;2020-05-25 09:34:44 UTC;0.00;0.00;0.00;88120.00;10.00;0.00;126.00;0.00;0.00;0.00;0.00;23136140;42717156;64.87;807244;36623228;10836776;8.16;33247312;7951968;337956;3738220;1100804;25520;27332;0
pes;6;2020-05-25 09:34:50 UTC;0.00;0.00;0.00;56548.49;57.02;0.00;68.39;0.00;0.00;0.00;0.00;23136676;42716620;64.87;807252;36623224;10836776;8.16;33247304;7951968;0;3738244;1100516;25520;27332;0
pes;1;2020-05-25 09:34:51 UTC;0.00;0.00;0.00;0.00;24538.00;0.00;5335.00;0.00;0.00;0.00;0.00;23069132;42784164;64.97;807252;36623284;11533168;8.68;33312552;7952032;120;3805092;1100452;25680;27664;0
pes;1;2020-05-25 09:34:52 UTC;0.00;0.00;0.00;0.00;36681.00;0.00;3350.00;0.00;0.00;0.00;0.00;22942224;42911072;65.16;807252;36623352;11541392;8.69;33438156;7952076;196;3929320;1100440;26336;28348;0
pes;1;2020-05-25 09:34:53 UTC;0.00;0.00;0.00;32.00;19458.00;0.00;52219.00;0.00;0.00;0.00;0.00;23079844;42773452;64.95;807252;36623384;11541956;8.69;33300816;7952104;228;3791388;1100444;26608;27980;0
pes;1;2020-05-25 09:34:54 UTC;0.00;0.00;0.00;0.00;31791.00;0.00;2393.00;0.00;0.00;0.00;0.00;22963376;42889920;65.13;807252;36624040;11566260;8.71;33416000;7952540;884;3906704;1100348;26400;27948;0
pes;1;2020-05-25 09:34:55 UTC;0.00;0.00;0.00;264.00;41328.00;0.00;9034.00;0.00;0.00;0.00;0.00;22891932;42961364;65.24;807252;36624424;11417104;8.59;33485400;7953052;1268;3976428;1100396;26400;28344;0
pes;1;2020-05-25 09:34:56 UTC;0.00;0.00;0.00;64.00;18528.00;0.00;3849.00;0.00;0.00;0.00;0.00;22846424;43006872;65.31;807252;36624632;11433284;8.61;33531212;7953232;1712;4022240;1100400;26432;28468;0
pes;1;2020-05-25 09:34:57 UTC;0.00;0.00;0.00;0.00;18735.00;0.00;3010.00;0.00;0.00;0.00;0.00;22817296;43036000;65.35;807272;36625012;12618848;9.50;33558320;7953552;2124;4049528;1100440;26592;28544;0
pes;1;2020-05-25 09:34:58 UTC;0.00;0.00;0.00;0.00;33661.00;0.00;8887.00;0.00;0.00;0.00;0.00;22726496;43126800;65.49;807272;36625680;12635096;9.51;33647964;7953648;2776;4137800;1101220;27360;29364;0
pes;1;2020-05-25 09:34:59 UTC;0.00;0.00;0.00;0.00;49145.00;0.00;6638.00;0.00;0.00;0.00;0.00;22573820;43279476;65.72;807272;36625708;12376336;9.32;33800116;7953692;2804;4290508;1101028;27376;29572;0
pes;1;2020-05-25 09:35:00 UTC;0.00;0.00;0.00;360.00;42175.00;0.00;11910.00;0.00;0.00;0.00;0.00;22501056;43352240;65.83;807272;36625748;12410160;9.34;33872128;7953732;2848;4362240;1101028;27536;29992;0
pes;1;2020-05-25 09:35:01 UTC;0.00;0.00;0.00;0.00;19513.00;0.00;3630.00;0.00;0.00;0.00;0.00;22449140;43404156;65.91;807272;36625748;12627408;9.50;33923820;7953712;2848;4413412;1101068;27584;29776;0
pes;1;2020-05-25 09:35:02 UTC;0.00;0.00;0.00;16.00;16837.00;0.00;707.00;0.00;0.00;0.00;0.00;22395460;43457836;65.99;807272;36625824;12685420;9.55;33977908;7953724;3240;4468164;1101076;27856;29968;0
pes;1;2020-05-25 09:35:03 UTC;0.00;0.00;0.00;12.00;5570.00;0.00;269.00;0.00;0.00;0.00;0.00;22372192;43481104;66.03;807272;36626100;12685420;9.55;34001816;7953952;3520;4491880;1101116;28448;30144;0
pes;1;2020-05-25 09:35:04 UTC;0.00;0.00;0.00;0.00;4895.00;0.00;1114.00;0.00;0.00;0.00;0.00;22366668;43486628;66.04;807272;36626148;12693768;9.55;34006896;7953968;3568;4496940;1101116;28480;30184;0
pes;1;2020-05-25 09:35:05 UTC;0.00;0.00;0.00;636.00;151048.00;0.00;19897.00;0.00;0.00;0.00;0.00;21856332;43996964;66.81;807272;36626408;14830004;11.16;34501620;7954084;3804;4992468;1101280;29456;33048;0
pes;1;2020-05-25 09:35:06 UTC;0.00;0.00;0.00;0.00;180537.00;0.00;56118.00;0.00;0.00;0.00;0.00;21550344;44302952;67.28;807272;36626960;14936356;11.24;34804636;7954412;4832;5293260;1103520;33888;34736;0
pes;1;2020-05-25 09:35:07 UTC;0.00;0.00;0.00;0.00;230246.00;0.00;28324.00;0.00;0.00;0.00;0.00;20825832;45027464;68.38;807272;36628464;15054748;11.33;35523000;7955848;6336;6012816;1104952;34544;35672;0
pes;1;2020-05-25 09:35:08 UTC;0.00;0.00;0.00;0.00;15635.00;0.00;3596.00;0.00;0.00;0.00;0.00;20812048;45041248;68.40;807272;36628512;15069612;11.34;35536824;7955848;6384;6026584;1104184;34608;36476;0
pes;1;2020-05-25 09:35:09 UTC;0.00;0.00;0.00;4.00;15115.00;0.00;5652.00;0.00;0.00;0.00;0.00;20812040;45041256;68.40;807272;36628544;15069612;11.34;35537328;7955848;6416;6026492;1104056;34592;36496;0
pes;1;2020-05-25 09:35:10 UTC;0.00;0.00;0.00;636.00;34650.00;0.00;397051.00;0.00;0.00;0.00;0.00;22299380;43553916;66.14;807272;36628700;14588048;10.98;34049848;7955900;6572;4540300;1104252;33776;32584;0
pes;1;2020-05-25 09:35:11 UTC;0.00;0.00;0.00;0.00;160718.00;0.00;12426.00;0.00;0.00;0.00;0.00;21726116;44127180;67.01;807272;36627548;14860104;11.18;34626504;7954684;5444;5116004;1103688;33584;34140;0
pes;1;2020-05-25 09:35:12 UTC;0.00;0.00;0.00;0.00;167459.00;0.00;55331.00;0.00;0.00;0.00;0.00;21505684;44347612;67.34;807272;36627592;14847080;11.17;34841248;7954664;5500;5330880;1104744;34016;34796;0
pes;1;2020-05-25 09:35:13 UTC;0.00;0.00;0.00;0.00;212900.00;0.00;18003.00;0.00;0.00;0.00;0.00;20809080;45044216;68.40;807272;36629120;15071640;11.34;35534996;7956116;7040;6024832;1105392;34624;36044;0
pes;1;2020-05-25 09:35:14 UTC;0.00;0.00;0.00;0.00;4705.00;0.00;1788.00;0.00;0.00;0.00;0.00;20797200;45056096;68.42;807272;36629156;15071640;11.34;35548016;7956132;7076;6037184;1105296;34704;36484;0
pes;1;2020-05-25 09:35:15 UTC;0.00;0.00;0.00;560.00;40922.00;0.00;8371.00;0.00;0.00;0.00;0.00;20797912;45055384;68.42;807276;36629232;15071640;11.34;35548920;7956168;7152;6038304;1105840;34592;36488;0
