# hostname,interval,timestamp,pswpin/s,pswpout/s,pgpgin/s,pgpgout/s,fault/s,majflt/s,pgfree/s,pgscank/s,pgscand/s,pgsteal/s,%vmeff,kbmemfree,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty,kbanonpg,kbslab,kbkstack,kbpgtbl,kbvmused
pes,1,2020-05-25 09:51:53 UTC,0.00,0.00,0.00,107394.06,7.92,0.00,139.60,0.00,0.00,0.00,0.00,23019804,42833492,65.04,809544,36643296,10861872,8.18,33345288,7959380,4946444,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:54 UTC,0.00,0.00,0.00,83976.00,6.00,0.00,118.00,0.00,0.00,0.00,0.00,23019804,42833492,65.04,809544,36643296,10861872,8.18,33345288,7959380,4862320,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:55 UTC,0.00,0.00,0.00,55444.00,182.00,0.00,109.00,0.00,0.00,0.00,0.00,23019804,42833492,65.04,809544,36643296,10861872,8.18,33345288,7959380,4806900,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:56 UTC,0.00,0.00,0.00,157604.00,5.00,0.00,187.00,0.00,0.00,0.00,0.00,23019804,42833492,65.04,809544,36643296,10861872,8.18,33345288,7959380,4649404,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:57 UTC,0.00,0.00,0.00,64432.00,10.00,0.00,134.00,0.00,0.00,0.00,0.00,23019300,42833996,65.04,809544,36643296,10861872,8.18,33345288,7959380,4585644,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:58 UTC,0.00,0.00,0.00,96264.00,33.00,0.00,174.00,0.00,0.00,0.00,0.00,23018856,42834440,65.05,809544,36643296,10861872,8.18,33345288,7959380,4488480,3821172,1107820,25760,27364,0
pes,1,2020-05-25 09:51:59 UTC,0.00,0.00,0.00,96184.00,23.00,0.00,316.00,0.00,0.00,0.00,0.00,23019536,42833760,65.04,809544,36643208,10861872,8.18,33344800,7959440,4392616,3820632,1107924,25728,27452,0
pes,1,2020-05-25 09:52:00 UTC,0.00,0.00,0.00,80.00,13.00,0.00,143.00,0.00,0.00,0.00,0.00,23019788,42833508,65.04,809544,36643208,10861872,8.18,33344800,7959440,4392616,3820636,1107924,25696,27452,0
pes,1,2020-05-25 09:52:01 UTC,0.00,0.00,0.00,159664.00,549.00,0.00,611.00,0.00,0.00,0.00,0.00,23018932,42834364,65.05,809544,36643264,10861872,8.18,33344832,7959464,4233344,3820652,1107764,25600,27452,0
pes,1,2020-05-25 09:52:02 UTC,0.00,0.00,0.00,96264.00,5.00,0.00,114.00,0.00,0.00,0.00,0.00,23018932,42834364,65.05,809544,36643264,10861872,8.18,33344832,7959464,4137196,3820652,1107764,25600,27452,0
pes,1,2020-05-25 09:52:03 UTC,0.00,0.00,0.00,64516.00,2.00,0.00,115.00,0.00,0.00,0.00,0.00,23018932,42834364,65.05,809544,36643264,10861872,8.18,33344832,7959464,4072648,3820652,1108212,25600,27452,0
pes,1,2020-05-25 09:52:04 UTC,0.00,0.00,0.00,95156.00,405.00,0.00,178.00,0.00,0.00,0.00,0.00,23019368,42833928,65.04,809544,36643264,10861872,8.18,33344832,7959464,3977456,3820652,1108212,25600,27452,0
pes,1,2020-05-25 09:52:05 UTC,0.00,0.00,0.00,45124.00,5.00,0.00,108.00,0.00,0.00,0.00,0.00,23020092,42833204,65.04,809544,36643384,10861872,8.18,33344776,7959512,3931940,3820580,1107992,25552,27452,0
pes,1,2020-05-25 09:52:06 UTC,0.00,0.00,0.00,0.00,208.00,0.00,222.00,0.00,0.00,0.00,0.00,23020340,42832956,65.04,809544,36643384,10861872,8.18,33344776,7959512,3931940,3820580,1107992,25552,27452,0
pes,1,2020-05-25 09:52:07 UTC,0.00,0.00,0.00,220088.00,13.00,0.00,136.00,0.00,0.00,0.00,0.00,23020624,42832672,65.04,809544,36643444,10861872,8.18,33344796,7959548,3711884,3820592,1107832,25552,27452,0
pes,1,2020-05-25 09:52:08 UTC,0.00,0.00,0.00,96216.00,3.00,0.00,106.00,0.00,0.00,0.00,0.00,23020624,42832672,65.04,809544,36643444,10861872,8.18,33344796,7959548,3616388,3820592,1107832,25552,27452,0
