# hostname;interval;timestamp;pswpin/s;pswpout/s;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty;kbanonpg;kbslab;kbkstack;kbpgtbl;kbvmused
pes;1;2020-05-26 02:55:54 UTC;0.00;0.00;0.00;254156.00;1109.00;0.00;171.00;0.00;0.00;0.00;0.00;17525552;48327744;73.39;839600;41755652;14116964;10.63;34118452;12512680;373224;4004928;1276120;26352;28500;0
pes;1;2020-05-26 02:55:55 UTC;0.00;0.00;0.00;83984.00;24.00;0.00;163.00;0.00;0.00;0.00;0.00;17526120;48327176;73.39;839600;41755692;14116964;10.63;34118280;12512708;289084;4004788;1276040;25920;28620;0
pes;1;2020-05-26 02:55:56 UTC;0.00;0.00;0.00;122948.00;18.00;0.00;33529.00;0.00;0.00;0.00;0.00;17659660;48193636;73.18;839600;41624640;14116964;10.63;34110000;12390192;166508;4004788;1273860;25920;28620;0
pes;1;2020-05-26 02:55:57 UTC;0.00;0.00;0.00;98304.00;8.00;0.00;107.00;0.00;0.00;0.00;0.00;17660588;48192708;73.18;839600;41624676;14116964;10.63;34109988;12389988;68048;4004788;1273564;25920;28620;0
pes;1;2020-05-26 02:55:58 UTC;0.00;0.00;0.00;67836.00;13.00;0.00;118.00;0.00;0.00;0.00;0.00;17660588;48192708;73.18;839600;41624676;14116964;10.63;34109988;12389988;240;4004788;1273564;25920;28620;0
pes;1;2020-05-26 02:55:59 UTC;0.00;0.00;0.00;492.00;247.00;0.00;1282453.00;0.00;0.00;0.00;0.00;22794652;43058644;65.39;839600;36621244;14116964;10.63;33758348;7738492;104;4004788;1142632;25920;28620;0
pes;1;2020-05-26 02:56:00 UTC;0.00;0.00;0.00;0.00;23068.00;0.00;1207539.00;0.00;0.00;0.00;0.00;27534788;38318508;58.19;839600;31914184;14809756;11.15;33487896;3360408;140;4062964;1048352;26272;29136;0
pes;1;2020-05-26 02:56:01 UTC;0.00;0.00;0.00;0.00;39555.00;0.00;4071.00;0.00;0.00;0.00;0.00;27404052;38449244;58.39;839600;31913672;14818176;11.15;33618660;3359636;188;4194600;1047916;26848;29712;0
pes;1;2020-05-26 02:56:02 UTC;0.00;0.00;0.00;32.00;18393.00;0.00;52918.00;0.00;0.00;0.00;0.00;27548948;38304348;58.17;839600;31913728;14796020;11.14;33473976;3359648;244;4049488;1047916;26768;29004;0
pes;1;2020-05-26 02:56:03 UTC;0.00;0.00;0.00;0.00;33187.00;0.00;2878.00;0.00;0.00;0.00;0.00;27429404;38423892;58.35;839600;31913764;14828448;11.16;33593336;3359652;280;4169164;1047660;26736;29628;0
pes;1;2020-05-26 02:56:04 UTC;0.00;0.00;0.00;692.00;20564.00;0.00;54501.00;0.00;0.00;0.00;0.00;27575864;38277432;58.13;839600;31913764;14806484;11.14;33446900;3359652;932;4023204;1047660;26720;28936;0
pes;1;2020-05-26 02:56:05 UTC;0.00;0.00;0.00;0.00;29136.00;0.00;2483.00;0.00;0.00;0.00;0.00;27472100;38381196;58.28;839600;31913824;14806484;11.14;33552076;3359680;984;4128128;1047500;26704;29436;0
pes;1;2020-05-26 02:56:06 UTC;0.00;0.00;0.00;16.00;39782.00;0.00;14018.00;0.00;0.00;0.00;0.00;27322164;38531132;58.51;839600;31951968;14658800;11.03;33661076;3395412;39132;4236108;1047500;26848;29680;0
pes;1;2020-05-26 02:56:07 UTC;0.00;0.00;0.00;44.00;20963.00;0.00;115579.00;0.00;0.00;0.00;0.00;26795724;39057572;59.31;839600;32462036;14658800;11.03;33706364;3871084;549212;4246848;1047752;26864;29700;0
pes;1;2020-05-26 02:56:08 UTC;0.00;0.00;0.00;48.00;4347.00;0.00;118727.00;0.00;0.00;0.00;0.00;26282820;39570476;60.09;839600;32974552;14658800;11.03;33741520;4349708;1061728;4247288;1047596;26928;29708;0
pes;1;2020-05-26 02:56:09 UTC;0.00;0.00;0.00;172.00;4993.00;0.00;119327.00;0.00;0.00;0.00;0.00;25741848;40111448;60.91;839600;33500084;14666844;11.04;33780824;4839900;1587260;4252068;1055444;26928;29708;0
pes;1;2020-05-26 02:56:10 UTC;0.00;0.00;0.00;44.00;46285.00;0.00;118348.00;0.00;0.00;0.00;0.00;25248884;40604412;61.66;839600;33982560;14666844;11.04;33820940;5290008;2069776;4258656;1068748;26864;29720;0
